Id	Name	Desc	BuffLv	IsStress
2224	聚能强化	模拟作战中，上阵成员的必杀槽积累速度提升	[1]	
2225	闪避增强	模拟作战中，上阵构造体的闪避槽上限提升	[1]	
2226	闪避增强	模拟作战中，上阵授格者的闪避槽上限提升	[1]	
2227	聚能强化	模拟作战中，上阵成员的必杀槽积累速度提升	[1]	
2228	红球强化	模拟作战中，上阵成员将得到额外强化	[1]	
2229	黄球强化	模拟作战中，上阵成员将得到额外强化	[1]	
2230	蓝球强化	模拟作战中，上阵成员将得到额外强化	[1]	
2231	疾走	模拟作战中，上阵成员将得到额外强化	[1]	
2232	额外治疗	模拟作战中，上阵成员将得到额外强化	[1]	
2233	储备策略	模拟作战中，上阵成员将得到额外强化	[1]	
2234	同心协力	模拟作战中，上阵成员将得到额外强化	[1]	
2235	我的回合	模拟作战中，上阵成员将得到额外强化	[1]	
2236	消球治疗	模拟作战中，上阵成员将得到额外强化	[1]	
2237	超能折射	模拟作战中，上阵成员将得到额外强化	[1]	
2238	如山	模拟作战中，上阵成员将得到额外强化	[1]	
2239	信号补给	模拟作战中，上阵成员将得到额外强化	[1]	
2240	元素冲击	模拟作战中，上阵成员将得到额外强化	[1]	
2241	吸附	模拟作战中，上阵成员将得到额外强化	[1]	
2242	抗火	模拟作战中，上阵成员将得到额外强化	[1]	
2243	吸血	模拟作战中，上阵成员将得到额外强化	[1]	
2244	应急合剂	模拟作战中，上阵成员将得到额外强化	[1]	
2245	强化激素	模拟作战中，上阵成员将得到额外强化	[1]	
2246	换手	模拟作战中，上阵成员将得到额外强化	[1]	
2247	坚盾	模拟作战中，上阵成员将得到额外强化	[1]	
2248	生息	模拟作战中，上阵成员将得到额外强化	[1]	
2249	狂热	模拟作战中，上阵成员将得到额外强化	[1]	
2250	强化回路	模拟作战中，上阵成员将得到额外强化	[1]	
2251	治疗新星	模拟作战中，上阵成员将得到额外强化	[1]	
2252	能量装束	模拟作战中，上阵成员将得到额外强化	[1]	
2253	复苏装束	模拟作战中，上阵成员将得到额外强化	[1]	
2254	羽翼α	模拟作战中，上阵成员将得到额外强化	[1]	
2255	羽翼β	模拟作战中，上阵成员将得到额外强化	[1]	
2256	羽翼Δ	模拟作战中，上阵成员将得到额外强化	[1]	
2257	天降之恩典	模拟作战中，上阵成员将得到额外强化	[1]	
2258	不可触摸	模拟作战中，上阵成员将得到额外强化	[1]	
2259	自愈	模拟作战中，上阵成员将得到额外强化	[1]	
3107	迅捷	模拟作战中，特定条件下敌人的移动速度将得到提升	[1, 2, 3]	
3200	不动	模拟作战中，敌人将获得额外强化	[1]	
3201	复苏	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3202	护盾	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3203	暴走	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3204	炸弹	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3206	壁垒	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3207	辐射	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3208	闭环	模拟作战中，敌人将获得额外强化	[1]	
3209	祝福	模拟作战中，敌人将获得额外强化	[1]	
3210	独斗	模拟作战中，敌人将获得额外强化	[1]	
3211	统领	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3212	贯穿	模拟作战中，敌人将获得额外强化	[1]	
3213	电盾	模拟作战中，敌人将获得额外强化	[1]	
3214	波动	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3215	埋雷	模拟作战中，敌人将获得额外强化	[1]	
3216	隐身	模拟作战中，敌人将获得额外强化	[1]	
3217	辐射	模拟作战中，敌人将获得额外强化	[2, 3]	
3218	复苏	模拟作战中，敌人将获得额外强化	[2, 3]	
3300	闪现	模拟作战中，敌人将获得额外强化	[1]	
3302	裂解	模拟作战中，敌人将获得额外强化	[1]	
3303	黑洞	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3306	冻结	模拟作战中，敌人将获得冰元素强化	[1, 2, 3]	
3309	冰径	模拟作战中，将生成冰径对行动进行干扰	[1]	
3310	劣化	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3311	入侵	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3312	反噬	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3313	视觉干扰	模拟作战中，敌人将获得额外强化	[1]	
3314	烟雾地雷	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3315	燃烧地雷	模拟作战中，敌人将获得额外强化	[1]	
3316	防御指令	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3317	断路链接	模拟作战中，敌人将获得额外强化	[1, 2]	
3318	控温失调	模拟作战中，上阵构造体的特定伤害将得到提升	[1]	
3319	炸弹盛宴	模拟作战中，敌人将获得额外强化	[1]	
3320	暗影	模拟作战中，敌人将获得额外强化	[1]	
3321	集结信标	模拟作战中，敌人将获得额外强化	[1]	
3322	雷鸣	模拟作战中，敌人将获得额外强化	[1]	
3323	嗜血	模拟作战中，敌人将获得额外强化	[1]	
3324	暗影	模拟作战中，敌人将获得额外强化	[1]	
3325	冻结	模拟作战中，敌人将获得额外强化	[1]	
3326	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3327	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3328	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3329	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3330	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3331	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3332	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3333	环境词缀	模拟作战中，敌人将获得额外强化	[1]	
3334	梦魇	模拟作战中，敌人将获得额外强化	[1]	1
3335	不灭	模拟作战中，敌人将获得额外强化	[1]	1
3336	十字变频	模拟作战中，敌人将获得额外强化	[1]	1
3338	环境词缀	模拟作战中，敌人将获得额外强化	[1]	1
3339	战吼	模拟作战中，敌人将获得额外强化	[1]	1
3340	重力牵引	模拟作战中，敌人将获得额外强化	[1]	
3341	元素反应	模拟作战中，敌人将获得额外强化	[1]	
3342	局部灼烧	模拟作战中，敌人将获得额外强化	[1]	
3343	升格网络	模拟作战中，敌人将获得额外强化	[1]	
3344	升格降临	模拟作战中，敌人将获得额外强化	[1]	1
3345	株	模拟作战中，敌人将获得额外强化	[1]	
3346	异合共鸣	模拟作战中，敌人将获得额外强化	[1]	1
3347	重生	模拟作战中，敌人将获得额外强化	[1]	
3348	电屏防御	模拟作战中，敌人将获得额外强化	[1]	
3349	电屏超载	模拟作战中，敌人将获得额外强化	[1]	1
3350	异合辐射	模拟作战中，敌人将获得额外强化	[1]	
3351	感染	模拟作战中，敌人将获得额外强化	[1]	
3352	眷属	模拟作战中，敌人将获得额外强化	[1]	
3353	燃烧标记	模拟作战中，敌人将获得额外强化	[1]	
3354	潮生	模拟作战中，敌人将获得额外强化	[1]	1
3355	觉醒	模拟作战中，敌人将获得额外强化	[1]	1
3356	隐匿标记	模拟作战中，敌人将获得额外强化	[1]	
3357	挽歌	模拟作战中，敌人将获得额外强化	[1]	
3358	四象流转	模拟作战中，敌人将获得额外强化	[1]	
3359	浮标	模拟作战中，敌人将获得额外强化	[1]	
3360	风物诗	模拟作战中，敌人将获得额外强化	[1]	
3361	末日	模拟作战中，敌人将获得额外强化	[1]	1
3362	执念	模拟作战中，敌人将获得额外强化	[1]	1
3363	寄生	模拟作战中，敌人将获得额外强化	[1]	
3364	进化	模拟作战中，敌人将获得额外强化	[1]	
3365	锈蚀	模拟作战中，敌人将获得额外强化	[1]	
3366	抗体	模拟作战中，敌人将获得额外强化	[1]	
3367	束缚	模拟作战中，敌人将获得额外强化	[1]	1
3368	渴血之地	模拟作战中，敌人将获得额外强化	[1]	1
3369	同心双鲨	模拟作战中，敌人将获得额外强化	[1]	1
3370	升华	模拟作战中，敌人将获得额外强化	[1]	
3371	融合	模拟作战中，敌人将获得额外强化	[1]	
3372	领袖	模拟作战中，敌人将获得额外强化	[1]	
3373	传承	模拟作战中，敌人将获得额外强化	[1]	
3374	誓约链接	模拟作战中，敌人将获得额外强化	[1]	1
3375	崇高牺牲	模拟作战中，敌人将获得额外强化	[1]	1
3376	一阶-审判	模拟作战中，敌人将获得额外强化	[1]	
3377	意志代行	模拟作战中，敌人将获得额外强化	[1]	
3378	二阶-清算	模拟作战中，敌人将获得额外强化	[1]	
3379	脑力超载	模拟作战中，敌人将获得额外强化	[1]	
3380	刻不容缓	模拟作战中，敌人将获得额外强化	[1]	1
3381	深渊	模拟作战中，敌人将获得额外强化	[1]	1
3382	灵魂收割	模拟作战中，敌人将获得额外强化	[1]	1
3383	桎梏破除	模拟作战中，敌人将获得额外强化	[1]	1
3384	紧急撤离	模拟作战中，敌人将获得额外强化	[1]	
3385	最终狂潮	模拟作战中，敌人将获得额外强化	[1]	
3386	灰熊之援	模拟作战中，敌人将获得额外强化	[1]	
3387	禁疗	巫毒进入防守模式后角色无法获得治疗	[1]	1
3388	传承	巫毒获得的强化效果不会被清除	[1]	1
3389	必然的选择	在防御模式下任意小怪被消灭巫毒将会直接吸收另外一只小怪	[1]	1
3390	辐射	巫毒在防御模式下会持续对角色造成伤害	[1]	1
3391	守备阶段	模拟作战中，敌人将获得额外强化	[1]	
3392	第一轮进化	模拟作战中，敌人将获得额外强化	[1]	
3393	第二轮进化	模拟作战中，敌人将获得额外强化	[1]	
3394	最终进化1	模拟作战中，敌人将获得额外强化	[1]	
3395	最终进化2	模拟作战中，敌人将获得额外强化	[1]	
3396	巨角之力	模拟作战中，敌人将获得额外强化	[1]	1
3397	两极冲撞	模拟作战中，敌人将获得额外强化	[1]	1
3398	反转荡波	模拟作战中，敌人将获得额外强化	[1]	1
3399	噢噢!健美猛牛	模拟作战中，敌人将获得额外强化	[1]	1
3400	强健猛牛	模拟作战中，敌人将获得额外强化	[1]	
3401	闪烁地雷	模拟作战中，敌人将获得额外强化	[1]	
3402	龙息装置	模拟作战中，敌人将获得额外强化	[1]	
3403	猛牛之力	模拟作战中，敌人将获得额外强化	[1]	
3404	装置改良-会心	模拟作战中，上阵成员将得到额外强化	[1]	
3405	装置改良-治愈	模拟作战中，上阵成员将得到额外强化	[1]	
3406	装置改良-冷却	模拟作战中，上阵成员将得到额外强化	[1]	
3407	极化防御	模拟作战中，敌人将获得额外强化	[1]	1
3408	末日审判	模拟作战中，敌人将获得额外强化	[1]	1
3409	元素侵蚀	模拟作战中，敌人将获得额外强化	[1]	1
3410	暴走恶龙	模拟作战中，敌人将获得额外强化	[1]	1
3411	元素汲取	模拟作战中，敌人将获得额外强化	[1]	
3412	元素化身	模拟作战中，敌人将获得额外强化	[1]	
3413	元素释放	模拟作战中，敌人将获得额外强化	[1]	
3414	末日审判	模拟作战中，敌人将获得额外强化	[1]	
3415	钢铁模块	模拟作战中，上阵成员将得到额外强化	[1]	
3416	护盾模块	模拟作战中，上阵成员将得到额外强化	[1]	
3417	扩散模块	模拟作战中，上阵成员将得到额外强化	[1]	
3418	隐蔽炮击	模拟作战中，敌人将获得额外强化	[1]	1
3419	能量精炼	模拟作战中，敌人将获得额外强化	[1]	1
3420	能量充盈	模拟作战中，敌人将获得额外强化	[1]	1
3421	光辉的进化	模拟作战中，敌人将获得额外强化	[1]	1
3422	时间加速	模拟作战中，敌人将获得额外强化	[1]	1
3423	硬化	模拟作战中，敌人将获得额外强化	[1]	1
3424	同化	模拟作战中，敌人将获得额外强化	[1]	1
3425	暴怒	模拟作战中，敌人将获得额外强化	[1]	1
3426	诛魔之力	模拟作战中，敌人将获得额外强化	[1]	1
3427	斩仙之御	模拟作战中，敌人将获得额外强化	[1]	1
3428	杀神之技	模拟作战中，敌人将获得额外强化	[1]	1
3429	重赛	模拟作战中，敌人将获得额外强化	[1]	1
3430	视觉强化	模拟作战中，上阵成员将得到额外强化	[1]	
3431	力量夺取	模拟作战中，上阵成员将得到额外强化	[1]	
3432	月面角色1	模拟作战中，上阵成员将得到额外强化	[1]	
3433	月面角色2	模拟作战中，上阵成员将得到额外强化	[1]	
3434	灵活策略	模拟作战中，上阵成员将得到额外强化	[1]	
3435	重整旗鼓	模拟作战中，上阵成员将得到额外强化	[1]	
3436	越战越勇	模拟作战中，上阵成员将得到额外强化	[1]	
3437	抵抗	模拟作战中，敌人的处决值下降幅度将降低	[1, 2, 3]	
3438	护盾吸收	模拟作战中，敌人将获得额外强化	[1]	
3439	机械控制	模拟作战中，敌人将获得额外强化	[1]	
3440	能量强化	模拟作战中，敌人将获得额外强化	[1]	
3441	手臂强化	模拟作战中，敌人将获得额外强化	[1]	
3442	动态校准	模拟作战中，敌人将获得额外强化	[1]	
3443	切除	模拟作战中，敌人将获得额外强化	[1]	
3444	残留	模拟作战中，敌人将获得额外强化	[1]	
3445	打shi个	模拟作战中，敌人将获得额外强化	[1]	
3446	选择	模拟作战中，敌人将获得额外强化	[1]	
3447	脆弱进化	模拟作战中，敌人将获得额外强化	[1]	
3448	感染扩散	模拟作战中，敌人将获得额外强化	[1]	
3449	排除异物	模拟作战中，敌人将获得额外强化	[1]	
3450	烧夷措施	模拟作战中，敌人将获得额外强化	[1]	
3451	超越进化	模拟作战中，敌人将获得额外强化	[1]	
3452	骁勇善战	模拟作战中，上阵成员将得到额外强化	[1]	
3453	力量夺取	模拟作战中，上阵成员将得到额外强化	[1]	
3454	生命汲取	模拟作战中，上阵成员将得到额外强化	[1]	
3455	力量	模拟作战中，上阵成员将得到额外强化	[1]	1
3456	真正的力量	模拟作战中，上阵成员将得到额外强化	[1]	1
3457	精密规划-β	模拟作战中，上阵成员将得到额外强化	[1]	
3458	灵魂融毁	模拟作战中，上阵成员将得到额外强化	[1]	1
3460	进化实验	模拟作战中，上阵成员将得到额外强化	[1]	1
3461	真正的力量	模拟作战中，上阵成员将得到额外强化	[1]	
3462	灵魂牵引	模拟作战中，上阵成员将得到额外强化	[1]	
3463	牵引破解	模拟作战中，上阵成员将得到额外强化	[1]	
4000	嗜血	模拟作战中，敌人将获得额外强化	[1]	
3470	战略转进	模拟作战中，敌人将获得额外强化	[1]	1
3471	控制欲	模拟作战中，敌人将获得额外强化	[1]	1
3472	强力手下	模拟作战中，敌人将获得额外强化	[1]	
3473	护甲剥离	模拟作战中，敌人将获得额外强化	[1]	
3474	落井下石	模拟作战中，敌人将获得额外强化	[1]	
3475	双子	模拟作战中，敌人将获得额外强化	[1]	1
3476	超维主宰	模拟作战中，敌人将获得额外强化	[1]	1
3477	溟灭	模拟作战中，敌人将获得额外强化	[1]	
3478	抗拒	模拟作战中，敌人将获得额外强化	[1]	
3479	灵活策略	模拟作战中，敌人将获得额外强化	[1]	
3480	时空残影	模拟作战中，敌人将获得额外强化	[1]	
3481	扭转超算	模拟作战中，敌人将获得额外强化	[1]	
3482	能源汲取	模拟作战中，上阵成员将得到额外强化	[1]	
3483	必杀增幅	模拟作战中，上阵成员将得到额外强化	[1]	
3484	受难之躯	模拟作战中，敌人将获得额外强化	[1]	1
3485	折磨之柱	模拟作战中，敌人将获得额外强化	[1]	1
3486	苦难之茧	模拟作战中，敌人将获得额外强化	[1]	
3487	荆棘之刺	模拟作战中，敌人将获得额外强化	[1]	
3488	治愈呼唤	模拟作战中，上阵成员将得到额外强化	[1]	
3489	组合出击	模拟作战中，上阵成员将得到额外强化	[1]	
3490	听我号令！	模拟作战中，敌人将获得额外强化	[1]	
3491	百变多蒂！	模拟作战中，敌人将获得额外强化	[1]	
3492	折磨之柱	模拟作战中，敌人将获得额外强化	[1]	
3493	苦难之茧	模拟作战中，敌人将获得额外强化	[1]	
3494	法力强化	模拟作战中，敌人将获得额外强化	[1]	1
3495	大海	模拟作战中，敌人将获得额外强化	[1]	1
3496	法力分散	模拟作战中，敌人将获得额外强化	[1]	1
3497	女巫之力	模拟作战中，敌人将获得额外强化	[1]	
3498	美味人鱼	模拟作战中，敌人将获得额外强化	[1]	
3500	致命之握	模拟作战中，敌人将获得额外强化	[1]	1
3501	九龙机关	模拟作战中，敌人将获得额外强化	[1]	1
3502	震耳欲聋	模拟作战中，敌人将获得额外强化	[1]	1
3503	治愈波动	模拟作战中，上阵成员将得到额外强化	[1]	
3504	灵活身法	模拟作战中，上阵成员将得到额外强化	[1]	
3505	真男人领域	模拟作战中，敌人将获得额外强化	[1]	1
3506	龙之领域	模拟作战中，敌人将获得额外强化	[1]	
3507	龙之蹂躏	模拟作战中，敌人将获得额外强化	[1]	
3508	重新装填	模拟作战中，上阵成员将得到额外强化	[1]	
3509	绿色声纹	模拟作战中，敌人将获得额外强化	[1]	
3510	黄色声纹	模拟作战中，敌人将获得额外强化	[1]	
3511	红色声纹	模拟作战中，敌人将获得额外强化	[1]	
3512	失明	模拟作战中，敌人将获得额外强化	[1]	1
3513	快速失明	模拟作战中，敌人将获得额外强化	[1]	1
3514	红之速	模拟作战中，上阵成员将得到额外强化	[1]	
3515	绿之力	模拟作战中，上阵成员将得到额外强化	[1]	
3600	难度选择	模拟作战中，敌人将获得额外强化	[1, 2, 3, 4]	1
3700	威胁提升	模拟作战中，敌人将获得额外强化	[1, 2, 3]	1
3701	生存提升	模拟作战中，敌人将获得额外强化	[1, 2, 3]	1
3702	灾狱锁链	模拟作战中，敌人将获得额外强化	[1]	
3703	最后一搏	模拟作战中，敌人将获得额外强化	[1]	
3704	岂尽于此	模拟作战中，敌人将获得额外强化	[1]	
3705	残酷结局	模拟作战中，敌人将获得额外强化	[1]	
3706	暗码	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3707	赋礼轮盘	模拟作战中，敌人将获得额外强化	[1]	
3708	无暇哀念	模拟作战中，敌人将获得额外强化	[1]	
3709	完美回旋	模拟作战中，敌人将获得额外强化	[1]	
3710	命运弓矢	模拟作战中，敌人将获得额外强化	[1]	
3711	未来凝望	模拟作战中，敌人将获得额外强化	[1]	
3712	皆作正义	模拟作战中，敌人将获得额外强化	[1]	
3713	精密	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3714	战意如潮	模拟作战中，上阵成员将得到额外强化	[1]	
3715	勇气赞歌	模拟作战中，上阵成员将得到额外强化	[1]	
3716	时界阻滞	模拟作战中，敌人将获得额外强化	[1]	
3717	天堂新月	模拟作战中，敌人将获得额外强化	[1]	
3718	变体抵抗	模拟作战中，敌人将获得额外强化	[1]	
3719	止水寂潮	模拟作战中，敌人将获得额外强化	[1]	
3720	稳态力场	模拟作战中，敌人将获得额外强化	[1, 2, 3]	
3721	组合出击	模拟作战中，上阵成员将得到额外强化	[1]	1
3722	连携作战	模拟作战中，上阵成员将得到额外强化	[1]	1
3723	静源深潭	模拟作战中，敌人将获得额外强化	[1]	
3724	涟影洄游	模拟作战中，敌人将获得额外强化	[1]	
3800	难度选择	模拟作战中，敌人将获得额外强化	[1, 2, 3, 4]	1
3801	威胁提升	模拟作战中，敌人将获得额外强化	[1, 2, 3]	1
3802	生存提升	模拟作战中，敌人将获得额外强化	[1, 2, 3]	1
3810	枪火炮幕	模拟作战中，敌人将获得额外强化	[1]	
3811	破绽深刨	模拟作战中，敌人将获得额外强化	[1]	
3812	溢能重装	模拟作战中，敌人将获得额外强化	[1]	
3813	终裁前骤	模拟作战中，上阵成员将得到额外强化	[1]	
3814	疾战调换	模拟作战中，上阵成员将得到额外强化	[1]	
3815	情报战争	模拟作战中，敌人将获得额外强化	[1]	
3816	无懈可击	模拟作战中，敌人将获得额外强化	[1]	
3820	宏维爆闪	模拟作战中，敌人将获得额外强化	[1, 2]	
3821	湮殒集束	模拟作战中，敌人将获得额外强化	[1]	
3822	因果解构	模拟作战中，敌人将获得额外强化	[1]	
3823	恒能源核	模拟作战中，敌人将获得额外强化	[1]	
3824	蓄势绝反	模拟作战中，上阵成员将得到额外强化	[1]	
3825	潜量映合	模拟作战中，上阵成员将得到额外强化	[1]	
3826	宏维爆闪	模拟作战中，敌人将获得额外强化	[1]	
3827	湮殒集束	模拟作战中，敌人将获得额外强化	[1]	
3830	沉寐溺亡	模拟作战中，敌人将获得额外强化	[1]	
3831	涸血罪种	模拟作战中，敌人将获得额外强化	[1]	
3832	悖育蝶卵	模拟作战中，敌人将获得额外强化	[1]	
3833	孽孪庇匿	模拟作战中，敌人将获得额外强化	[1]	
3834	命定孳生	模拟作战中，敌人将获得额外强化	[1]	
3835	赎妄之颂	模拟作战中，敌人将获得额外强化	[1]	
3836	腾涌	模拟作战中，上阵成员将得到额外强化	[1]	
3837	殊荣	模拟作战中，上阵成员将得到额外强化	[1]	
3838	命运之蝶	模拟作战中，敌人将获得额外强化	[1]	
3839	命陨之蝶	模拟作战中，敌人将获得额外强化	[1]	
3840	暗标记	模拟作战中，敌人受到的暗属性伤害提升	[1]	
3850	反应装甲	模拟作战中，敌人定期获得护盾，触发超算会摧毁护盾	[1]	
3851	生命汲取	模拟作战中，敌人攻击会削减角色生命上限	[1]	
3852	能量汲取	模拟作战中，敌人攻击会削减角色能量值	[1]	
