Key	Values
PVPReasonTips	['{0}后开启', '全局积分获取加速，可挑战额外对局']
PVPReasonTimeDuration	['{0}.{1}-{2}.{3}']
MissionLevelUpInSkillSelectionPart	['完成技能选择前，不能升阶嘉赏']
MissionFinishTipsInSkillChoicePart	['即将结算委托']
Theatre5MissionConditionTableDefine	['Desc', 'ConditionTarget', 'TriggerCondition', 'IsConditionAnd', 'ConditionParams', 'ConditionCompares', 'ConditionCompareValues', 'DescShowParam']
MissionStateLabelInRoundSettle	['未接取委托', '委托进行中']
MissionStateLabelInFinalSettle	['未接取委托', '委托进行中']
PvpRoundEndTips	['{0}积分']
PvpExtraRoundTips	['{0}~{1}积分']
PvpExMinRating	['0', '0', '-20', '-20', '-20', '-20', '-20', '-20', '-20', '-20', '-20', '-20', '-20']
PvpExMaxRating	['99', '99', '99', '87', '87', '87', '71', '71', '71', '61', '50', '50', '60']
PvpExtraPopupContent	['当前已满足基本对局胜利结算条件,是否进行{0}场额外对局?']
PvpExtraPopupTxtTip	['当前结算积分为{0},完成额外对局后,积分范围为{1}~{2}']
PvpExtraPopupTxtTipColor	['1F85D8']
