Id	Name	TypeId	MaxCount	ConvertItemId	ConvertItemCount	PutMajorType	PutCapacity	Icon	SmallIcon	Quality	Priority	SceneObjId	Desc	WorldDesc	LockDesc	IsShow
26110009	Exclusive Gravity	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110009.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110009.png	5	1	9	A decoration that can be placed on the photo wall in the Commandant's lounge.	"""Opposite to gravity itself, there's a gravitational wave that exists only between you and them."""	Obtained by participating in [Space Voyage].	True
26110010	Supply Master	1	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110010.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26110010.png	5	1	10	A decoration that can be placed on the photo wall in the Commandant's lounge.	A commendation for collecting all supply crates in the Commercial District.	Obtained by participating in [Supply Crate Collection].	True
26120001	Epic Bad Review!!!	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120001.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120001.png	4	1	26120001	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	"A ""bad review"" note left behind by Pete. However, it seems like his previous positive comment haven't been completely erased yet."	Obtained by participating in [Kuroro Coffee].	True
26120002	Detective Maru Is in Position, Bear	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120002.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120002.png	4	1	26120002	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Detective Maru is in position and ready to take on your commissions at any time, bear!	Obtained by participating in [Kuroro Coffee].	True
26120003	Prosperity Begins Here	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120003.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120003.png	4	1	26120003	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	New stores have been built along the street, replacing the starlight of night with their neon signs. The once-quiet streets now bustle with activity. The construction proceeds in an orderly fashion. Prosperity begins here.	Obtained by participating in [Business Development Plan].	True
26120004	Midst the Festival's Revelry	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120004.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120004.png	4	1	26120004	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Crowds surge and joyful sounds never cease. The persistence and hard work of the past have created this magnificent spectacle of brilliant lights.	Obtained by participating in [Business Development Plan].	True
26120005	Under the Starlight	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120005.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120005.png	4	1	26120005	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	"A photo of the starry sky taken through a porthole, where the radiance of countless stars shines exceptionally clear. ""We gaze up at the stars, and from this moment, fear not the darkness of night."""	Obtained by default.	True
26120006	Not for Release - Frozen Fireworks	2	1					Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	26120006				
26120007	Not for Release - Moment Before the Mirror	2	1					Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	26120007				
26120008	Not for Release - Photo 8	2	1					Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	26120008				
26120009	Not for Release - Photo 9	2	1					Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	26120009				
26120010	Not for Release - Photo 10	2	1					Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	26120010				
26120011	"""Home"""	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120011.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120011.png	4	1	26120011	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	"""Inside the window or beyond it, both are home."""	Obtained by participating in [Space Voyage].	True
26120012	Starwhisper Guardian	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120012.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120012.png	4	1	26120012	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Together, we safeguarded the echoes of blessings drifting through the sea of stars.	Obtained by participating in [Space Voyage].	True
26120013	Art Collection	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120013.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120013.png	4	1	26120013	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	"Lucia's Froggie drawing has been praised as ""vivid and adorable."" She came to the art gallery specifically to improve her skills. Encouraging her is also part of a Commandant's duty."	Obtained by participating in [Destined Moments].	True
26120014	Immersive Viewing	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120014.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120014.png	4	1	26120014	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	"Teddy sometimes tests her ""new toys"" at the Babylonia Universal Cinema. Drop by if you want to see how it's going."	Obtained by participating in [Destined Moments].	True
26120015	On Stage and Off	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120015.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120015.png	4	1	26120015	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Vera is often mistaken for one of the performers, and people frequently ask her for autographs. Maybe you could ask her for one too?	Obtained by participating in [Destined Moments].	True
26120016	Sagittarius and Flowers	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120016.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120016.png	4	1	26120016	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Greenery is a luxury in Arctic regions, and that's exactly what makes it so beautiful. Rosetta often comes here to think. If you have time, you might hear some of her stories from the Arctic.	Obtained by participating in [Destined Moments].	True
26120017	Familiar Ground	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120017.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120017.png	4	1	26120017	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Maybe the ice cream really was that good that day. Lee often chooses this place to unwind. Life keeps changing, but thankfully, the people around us stay the same.	Obtained by participating in [Destined Moments].	True
26120018	Wanshi's Odd Jobs	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120018.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120018.png	4	1	26120018	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Wanshi's Odd Jobs exists to help whenever people run into trouble.\nWanshi is such a gentle soul.	Obtained by participating in [Destined Moments].	True
26120019	Life	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120019.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120019.png	4	1	26120019	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	And so, a promise was made with Bianca to admire the flowers together every spring. Life works that way—once spring's wishes come true, we begin to long for summer's. The seasons turn, year after year.	Obtained by participating in [Destined Moments].	True
26120020	Keep Comms Open	2	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120020.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/PhotoIcon/PhotoIcon26120020.png	4	1	26120020	A memorable photo that can be placed on the photo wall in the Commandant's lounge.	Asimov assigns different notification tones to different contacts as a basic priority system. But who he replies to first is purely a matter of personal favo—no, personal feeling.	Obtained by participating in [Destined Moments].	True
26200001	Display Shelf	6	1			[4]	[3]	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26200001.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26200001.png	4	1	1				True
26200002	Display Shelf 2	6	1			[4]	[3]	Assets/Product/Texture/Image/IconTools/IconDorm001.png	Assets/Product/Texture/Image/IconTools/IconDorm001.png	4	1	3				
26210001	Outstanding Commissioner	5	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210001.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210001.png	5	1	4	An ornament that can be placed on the display shelf in the Commandant's lounge.	An honor trophy symbolizing outstanding contribution, awarded to Chief Commissioners who exceeded the Commercial Square Development Plan objectives.	Obtained by participating in [Business Development Plan].	True
26210002	Coffee Beans Can Bloom Too	5	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210002.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210002.png	5	1	5	An ornament that can be placed on the display shelf in the Commandant's lounge.	A handmade coffee bean wreath crafted by Ross. Get close and you can smell the subtle coffee aroma. It's said to bring good luck.	Obtained by participating in [Kuroro Coffee].	True
26210003	Old Place, New Journey	5	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210003.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210003.png	5	1	6	An ornament that can be placed on the display shelf in the Commandant's lounge.	Let's go, Commandant! A new adventure has begun, and more surprises are waiting for you to discover!	Obtained by participating in [Operation Guide].	True
26210004	Froggie Plushie	5	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210004.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210004.png	5	1	1	An ornament that can be placed on the display shelf in the Commandant's lounge.	"A collector's edition Froggie plushie. Gently press its belly and it'll make cute ""ribbit"" sounds."	Obtained by participating in [Whispers of Love Story - Lucia].	True
26210005	Feel It, Record It	5	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210005.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210005.png	5	1	7	An ornament that can be placed on the display shelf in the Commandant's lounge.	Watch a flower bloom at its own pace. Catch the shifting light along the terminator line. Smell paint on canvas, oil on gears, dew on grass. Feel the world. Record life.	Obtainable by participating in [Operation Guide II].	True
26210006	"""Blast"" Drone Gen III Model"	5	1					Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210006.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenDorm/DormIcon/DormIcon26210006.png	5	1	8	An ornament that can be placed on the display shelf in the Commandant's lounge.	"A drone model Karenina made after the mission and gifted to the Gray Raven Commandant. According to her, it's just something she put together ""on a whim."""	Obtained by participating in [Space Voyage].	True
