Id	Type	PreStageId	TimeId	Name	Desc	ShowCharacterId	DispelRule	BoardShowGroupId	InitializeId	BoardId	Steps	EntranceEmojiIcon	BuffIds	Scores	RewardIds	StarDescs	InitBuffCharge
12	1	11		第12关	认识冰块方块，不可移动可以参与合成，合成后为加时方块	1131004		2	1	2	50	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[50, 120, 200]	[66240, 66240, 66240]	['获得50分', '获得120分', '获得200分']	
13	1	12		第13关	冰块加翻倍	1131004		3	1	3	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 180, 250]	[66240, 66240, 66240]	['获得100分', '获得180分', '获得250分']	
14	1	13		第14关	冰块加翻倍难一点	1131004		4	1	4	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[150, 250, 400]	[66240, 66240, 66240]	['获得150分', '获得250分', '获得400分']	
15	2	14		第15关	无尽关	1131004		5	1	5	999	Assets/Product/Texture/Image/UiGame2048/UiGame2048ChapterStage01.png		[100, 400, 700]	[66240, 66240, 66240]	['获得100分', '获得400分', '获得700分']	
16	1			第1关	认识消除方块和基本规则	1031005		1	1	1	30	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png		[50, 100, 150]	[66240, 66240, 66240]	['获得50分', '获得100分', '获得150分']	
17	1	16		第2关	难度提升	1031005		2	2	2	50	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png		[100, 180, 240]	[66240, 66240, 66240]	['获得100分', '获得180分', '获得240分']	
18	1	17		第3关	认识传送方块	1031005		3	3	3	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[11, 24]	[200, 350, 480]	[66240, 66240, 66240]	['获得200分', '获得350分', '获得480分']	[1, 0]
19	1	18		第4关	认识星星方块	1031005		4	3	4	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[11, 24]	[200, 350, 500]	[66240, 66240, 66240]	['获得200分', '获得350分', '获得500分']	[1, 0]
20	2	19		第5关	无尽关	1031005		5	5	5	999	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[12, 24]	[200, 400, 700]	[66240, 66240, 66240]	['获得200分', '获得400分', '获得700分']	[1, 0]
21	1	20		第6关	认识爱心方块	1031005		1	6	6	30	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[15, 24]	[50, 100, 150]	[66240, 66240, 66240]	['获得50分', '获得100分', '获得150分']	[1, 0]
22	1	21		第7关	难度提升	1031005		2	7	7	50	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[15, 24]	[100, 150, 200]	[66240, 66240, 66240]	['获得100分', '获得150分', '获得200分']	[9, 0]
23	1	22		第8关	加入星星方块	1031005		3	7	8	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[15, 11, 24]	[200, 350, 480]	[66240, 66240, 66240]	['获得200分', '获得350分', '获得480分']	[9, 6, 0]
24	1	23		第9关	加入星星方块和传送方块	1031005		4	7	9	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[16, 12, 24]	[200, 400, 600]	[66240, 66240, 66240]	['获得200分', '获得400分', '获得600分']	[14, 5, 0]
25	2	24		第10关	无尽关	1031005		5	7	10	999	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[16, 12, 24]	[200, 400, 700]	[66240, 66240, 66240]	['获得200分', '获得400分', '获得700分']	[14, 5, 0]
26	1	25		第11关	认识消除方块和基本规则	1031005	1	1	8	11	30	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[22, 23, 25]	[50, 100, 150]	[66240, 66240, 66240]	['获得50分', '获得100分', '获得150分']	[0, 0, 0]
27	1	26		第12关	难度提升	1031005	1	2	9	12	50	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[22, 23, 25]	[100, 180, 280]	[66240, 66240, 66240]	['获得100分', '获得180分', '获得280分']	[0, 0, 0]
28	1	27		第13关	加传送方块	1031005	1	3	9	13	100	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[22, 23, 25]	[200, 400, 500]	[66240, 66240, 66240]	['获得200分', '获得400分', '获得500分']	[0, 0, 0]
29	1	28		第14关	难度提升	1031005	1	4	9	14	120	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[22, 23, 25]	[200, 400, 600]	[66240, 66240, 66240]	['获得200分', '获得400分', '获得600分']	[0, 0, 0]
30	2	29		第15关	无尽关	1031005	1	5	9	15	999	Assets/Product/Texture/Image/UiGame2048/UiGame2048GkChear01.png	[22, 23, 25]	[200, 400, 700]	[66240, 66240, 66240]	['获得200分', '获得400分', '获得700分']	[0, 0, 0]
