Id	Name	UltraShout	Desc	Condition	SignalBallCosts	Times	Probability	Emoji	EmojiTime
1000	开场标记		初始自带标记buff	1		1	1000		
1001	半场标记		半程后把标记buff删了	2		1	1000		
1002	比安卡暗大招			11			1000		
1003	比安卡光大招			12			1000		
1004	七实大招延长加速			13			1000		
1005	卡列过半移除被动			2		1	1000		
1006	遗忘者实际效果			1			1000		
1007	库洛姆被动效果			1			1000		
1008	移除库洛姆被动			2		1	1000		
1009	拉弥亚被动加速			78			1000		
1010	拉弥亚被动减速			1			1000		
1011	维罗妮卡被动实际效果			73			1000		
1012	维罗妮卡大招加盾			75			1000		
2000	鲨鲨技能		比赛前半段每次获得红球时，有概率小幅加速	5			1000		
2001	鲨鲨必杀	鲨鲨，开始测试！	让其他所有角色大幅减速		{0: 1, 1: 3}		1000		
2002	阿箭技能		受到负面效果时，有概率免疫	76			500		
2003	阿箭必杀	阿箭，开始测试！	直至比赛结束，获得额外的移速，并且漂移获得氮气的效率提升		{0: 1, 3: 2}	1	1000		
2004	阿枪技能		比赛前半获得信号球时，有概率多获得1个随机信号球	18			1000		
2005	阿枪必杀	阿枪，开始测试！	获得小幅加速		{0: 2}		1000		
2006	蔷薇技能		不受所有效果影响	17			1000		
2007	蔷薇必杀	蔷薇，开始测试！	失去技能效果，并且获得常驻的速度与加速度提升，全局一次		{0: 1, 1: 3}	1	1000		
2008	喷涂技能		比赛后半段排名下降时触发，立刻大幅加速，全程触发一次	24		1	1000		
2009	喷涂必杀	喷涂，开始测试！	让所有角色小幅加速，同时自己额外获得大幅加速		{0: 1, 1: 1, 2: 1}		1000		
2010	修理技能		使用必杀技后，一段时间内免疫负面效果	52			1000		
2011	修理必杀	修理，开始测试！	包括自己在内，所有角色随机获得一个信号球并生效（不会触发技能效果）		{0: 1, 1: 1, 3: 1}		1000		
