Id	Name	Icon	TriangleBg	Desc	FightEventIds	ShowRecommendIds	Type	ScoreRate
11	Invasion II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1001.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Taking Physical DMG accumulates the Wound Gauge. Becomes Wounded at maximum stacks, significantly increasing the CRIT DMG taken, stacking up to 4 times. Increases the DMG dealt by any character switched into battle for 10s.	[2300011]		1	
12	Sharpness II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Taking Physical DMG accumulates the Wound Gauge. Becomes Wounded at maximum stacks, significantly increasing the Physical DMG taken, stacking up to 4 times. Increases the DMG dealt by any character switched into battle for 10s.	[2300012]		1	
13	Thunderstorm II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1003.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Upon dealing Lightning DMG, gains a Lightning Shield that deals Lightning DMG to nearby enemies over time and increases the character's Lightning DMG significantly. Increases the DMG dealt by any character switched into battle for 10s.	[2300013]		1	
14	Lightning Surge II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Upon dealing Lightning DMG, gains a Lightning Shield that significantly increases the Lightning DMG taken by units within its range. Increases the DMG dealt by any character switched into battle for 10s.	[2300014]		1	
15	Dark Condensation II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Taking Dark DMG drops a Dark Orb, which increases the character's Dark DMG when picked up. After picking up the maximum number of Dark Orbs, the next attack will unleash all Dark Orbs to trigger an explosion, significantly increasing the Dark DMG dealt by the character. Increases the DMG dealt by any character switched into battle for 10s.	[2300016]		1	
16	Dark Corruption II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1006.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Taking Dark DMG drops a Dark Orb, which increases Dark DMG when picked up. After picking up the maximum number of Dark Orbs, the next attack will unleash all Dark Orbs to trigger an explosion, significantly increasing the Dark DMG taken by the units hit. Increases the DMG dealt by any character switched into battle for 10s.	[2300015]		1	
17	Assault II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Converts 50% of the Boss's max HP into Equilibrium Field. Breaking the Equilibrium Field significantly increases all Elemental DMG of the character. Increases the DMG dealt by any character switched into battle for 10s.	[2300018]	[1]	1	
18	Discontinuance II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1008.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Converts 50% of the Boss's max HP into Equilibrium Field. When the Equilibrium Field is broken, the unit takes significantly more DMG from all Elemental types. Increases the DMG dealt by any character switched into battle for 10s.	[2300017]	[1]	1	
19	Combustible II	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Easily ignited by high temperatures and causes huge explosions. Fire DMG received is increased significantly. Increases the DMG dealt by any character switched into battle for 10s.	[2300019]		1	
20	Frost II	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	The phenomenon of freezing expansion will occur at low temperatures. Ice DMG received is increased significantly. Increases the DMG dealt by any character switched into battle for 10s.	[2300020]		1	
21	Wailing Scars I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Ping accumulates the Wound Gauge. Becomes Wounded when full, significantly increasing the Physical DMG taken, stacking up to 2 times.	[2300021]		1	
22	Twilight Haze I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Receive Dark Orbs when you deal Dark DMG. After picking up a Dark Orb, the next attack will launch Dark Orb and deal Dark DMG, while significantly increasing your Dark DMG. Stacks up to 6 times.	[2300022]		1	
23	The Calming Destruction I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Upon casting Ultima Slash, significantly increase your Physical DMG and Ultima Slash DMG delt to the boss. Stacks up to 5 times.	[2300023]	[3]	1	
24	Murky Woodlands I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Converts 40% of the Boss's max HP into Equilibrium Field. Breaking the Equilibrium Field significantly increases Signature DMG of the character.	[2300024]	[1]	1	
25	The Echo of Dawn I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1010.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss will take significantly higher DMG from Plasma Beam during the character's Electric Storm Flash.	[2300025]	[4]	1	
26	Radiant Inferno I	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Enter the Frenzied state upon casting Signature Move. Every 2 Fire DMG instances in this state significantly increases Fire DMG, stacking up to 5 times.	[2300026]		1	
27	Roaring Tempest I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Lightning DMG grants a Lightning Shield. When the shield stacks to its maximum, it will automatically detonate, significantly increasing Lightning DMG dealt to the boss. The shield can stack up to 4 times.	[2300027]		1	
28	Frostbound Chasm I	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Ice DMG accumulates Frost, which significantly increases Ice DMG delt to the boss. Stacks up to 3 times.	[2300028]		1	
29	Wailing Scars II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Ping accumulates the Wound Gauge. Becomes Wounded when full, significantly increasing the Physical DMG taken, stacking up to 2 times. Increases the DMG dealt by any character switched into battle for 10s.	[2300029]		1	
30	Twilight Haze II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Receive Dark Orbs when you deal Dark DMG. After picking up a Dark Orb, the next attack will launch Dark Orb and deal Dark DMG, while significantly increasing your Dark DMG. Stacks up to 6 times. Increases the DMG dealt by any character switched into battle for 10s.	[2300030]		1	
31	The Calming Destruction II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Upon casting Ultima Slash, significantly increase your Physical DMG and Ultima Slash DMG delt to the boss. Stacks up to 5 times. Increases the DMG dealt by any character switched into battle for 10s.	[2300031]	[3]	1	
32	Murky Woodlands II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Converts 40% of the Boss's max HP into Equilibrium Field. Breaking the Equilibrium Field significantly increases the Signature DMG of the character. Increases the DMG dealt by any character switched into battle for 10s.	[2300032]	[1]	1	
33	The Echo of Dawn II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1010.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss will take significantly higher DMG from Plasma Beam during the character's Electric Storm Flash. Increases the DMG dealt by any character switched into battle for 10s.	[2300033]	[4]	1	
34	Radiant Inferno II	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Enter the Frenzied state upon casting Signature Move. Every 2 Fire DMG instances in this state significantly increases Fire DMG, stacking up to 5 times. When all members enter, damage increases for 10s.	[2300034]		1	
35	Roaring Tempest II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Lightning DMG grants a Lightning Shield. When the shield stacks to its maximum, it will automatically detonate, significantly increasing Lightning DMG dealt to the boss. The shield can stack up to 4 times. When all members enter, damage increases for 10s.	[2300035]		1	
36	Frostbound Chasm II	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Ice DMG accumulates Frost, which significantly increases Ice DMG delt to the boss. Stacks up to 3 times. Increases the DMG dealt by any character switched into battle for 10s.	[2300036]		1	
37	Candleflame Inferno I	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Enter the Frenzied state upon casting Signature Move. Every 2 Fire DMG instances in this state significantly increases Fire DMG, stacking up to 5 times.	[2300037]		1	
38	Thunderstrike Tempest I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Lightning DMG grants a Lightning Shield. When the shield stacks to its maximum, it will automatically detonate, significantly increasing Lightning DMG dealt to the boss. The shield can stack up to 4 times.	[2300038]		1	
39	Candleflame Inferno II	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Enter the Frenzied state upon casting Signature Move. Every 2 Fire DMG instances in this state significantly increases Fire DMG, stacking up to 5 times. When all members enter, damage increases for 10s.	[2300039]		1	
40	Thunderstrike Tempest II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Lightning DMG grants a Lightning Shield. When the shield stacks to its maximum, it will automatically detonate, significantly increasing Lightning DMG dealt to the boss. The shield can stack up to 4 times. When all members enter, damage increases for 10s.	[2300040]		1	
41	Cosmos Disorder I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Converts 40% of the Boss's max HP into Equilibrium Field. When the Equilibrium Field is broken, the Boss takes significantly more Nihil DMG.	[2300041]	[1]	1	
42	Cosmos Disorder II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Converts 40% of the Boss's max HP into Equilibrium Field. When the Equilibrium Field is broken, the Boss takes significantly more Nihil DMG. Increases the DMG dealt by any character switched into battle for 10s.	[2300042]	[1]	1	
43	Devouring Current I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Receive Dark Orbs when you deal Dark DMG. After picking up a Dark Orb, the next attack will launch Dark Orb and deal Dark DMG, while significantly increasing your Dark DMG. Stacks up to 6 times.	[2300043]		1	
44	Cosmos Disorder III	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Converts 40% of the Boss's max HP into Equilibrium Field. When the Equilibrium Field is broken, the Boss takes significantly more Nihil DMG.	[2300044]	[1]	1	
45	Devouring Current III	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Receive Dark Orbs when you deal Dark DMG. After picking up a Dark Orb, the next attack will launch Dark Orb and deal Dark DMG, while significantly increasing your Dark DMG. Stacks up to 6 times.	[2300045]		1	
46	Brutal Crash I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Critical Hits make Boss take significantly more Physical DMG. Max 6 stacks.	[2300046]		1	
47	Greedy Frost I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1012.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	When Glaciation Effect deals damage, Boss takes significantly more Glaciation DMG. Max 5 stacks.	[2300047]	[5]	1	
48	Skyfire Cataclysm I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1013.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Dealing Ignition DMG makes the Boss take significantly higher Ignition DMG for 10s, stacking up to 8 times. The duration is reset when any member is switched into battle.	[2300048]	[2]	1	
49	The Calming Destruction III	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Upon casting Ultima Slash, significantly increase your Physical DMG and Ultima Slash DMG delt to the boss. Stacks up to 5 times.	[2300049]	[3]	1	
50	Radiant Renewal I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1014.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	For each orb pinged, significantly increases Lightning and Plasma Beam DMG taken by the Boss for 10s, stacking up to 5 times. Duration resets every time the effect is triggered.	[2300050]	[7]	1	
51	Perish at Dusk I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Dealing Dark DMG significantly increases Dark DMG taken by the Boss for 10s, stacking up to 6 times. Duration resets every time the effect is triggered.	[2300051]		1	
52	Brutal Crash II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Critical Hits make Boss take significantly more Physical DMG. Max 6 stacks.	[2300052]		1	
53	Perish at Dusk II	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Dealing Dark DMG significantly increases Dark DMG taken by the Boss for 10s, stacking up to 6 times. Duration resets every time the effect is triggered.	[2300053]		1	
54	Thunderstrike Tempest III	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Lightning DMG grants a Lightning Shield. When the shield stacks to its maximum, it will automatically detonate, significantly increasing Lightning DMG dealt to the boss. The shield can stack up to 4 times. (Raydiance Effect DMG slightly increased)	[2300054]		1	
55	Tidal Return I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1015.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	When dealing Darkflow DMG, significantly increases Darkflow DMG taken by enemies for 10s, stacking up to 9 times. Duration resets every time it is triggered.	[2300055]	[6]	1	
56	Frostbound Chasm III	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Dealing Ice DMG accumulates Frost, which significantly increases Ice DMG delt to the boss. Stacks up to 3 times.	[2300028]		1	
57	Flare Burst I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1014.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	For each orb pinged, significantly increases Raydiance DMG taken by the Boss for 10s, stacking up to 5 times. Duration resets every time the effect is triggered.	[2300057]	[7]	1	
58	Oblivion's Bloom I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	For each orb pinged, significantly increases Dark DMG taken by the Boss for 10s, stacking up to 4 times. Duration resets every time it is triggered.	[2300058]		1	
59	Steel of Clarity I	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Every time when casting Ultima Slash, significantly increases Ultima Slash DMG taken by the Boss and increases the user's Physical DMG dealt. Max 5 stacks. Lasts 10s. Duration resets every time it is triggered.	[2300059]	[3]	1	
1001	Web of Fate I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon013.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss HP increases by 50%.	[2301001]		2	950
1002	Weapons & Bones I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon001.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss takes reduced DMG from all sources except Physical.	[2301002]		2	1550
1003	Scorching Realm I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon002.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss takes reduced DMG from all sources except Fire.	[2301003]		2	1550
1004	Frostbite Incursion I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon003.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss takes reduced DMG from all sources except Ice.	[2301004]		2	1550
1005	Unending Nightfall I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon004.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss takes reduced DMG from all sources except Dark.	[2301005]		2	1550
1006	Thunderous Echo I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon005.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss takes reduced DMG from all sources except Lightning.	[2301006]		2	1550
1007	Celestial Peaks I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon006.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss takes reduced DMG from all sources except Nihil.	[2301007]		2	1550
1008	Midnight Clash I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon007.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss takes reduced DMG from all sources except Ultima Slash effect.	[2301008]		2	1550
1009	All-Consuming Pyre I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon008.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss takes reduced DMG from all sources except Ignition Effect.	[2301009]		2	1550
1010	Rimebound Frost I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon009.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss takes reduced DMG from all sources except Glaciation Effect.	[2301010]		2	1550
1011	The Blighted Sun I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon010.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss takes reduced DMG from all sources except Darkflow Effect.	[2301011]		2	1550
1012	Electric Dusk I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon011.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg02.png	Boss takes reduced DMG from all sources except Plasma Beam Effect.	[2301012]		2	1550
1013	Ode to the Light I	Assets/Product/Texture/Image/UiFubenBossSingle/UiBossSingleAffixIcon012.png	Assets/Product/Texture/Atlas/UiFubenBossSingle/IconBg01.png	Boss takes reduced DMG from all sources except Raydiance Effect.	[2301013]		2	1550
