Id	GroupId	Order	Title	Text	Condition
8170005	81700	5	后移尖刺	苦刑之女脱离敌人，同时在敌人脚下生成尖刺	800000
8170006	81700	6	苦痛尖啸	苦刑之女发出痛苦的尖啸，对周围目标造成伤害	800000
8180001	81800	1	沙暴	沙虫蓄力后，在自身周围形成沙暴，持续造成伤害	800000
8180002	81800	2	疯狂空气炮	朝敌人不停喷射能量波	800000
8180003	81800	3	疯狂拍击	朝敌人多次重砸地面	800000
8180004	81800	4	遁地	快速钻入地下后猛然钻出，造成大量伤害	800000
8180005	81800	5	空气炮	朝敌人喷射沙粒凝聚成的能量波	800000
8190001	81900	1	剑气爆发	向敌人连续释放扭曲空气的剑风	800000
8190002	81900	2	单剑气	向敌人释放一道扭曲空气的剑风	800000
8190003	81900	3	闪避	闪避来自敌人的攻击	800000
8190004	81900	4	Z型闪	距敌人过远时，以Z字形位移至玩家面前	800000
8190005	81900	5	格挡	举起武器，格挡来自敌人的部分伤害	800000
8190006	81900	6	十字斩	十字状斩击，快速的在自身前方打击敌人	800000
8215001	82150	1	随机弹幕	在地图中释放多道激光弹幕，数量增加，且生成与移动位置随机	800000
8215002	82150	2	弹幕	在地图中释放多道激光弹幕	800000
8215003	82150	3	急速散弹	朝正前方释放扇形的子弹，释放速度加快	800000
8215004	82150	4	能量炮	朝正前方释放一道威力巨大的能量光束	800000
8215005	82150	5	引力炸弹	炮弹会缓缓跟踪玩家，碰到玩家时爆炸	800000
8701001	87010	1	帝王	欧西里斯会攻击距离他最近的敌人	800000
8701002	87010	2	处刑	欧西里斯会召唤处刑之眼，当处刑之眼充能结束会持续发射激光，处刑之眼霸体护盾存在期间获得巨额减伤	800000
8701003	87010	3	沙暴	欧西里斯召唤沙漠风暴，沙漠风暴会持续吸引周边敌人	800000
8701004	87010	4	噩梦-审判	传说中欧西里斯还会召唤审判之眼，审判之眼充能完毕后世界将迎来终结	800000
8160001	81600	1	炸药桶	罗兰用链刀勾起火药桶，并在空中引爆它，造成大量的伤害	800000
8160002	81600	2	空中飞人	罗兰用链刀将自己拉起至空中，并朝敌人方向投掷威力巨大的炸弹	800000
8160003	81600	3	镰刀式	罗兰朝正前方远距离甩动链刀，后接一道威力巨大的剑气	800000
8160004	81600	4	开枪	罗兰掏出自己的短猎枪，以子弹击飞敌人	800000
8160005	81600	5	踏步斩	罗兰向前方跳跃，并横扫敌人	800000
8160006	81600	6	百烈脚	罗兰抬腿打击敌人，命中后会造成多段伤害，并踢飞敌人	800000
8320001	83200	1	裂颅	罗塞塔蓄力重击造成严重伤害	800000
8320002	83200	2	冲锋	罗塞塔冲锋对沿途目标造成伤害	800000
8320003	83200	3	离子弹-聚爆	罗塞塔舞动长矛形成引力离子弹牵引周围目标并造成伤害	800000
8320004	83200	4	离子弹-散射	罗塞塔发射追踪离子弹对多个目标造成伤害	800000
8320005	83200	5	离子弹-十字	罗塞塔引爆十字斩对前方大范围造成伤害	800000
8322001	83220	1	歼灭模式	罗塞塔切换攻击模式提升机动性能，强化输出功率	800000
8322002	83220	2	离子弹-散射	罗塞塔发射追踪离子弹对单个目标造成伤害	800000
8322003	83220	3	离子剑风	罗塞塔扫出剑风对远距离目标造成伤害	800000
8322004	83220	4	输出超载	罗塞塔强化自身能量输出极大强化自身攻击速度	800000
8322005	83220	5	极地雷暴	罗塞塔跳至高空引动雷暴在场上所有目标周围形成巨量落雷	800000
8322006	83220	6	噩梦-离子区域	传说中极地雷暴会在地面留下离子区域，区域会形成罗塞塔的能量体，必须用自己的身体破坏地上离子区域的稳定性	800000
8352001	83520	1	开物	华胥双手合十，从意识海中引导出两只巨大的手掌拍向敌人	800000
8352002	83520	2	渊源	华胥经过引导，在敌人脚下发动连续三次攻击并造成短暂的击飞效果	800000
8352003	83520	3	雷泽	华胥在敌人附近创造出7个圆形的雷电区域，对陷入其中的敌人造成伤害	800000
8352004	83520	4	退闲	华胥挥舞手臂，对敌人释放中距离抓击	800000
8352005	83520	5	圣德	华胥进入圣德状态，产生额外护盾并大幅度减轻正面受到的伤害	800000
