Id	MapId	X	Y
404010	404	5	7
404011	404	3	7
404012	404	3	6
404013	404	1	6
404014	404	1	1
404015	404	6	1
404016	404	6	2
404017	404	8	2
405001	405	9	7
405002	405	6	7
405003	405	6	5
405004	405	7	5
405005	405	7	3
405006	405	3	3
405007	405	3	5
405008	405	5	5
405009	405	5	7
405010	405	2	7
405011	405	2	1
405012	405	9	1
406001	406	9	7
406002	406	2	7
406003	406	2	1
406004	406	6	1
406005	406	6	3
406006	406	3	3
406007	406	3	5
406008	406	7	5
406009	406	7	3
406010	406	9	3
407001	407	8	6
407002	407	7	6
407003	407	7	5
407004	407	5	5
407005	407	5	7
407006	407	3	7
407007	407	3	6
407008	407	4	6
407009	407	4	5
407010	407	1	5
407011	407	1	4
407012	407	2	4
407013	407	2	3
407014	407	3	3
407015	407	3	1
407016	407	4	1
407017	407	4	3
407018	407	5	3
407019	407	5	1
407020	407	8	1
407021	407	8	2
407022	407	7	2
407023	407	7	3
407024	407	6	3
407025	407	6	4
407026	407	8	4
407027	407	8	3
407028	407	9	3
