Id	CupCount	DefeatCount	EnemyCupCount	EnemyDefeatCount
513	2	2	3	
514	2	1	1	2
515	2		2	
516	3	4	5	
517	3	3	3	2
518	3	2	4	
519	3	1	3	1
520	3		3	
521	4	4	6	
522	4	3	5	1
523	4	2	5	
524	4	1	4	1
525	4		4	
526	5	4	6	2
527	5	3	6	1
528	5	2	6	
529	5	1	5	1
530	5		5	
531	6	4	7	2
532	6	3	7	1
533	6	2	6	2
534	6	1	6	1
535	6		6	
536	7	4	8	2
537	7	3	7	3
538	7	2	7	2
539	7	1	7	1
540	7		7	
541	8	4	8	4
542	8	3	8	3
543	8	2	8	2
544	8	1	8	1
545	8		8	
546	9	4	9	4
547	9	3	9	3
548	9	2	9	2
549	9	1	9	1
550	9		9	
551		4	1	1
552		3		2
553		2	1	
554		1		
555				
556	1	4	2	1
557	1	3	1	2
558	1	2	2	
559	1	1		2
560	1		1	
561	2	4	3	1
562	2	3	2	2
563	2	2	3	
564	2	1	1	2
565	2		2	
566	3	4	5	
567	3	3	3	2
568	3	2	4	
569	3	1	3	1
570	3		3	
571	4	4	6	
572	4	3	5	1
573	4	2	5	
574	4	1	4	1
575	4		4	
576	5	4	6	2
577	5	3	6	1
578	5	2	6	
579	5	1	5	1
580	5		5	
581	6	4	7	2
582	6	3	7	1
583	6	2	6	2
584	6	1	6	1
585	6		6	
586	7	4	8	2
587	7	3	7	3
588	7	2	7	2
589	7	1	7	1
590	7		7	
591	8	4	8	4
592	8	3	8	3
593	8	2	8	2
594	8	1	8	1
595	8		8	
596	9	4	9	4
597	9	3	9	3
598	9	2	9	2
599	9	1	9	1
600	9		9	
601		4	2	
602		3		2
603		2	1	
604		1		
605				
606	1	4	3	
607	1	3	2	1
608	1	2	2	
609	1	1		2
610	1		1	
611	2	4	3	2
612	2	3	3	1
613	2	2	3	
614	2	1	2	1
615	2		2	
616	3	4	4	2
617	3	3	4	1
618	3	2	4	
619	3	1	3	1
620	3		3	
621	4	4	5	2
622	4	3	5	1
623	4	2	4	2
624	4	1	4	1
625	4		4	
626	5	4	6	2
627	5	3	5	3
628	5	2	5	2
629	5	1	5	1
630	5		5	
631	6	4	6	4
632	6	3	6	3
633	6	2	6	2
634	6	1	6	1
635	6		6	
636	7	4	7	4
637	7	3	7	3
638	7	2	7	2
639	7	1	7	1
640	7		7	
641	8	4	8	4
642	8	3	8	3
643	8	2	8	2
644	8	1	8	1
645	8		8	
646	9	4	9	4
647	9	3	9	3
648	9	2	9	2
649	9	1	9	1
650	9		9	
