Id	ActivityId	CostItemNum	ConnectingNum	LightingNum	RewardId	ChapterId	LockPic	UnlockPic	Name	RewardText
2008	2	10	6	36	63505	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	控制共耦Ⅲ	['熔裁', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
2009	2	10	6	36	63506	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	控制共耦Ⅳ	['序志', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
2010	2	15	6	36	63507	3	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	控制共耦Ⅴ	['序志', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
2011	2	10	3	13	63508	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	全局共耦Ⅰ	['原道', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
2012	2	10	4	20	63509	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	全局共耦Ⅱ	['征圣', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
2013	2	10	4	20	63510	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	全局共耦Ⅲ	['宗经', '我们的事业是为了更遥远的未来\\n唯一值得敬畏的……只有我们的子孙后代。']
2014	2	10	5	30	63511	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	全局共耦Ⅳ	['铭箴', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
2015	2	15	5	30	63512	4	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	全局共耦Ⅴ	['哀吊', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
2016	2	10	4	19	63513	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	病态共耦Ⅰ	['史传', '历史的进程里，过去支配了现在\\n 而历史的写作里，现在支配着过去。']
2017	2	10	4	21	63514	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	病态共耦Ⅱ	['通变', '毫无道理的出生，因软弱而延续，因偶然而死亡……\\n这是我，也是你们人类的写照，而现在，偶然就要来临了。']
2018	2	10	6	28	63515	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	病态共耦Ⅲ	['熔裁', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
2019	2	10	5	27	63516	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	病态共耦Ⅳ	['序志', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
2020	2	15	6	28	63517	5	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer2.png	病态共耦Ⅴ	['序志', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
3001	3	1	3	9	64843	6	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG11.png	关位	['关位', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
3002	3	1	4	16	64844	6	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG12.png	骑劫	['骑劫', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
3004	3	1	5	25	64845	6	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG13.png	枪下	['枪下', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
3005	3	1	5	25	64846	6	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG14.png	注池	['注池', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
3008	3	1	6	36	64847	7	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG21.png	肇始	['肇始', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
3009	3	1	6	36	64848	7	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG22.png	蛊毒	['蛊毒', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
3014	3	1	5	30	64849	7	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG23.png	蔓生	['蔓生', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
3015	3	1	5	30	64850	7	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG24.png	狓狂	['狓狂', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
3016	3	1	4	19	64851	8	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG31.png	对弈	['对弈', '历史的进程里，过去支配了现在\\n 而历史的写作里，现在支配着过去。']
3017	3	1	4	21	64852	8	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG32.png	叛离	['叛离', '毫无道理的出生，因软弱而延续，因偶然而死亡……\\n这是我，也是你们人类的写照，而现在，偶然就要来临了。']
3018	3	1	6	28	64853	8	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG33.png	拣选	['拣选', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
3019	3	1	5	27	64854	8	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG34.png	镜碎	['镜碎', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
4001	4		1	3	66300	9	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG11.png	觅迹	['觅迹', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
4002	4		3	13	66301	9	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG12.png	孑然	['孑然', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
4003	4		2	14	66302	9	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG13.png	趋光	['趋光', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
4004	4		4	26	66303	9	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG14.png	携征	['携征', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
4005	4		2	16	66304	10	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG21.png	同戎	['同戎', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
4006	4		2	24	66305	10	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG22.png	并途	['并途', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
4007	4		4	25	66306	10	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG23.png	偕行	['偕行', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
4008	4		3	35	66307	10	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG24.png	余馈	['余馈', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
4009	4		2	15	66308	11	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG31.png	黯然	['黯然', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
4010	4		2	24	66309	11	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG32.png	磨棘	['磨棘', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
4011	4		3	29	66310	11	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG33.png	寂海	['寂海', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
4012	4		3	25	66311	11	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG34.png	湮渊	['湮渊', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
4013	4		4	23	66312	12	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG41.png	留盏	['留盏', '历史的进程里，过去支配了现在\\n 而历史的写作里，现在支配着过去。']
4014	4		5	32	66313	12	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG42.png	伫候	['伫候', '毫无道理的出生，因软弱而延续，因偶然而死亡……\\n这是我，也是你们人类的写照，而现在，偶然就要来临了。']
4015	4		8	34	66314	12	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG43.png	淡酌	['淡酌', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
4016	4		5	36	66315	12	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG44.png	重晤	['重晤', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
4017	4		5	35	66316	13	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG51.png	溟潜	['溟潜', '历史的进程里，过去支配了现在\\n 而历史的写作里，现在支配着过去。']
4018	4		7	36	66317	13	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG52.png	寻炬	['寻炬', '毫无道理的出生，因软弱而延续，因偶然而死亡……\\n这是我，也是你们人类的写照，而现在，偶然就要来临了。']
4019	4		6	36	66318	13	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG53.png	浴火	['浴火', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
4020	4		6	36	66319	13	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG54.png	燎焰	['燎焰', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
5001	5	1	1	3	67214	14	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG4.png	伪物	['伪物', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
5002	5	1	3	13	67215	14	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG5.png	断罪	['断罪', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
5003	5	1	2	14	67216	14	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG6.png	渊眠	['渊眠', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
5004	5	1	4	26	67217	14	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG7.png	末路	['末路', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
5005	5	1	2	16	67218	15	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG8.png	负光	['负光', '最终还是科学的火把，将那个泥淖一般的时代重新照亮\\n点燃新的熔炉，锻造出黄金一样的人性的希望和无限的未来。']
5006	5	1	2	24	67219	15	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG9.png	迷途	['迷途', '一条又一条的远洋航线结成一颗永不停歇的心脏\\n将九龙与那个璀璨的世界连缀在一起。']
5007	5	1	4	25	67220	15	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG10.png	眩惑	['眩惑', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
5008	5	1	3	35	67221	15	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG11.png	逢生	['逢生', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
5009	5	2	2	15	67222	16	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG12.png	共蚀	['共蚀', '倘若只是统治一片废墟和数据……\\n万世长存又有什么意义……']
5010	5	2	2	24	67223	16	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG13.png	溯光	['溯光', '献给没有生存下来的诸君，要叙述此事他们已无能为力\\n但愿他们原谅我，没有看到一切，没有想起一切，没有猜到一切。']
5011	5	2	3	29	67224	16	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG14.png	双生	['双生', '多年以后，后世的人们在为那个时代撰写墓志铭时\\n将感慨于高尚和伟大，扼腕于卑劣与怯懦。']
5012	5	2	3	25	67225	16	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLinePlayer1.png	Assets/Product/Texture/Image/UiConnectingLine/UiConnectingLineCG15.png	再临	['再临', '……您好，曲，编号第5784221930\\n您已被确认为死亡，故而准许参加万世铭计划。']
