Id	Name	Icon	Type	CharacterUid	EquipOccupationType	Quality	MainSkillFactorId	AddSlotNum	AddFactorLevel	MainFactorId	MainFactorLevel	LevelWeights	FactorAbility	LevelTypes	Ability
12001101	生命增益Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1		3	1		2	1	12001	[1]	[100]	[10]	[1]	10
12001102	生命增益Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1		3	2		2	1	12001	[3]	[100]	[30]	[1]	30
12001103	生命增益Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1		3	3		2	1	12001	[6]	[100]	[60]	[1]	60
12001104	生命增益Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1		3	4		2	1	12001	[12]	[100]	[120]	[1]	120
11067101	伤害减免Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1		2	1		2	1	11067	[1]	[100]	[10]	[1]	10
11067102	伤害减免Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1		2	2		2	1	11067	[3]	[100]	[30]	[1]	30
11067103	伤害减免Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1		2	3		2	1	11067	[6]	[100]	[60]	[1]	60
11067104	伤害减免Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1		2	4		2	1	11067	[12]	[100]	[120]	[1]	120
11001201	攻击Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2		1	1				11001	[1]	[100]	[10]	[1]	10
11001202	攻击Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2		1	2				11001	[3]	[100]	[30]	[1]	30
11001203	攻击Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2		1	3				11001	[6]	[100]	[60]	[1]	60
11001204	攻击Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2		1	4				11001	[12]	[100]	[120]	[1]	120
11000201	生命Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2		3	1				11000	[1]	[100]	[10]	[1]	10
11000202	生命Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2		3	2				11000	[3]	[100]	[30]	[1]	30
11000203	生命Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2		3	3				11000	[6]	[100]	[60]	[1]	60
11000204	生命Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2		3	4				11000	[12]	[100]	[120]	[1]	120
11014201	伤害加成Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2		1	1				11014	[1]	[100]	[10]	[1]	10
11014202	伤害加成Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2		1	2				11014	[3]	[100]	[30]	[1]	30
11014203	伤害加成Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2		1	3				11014	[6]	[100]	[60]	[1]	60
11014204	伤害加成Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2		1	4				11014	[12]	[100]	[120]	[1]	120
11084201	失衡增益Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2		1	1				11084	[1]	[100]	[10]	[1]	10
11084202	失衡增益Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2		1	2				11084	[3]	[100]	[30]	[1]	30
11084203	失衡增益Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2		1	3				11084	[6]	[100]	[60]	[1]	60
11084204	失衡增益Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2		1	4				11084	[12]	[100]	[120]	[1]	120
11010201	护盾加成Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2		2	1				11010	[1]	[100]	[10]	[1]	10
11010202	护盾加成Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2		2	2				11010	[3]	[100]	[30]	[1]	30
11010203	护盾加成Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2		2	3				11010	[6]	[100]	[60]	[1]	60
11010204	护盾加成Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2		2	4				11010	[12]	[100]	[120]	[1]	120
11083201	治疗效率增益Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2		3	1				11083	[1]	[100]	[10]	[1]	10
11083202	治疗效率增益Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2		3	2				11083	[3]	[100]	[30]	[1]	30
11083203	治疗效率增益Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2		3	3				11083	[6]	[100]	[60]	[1]	60
11083204	治疗效率增益Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2		3	4				11083	[12]	[100]	[120]	[1]	120
11096201	仇恨专注Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2		2	1				11096	[1]	[100]	[10]	[1]	10
11096202	仇恨专注Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2		2	2				11096	[3]	[100]	[30]	[1]	30
11096203	仇恨专注Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2		2	3				11096	[6]	[100]	[60]	[1]	60
11096204	仇恨专注Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2		2	4				11096	[12]	[100]	[120]	[1]	120
13096201	仇恨隐匿Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2		3	1				13096	[1]	[100]	[10]	[1]	10
13096202	仇恨隐匿Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2		3	2				13096	[3]	[100]	[30]	[1]	30
13096203	仇恨隐匿Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2		3	3				13096	[6]	[100]	[60]	[1]	60
13096204	仇恨隐匿Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2		3	4				13096	[12]	[100]	[120]	[1]	120
21001201	初始必杀能量Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2		3	1	21001				[1]	[100]	[10]	[1]	10
21001202	初始必杀能量Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2		3	2	21001				[3]	[100]	[30]	[1]	30
21001203	初始必杀能量Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2		3	3	21001				[6]	[100]	[60]	[1]	60
21001204	初始必杀能量Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2		3	4	21001				[12]	[100]	[120]	[1]	120
11031201	普攻增伤Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2		1	1				11031	[1]	[100]	[10]	[1]	10
11031202	普攻增伤Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2		1	2				11031	[3]	[100]	[30]	[1]	30
11031203	普攻增伤Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2		1	3				11031	[6]	[100]	[60]	[1]	60
11031204	普攻增伤Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2		1	4				11031	[12]	[100]	[120]	[1]	120
11030201	核心增伤Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2		1	1				11030	[1]	[100]	[10]	[1]	10
11030202	核心增伤Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2		1	2				11030	[3]	[100]	[30]	[1]	30
11030203	核心增伤Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2		1	3				11030	[6]	[100]	[60]	[1]	60
11030204	核心增伤Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2		1	4				11030	[12]	[100]	[120]	[1]	120
11029201	技能增伤Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2		1	1				11029	[1]	[100]	[10]	[1]	10
11029202	技能增伤Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2		1	2				11029	[3]	[100]	[30]	[1]	30
11029203	技能增伤Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2		1	3				11029	[6]	[100]	[60]	[1]	60
11029204	技能增伤Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2		1	4				11029	[12]	[100]	[120]	[1]	120
11032201	必杀增伤Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2		1	1				11032	[1]	[100]	[10]	[1]	10
11032202	必杀增伤Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2		1	2				11032	[3]	[100]	[30]	[1]	30
11032203	必杀增伤Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2		1	3				11032	[6]	[100]	[60]	[1]	60
11032204	必杀增伤Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2		1	4				11032	[12]	[100]	[120]	[1]	120
21006201	追击技能增伤Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2		1	1	21006				[1]	[100]	[10]	[1]	10
21006202	追击技能增伤Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2		1	2	21006				[3]	[100]	[30]	[1]	30
21006203	追击技能增伤Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2		1	3	21006				[6]	[100]	[60]	[1]	60
21006204	追击技能增伤Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2		1	4	21006				[12]	[100]	[120]	[1]	120
21007201	连锁增伤Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2		1	1				21007	[1]	[100]	[10]	[1]	10
21007202	连锁增伤Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2		1	2				21007	[3]	[100]	[30]	[1]	30
21007203	连锁增伤Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2		1	3				21007	[6]	[100]	[60]	[1]	60
21007204	连锁增伤Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2		1	4				21007	[12]	[100]	[120]	[1]	120
21008201	燃血加成Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2		1	1	21008				[1]	[100]	[10]	[1]	10
21008202	燃血加成Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2		1	2	21008				[3]	[100]	[30]	[1]	30
21008203	燃血加成Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2		1	3	21008				[6]	[100]	[60]	[1]	60
21008204	燃血加成Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2		1	4	21008				[12]	[100]	[120]	[1]	120
21009201	愈疗强攻Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2		3	1	21009				[1]	[100]	[10]	[1]	10
21009202	愈疗强攻Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2		3	2	21009				[3]	[100]	[30]	[1]	30
21009203	愈疗强攻Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2		3	3	21009				[6]	[100]	[60]	[1]	60
21009204	愈疗强攻Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2		3	4	21009				[12]	[100]	[120]	[1]	120
21010201	盾击强化Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2		2	1	21010				[1]	[100]	[10]	[1]	10
21010202	盾击强化Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2		2	2	21010				[3]	[100]	[30]	[1]	30
21010203	盾击强化Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2		2	3	21010				[6]	[100]	[60]	[1]	60
21010204	盾击强化Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2		2	4	21010				[12]	[100]	[120]	[1]	120
21011201	援护减伤Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2		3	1	21011				[1]	[100]	[10]	[1]	10
21011202	援护减伤Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2		3	2	21011				[3]	[100]	[30]	[1]	30
21011203	援护减伤Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2		3	3	21011				[6]	[100]	[60]	[1]	60
21011204	援护减伤Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2		3	4	21011				[12]	[100]	[120]	[1]	120
21012201	暴伤增益Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2		1	1	21012				[1]	[100]	[10]	[1]	10
21012202	暴伤增益Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2		1	2	21012				[3]	[100]	[30]	[1]	30
21012203	暴伤增益Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2		1	3	21012				[6]	[100]	[60]	[1]	60
21012204	暴伤增益Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2		1	4	21012				[12]	[100]	[120]	[1]	120
21013201	绝对优势Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2		1	1	21013				[1]	[100]	[10]	[1]	10
21013202	绝对优势Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2		1	2	21013				[3]	[100]	[30]	[1]	30
21013203	绝对优势Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2		1	3	21013				[6]	[100]	[60]	[1]	60
21013204	绝对优势Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2		1	4	21013				[12]	[100]	[120]	[1]	120
21014201	暴怒特攻Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2		1	1	21014				[1]	[100]	[10]	[1]	10
21014202	暴怒特攻Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2		1	2	21014				[3]	[100]	[30]	[1]	30
21014203	暴怒特攻Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2		1	3	21014				[6]	[100]	[60]	[1]	60
21014204	暴怒特攻Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2		1	4	21014				[12]	[100]	[120]	[1]	120
21015201	失衡特化Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2		1	1	21015				[1]	[100]	[10]	[1]	10
21015202	失衡特化Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2		1	2	21015				[3]	[100]	[30]	[1]	30
21015203	失衡特化Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2		1	3	21015				[6]	[100]	[60]	[1]	60
21015204	失衡特化Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2		1	4	21015				[12]	[100]	[120]	[1]	120
21016201	绝处逢生Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2		3	1	21016				[1]	[100]	[10]	[1]	10
21016202	绝处逢生Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2		3	2	21016				[3]	[100]	[30]	[1]	30
21016203	绝处逢生Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2		3	3	21016				[6]	[100]	[60]	[1]	60
21016204	绝处逢生Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2		3	4	21016				[12]	[100]	[120]	[1]	120
21017201	燃血强攻Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2		1	1	21017				[1]	[100]	[10]	[1]	10
21017202	燃血强攻Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2		1	2	21017				[3]	[100]	[30]	[1]	30
21017203	燃血强攻Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2		1	3	21017				[6]	[100]	[60]	[1]	60
21017204	燃血强攻Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2		1	4	21017				[12]	[100]	[120]	[1]	120
21018201	乘胜追击Ⅰ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2		1	1	21018				[1]	[100]	[10]	[1]	10
21018202	乘胜追击Ⅱ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2		1	2	21018				[3]	[100]	[30]	[1]	30
21018203	乘胜追击Ⅲ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2		1	3	21018				[6]	[100]	[60]	[1]	60
21018204	乘胜追击Ⅳ	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2		1	4	21018				[12]	[100]	[120]	[1]	120
31001103	劫雷烙影	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink001.png	1		1	3	31001	2	1		[1]	[100]	[60]	[1]	60
31001104	劫雷烙影	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink001.png	1		1	4	31001	2	1		[2]	[100]	[120]	[1]	120
31002103	残铭于烬	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink004.png	1		1	3	31002	2	1		[1]	[100]	[60]	[1]	60
31002104	残铭于烬	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink004.png	1		1	4	31002	2	1		[2]	[100]	[120]	[1]	120
31003104	镣刃炙锋	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink007.png	1		1	4	31003	2	1		[1]	[100]	[120]	[1]	120
31004104	虚明归鞘	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink008.png	1		1	4	31004	2	1		[1]	[100]	[120]	[1]	120
31005104	零我寂深	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink009.png	1		1	4	31005	2	1		[1]	[100]	[120]	[1]	120
31006104	悬弧残痕	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink010.png	1		1	4	31006	2	1		[1]	[100]	[120]	[1]	120
31007103	辉铠持护	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink003.png	1		2	3	31007	2	1		[1]	[100]	[60]	[1]	60
31007104	辉铠持护	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink003.png	1		2	4	31007	2	1		[2]	[100]	[120]	[1]	120
31008103	引星偏振	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink006.png	1		1	3	31008	2	1		[1]	[100]	[60]	[1]	60
31008104	引星偏振	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink006.png	1		1	4	31008	2	1		[2]	[100]	[120]	[1]	120
31009104	喷流助推	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink015.png	1		2	4	31009	2	1		[1]	[100]	[120]	[1]	120
31010104	寰辰增铓	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink016.png	1		1	4	31010	2	1		[1]	[100]	[120]	[1]	120
31011104	聚循标弦	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink017.png	1		2	4	31011	2	1		[1]	[100]	[120]	[1]	120
31012104	星图展开	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink018.png	1		1	4	31012	2	1		[1]	[100]	[120]	[1]	120
31013103	圣颂清愉	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink002.png	1		3	3	31013	2	1		[1]	[100]	[60]	[1]	60
31013104	圣颂清愉	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink002.png	1		3	4	31013	2	1		[2]	[100]	[120]	[1]	120
31014103	福临敕断	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink005.png	1		1	3	31014	2	1		[1]	[100]	[60]	[1]	60
31014104	福临敕断	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink005.png	1		1	4	31014	2	1		[2]	[100]	[120]	[1]	120
31015104	断罪绝罚	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink011.png	1		3	4	31015	2	1		[1]	[100]	[120]	[1]	120
31016104	祝圣启明	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink012.png	1		3	4	31016	2	1		[1]	[100]	[120]	[1]	120
31017104	返身赦章	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink013.png	1		3	4	31017	2	1		[1]	[100]	[120]	[1]	120
31018104	诵祷虔心	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink014.png	1		3	4	31018	2	1		[1]	[100]	[120]	[1]	120
