Id	AttributeName	AttributeType	LevelOverlyingType	DetailShowType	Name	Desc	Icon	IsPercent	MaxLevel	Order
21008		1	1	1	燃血加成	自身<color=#ffdd93>剩余生命值</color>越少，提升的<color=#ffdd93>总伤害加成</color>越高			13	1008
21009		1	1	1	愈疗强攻	<color=#ffdd93>治疗</color>其他玩家后的20秒内，自身<color=#ffdd93>额外伤害加成</color>提升。			13	1009
21010		1	1	1	盾击强化	拥有<color=#ffdd93>护盾</color>及<color=#ffdd93>护盾消失</color>的3秒内，自身<color=#ffdd93>额外伤害加成</color>提升。			13	1010
21011		1	1	1	援护减伤	处于<color=#ffdd93>支援复活其他玩家</color>状态下时，自身<color=#ffdd93>伤害减免</color>提升。			13	1011
21012		1	1	1	暴伤增益	当攻击加深≥50%时<color=#ffdd93>暴击伤害</color>提升。			13	1012
21013		1	1	1	绝对优势	生命值≥16000时<color=#ffdd93>暴击伤害</color>提升。			13	1013
21014		1	1	1	暴怒特攻	对<color=#ffdd93>暴怒</color>状态下的敌人<color=#ffdd93>额外伤害</color>提升。			26	1014
21015		1	1	1	失衡特化	对<color=#ffdd93>失衡</color>状态下的敌人<color=#ffdd93>额外伤害</color>提升。			26	1015
21016		1	1	1	绝处逢生	濒死时触发<color=#ffdd93>自动重启</color>，<color=#ffdd93>冷却时间</color>过后可再次生效			16	1016
21017		1	1	1	燃血强攻	自身<color=#ffdd93>攻击加深</color>提升，但最大生命值减少20%。			13	1017
21018		1	1	1	乘胜追击	自身<color=#ffdd93>剩余生命值</color>越多，提升的<color=#ffdd93>总伤害加成</color>越高。			13	1018
31001		1	2	3	劫雷烙影（唯一）	【深红囚影·瞬影铁骑】的【燎荒斩】、【影袭】和【振雷斩】获得<color=#ffdd93>伤害加成</color>。【露西亚·深红囚影】的攻击有概率给敌人留下【伤痕】，【伤痕】最多存在5个，使用【燎荒斩】造成伤害时，会引爆全部【伤痕】降下<color=#ffdd93>落雷造成额外伤害</color>。			2	1
31002		1	2	3	残铭于烬（唯一）	【深红囚影·谐振刃锋】的【剑气】与【剑气攻击】获得<color=#ffdd93>伤害加成</color>，释放【剑气攻击】时会治疗自身1%最大生命值，自身攻击命中带有【剑损烙印】的目标时，额外造成一次剑损伤害且不消耗【剑损烙印层数】，该效果每0.5秒最多触发一次。			2	2
31003		1	2	3	镣刃炙锋（唯一）	【深红囚影】释放【溯轮杀】时获得抗打断。【溯轮杀】<color=#ffdd93>伤害加成</color>，<color=#ffdd93>伤害上限</color>提高。			1	7
31004		1	2	3	虚明归鞘（唯一）	【深红囚影】释放【居合斩·极】时按住移动，则会释放【穿梭居合】返回释放起始位置。【居合斩·极】获得<color=#ffdd93>伤害加成</color>。			1	8
31005		1	2	3	零我寂深（唯一）	【深红囚影】释放【乱霆开曜】时，获得的<color=#ffdd93>伤害加成</color>效果和<color=#ffdd93>额外伤害减免</color>效果提升。			1	9
31006		1	2	3	悬弧残痕（唯一）	【深红囚影】释放【振雷斩】后会在地面留下裂痕，<color=#ffdd93>裂痕</color>会对范围内的目标每秒造成一次伤害，裂痕持续8秒。			1	10
31007		1	2	3	辉铠持护（唯一）	【芒星之迹·铁壁御卫】格挡反击时，自身<color=#ffdd93>额外伤害减免</color>提高，格挡反击获得<color=#ffdd93>伤害加成</color>。在【剑盾状态】下进行完美格挡后，若【星芯值】已满，则可通过长按普攻释放【坠星崩殛】。			2	3
31008		1	2	3	引星偏振（唯一）	【芒星之迹·狂锯崩解】在【盾斧状态】下自身获得抗打断，<color=#ffdd93>额外伤害减免</color>、<color=#ffdd93>失衡增益</color>提升。当敌人失衡后，15秒内获得<color=#ffdd93>伤害加成</color>，若自身处于<color=#ffdd93>【狂锯崩解】形态</color>时，该加成时长延续到60秒。			2	4
31009		1	2	3	喷流助推（唯一）	【芒星之迹】释放【奔星突烁】时，提升【奔星突烁】技能的位移距离，且释放过程中增加格挡判定，可通过摇杆释放。			1	11
31010		1	2	3	寰辰增铓（唯一）	【芒星之迹】释放【遥穹合斩】/【疾虹突刺】后的10秒内，自身获得【星芯值】、【超解值】和【锋锐值】的效率提升，获得<color=#ffdd93>伤害加成</color>。【遥穹合斩】/【疾虹突刺】的<color=#ffdd93>技能冷却</color>降低，释放【遥穹合斩】/【疾虹突刺】过程中自身获得抗打断和<color=#ffdd93>额外伤害减免</color>。			1	12
31011		1	2	3	聚循标弦（唯一）	【芒星之迹】释放【金辉怒嚎】后，自身造成伤害时<color=#ffdd93>仇恨专注</color>提升；一段时间内，自身攻击被嘲讽敌人时，<color=#ffdd93>额外对敌人造成一次伤害</color>，该效果每秒最多生效一次。			1	13
31012		1	2	3	星图展开（唯一）	【芒星之迹】在【剑盾】状态下进行第三段【游星辉击】时，点击【耀雷风暴】，可获得强化派生，并获得大量【锋锐值】。			1	14
31013		1	2	3	圣颂清愉（唯一）	【极昼·祈咏奏者】的【颂奏层数】到达满层时，会强化下一次【长夜祈光】和【苍色穹壁】。强化后的【长夜祈光】和【苍色穹壁】将在治疗其他玩家同时，再<color=#ffdd93>额外为全体玩家恢复生命值</color>。			2	5
31014		1	2	3	福临敕断（唯一）	【极昼·颂昼天使】的【裁决辉迹II】若最后一段攻击命中敌人，则额外产生一次<color=#ffdd93>爆炸</color>，并获得两层【颂奏层数】。			2	6
31015		1	2	3	断罪绝罚（唯一）	【极昼】在释放【赤染棘冠】后会进入【极昼状态】。			1	15
31016		1	2	3	祝圣启明（唯一）	【极昼】释放【极昼宣誓】后自身获得<color=#ffdd93>治疗增益</color>，该治疗增益持续20秒；并释放一次【长夜祈光】。			1	16
31017		1	2	3	返身赦章（唯一）	BOSS处于【暴怒状态】下释放高威胁技能时，会立刻刷新【苍色穹壁】，并获得12层【颂奏层数】。			1	17
31018		1	2	3	诵祷虔心（唯一）	【极昼】在进入【极昼状态】后，【长夜祈光】、【苍色穹壁】和【赤染棘冠】冷却减少33%。			1	18
