Id	MapId	Row	Column
120	303	7	[100, 0, 0, 0, 0, 0, 0, 0, 0]
121	303	6	[404, 404, 0, 0, 404, 0, 0, 0, 0]
122	303	5	[0, 0, 0, 0, 0, 0, 101, 0, 0]
123	303	4	[2303, 0, 666, 404, 0, 666, 0, 0, 0]
124	303	3	[404, 0, 0, 0, 0, 404, 0, 0, 103]
125	303	2	[404, 0, 0, 404, 404, 404, 0, 0, 0]
126	303	1	[1, 0, 0, 0, 0, 0, 0, 0, 0]
127	304	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
128	304	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
129	304	5	[104, 404, 404, 2304, 0, 0, 666, 0, 105]
130	304	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
131	304	3	[404, 404, 0, 2305, 0, 0, 666, 0, 102]
132	304	2	[0, 0, 0, 0, 0, 0, 404, 0, 0]
133	304	1	[1, 0, 0, 404, 0, 100, 0, 0, 0]
134	305	7	[0, 0, 0, 0, 404, 101, 0, 0, 100]
135	305	6	[0, 0, 2303, 0, 666, 0, 0, 103, 0]
136	305	5	[0, 0, 0, 0, 404, 0, 0, 0, 0]
137	305	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
138	305	3	[0, 0, 0, 0, 404, 0, 0, 0, 0]
139	305	2	[0, 0, 2306, 0, 666, 0, 0, 106, 0]
140	305	1	[1, 0, 0, 0, 404, 0, 0, 0, 0]
141	306	7	[100, 0, 0, 102, 0, 0, 0, 0, 0]
142	306	6	[0, 0, 0, 0, 105, 0, 0, 0, 0]
143	306	5	[0, 0, 0, 0, 2304, 0, 0, 0, 0]
144	306	4	[0, 0, 0, 666, 0, 0, 404, 666, 0]
145	306	3	[0, 0, 0, 0, 0, 0, 2305, 0, 0]
146	306	2	[0, 404, 0, 0, 0, 0, 104, 0, 0]
147	306	1	[1, 0, 0, 0, 0, 0, 0, 0, 404]
148	307	7	[404, 0, 0, 106, 0, 0, 101, 0, 100]
149	307	6	[0, 0, 0, 0, 0, 0, 0, 0, 0]
150	307	5	[0, 0, 0, 2303, 0, 666, 0, 0, 0]
151	307	4	[0, 0, 666, 0, 0, 404, 0, 0, 0]
152	307	3	[0, 0, 0, 0, 0, 0, 2306, 0, 0]
153	307	2	[0, 0, 0, 0, 0, 0, 0, 0, 0]
154	307	1	[1, 0, 103, 0, 0, 0, 0, 0, 0]
155	401	7	[0, 0, 404, 0, 0, 0, 0, 404, 0]
156	401	6	[0, 404, 0, 0, 0, 0, 0, 0, 1]
157	401	5	[0, 0, 0, 666, 0, 0, 105, 2409, 404]
158	401	4	[0, 0, 0, 2407, 0, 0, 0, 0, 0]
159	401	3	[0, 0, 0, 404, 0, 0, 0, 0, 0]
160	401	2	[0, 404, 0, 0, 0, 0, 0, 0, 100]
161	401	1	[0, 0, 404, 0, 0, 0, 105, 0, 0]
162	402	7	[0, 0, 0, 105, 0, 0, 0, 0, 0]
163	402	6	[0, 0, 0, 404, 0, 0, 0, 0, 1]
164	402	5	[0, 0, 0, 666, 0, 0, 105, 2409, 404]
165	402	4	[0, 0, 0, 2407, 0, 0, 0, 404, 0]
166	402	3	[0, 0, 0, 0, 0, 0, 0, 0, 0]
167	402	2	[0, 0, 0, 0, 0, 0, 0, 0, 100]
168	402	1	[0, 0, 2401, 0, 0, 0, 101, 0, 0]
169	403	7	[0, 0, 0, 0, 0, 103, 0, 0, 0]
170	403	6	[0, 0, 0, 0, 0, 0, 0, 0, 1]
171	403	5	[0, 0, 0, 2404, 0, 0, 105, 2409, 404]
172	403	4	[0, 0, 0, 0, 0, 0, 0, 0]
173	403	3	[0, 0, 2407, 666, 0, 0, 0, 0, 0]
174	403	2	[0, 0, 0, 0, 0, 0, 0, 0, 100]
175	403	1	[0, 0, 0, 0, 0, 0, 105, 0, 0]
176	404	7	[0, 0, 0, 0, 0, 105, 0, 0, 0]
177	404	6	[0, 0, 0, 0, 0, 0, 404, 404, 1]
178	404	5	[0, 0, 666, 2407, 0, 0, 102, 2409, 0]
179	404	4	[0, 0, 0, 0, 0, 0, 0, 0, 0]
180	404	3	[0, 0, 2402, 0, 0, 0, 0, 0, 0]
181	404	2	[0, 0, 0, 0, 0, 0, 0, 0, 100]
182	404	1	[0, 0, 0, 0, 0, 0, 105, 0, 0]
183	405	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
184	405	6	[0, 0, 105, 0, 0, 0, 104, 0, 1]
185	405	5	[0, 0, 0, 0, 0, 0, 0, 0, 0]
186	405	4	[0, 0, 0, 666, 666, 2405, 0, 0, 0]
187	405	3	[0, 0, 0, 0, 0, 0, 0, 0, 0]
188	405	2	[0, 0, 105, 0, 2409, 0, 2407, 0, 100]
189	405	1	[0, 0, 0, 0, 0, 0, 0, 0, 0]
190	406	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
191	406	6	[0, 0, 105, 0, 2409, 0, 105, 0, 1]
192	406	5	[0, 0, 0, 0, 0, 0, 0, 0, 0]
193	406	4	[0, 0, 0, 2411, 666, 2407, 0, 0, 0]
194	406	3	[0, 0, 0, 0, 0, 0, 0, 0, 0]
195	406	2	[0, 0, 105, 0, 2403, 0, 105, 0, 100]
196	406	1	[0, 0, 0, 0, 0, 0, 0, 0, 0]
197	407	7	[0, 0, 0, 0, 0, 0, 0, 0, 0]
198	407	6	[2409, 2406, 0, 0, 0, 105, 0, 0, 1]
199	407	5	[0, 0, 0, 0, 0, 0, 0, 0, 0]
200	407	4	[0, 0, 666, 666, 2412, 0, 0, 0, 105]
201	407	3	[0, 0, 0, 0, 0, 0, 0, 0, 0]
202	407	2	[0, 105, 0, 0, 0, 2403, 0, 0, 100]
203	407	1	[0, 0, 0, 0, 0, 0, 0, 0, 105]
