Id	ChapterId	PreStageId	MapId	StarCondition	StarDesc	CellId	Name	MeshIcon	MeshDesc	SettleDesc	SettleRoleIcon	ChapterRoleIcon
203	302	202	203	[866231, 866232, 866233]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		饮食搜探-3	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、万事、神威。']	['嗯，帐篷的比例非常完美。对了，沙漠晚上能看到清晰的星空，大家记得晚点集合。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKuluomu04.png	
204	302	203	204	[866241, 866242, 866243]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		饮食搜探-4	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、万事、神威。']	['露营这种事情，睡觉才是其中最重要的一环吧。那就……晚安。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi03.png	
205	302	204	205	[866251, 866252, 866253]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		饮食搜探-5	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、万事、神威。']	['难得的团建，还是得大家一起合照一张嘛！行了，大家集合！']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei04.png	
206	302	205	206	[866261, 866262, 866263]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		饮食搜探-6	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、万事、神威。']	['喂，忙完了要吃点什么吗？我什么都带了，需要吗？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu06.png	
207	302	206	207	[866271, 866272, 866273]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		饮食搜探-7	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、万事、神威。']	['嗯，帐篷的比例非常完美。对了，沙漠晚上能看到清晰的星空，大家记得晚点集合。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKuluomu05.png	
301	303	207	301	[866311, 866312, 866313]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		锚沙固帐-1	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：库洛姆、卡穆、神威。', '成员靠近时会自动进入停靠点，再次靠近停靠点可携带。']	['露营这种事情，睡觉才是其中最重要的一环吧。那就……晚安。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi04.png	
302	303	301	302	[866321, 866322, 866323]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		锚沙固帐-2	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：库洛姆、卡穆、神威。', '成员靠近时会自动进入停靠点，再次靠近停靠点可携带。']	['难得的团建，还是得大家一起合照一张嘛！行了，大家集合！']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei01.png	
303	303	302	303	[866331, 866332, 866333]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		锚沙固帐-3	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、神威。', '成员靠近时会自动进入停靠点，再次靠近停靠点可携带。']	['喂，忙完了要吃点什么吗？我什么都带了，需要吗？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu02.png	
304	303	303	304	[866341, 866342, 866343]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		锚沙固帐-4	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：库洛姆、万事、卡穆、神威。', '成员靠近时会自动进入停靠点，再次靠近停靠点可携带。']	['嗯，帐篷的比例非常完美。对了，沙漠晚上能看到清晰的星空，大家记得晚点集合。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKuluomu06.png	
305	303	304	305	[866351, 866352, 866353]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		锚沙固帐-5	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：万事、库洛姆、卡穆、神威。', '成员靠近时会自动进入停靠点，再次靠近停靠点可携带。']	['露营这种事情，睡觉才是其中最重要的一环吧。那就……晚安。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi05.png	
306	303	305	306	[866361, 866362, 866363]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		锚沙固帐-6	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：万事、库洛姆、卡穆、神威。', '成员靠近时会自动进入停靠点，再次靠近停靠点可携带。']	['难得的团建，还是得大家一起合照一张嘛！行了，大家集合！']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei02.png	
307	303	306	307	[866371, 866372, 866373]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		锚沙固帐-7	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：库洛姆、万事、卡穆、神威。', '成员靠近时会自动进入停靠点，再次靠近停靠点可携带。']	['喂，忙完了要吃点什么吗？我什么都带了，需要吗？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu03.png	
401	304	307	401	[866411, 866412, 866413]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		紧急睡眠-1	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：鲨士碧儿、万事、神威。', '停靠点中的成员会将兴趣永久分享给附近停靠点的成员。']	['嗯，帐篷的比例非常完美。对了，沙漠晚上能看到清晰的星空，大家记得晚点集合。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi08.png	
402	304	401	402	[866421, 866422, 866423]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		紧急睡眠-2	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：万事、鲨士碧儿、卡穆。', '停靠点中的成员会将兴趣永久分享给附近停靠点的成员。']	['露营这种事情，睡觉才是其中最重要的一环吧。那就……晚安。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi05.png	
403	304	402	403	[866431, 866432, 866433]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		紧急睡眠-3	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：库洛姆、万事、鲨士碧儿、神威。', '停靠点中的成员会将兴趣永久分享给附近停靠点的成员。']	['难得的团建，还是得大家一起合照一张嘛！行了，大家集合！']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShenwei04.png	
404	304	403	404	[866441, 866442, 866443]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		紧急睡眠-4	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、万事、鲨士碧儿、神威。', '停靠点中的成员会将兴趣永久分享给附近停靠点的成员。']	['喂，忙完了要吃点什么吗？我什么都带了，需要吗？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKamu07.png	
405	304	404	405	[866451, 866452, 866453]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		紧急睡眠-5	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：库洛姆、鲨士碧儿、万事、神威。', '停靠点中的成员会将兴趣永久分享给附近停靠点的成员。']	['嗯，帐篷的比例非常完美。对了，沙漠晚上能看到清晰的星空，大家记得晚点集合。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadKuluomu04.png	
406	304	405	406	[866461, 866462, 866463]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		紧急睡眠-6	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：卡穆、库洛姆、鲨士碧儿、万事、神威。', '停靠点中的成员会将兴趣永久分享给附近停靠点的成员。']	['露营这种事情，睡觉才是其中最重要的一环吧。那就……晚安。']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadWanshi07.png	
407	304	406	407	[866471, 866472, 866473]	['神威到达集合点', '完成1个兴趣点', '完成全部兴趣点']		紧急睡眠-7	['Assets/Product/Texture/Image/UiLineArithmetic2/UiLineArithmetic2PopupTipsIcon01.png', 'Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3GameGridStation01.png']	['请有序进行团建活动：万事、鲨士碧儿、卡穆、库洛姆、神威。', '停靠点中的成员会将兴趣永久分享给附近停靠点的成员。']	['说是要去海边我才来的……沙海也算海吗嗷呜？']	Assets/Product/Texture/Image/UiLineArithmetic3/UiLineArithmetic3HeadShabi02.png	
