Id	Type	Params	Point	Desc
315201	2	['6500']	10	上阵角色平均战力≥6500
315202	1	['104']	10	需要上阵雷属性成员
315301	2	['6500']	10	上阵角色平均战力≥6500
315302	1	['104']	10	需要上阵雷属性成员
321101	2	['6000']	10	上阵角色平均战力≥6000
321102	1	['104']	10	需要上阵雷属性成员
321201	2	['6000']	10	上阵角色平均战力≥6000
321202	1	['104']	10	需要上阵雷属性成员
321301	1	['104']	10	需要上阵雷属性成员
321302	1	['206']	20	需要上阵紊乱效应成员
322101	2	['6500']	5	上阵角色平均战力≥6500
322102	1	['104']	10	需要上阵雷属性成员
322201	2	['6500']	5	上阵角色平均战力≥6500
322202	1	['104']	20	需要上阵雷属性成员
322301	1	['104']	10	需要上阵雷属性成员
322302	1	['206']	20	需要上阵紊乱效应成员
323101	2	['7000']	20	上阵角色平均战力≥7000
323102	1	['104']	20	需要上阵雷属性成员
323103	1	['206']	10	需要上阵紊乱效应成员
323201	2	['7000']	20	上阵角色平均战力≥7000
323202	1	['104']	20	需要上阵雷属性成员
323203	1	['206']	10	需要上阵紊乱效应成员
323301	1	['104']	20	需要上阵雷属性成员
323302	1	['206']	10	需要上阵紊乱效应成员
411101	2	['6500']	10	上阵角色平均战力≥6500
411201	1	['204']	5	需要上阵电束效应成员
411202	1	['101']	10	需要上阵物理属性成员
411301	1	['311']	10	需要上阵装甲型成员
411302	1	['301']	5	需要上阵进攻型成员
412101	2	['6800']	10	上阵角色平均战力≥6800
412201	2	['6800']	10	上阵角色平均战力≥6800
412202	1	['204']	5	需要上阵电束效应成员
412203	1	['101']	10	需要上阵物理属性成员
412301	2	['6800']	10	上阵角色平均战力≥6800
412302	1	['301']	10	需要上阵进攻型成员
412303	1	['321', '322']	5	需要上阵辅助型/增幅型成员
413101	2	['7000']	10	上阵角色平均战力≥7000
413201	2	['7000']	10	上阵角色平均战力≥7000
413202	1	['204']	5	需要上阵电束效应成员
413203	1	['101']	10	需要上阵物理属性成员
413301	2	['7000']	10	上阵角色平均战力≥7000
413302	1	['321', '322']	10	需要上阵辅助型/增幅型成员
413303	1	['311']	5	需要上阵装甲型成员
414101	2	['7300']	10	上阵角色平均战力≥7300
414201	2	['7300']	5	上阵角色平均战力≥7300
414202	1	['204']	10	需要上阵电束效应成员
414203	1	['101']	20	需要上阵物理属性成员
414301	2	['7300']	5	上阵角色平均战力≥7300
414302	3	['4']	10	需要上阵终阶成员
414303	1	['311']	20	需要上阵装甲型成员
414304	1	['301']	10	需要上阵进攻型成员
415101	2	['7500']	5	上阵角色平均战力≥7500
415201	2	['7500']	5	上阵角色平均战力≥7500
415202	1	['204']	20	需要上阵电束效应成员
415203	1	['101']	10	需要上阵物理属性成员
415301	2	['7500']	5	上阵角色平均战力≥7500
415302	3	['4']	5	需要上阵终阶成员
415303	1	['311']	20	需要上阵装甲型成员
415304	1	['301']	10	需要上阵进攻型成员
421101	2	['7000']	20	上阵角色平均战力≥7000
421201	2	['7000']	10	上阵角色平均战力≥7000
421202	1	['101']	5	需要上阵物理属性成员
421203	1	['204']	10	需要上阵电束效应成员
421301	2	['7000']	10	上阵角色平均战力≥7000
421302	1	['301', '311']	10	需要上阵进攻型/装甲型成员
421303	1	['321', '322']	5	需要上阵辅助型/增幅型成员
422101	2	['7500']	10	上阵角色平均战力≥7500
422102	1	['101']	10	需要上阵物理属性成员
422103	1	['204']	20	需要上阵电束效应成员
422201	2	['7500']	10	上阵角色平均战力≥7500
422202	1	['101']	10	需要上阵物理属性成员
422203	1	['204']	20	需要上阵电束效应成员
422301	2	['7500']	10	上阵角色平均战力≥7500
422302	1	['321', '322']	20	需要上阵辅助型/增幅型成员
422303	1	['301', '311']	10	需要上阵进攻型/装甲型成员
423101	2	['8000']	20	上阵角色平均战力≥8000
423201	2	['8000']	20	上阵角色平均战力≥8000
423202	1	['101']	30	需要上阵物理属性成员
423203	1	['204']	15	需要上阵电束效应成员
423301	2	['8000']	10	上阵角色平均战力≥8000
423302	3	['4']	20	需要上阵终阶成员
423303	1	['321', '322']	30	需要上阵辅助型/增幅型成员
423304	1	['301', '311']	15	需要上阵进攻型/装甲型成员
511101	2	['7500']	10	上阵角色平均战力≥7500
511201	2	['7500']	10	上阵角色平均战力≥7500
511202	1	['203']	5	需要上阵覆冰效应成员
511203	1	['102']	10	需要上阵火属性成员
511301	2	['7500']	10	上阵角色平均战力≥7500
511302	1	['311']	10	需要上阵装甲型成员
511303	1	['321', '322']	5	需要上阵辅助型/增幅型成员
512101	2	['7800']	10	上阵角色平均战力≥7800
512201	2	['7800']	10	上阵角色平均战力≥7800
512202	1	['203']	5	需要上阵覆冰效应成员
512203	1	['102']	10	需要上阵火属性成员
512301	2	['7800']	10	上阵角色平均战力≥7800
512302	1	['301']	10	需要上阵进攻型成员
512303	1	['311']	5	需要上阵装甲型成员
513101	2	['8000']	10	上阵角色平均战力≥8000
513201	2	['8000']	10	上阵角色平均战力≥8000
513202	1	['203']	10	需要上阵覆冰效应成员
513203	1	['102']	20	需要上阵火属性成员
513301	2	['8000']	10	上阵角色平均战力≥8000
513302	1	['321', '322']	20	需要上阵辅助型/增幅型成员
513303	1	['301']	10	需要上阵进攻型成员
514101	2	['8300']	10	上阵角色平均战力≥8300
514201	2	['8300']	10	上阵角色平均战力≥8300
514202	1	['203']	10	需要上阵覆冰效应成员
514203	1	['102']	20	需要上阵火属性成员
514301	2	['8300']	5	上阵角色平均战力≥8300
514302	3	['4']	5	需要上阵终阶成员
514303	1	['311']	20	需要上阵装甲型成员
514304	1	['321', '322']	10	需要上阵辅助型/增幅型成员
515101	2	['8500']	20	上阵角色平均战力≥8500
515201	2	['8500']	20	上阵角色平均战力≥8500
515202	1	['203']	30	需要上阵覆冰效应成员
515203	1	['102']	15	需要上阵火属性成员
515301	2	['8500']	10	上阵角色平均战力≥8500
515302	3	['5']	30	需要上阵超阶成员
515303	1	['301']	30	需要上阵进攻型成员
515304	1	['321', '322']	15	需要上阵辅助型/增幅型成员
521101	2	['8000']	20	上阵角色平均战力≥8000
521201	2	['8000']	10	上阵角色平均战力≥8000
521202	1	['102']	10	需要上阵火属性成员
521203	1	['203']	20	需要上阵覆冰效应成员
521301	2	['8000']	10	上阵角色平均战力≥8000
521302	3	['4']	20	需要上阵终阶成员
521303	1	['311']	20	需要上阵装甲型成员
521304	1	['321', '322', '301']	10	需要上阵辅助/增幅/进攻型成员
522101	2	['8500']	20	上阵角色平均战力≥8500
522201	2	['8500']	10	上阵角色平均战力≥8500
522202	1	['102']	5	需要上阵火属性成员
522203	1	['203']	20	需要上阵覆冰效应成员
522204	3	['4']	10	需要上阵终阶成员
522301	2	['8500']	10	上阵角色平均战力≥8500
522302	3	['5']	30	需要上阵超阶成员
522303	1	['321', '322']	30	需要上阵辅助型/增幅型成员
522304	1	['301', '311']	15	需要上阵进攻型/装甲型成员
523101	2	['9000']	20	上阵角色平均战力≥9000
523201	2	['9000']	20	上阵角色平均战力≥9000
523202	1	['102']	20	需要上阵火属性成员
523203	1	['203']	5	需要上阵覆冰效应成员
523204	3	['5']	10	需要上阵超阶成员
523301	2	['9000']	20	上阵角色平均战力≥9000
523302	4	['1']	30	需要上阵有谐振武器的成员
523303	1	['301']	30	需要上阵进攻型成员
523304	1	['321', '322', '311']	15	需要上阵辅助/增幅/装甲型成员
