Key	Values
SkillPowerIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig6.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig4.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig5.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig3.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig7.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig2.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig1.png']
SkillPowerTitle	['印象流派', '民族流派', '真实流派', '浪漫流派', '表现流派', '古典流派', '巴洛克流派']
ReopenHelpKey	['TheTheatreFightGuide']
RoleDetailLevelIcon	['Assets/Product/Texture/Image/IconTools/IconTheatre07.png']
RoleDetailLevelDesc	['辞本', '全队角色等级']
RoleDetailEquipIcon	['Assets/Product/Texture/Image/IconTools/IconTheatre07.png']
RoleDetailEquiupDesc	['辞本', '武器意识等级']
RoleDetailSkillIcon	['Assets/Product/Texture/Image/IconTools/IconTheatre06.png']
RoleDetailSkillDesc	['和弦', '技能等级']
UnlockOwnRole	['解 锁 自 用 角 色', 'Assets/Product/Texture/Image/IconTools/IconTheatre07.png']
UnlockFavor	['排演场', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreMainIcon4.png']
UnlockDecoration	['帷幕之后', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreMainIcon3.png']
UnlockNewDecoration	['帷幕之后解锁新内容', '前往帷幕之后查看']
DifficultyButtonTextIcon	['Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty1.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty2.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty3.png', 'Assets/Product/Texture/Atlas/UiTheatre/UiTheatreTxtDifficulty4.png']
SpecialRewardSkillIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType6.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType4.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType5.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType3.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType7.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType2.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffType1.png']
SpecialRewardSkillName	['印象流派', '民族流派', '真实流派', '浪漫流派', '表现流派', '古典流派', '巴洛克流派']
SelectSkillDetail	['%s', '流派描述', '%s']
LevelUpDetail	['Assets/Product/Texture/Image/IconTools/IconTheatre07.png', '辞本', '可提升全体试用角色的等级、评级、意识等级、武器等级']
SkillPosIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType1.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType2.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType3.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreKuangIconType4.png']
SelectSkillDetailIcon	['Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig6.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig4.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig5.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig3.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig7.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig2.png', 'Assets/Product/Texture/Image/UiTheatre/UiTheatreBuffTypeBig1.png']
SelectSkillDetailDesc	['反对陈旧流派，用光影记录瞬时的感受。可以掌握到<color=#fa5826>烈焰相关</color>的能力。', '表现民族文化，在音乐写作中融入民间音乐元素。可以掌握到<color=#168eec>雷霆相关</color>的能力。', '秉持着真实与科学的态度如实刻画现实。可以掌握<color=#13cfb7>冰霜相关</color>的能力。', '从主观世界反应客观世界，常用奔放夸张的手段来抒发对理想世界的热烈追求。可以掌握<color=#f13c3c>锐矛相关</color>的能力。', '用对现实的扭曲和抽象来表达事物永恒的品质。可以掌握<color=#cc68c1>牵引相关</color>的能力。', '用理性之上的理论强调借古喻今，拥护王权。可以掌握<color=#ff8d1e>能量相关</color>的能力。', '以活跃的律动开辟了后世文化形式的先河。可以掌握<color=#8fcf06>浮机相关</color>的能力。']
FirstStoryId	
CheckDecorationGroupIndex	['1']
SPModeOpenTile	['冒险模式已开启：剧情节点将不再出现（该模式下无法完成相关结局任务）']
SPModeCloseTile	['冒险模式已关闭：剧情节点将重新出现']
