Id	CharacterId	ShapId	BaseDataTitle	BaseData	Cast	TeamIcon
17	1081003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['4月12日', '185cm', '76kg', 'O型', '26岁']	['细谷佳正', '森中人', '星罗', 'Daman Mills']	
18	1091002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['12月15日', '167cm', '64kg', 'O型', '18岁']	['伊藤静', '巩大方', '傻莓酱', 'Kelsey Jaffer']	
19	1041003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月21日', '172cm', '57kg', 'A型', '25岁']	['川澄绫子', '云鹤追', '神明凌', 'Skyler Davenport']	
20	1111002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月3日', '153cm', '36kg', 'A型', '15岁']	['小清水亚美', '蔡娜', '萧萧', 'Christina Costello']	
21	1121002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['7月31日', '178cm', '60kg', 'B型', '19岁']	['平川大辅', '大白', 'ken', 'Brett Calo']	
22	1021004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['6月15日', '165cm', '48kg', 'A型', '17岁']	['石川由依', '小N', '尾狐殿', 'Sura Siu']	
23	1131002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月31日', '164cm', '44kg', 'B型', '17岁']	['井上麻里奈', '江月', 'YUI', 'Dawn M. Bennett']	
24	1511003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月23日', '180cm', '72kg', 'B型', '19岁']	['福山润', 'DK', '阿戈伊奥', 'Patrick Gruia']	
25	1141003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['12月25日', '177cm', '65kg', 'A型', '18岁']	['泽城美雪', '贺文潇', '师欣', 'Sam Slade']	
26	1521003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['1月3日', '162cm', '43kg', 'AB型', '18岁']	['大原沙耶香', '叶知秋', '零叁', 'Lauren Amante']	
27	1161002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['4月7日', '157cm', '51kg', 'A型', '16岁']	['花江夏树', 'kinsen', '包少爷', 'Caleb Yen']	
28	1171003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月26日', '159cm', '41kg', 'AB型', '16岁']	['钉宫理惠', '四白', '周海鲜', 'Suzie Yeung']	
29	1181003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '168cm(含靴子)', '148.8kg', '不明', '不明']	['石川由依', '石川由依', '石川由依', 'Yui Ishikawa']	Assets/Product/Texture/Image/UiFavorability/UiFavorabilityBg5.png
30	1191003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['1月30日', '160cm(含靴子)', '129.9kg', '不明', '不明']	['花江夏树', '花江夏树', '花江夏树', 'Natsuki Hanae']	Assets/Product/Texture/Image/UiFavorability/UiFavorabilityBg5.png
31	1201003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '168cm(含高跟鞋)', '139.2kg', '不明', '不明']	['诹访彩花', '诹访彩花', '诹访彩花', 'Ayaka Suwa']	Assets/Product/Texture/Image/UiFavorability/UiFavorabilityBg5.png
32	1211002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['5月21日', '178cm', '64kg', 'B型', '20岁']	['石田彰', '孙鹏', '咩鹿君', 'Corey Wilder']	
33	1531003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['9月27日', '163cm', '41kg', 'O型', '20岁']	['佐藤聪美', '柳知萧', '以媛', 'Judy Lee']	
34	1121003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['7月31日', '178cm', '60kg', 'B型', '19岁']	['平川大辅', '大白', 'ken', 'Brett Calo']	
35	1221002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['1月21日', '154cm', '42kg', 'O型', '22岁']	['水濑祈', '钱琛', 'P', 'Sarah Williams']	
36	1131003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月31日', '164cm', '44kg', 'B型', '17岁']	['井上麻里奈', '江月', 'YUI', 'Dawn M. Bennett']	
37	1541003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['5月2日', '178cm', '70kg', 'AB型', '19岁']	['游佐浩二', '冷泉夜月', '碌斌', 'Alan Lee']	
38	1031004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['8月10日', '155cm', '43kg', 'O型', '16岁']	['伊藤美来', '多多', '闲踏梧桐', 'Brianna Knickerbocker']	
39	1531004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['9月27日', '163cm', '41kg', 'O型', '20岁']	['佐藤聪美', '柳知萧', '以媛', 'Judy Lee']	
40	1551003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['8月15日', '140cm', '32kg', 'A型', '14岁']	['长绳麻里亚', '宴宁', '里子', 'Liana Bdewi']	
41	1051004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '145cm', '45kg', '不明', '不明']	['田中美海', '赵爽', '岚风蜂蜜绿茶', 'Melody Peng']	
42	1561003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '166cm', '50kg', '不明', '不明']	['田中理恵', '侯小菲', '诗洋', 'Brittany Cox']	
43	1071004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['3月2日', '163cm', '42kg', 'B型', '16岁']	['户松遥', '花玲', '东东', 'Heather Gonzalez']	
44	1571003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['8月8日', '182cm', '69kg', 'A型', '21岁']	['石川界人', '孙路路', '秋田', 'Maximilian Reid']	
45	1041004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月21日', '172cm', '57kg', 'A型', '25岁']	['川澄绫子', '云鹤追', '神明凌', 'Skyler Davenport']	
46	1231002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['12月5日', '135.5cm', '29kg', 'AB型', '9岁']	['日高里菜', '龙小梨', '雪霏岚岚', 'Lexi Fontaine']	
47	1011004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['7月23日', '175cm', '63kg', 'AB型', '18岁']	['松冈祯丞', '夏侯落枫', '犬畏', 'Chris Hackney']	
48	1091003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['12月15日', '167cm', '64kg', 'O型', '18岁']	['伊藤静', '巩大方', '傻莓酱', 'Kelsey Jaffer']	
49	1021005	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['6月15日', '165cm', '48kg', 'A型', '17岁']	['石川由依', '小N', '尾狐殿', 'Sura Siu']	
50	1241002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['7月24日', '169cm', '53kg', '不明', '不明']	['远藤绫', '谢莹', '柳青', 'Emi Lo']	
51	1221003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['1月21日', '154cm', '42kg', 'O型', '22岁']	['水濑祈', '钱琛', 'P', 'Sarah Williams']	
52	1251002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['3月25日', '183cm', '80kg', 'B型', '24岁']	['小西克幸', '陈润秋', '紫丞少主', 'Bill Butts']	
53	1261003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['3月22日', '159cm', '41kg', 'AB型', '16岁']	['安济知佳', '佟心竹', 'Aya', 'Ashely Biski']	
54	1271003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['2月21日', '169cm', '49kg', 'A型', '15岁']	['后藤沙绪里', '万纯', '花音bb', 'Julia Ling']	
55	1281002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '不明', '不明', '不明', '不明']	['花泽香菜', '花泽香菜', '花泽香菜', 'Kana Hanazawa']	Assets/Product/Texture/Image/UiFavorability/UiFavorabilityBg5.png
56	1081004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['4月12日', '185cm', '76kg', 'O型', '26岁']	['细谷佳正', '森中人', '星罗', 'Daman Mills']	
57	1521004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['1月3日', '162cm', '43kg', 'AB型', '18岁']	['大原沙耶香', '叶知秋', '零叁', 'Lauren Amante']	
58	1291002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月1日', '157cm', '40kg', 'AB型', '15岁']	['千本木彩花', '周侗', '华丹', 'Erica Mendez']	
59	1171004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月26日', '159cm', '41kg', 'AB型', '16岁']	['钉宫理惠', '四白', '周海鲜', 'Suzie Yeung']	
60	1301002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['3月20日', '172cm', '60kg', 'A型', '24岁']	['长谷川育美', '乔苏', '何春', 'Melissa Medina']	
61	1241003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['7月24日', '169cm', '53kg', '不明', '不明']	['远藤绫', '谢莹', '柳青', 'Emi Lo']	
62	1211003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['5月21日', '178cm', '64kg', 'B型', '20岁']	['石田彰', '孙鹏', '咩鹿君', 'Corey Wilder']	
63	1021006	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['6月15日', '165cm', '48kg', 'A型', '17岁']	['石川由依', '小N', '尾狐殿', 'Sura Siu']	
64	1311002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['2月10日', '165cm', '47kg', 'O型', '17岁']	['小林优', '聂曦映', '陈嘉玲', 'Asante Mango']	
65	1051005	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '145cm', '45kg', '不明', '不明']	['田中美海', '赵爽', '岚风蜂蜜绿茶', 'Melody Peng']	
66	1321003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['1月1日', '171cm', '65kg', '不明', '不明']	['能登麻美子', '姜英俊', 'MIZU·LULY', 'Megan Shipman']	
67	1331003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['12月24日', '170cm', '54kg', 'B型', '26岁']	['芹泽优', '张昱', '林小野', 'Cat Protano']	
68	1531005	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['9月27日', '163cm', '41kg', 'O型', '20岁']	['佐藤聪美', '柳知萧', '以媛', 'Judy Lee']	
69	1341002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['9月10日', '152cm', '48kg', '不明', '不明']	['佐仓绫音', '刘一蕾', '蛋仔', 'Maihan']	
70	1131004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月31日', '164cm', '44kg', 'B型', '17岁']	['井上麻里奈', '江月', 'YUI', 'Dawn M. Bennett']	
71	1351003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '不明', '不明', '不明', '不明']	['Daniel Southworth', 'Daniel Southworth', 'Daniel Southworth', 'Daniel Southworth']	Assets/Product/Texture/Image/UiFavorability/UiFavorabilityBg5.png
72	1361003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['不明', '不明', '不明', '不明', '不明']	['Reuben Langdon', 'Reuben Langdon', 'Reuben Langdon', 'Reuben Langdon']	Assets/Product/Texture/Image/UiFavorability/UiFavorabilityBg5.png
73	1041005	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月21日', '172cm', '57kg', 'A型', '25岁']	['川澄绫子', '云鹤追', '神明凌', 'Skyler Davenport']	
74	1371002	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月30日', '168cm', '50kg', 'AB型', '19岁']	['田村由香里', '常蓉珊', '鲁伊萨', 'Yuuki Luna']	
75	1381003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月5日', '170cm', '55kg', '不明', '23岁']	['甲斐田裕子', '貔貅肛', 'Eve.Y', 'Jennifer Sun Bell']	
76	1031005	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['8月10日', '155cm', '43kg', 'O型', '16岁']	['伊藤美来', '多多', '闲踏梧桐', 'Briannaknicker Bocker']	
77	1291003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['11月1日', '157cm', '40kg', 'AB型', '15岁']	['千本木彩花', '周侗', '华丹', 'Erica Mendez']	
78	1141004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['12月25日', '177cm', '65kg', 'A型', '18岁']	['泽城美雪', '贺文潇', '师欣', 'Sam Slade']	
79	1391003	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['2月3日', '172cm', '56kg', 'O型', '28岁']	['生天目仁美', '李杨', '元气小岚', 'Katiana Sarkissian']	
80	1061004	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['10月23日', '180cm', '72kg', 'B型', '19岁']	['福山润', 'DK', '阿戈伊奥', 'Patrick Gruia']	
81	1021007	1	['启动日', '身高', '体重', '循环液类型', '心理年龄']	['6月15日', '165cm', '48kg', 'A型', '17岁']	['不明', '不明', '不明', '不明']	
