Id	TitleContent	Background	Icon	Desc	IsProgress	EventType	Target	Params
35	Cat's Got Traps	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Animal Trap Skill 10 times as a ""cat""\n(Current: %s)"	True	12	10	
36	Speedup Guy	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Mass Speedup Skill 10 times as a ""cat""\n(Current: %s)"	True	20	10	
37	Hunting Master	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Footprint Tracking Skill 10 times as a ""cat""\n(Current: %s)"	True	22	10	
38	No Escape	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Beast Mark Skill 10 times as a ""cat""\n(Current: %s)"	True	24	10	
39	Doom Bringer	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerCat.png	"Use Intimidate Skill 10 times as a ""cat""\n(Current: %s)"	True	25	10	
40	Transformation	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Transformation Skill 10 times as a ""rat""'\n(Current: %s)"	True	8	10	
41	Hat Trick	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Teleport Hat Skill 10 times as a ""rat""\n(Current: %s)"	True	21	10	
42	Ink Artist	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Ink Bomb Skill 10 times as a ""rat""\n(Current: %s)"	True	23	10	
43	Trickster	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Illusion Skill 10 times as a ""rat""\n(Current: %s)"	True	26	10	
44	Unbreakable	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Shield Skill 10 times as a ""rat""\n(Current: %s)"	True	27	10	
45	King of Banana	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle02.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	"Use Banana Peel Skill 10 times as a ""rat""\n(Current: %s)"	True	28	10	
46	X-Ray Vision	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerTitle03.png	Assets/Product/Texture/Image/UiDlcMultiPlayer/UiDlcMultiPlayerMouse.png	Use See-Through Skill 10 times\n(Current: %s)	True	10	10	
