Id	SkipName	Name	ConditionId	FinishConditionId	Params
20025	FocusMapPin				[400, 4001, 100010]
20026	FocusMapPin				[400, 4001, 100010]
20027	FocusMapPin				[400, 4001, 100010]
20028	FocusMapPin				[400, 4001, 100010]
20029	FocusMapPin				[400, 4001, 100010]
20030	FocusMapPin				[400, 4001, 100010]
20031	ActivityMain				[4]
990000	FocusMapPin				[400, 4001, 100014]
990001	FocusMapPin				[400, 4001, 100014]
990002	FocusMapPin				[400, 4001, 100014]
990003	FocusMapPin				[400, 4001, 100014]
990004	FocusMapPin				[400, 4001, 100014]
990005	FocusMapPin				[400, 4001, 100014]
990006	FocusMapPin				[400, 4001, 100014]
990011	QuestMain				[2003]
990012	FocusMapPin				[400, 4001, 100002]
990013	FocusMapPin				[400, 4001, 100002]
990014	FocusMapPin				[400, 4001, 100002]
990015	FocusMapPin				[400, 4001, 100002]
990016	FocusMapPin				[400, 4001, 100002]
990017	FocusMapPin				[400, 4001, 100002]
990018	FocusMapPin				[400, 4001, 100002]
990019	FocusMapPin				[400, 4001, 100002]
990020	FocusMapPin				[400, 4001, 100002]
990021	FocusMapPin				[400, 4001, 100002]
990022	FocusMapPin				[400, 4001, 100002]
990023	FocusMapPin				[400, 4001, 100002]
990024	FocusMapPin				[400, 4001, 100002]
990025	FocusMapPin				[400, 4001, 100002]
990026	FocusMapPin				[400, 4001, 100002]
990027	FocusMapPin				[400, 4001, 100002]
990028	FocusMapPin				[400, 4001, 100002]
990029	QuestMain				[2001]
990030	FocusMapPin				[400, 4001, 100012]
990031	FocusMapPin				[400, 4001, 100012]
990032	FocusMapPin				[400, 4001, 100012]
990033	FocusMapPin				[400, 4001, 100012]
990034	FocusMapPin				[400, 4001, 100012]
990035	FocusMapPin				[400, 4001, 100012]
990036	FocusMapPin				[400, 4001, 100012]
990037	QuestMain				[2002]
990038	FocusQuest				[3004]
990039	FocusQuest				[3005]
990040	QuestMain				[1001]
990041	QuestMain				[0]
990050	QuestMain				[2012]
990051	FocusMapPin				[400, 5001, 2000001]
990052	FocusMapPin				[400, 5001, 2000001]
990053	FocusMapPin				[400, 5001, 2000001]
990054	FocusMapPin				[400, 5001, 2000001]
990055	FocusMapPin				[400, 5001, 2000001]
990056	FocusMapPin				[400, 5001, 2000001]
990057	FocusMapPin				[400, 5001, 2000001]
990058	FocusMapPin				[400, 5001, 2000001]
990059	FocusMapPin				[400, 5001, 2000001]
990060	FocusMapPin				[400, 5001, 2000001]
990061	FocusMapPin				[400, 5001, 2000001]
990062	FocusMapPin				[400, 5001, 2000001]
990063	FocusMapPin				[400, 5001, 2000001]
990064	FocusMapPin				[400, 5001, 2000001]
990065	FocusMapPin				[400, 5001, 2000001]
990066	QuestInvite				[5]
990067	QuestInvite				[5]
990068	QuestInvite				[5]
990069	QuestInvite				[5]
990070	QuestMain				[7001]
990071	QuestMain				[2011, 2013, 2014]
990072	QuestMain				[2011, 2013, 2014]
990073	QuestMain				[2011, 2013, 2014]
990074	CoursePage				[1, 202]
990075	CoursePage				[1, 202]
990076	CoursePage				[1, 202]
990077	FocusMapPin				[400, 5001, 18000001]
990078	FocusMapPin				[400, 5001, 16000001]
990079	FocusMapPin				[400, 5001, 1100010]
990080	FocusMapPin				[400, 5001, 22000001]
990081	FocusMapPin				[400, 5001, 19000001]
990082	FocusMapPin				[400, 5001, 24000001]
990083	FocusMapPin				[400, 5001, 1700001]
990084	FocusMapPin				[400, 5001, 18000002]
990085	QuestInvite				[5]
200101	ActivityMain				[2, 605, 189, 1147]
200102	CoursePage				[1, 102]
200103	QuestEnvironmentPopup				[1]
200104	QuestInvite				[1]
200105	QuestMain				[2002]
200106	QuestMain				[1002]
200111	FocusMapPin				[400, 5001, 1800001, 1]
200112	FocusMapPin				[400, 5001, 1600001, 1]
200113	FocusMapPin				[400, 5001, 1100010, 1]
200114	FocusMapPin				[400, 5001, 2200001, 1]
200115	FocusMapPin				[400, 5001, 1900001, 1]
200116	FocusMapPin				[400, 5001, 2400001, 1]
200117	FocusMapPin				[400, 5001, 1700001, 1]
200118	FocusMapPin				[400, 5001, 1800002, 1]
200119	QuestMain				[2012]
