Id	Name	NameEn	ChapterId	Type	ShowType	MovieId	OpenHour	PreBlockId	FightBasicPurification	FightFactor	CleanNeed	AutoGrow	StageId	PurificationExp	MailId	ShowRewardId	RewardId	ActionPoint	DetachActionPoint	DetachBasicPurification	DetachExtraPurification	DetachBasicRewardId	DetachExtraRewardId	WorldBossStartHour	WorldBossEndHour	RepeatChallengeActionPoint	DetachRepeatChallengeActionPoint	RepeatChallengeRewardId	DetachRepeatChallengeRewardId	LevelType	LevelDesc	SideBlockId	AuctionCionReward	DetachAuctionCionReward
13	Supply Block	GM2-2	2	2	5			['12']	120	10	300000000		30061738			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Find the Same		5000	5000
14	Supply Block	GM2-3	2	2	5			['12']	120	10	300000000		30061761			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
15	Base Station Block	GM2-4	2	2	8			['13']	120	10	300000000		30061692			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
16	Character Block	GM2-5	2	2	6			['13']	120	10	300000000		30061723		21024	67430	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Pick up Cogs		5000	5000
17	Strategic Block	GM2-6	2	2	2			['15']	120	10	300000000		30061762			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
18	Supply Block	GM2-7	2	2	5			['16']	120	10	300000000		30061724			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Flying Kuroro		5000	5000
19	Character Block	GM2-8	2	2	6			['16']	120	10	300000000		30061748			67431	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
20	Supply Block	GM2-9	2	2	5			['17']	120	10	300000000		30061763			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
21	Character Block	GM2-10	2	2	6			['18']	120	10	300000000		30061785			67432	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Parkour Dash		5000	5000
22	Supply Block	GM2-11	2	2	5			['20']	120	10	300000000		30061749			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
23	Character Block	GM2-12	2	2	6			['20']	120	10	300000000		30061734			67433	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Tag		5000	5000
24	Strategic Block	GM2-13	2	2	2			['21']	120	10	300000000		30061764			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
25	Supply Block	GM2-14	2	2	5			['22']	120	10	300000000		30061731			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Arrow Shooting		5000	5000
26	Character Block	GM3-1	3	2	6			['57']	120	10	300000000		30061750			67434	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
27	Supply Block	GM3-2	3	2	5			['26']	120	10	300000000		30061788			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Protect the Target		5000	5000
28	Supply Block	GM3-3	3	2	5			['26']	120	10	300000000		30061766			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
29	Base Station Block	GM3-4	3	2	8			['27']	120	10	300000000		30061765			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
30	Character Block	GM3-5	3	2	6			['27']	120	10	300000000		30061729			67435	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Pick up Cogs		5000	5000
31	Supply Block	GM3-6	3	2	5			['29']	120	10	300000000		30061751		21025	63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
32	Strategic Block	GM3-7	3	2	2			['30']	120	10	300000000		30061791			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Find the Same		5000	5000
33	Character Block	GM3-8	3	2	6			['30']	120	10	300000000		30061693			67436	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
34	Supply Block	GM3-9	3	2	5			['31']	120	10	300000000		30061767			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
35	Supply Block	GM3-10	3	2	5			['32']	120	10	300000000		30061728			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Tag		5000	5000
36	Character Block	GM3-11	3	2	6			['34']	120	10	300000000		30061752			67437	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
37	Strategic Block	GM3-12	3	2	2			['34']	120	10	300000000		30061730			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Flying Kuroro		5000	5000
38	Supply Block	GM3-13	3	2	5			['35']	120	10	300000000		30061768			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
39	Supply Block	GM3-14	3	2	5			['36']	120	10	300000000		30061727			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Time-limited Survival		5000	5000
40	Character Block	GM4-1	4	2	6			['58']	120	10	300000000		30061769			67438	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
41	Supply Block	GM4-2	4	2	5			['40']	120	10	300000000		30061786			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Parkour Dash		5000	5000
42	Supply Block	GM4-3	4	2	5			['40']	120	10	300000000		30061754			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
43	Base Station Block	GM4-4	4	2	8			['41']	120	10	300000000		30061770			63836	63836	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
44	Character Block	GM4-5	4	2	6			['41']	120	10	300000000		30061690			67439	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Pick up Cogs		5000	5000
45	Supply Block	GM4-6	4	2	5			['43']	120	10	300000000		30061755			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
46	Strategic Block	GM4-7	4	2	2			['44']	120	10	300000000		30061792		21026	63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Arrow Shooting		5000	5000
47	Character Block	GM4-8	4	2	6			['44']	120	10	300000000		30061694			67440	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
48	Supply Block	GM4-9	4	2	5			['45']	120	10	300000000		30061733			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Time-limited Survival		5000	5000
49	Character Block	GM4-10	4	2	6			['46']	120	10	300000000		30061771			67441	63835	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
50	Strategic Block	GM4-11	4	2	2			['48']	120	10	300000000		30061756			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Minion		3000	3000
51	Supply Block	GM4-12	4	2	5			['48']	120	10	300000000		30061790			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Protect the Target		5000	5000
52	Supply Block	GM4-13	4	2	5			['49']	120	10	300000000		30061772			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
53	High-risk Dark Block	GM4-14	4	3	3			['51']	120	50000	300000000		30061688			63839	63839	30						10	21	30		63841		1	Powered.		30000	30000
54	Strategic Block	GM1-11	1	2	2			['9']	120	10	300000000		30061691			63838	63838	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Elite		8000	8000
55	Supply Block	GM1-12	1	2	5			['11']	120	10	300000000		30061722			63837	63837	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	2	Minigame: Tag		5000	5000
56	Dark Block	GM1-13	1	2	9			['11']	120	50000	300000000		30061685			63839	63839	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Madorea		15000	15000
57	Dark Block	GM2-15	2	2	9			['23']	120	50000	300000000		30061686			63839	63839	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Madam Monzano		15000	15000
58	Dark Block	GM3-15	3	2	9			['37']	120	50000	300000000		30061687			63839	63839	30	30	80	[0, 0, 0]	63840				30	30	63841	63840	1	Gwynplaine		15000	15000
