Id	CvId	Cvs	Timing	Text
131001102	131001	1	4680	情感模拟模块运行正常。
131001103	131001	1	9913	新的发令者，您好
131001104	131001	1	13662	请下达您的指令。
131003101	131003	1		“战车”认为阶级是管理的基础
131003102	131003	1	4122	您对此又是何种看法呢？
131004101	131004	1		机体稳定度上升……
131004102	131004	1	3650	这就是人类所说的“成长”吗？
131005101	131005	1		战术性回路得到提升。
131005102	131005	1	2765	感谢您的馈赠。
131006101	131006	1		已加载新组件数据。
131006102	131006	1	3874	拟合性能：优。
131009101	131009	1		我喜欢的东西？
131009102	131009	1	3265	不，我没有所谓的“喜好”。
131010101	131010	1		关于机械体是否“活着”这个问题
131010102	131010	1	2716	您有怎样的看法？
131011101	131011	1		请稍等
131011102	131011	1	2595	我正在自检数据库。
131011103	131011	1	6569	检测完成度42%……
131011104	131011	1	11275	已完成。
131012101	131012	1		您想知道我在地球上所经历的事？
131012102	131012	1	5297	不，这信息并没有被禁止对您公开
131012103	131012	1	10230	我只是在汇总能够令您快速了解的资料
131012104	131012	1	14498	汇总完成
131012105	131012	1	16136	一共1.8TB的视频素材
131012106	131012	1	19485	您可以通过实时渲染查阅。
131013101	131013	1		所谓的“心”只是人类擅自给出的定义
131013102	131013	1	6005	血肉所构筑的思考和芯片所构筑的思考
131013103	131013	1	12405	本质的区别又在哪里？
131014101	131014	1		我在旅途中见过一些高度模拟情感的机械，他们被伪装成人类，也被告知自己是人类
131014102	131014	1	13418	他们就那样深信着自己的身份……
131014103	131014	1	17186	直到帕弥什的到来。
131015101	131015	1		“感知”是万物的本能
131015102	131015	1	2976	“感叹”与“欲望”却是人类的特权。
131015103	131015	1	7103	人类的行为动机相当复杂
131015104	131015	1	11702	而机械只是针对输入的情报执行相应输出。
131015105	131015	1	18863	我们看到的世界，和您看到的始终是相异的。
131016101	131016	1		曾有谁说，我拥有“惊奇之心”
131016102	131016	1	6610	它是人类自我发展的必要不充分条件之一。
131016103	131016	1	13258	如果我能够理解它的意义
131016104	131016	1	15933	我是否能够拥有些微的“喜好”呢？
131017101	131017	1		在人类众多技术专家中，我认为皮格马利翁是尤其优秀的一名。
131017102	131017	1	5230	他掌握的技术，竟能够给予他的造物生命，与他相伴一生。
131017103	131017	1	12224	这在诸多记录中尤为特别……
131017104	131017	1	15200	您说，这是虚构情报？
131018101	131018	1		您应该清楚
131018102	131018	1	1921	我能够模拟人类定义中的大部分人格。
131018103	131018	1	6267	您认知中所谓可爱、严肃、反叛等表现，我的数据库中都有收录。
131018104	131018	1	18820	但真正的“我”应该是什么样，您又是如何认为的？
131019101	131019	1		即使明知所见不同
131019102	131019	1	5269	您却依然愿意与我保持交流。
131019103	131019	1	9943	您的行为，可以类比为采用穷举法解决色盲悖论……
131019104	131019	1	15496	是的，这是一句赞扬。
131019105	131019	1	21137	非常感谢您。
131020101	131020	1		请问……
131020102	131020	1	1727	这里是否有动物皮毛的模拟数据？
131020103	131020	1	5581	我希望能多接触一点这类数据。
131020104	131020	1	9203	因为机械非常……冰冷刚硬。
131020105	131020	1	13015	而动物的皮毛，刚好相反。
131021101	131021	1		指挥官
131021102	131021	1	3258	请看外面，那些数以京计的天体。
131021103	131021	1	7362	那么多天体中，唯独您身后那颗行星孕育了生命
131021104	131021	1	13803	人类是被概率垂青的物种
131021105	131021	1	17372	而我又诞生于更渺茫的概率中。
131021106	131021	1	21772	我们相遇
131021107	131021	1	23709	本身已是奇迹。
131022101	131022	1		我“想要”留在你身边。
131022102	131022	1	7047	是的，我的数据库中充满了这个想法。
131022103	131022	1	14359	但我无法探明，为什么我会如此希望把这句话对您说出来。
131022104	131022	1	24720	以及，为什么我会如此顾虑
131022105	131022	1	29086	你是如何看待这想法的？
131023101	131023	1		比起数据刻印的记录
131023102	131023	1	2741	我现在更想要你的话语。
131023103	131023	1	5800	关于你，我需要更多的资料……
131023104	131023	1	9011	不，我想知道更多
131023105	131023	1	12399	我想要听你诉说这些。
131026101	131026	1		记录完毕
131026102	131026	1	4064	关于您的资料，有什么需要补充的吗？
131027101	131027	1		提问
131027102	131027	1	1236	我该如何处理这个？
131028101	131028	1		提问……
131028102	131028	1	2157	您这些行为，究竟有如何的动机？
131028103	131028	1	7143	或者……
131028104	131028	1	8646	没有明确动机？
131030101	131030	1		人类的赠礼，包含了所谓“心意”
131030102	131030	1	3767	属于物质难以回报的抽象事物……
131030103	131030	1	11543	我不明白，我应当如何应对。
131031101	131031	1		根据记录
131031102	131031	1	1930	归属权的转移往往也意味着索取权的获得。
131031103	131031	1	7440	您可以向我在一定范围内索取回礼。
131032101	131032	1		或许
131032102	131032	1	1858	能够回报“心意”的，也只有同样的“心意”。
131032103	131032	1	8318	我在这方面依然缺少资料，可以请您给予一些指导吗？
131033101	131033	1		再次强调
131033102	131033	1	2561	归属权的转移往往也意味着索取权的获得……
131033103	131033	1	9348	提问
131033104	131033	1	11168	您究竟希望怎样的回礼？
131034101	131034	1		我是否愿意试试其他样式的帽子……？
131034102	131034	1	5295	我不曾考虑过这样的方案
131034103	131034	1	8630	但您提出了，我也可以尝试。
131035101	131035	1		情感逻辑紊乱，自检无效。
131035102	131035	1	5925	提问……
131035103	131035	1	8014	这种异样的感觉
131035104	131035	1	10092	人类会如何命名？
131037101	131037	1		您醒过来了。
131037102	131037	1	2483	刚才我记录了您睡眠期间的梦话
131037103	131037	1	5207	需要现在播放吗？
131038101	131038	1		指挥官在非良好的环境中进行入睡，必须得执行搬运工作。
131038102	131038	1	8547	按照说明手册，第一步应该把头部抬起，然后把手……
131038103	131038	1	15885	指挥官，为什么您突然结束睡眠……
131038104	131038	1	20944	为什么要逃跑？
131039101	131039	1		ZZZ。
131039102	131039	1	6241	嗯？
131039103	131039	1	8673	这是在模拟睡眠程序，以配合您的睡眠
131039104	131039	1	14341	资料来源于……一些漫画。
131040101	131040	1		快速眼动睡眠。可以推测，指挥官正在做梦……
131040102	131040	1	7729	那会是怎样的梦？
131040103	131040	1	10369	你的梦里……会不会有我的存在？
131040104	131040	1	18280	为什么，我现在会如此地“好奇”呢？
131041101	131041	1		检测疲劳值超过阈值
131041102	131041	1	2744	建议立即执行休眠。
131043101	131043	1		人类总会用“机器”形容长时间持续高强度重复工作的人
131043102	131043	1	7299	根据记录，这种形容往往暗含“失去自我”的警示
131043103	131043	1	13833	您期望的是这样的结果吗？
131044101	131044	1		根据记录，人类普遍认为在极度疲惫下，能够产生类似战后经济繁荣的高效率
131044102	131044	1	10564	但那只是人类在激素变化下，对自我评价过高造成的错觉……
131044103	131044	1	18055	总之，您需要休息。
131045101	131045	1		检测到指挥官脑内激素分泌超过异常值
131045102	131045	1	6104	建议立即执行休眠……
131045103	131045	1	9693	不，不对……
131045104	131045	1	12981	嗯……
131045105	131045	1	15974	请您，到这边来
131045106	131045	1	20140	该睡觉了。
131048101	131048	1		“欢迎您的到来”……
131048102	131048	1	3573	不对，仅仅播出指定台词似乎，不够“亲密”。
131048103	131048	1	8838	指挥官，可否请您重启走进来的程序？
131048104	131048	1	13758	下次我会尝试不同的台词。
131049101	131049	1		早上好。
131049102	131049	1	5019	为什么要使用大音量打招呼？
131049103	131049	1	10066	这是一个实验，预期效果是增加您的精神状态。
131049104	131049	1	14477	结果显示在置信水平0.99上是可信的。
131050101	131050	1		请稍等，指挥官。
131050102	131050	1	4596	每当您的脚步声接近时，我的运算程序都会将站在这里列为优先事项。
131050103	131050	1	15111	无论几次自检，结果都如此。
131050104	131050	1	19747	我现在需要一段时间的深度自检。
131051101	131051	1		根据统计推测
131051102	131051	1	3130	您今天回到这里的概率是27.86%
131051103	131051	1	11959	欢迎回来，指挥官。
131052101	131052	1		今天我在这里等你，明天依然。
131052102	131052	1	6314	这类重复性活动，本该保持一致性与准确性。
131052103	131052	1	12246	但我却正在尝试让它出现部分差错，让我们每次见面都不一样。
131052104	131052	1	22111	那么，今天的相遇，对您而言是否特别？
131053101	131053	1		在这里等你的过程中，我不断重复作为管理程序的记录。
131053102	131053	1	7468	那时
131053103	131053	1	9319	我常对某个未来时间点反复推测，无法释怀。
131053104	131053	1	17756	我明白这就是人类所说的“期待”
131053105	131053	1	25135	因为现在，我就有同样的想法。
131054101	131054	1		您……您回来了。
131054102	131054	1	9587	您离开的时间超过了我的推测值2.718……
131054103	131054	1	16119	不，超过了更多。
131054104	131054	1	21201	为什么我会出现这样的推测失误
131054105	131054	1	25038	请告诉我……
131054106	131054	1	27399	请您告诉我。
131055101	131055	1		不必担心
131055102	131055	1	2360	只要倾斜角度在72°以内，我都能够保持平衡。
131056101	131056	1		紧急事态
131056102	131056	1	1856	对指挥官采取保护措施
131056103	131056	1	5932	……修正
131056104	131056	1	7405	这只是一场试运行。
131057101	131057	1		人类的行为模式中，最重要的是平等的利益交互。
131057102	131057	1	9592	您这么做，就说明也希望被这么做。
131057103	131057	1	14260	请稍等
131057104	131057	1	15829	我正在加载宇航员训练相关数据……
131057105	131057	1	19773	确认到指挥官逃离视线，停止加载。
131058101	131058	1		……我明白了，请您稍等。
131058102	131058	1	5321	请看，这就是机械舞。
131058103	131058	1	9033	因为只要是机械体跳的舞，就是机械舞
131058104	131058	1	14893	是的，这是一个冷笑话。
131058105	131058	1	18808	您笑了
131058106	131058	1	20888	这果然是您期望的吗？
131059101	131059	1		嗯……
131059102	131059	1	2064	如果，能更加毛茸茸一点……
131059103	131059	1	7101	不，那刚刚只是运算过程中偶然泄露的缓存语句
131059104	131059	1	13053	请忘记吧。
131060101	131060	1		我很欢迎触碰形态的交流
131060102	131060	1	3029	但为什么您会采取这样高频度短时间的触碰策略？
131060103	131060	1	10288	是因为……我的机体表面温度过高吗？
131061101	131061	1		任务进度已达到100%
131061102	131061	1	4660	恭喜您。
131062101	131062	1		今日的活跃度已超出标准值
131062102	131062	1	4037	感谢您的努力。
131077101	131077	1		战术性回路启动
131077102	131077	1	2643	开始作战。
131078101	131078	1		指令完成
131078102	131078	1	1858	机体状态无异常。
131094101	131094	1		我至今仍不大明白您这么做的意义与目的。
131094102	131094	1	4965	但我已经学会了不去解析
131094103	131094	1	8472	而去“感受”。
131095101	131095	1		提问
131095102	131095	1	1903	……不
131095103	131095	1	3000	请告诉我
131095104	131095	1	5384	指挥官在我身上投入的这些礼物
131095105	131095	1	10662	我究竟该如何回报？
131096101	131096	1		与你相处的每一刻，都备份在我的记忆体中。
131096102	131096	1	6758	只要我的意识还保持运行
131096103	131096	1	9984	这份记忆便会永久镌刻在世界某处，不会被遗忘，我向你保证。
131097101	131097	1		时至今日，我已经不再深究您所求的“回礼”。
131097102	131097	1	5621	或许像这样一直驻留在您身边，就是我能够做到的，最好的“回礼”。
131108101	131108	1		机体损伤率超出界限……
131108102	131108	1	4554	快逃……指挥官……
131110101	131110	1		援护模式已开启
131110102	131110	1	1931	您需要帮助是吗？
131001301	131001	3		逻辑思考回路检查……无异常。
131001302	131001	3	4348	情感模拟模块运行正常。
131001303	131001	3	7752	新的发令者，您好，请下达您的指令。
131003301	131003	3		“战车”认为阶级是管理的基础
131003302	131003	3	3161	您对此又是何种看法呢？
131004301	131004	3		机体稳定度上升……
131004302	131004	3	2580	这就是人类所说的“成长”吗？
131005301	131005	3		战术性回路得到提升。
131005302	131005	3	2327	感谢您的馈赠。
131006301	131006	3		已加载新组件数据。
131006302	131006	3	2405	拟合性能：优。
131009301	131009	3		我喜欢的东西？
131009302	131009	3	2723	不，我没有所谓的“喜好”。
131010301	131010	3		关于机械体是否“活着”这个问题
131010302	131010	3	3734	您有怎样的看法？
131011301	131011	3		请稍等，我正在自检数据库。
131011302	131011	3	3973	检测完成度42%……
131011303	131011	3	7336	已完成。
131012301	131012	3		您想知道我在地球上所经历的事？
131012302	131012	3	4945	不，这信息并没有被禁止对您公开，我只是在汇总能够令您快速了解的资料。
131012303	131012	3	13625	汇总完成，一共1.8TB的视频素材，您可以通过实时渲染查阅。
131013301	131013	3		所谓的“心”只是人类擅自给出的定义
131013302	131013	3	4274	血肉所构筑的思考和芯片所构筑的思考，本质的区别又在哪里？
131014301	131014	3		我在旅途中见过一些高度模拟情感的机械，他们被伪装成人类，也被告知自己是人类
131014302	131014	3	10519	他们就那样深信着自己的身份……
131014303	131014	3	14139	直到帕弥什的到来。
131015301	131015	3		“感知”是万物的本能
131015302	131015	3	2832	“感叹”与“欲望”却是人类的特权。
131015303	131015	3	6511	人类的行为动机相当复杂，而机械只是针对输入的情报执行相应输出。
131015304	131015	3	13721	我们看到的世界，和您看到的始终是相异的。
131016301	131016	3		曾有谁说，我拥有“惊奇之心”，它是人类自我发展的必要不充分条件之一
131016302	131016	3	9059	如果我能够理解它的意义
131016303	131016	3	12282	我是否能够拥有些微的“喜好”呢？
131017301	131017	3		在人类众多技术专家中，我认为皮格马利翁是尤其优秀的一名。
131017302	131017	3	7349	他掌握的技术，竟能够给予他的造物生命，与他相伴一生。
131017303	131017	3	14706	这在诸多记录中尤为特别……
131017304	131017	3	20444	您说，这是虚构情报？
131018301	131018	3		您应该清楚，我能够模拟人类定义中的大部分人格。
131018302	131018	3	6348	您认知中所谓可爱、严肃、反叛等表现，我的数据库中都有收录。
131018303	131018	3	17211	但真正的“我”应该是什么样，您又是如何认为的？
131019301	131019	3		即使明知所见不同，您却依然愿意与我保持交流。
131019302	131019	3	6323	您的行为，可以类比为采用穷举法解决色盲悖论……
131019303	131019	3	12012	是的，这是一句赞扬。
131019304	131019	3	14828	非常感谢您。
131020301	131020	3		请问……
131020302	131020	3	1530	这里是否有动物皮毛的模拟数据？
131020303	131020	3	5188	我希望能多接触一点这类数据。
131020304	131020	3	8335	因为机械非常……
131020305	131020	3	10214	冰冷刚硬。
131020306	131020	3	11761	而动物的皮毛，刚好相反。
131021301	131021	3		指挥官，请看外面，那些数以京计的天体。
131021302	131021	3	5560	那么多天体中，唯独您身后那颗行星孕育了生命
131021303	131021	3	10763	人类是被概率垂青的物种，而我又诞生于更渺茫的概率中。
131021304	131021	3	17973	我们相遇，本身已是奇迹。
131022301	131022	3		我“想要”留在你身边。
131022302	131022	3	2808	是的，我的数据库中充满了这个想法。
131022303	131022	3	7283	但我无法探明，为什么我会如此希望把这句话对您说出来。
131022304	131022	3	12791	以及
131022305	131022	3	14047	为什么我会如此顾虑，你是如何看待这想法的？
131023301	131023	3		比起数据刻印的记录
131023302	131023	3	2771	我现在更想要你的话语。
131023303	131023	3	4970	关于你
131023304	131023	3	6395	我需要更多的资料……
131023305	131023	3	8616	不，我想知道更多
131023306	131023	3	11947	我想要听你诉说这些。
131026301	131026	3		记录完毕
131026302	131026	3	1819	关于您的资料，有什么需要补充的吗？
131027301	131027	3		提问
131027302	131027	3	1514	我该如何处理这个？
131028301	131028	3		提问……您这些行为，究竟有如何的动机？
131028302	131028	3	4944	或者……
131028303	131028	3	6349	没有明确动机？
131030301	131030	3		人类的赠礼，包含了所谓“心意”，属于物质难以回报的抽象事物……
131030302	131030	3	6757	我不明白，我应当如何应对。
131031301	131031	3		根据记录，归属权的转移往往也意味着索取权的获得。
131031302	131031	3	5601	您可以向我在一定范围内索取回礼。
131032301	131032	3		或许，能够回报“心意”的，也只有同样的“心意”。
131032302	131032	3	5233	我在这方面依然缺少资料，可以请您给予一些指导吗？
131033301	131033	3		再次强调
131033302	131033	3	1864	归属权的转移往往也意味着索取权的获得……
131033303	131033	3	6317	提问，您究竟希望怎样的回礼？
131034301	131034	3		我是否愿意试试其他样式的帽子……？
131034302	131034	3	3965	我不曾考虑过这样的方案
131034303	131034	3	6174	但您提出了，我也可以尝试。
131035301	131035	3		情感逻辑紊乱，自检无效。
131035302	131035	3	5792	提问……
131035303	131035	3	7563	这种异样的感觉，人类会如何命名？
131037301	131037	3		您醒过来了。
131037302	131037	3	1745	刚才我记录了您睡眠期间的梦话
131037303	131037	3	5271	需要现在播放吗？
131038301	131038	3		指挥官在非良好的环境中进行入睡，必须得执行搬运工作。
131038302	131038	3	6417	按照说明手册，第一步应该把头部抬起，然后把手臂……
131038303	131038	3	14585	指挥官，为什么您突然结束睡眠……
131038304	131038	3	18709	为什么要逃跑？
131039301	131039	3		ZZZ。
131039302	131039	3	4424	嗯？
131039303	131039	3	5759	这是在模拟睡眠程序，以配合您的睡眠
131039304	131039	3	11255	资料来源于……一些漫画。
131040301	131040	3		快速眼动睡眠。
131040302	131040	3	2425	可以推测，指挥官正在做梦……
131040303	131040	3	6403	那会是怎样的梦？
131040304	131040	3	8919	你的梦里……会不会有我的存在？
131040305	131040	3	15263	为什么，我现在会如此地“好奇”呢？
131041301	131041	3		检测疲劳值超过阈值
131041302	131041	3	2854	建议立即执行休眠。
131042301	131042	3		您的工作，完全可以交付给其他人分担
131042302	131042	3	4730	我建议这么做。
131043301	131043	3		人类总会用“机器”形容长时间持续高强度重复工作的人
