Id	Name	Composer	Cover	Bg	CueId	Priority	ConditionId
44	In My Memory	作曲：GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace84.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace84.png	389	56	
45	Elfe de la mer	作曲：LCC	Assets/Product/Texture/Image/CdPlayer/CdFace88.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace88.png	399	55	775901
46	Moonlit Occultation	作曲：FLuoRiTe & GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace91.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace91.png	5009	54	
47	To The Limit	作曲：GhostFinal & Haloweak\n作词：Kinoko蘑菇\n演唱：GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace92.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace92.png	5018	53	
48	Stellarira	作曲：MEI＆Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace93.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace93.png	5032	52	
49	Adversity	作曲：FLuoRiTe & GhostFinal	Assets/Product/Texture/Image/CdPlayer/CdFace99.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace99.png	5050	51	
50	Toxic Rage	作曲：FLuoRiTe	Assets/Product/Texture/Image/CdPlayer/CdFace104.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace104.png	5049	50	
51	雷風鋭くなれ	作曲：Polyblue	Assets/Product/Texture/Image/CdPlayer/CdFace98.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace98.png	5051	49	775902
52	Interstice Oath	作曲：FLuoRiTe	Assets/Product/Texture/Image/CdPlayer/CdFace105.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace105.png	5057	48	
53	Echo of Fated Petals	作曲：MEI	Assets/Product/Texture/Image/CdPlayer/CdFace107.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace107.png	5066	47	
54	Crossing Eternities	作曲：Haloweak	Assets/Product/Texture/Image/CdPlayer/CdFace108.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace108.png	6100	46	
55	Seraphim	作曲＆编曲：D·Yi	Assets/Product/Texture/Image/CdPlayer/CdFace112.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace112.png	6104	45	775903
56	The Last Witness	作曲：FLuoRiTe 制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace113.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace113.png	6152	44	
57	One More Hand	作曲：FLuoRiTe & GhostFinal\n贝斯：AzusaTaxhi 制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace116.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace116.png	6164	43	
58	I was born for you	作曲：Tony Yan	Assets/Product/Texture/Image/CdPlayer/CdFace117.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace117.png	6165	42	775904
59	「梦赴光寥之乡」EP - 《Dreaming to the Glowing Place》	作曲：azusaTaxhi	Assets/Product/Texture/Image/CdPlayer/CdFace121.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace121.png	6171	41	
60	Abyssal Circuit	作曲：CoyDe	Assets/Product/Texture/Image/CdPlayer/CdFace124.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace124.png	6180	40	
61	Je t'aime, VI	作曲＆编曲：CoyDe	Assets/Product/Texture/Image/CdPlayer/CdFace125.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace125.png	6167	39	
62	By My Blade	作曲：FLuoRiTe 混音/母带：Haloweak & Hyoukuro	Assets/Product/Texture/Image/CdPlayer/CdFace128.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace128.png	6196	38	
63	Paradox	作曲：azusaTaxhi	Assets/Product/Texture/Image/CdPlayer/CdFace129.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace129.png	6197	37	
64	落樱之下	制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace130.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace130.png	6202	36	775905
68	Serene Embers	作曲：azusaTaxhi 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace134.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace134.png	6232	35	
70	Pieces Of My Past	作曲：Coyde＆Tony Yan 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace136.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace136.png	6242	33	
71	「理想笼」EP - 《Steel Heart》	作曲：GhostFinal & D.Yi 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace137.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace137.png	6259	32	
72	Ticking Compassion	作曲：D.Yi 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace139.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace139.png	6252	31	775906
73	白鸟梦歌	作曲：Kinoko蘑菇 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace140.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace140.png	6406	30	
74	Wake from the Mirage	作曲：Polyblue&GhostFinal\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace144.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace144.png	7113	29	
75	The Phantom of Myself	作曲：D.Yi 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace143.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace143.png	7119	28	775907
76	风雪踏破	作曲：GhostFinal 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace147.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace147.png	7134	27	
77	火种Tinder	作曲：Polyblue 监制：Y.FIELD\n制作：战双帕弥什&Vanguard-sound	Assets/Product/Texture/Image/CdPlayer/CdFace150.png	Assets/Product/Texture/Image/CdPlayer/BgCdFace150.png	7149	26	
