Id	Name	Desc	Condition	StageType	StageId	TRPGRewardId	PrefabName	Icon	DialogIcon
21026	11一路前行	丽芙小心翼翼地翻开了褪色的封面，从中掉出一片白色的花瓣，落在她手中。	[100830]		10130214		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21032	12布满荆棘	前方还有不少陷阱，请小心行事。	[100831]		10130215		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23033	13曾在此处	如果没有发生那件事，我或许还会对此抱着愚蠢的希望。	[100832]		10130177		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa04.png
21034	14零落碎片	什么时候让露西亚找回那段记忆，就由你来决定了。	[100833]		10130216	21034	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
31000	01伪物都市	并不是被废弃……而是从一开始就没有被使用过。	[100834]		10130217	30000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31001	02红潮的指引	溯源而上——抵达深渊。	[100835]		10130218		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33003	03欢迎仪式	这些随意堆放的破碎机体，令人联想到‘尸骸’。	[100836]		10130178		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa01.png
39001	04帷幕	既然客人已经来到了家门口，又哪有不招待的道理。	[100837]		10130219		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31005	05意外的援助	那么接下来，就由我来做你们的行动支援吧。	[100838]		10130220		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33006	06升格秘闻	蒙眼的王，谏臣与野兽。	[100839]		10130179	31006	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa02.png
39002	07试探	又或者，这是您的另一种’测试’？	[100840]		10130221		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
33007	08问句	你真的能——用手中的这把刀，刺穿露娜的心脏？	[100841]		10130180		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa03a.png
39003	09代行者之怒	如果这些软弱无力的造物就是你所谓的‘最终计划’……那么我很失望。	[100842]		10130181		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa04.png
31008	10报幕人	这就是，我给露娜小姐的答案——	[100843]		10130222		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31009	11跨越连接桥	无论在看得见的地方还是看不见的地方，支援部队永远都在工作。	[100844]		10130223		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31010	12华胥虚影	华胥的虚影出现在这里……到底意味着什么？	[100845]		10130224	31010	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31011	13造访者	小心那个露西亚。	[100846]		10130225		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31012	14真红决意	露西亚……快！指挥官要……	[100847]		10130226		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39004	15分歧点	我会接受你的一切，包括你的痛苦与抉择。	[100848]		10130227		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39005	16往事尘封	别着急，下一个就是你了。	[100849]		10130228		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31013	17悔恨的残片	在彻底陷入了静默之前，露西亚握紧了手中的铭牌……	[100850]		10130229		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39006	18回忆乱流	彼此的回忆碎片在回忆乱流中越过了界限，如同崩塌后倾泻而下的玻璃碎片，零落在她们眼前。	[100851]		10130230		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
39007	19迷茫之心	口出狂言却如此迷茫，如此不堪，这就是现在的你？	[100852]		10130231		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
31015	20露西亚	这是作为你没有逃避任何回忆，直面一切的报答。	[100853]		10130182		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa05.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageCa05.png
31016	21迈向未来	欢迎回来，露西亚。	[100854]		10130232	31016	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryCa01.png
40000	01聚噬深渊	在这巨大怪物的身下汇聚着红潮形成的湖泊，闪烁着令人畏惧的猩红光芒。	[100855]		10130233	40000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41001	02完美伪装？	如果他不是莫瑞，又会是谁呢？	[100856]		10130234		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41003	03音频分析	盲目地寻找根本不可能找到拉弥亚的所在，这个时候就需要注意下提示了。	[100857]		10130235		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41803	04人鱼的礼物	嘻嘻，收下吧，这来自拉弥亚微不足道的关心。	[100858]		10130236		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41004	05被捕的人鱼	拉弥亚，已经无处可逃了。	[100859]		10130237		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41005	06恐怖的痕迹	当大家赶到震动中心的时候，现场只剩下被割裂和被击碎的巨大岩石痕迹。	[100860]		10130238		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43006	07升格互噬	露娜小姐……请你履行作为代行者最后的职责……	[100861]		10130183		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa01.png
41007	08决意	灰鸦小队要在一起才能发挥出最大的实力，不是吗？	[100862]		10130239		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
41009	09人鱼的目的	“完成你的任务。”	[100863]		10130240		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43011	10巨大的威胁	直面聚噬体的咆哮，除了战斗，无处可逃。	[100864]		10130184	43011	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa02.png
41812	11自白	这次，我选择相信的是“我自己”	[100865]		10130241		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryDa01.png
43012	12分秒必争	虽然面前有着无数的敌人，但是露西亚相信，这来自背后的子弹和光束，将为自己扫平所有的障碍。	[100866]		10130185	43012	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa03.png
43013	13苏醒与毁灭	终焉将……在此降临！	[100867]	1	10130186	43013	Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageDa04.png
