Id	Priority	SequentialId	Ignore	Desc	GuideType	ConditionId	CompleteId	ActiveUi	CheckNodeActive	RewardId	GroupId
200238	200238			v3.6商业街-处于2-1的准备界面	1	[50010029, 50010021]	200238	UiSkyGardenShoppingStreetGame			200238
200239	200239			v3.6商业街-处于2-2的准备界面	1	[50010030, 50010021, 50010044]	200239	UiSkyGardenShoppingStreetGame	FullScreenBackground/ActivityLiBg/BuildingArea/Buildings/GridInsideBuild6/Edit/PanelLock		200239
200240	200240			v3.6商业街-处于2-2的游玩界面	1	[50010030, 50010022]	200240	UiSkyGardenShoppingStreetGame			200240
200241	200241			v3.6商业街-处于3-1的准备界面	1	[50010031, 50010021]	200241	UiSkyGardenShoppingStreetGame			200241
200242	200242			v3.6商业街-完成引导200241	1	[50010032, 50010031, 50010021, 50010045]	200242	UiSkyGardenShoppingStreetGame	FullScreenBackground/ActivityLiBg/BuildingArea/Buildings/GridInsideBuild6/Edit/PanelLock		200242
200243	200243			v3.6商业街-有可建造的外圈建筑	1	[50010033, 50010034, 50010021]	200243	UiSkyGardenShoppingStreetGame			200243
200244	200244			v3.6商业街-完成引导200243	1	[50010035]	200244	UiSkyGardenShoppingStreetBuild	BtnRecommend		200244
200245	200245			v3.6商业街-突发事件	1	[50010022, 50010033, 50010036]	200245	UiSkyGardenShoppingStreetGame			200245
200246	200246			v3.6商业街-常规促销	1	[50010033, 50010037]	200246	UiSkyGardenShoppingStreetSale			200246
200247	200247			v3.6商业街-完成引导200246	1	[50010038, 50010033, 50010021]	200247	UiSkyGardenShoppingStreetGame	TxtBtnChooseSale		200247
200248	200248			v3.6商业街-处于4-1的准备界面	1	[50010039, 50010021]	200248	UiSkyGardenShoppingStreetGame			200248
200249	200249			v3.6商业街-新闻界面	1	[50010040]	200249	UiSkyGardenShoppingStreetToastNews			200249
200250	200250			v3.6商业街-限时推广	1	[50010040]	200250	UiSkyGardenShoppingStreetLight			200250
200251	200251	2		v4.2拍照引导1	1	[50010301]	200251	UiBigWorldPhotographControl			200251
200252	200252	2		v4.2拍照引导2	1	[50010302]	200252	UiBigWorldPhotographControl			200252
200253	200253	2		v4.2拍照引导3	1	[50010303]	200253	UiBigWorldPhotographControl			200253
200254	200254	2		v4.2拍照引导4	1	[50010304]	200254	UiBigWorldPhotographControl			200254
200255	200255			v4.2引航任务	1	[50002053]	200255	UiBigWorldHud	BtnNews		200255
200256	200256			v4.2历程任务二期	1	[50010048]	200256	UiBigWorldHud|UiBigWorldProcess			200256
200261	200261			v4.2空域迷航-主界面	1		200261	UiSkyGardenSGDroneMain			200261
200262	200262			v4.2空域迷航-关卡介绍	1		200262	UiSkyGardenSGDronePopupDetail			200262
200263	200263			v4.2空域迷航-101前	1	[50010411]	200263	UiSkyGardenSGDroneGame			200263
200264	200264			v4.2空域迷航-101中	1	[50010411]	200264	UiSkyGardenSGDroneGame			200264
200265	200265			v4.2空域迷航-101后	1	[50010411]	200265	UiSkyGardenSGDroneGame			200265
200266	200266			v4.2空域迷航-102详情	1	[50010411]	200266	UiSkyGardenSGDroneGame			200266
200267	200267			v4.2空域迷航-102前	1	[50010411]	200267	UiSkyGardenSGDroneGame			200267
200268	200268			v4.2空域迷航-102中	1	[50010411]	200268	UiSkyGardenSGDroneGame			200268
200269	200269			v4.2空域迷航-102后	1	[50010411]	200269	UiSkyGardenSGDroneGame			200269
200270	200270			v4.2空域迷航-201	1	[50010411]	200270	UiSkyGardenSGDroneGame			200270
200271	200271			v4.2空域迷航-202	1	[50010411]	200271	UiSkyGardenSGDroneGame			200271
200272	200272			v4.2空域迷航-301	1	[50010411]	200272	UiSkyGardenSGDroneGame			200272
200273	200273			v4.2空域迷航-401前	1	[50010411]	200273	UiSkyGardenSGDroneGame			200273
200274	200274			v4.2空域迷航-401后	1	[50010411]	200274	UiSkyGardenSGDroneGame			200274
200275	200275			v4.2空域迷航-402	1	[50010411]	200275	UiSkyGardenSGDroneGame			200275
200276	200276			v4.2空域迷航-403	1	[50010411]	200276	UiSkyGardenSGDroneGame			200276
200280	200280			v4.5法奥斯学院	1	[50010412]	200280	UiBigWorldCollegeBanner			200280
200281	200281			v4.5指挥官DIY优化	1		200281	UiBigWorldDIY	PanelOutfitTab		200281
200282	200282			v4.5历程2.0邀约	1	[50003211]	200282	UiBigWorldTaskMainInvitation			200282
200283	200283			v4.5历程2.0流程	1	[50003222]	200283	UiBigWorldHud|UiBigWorldProcess			200283
