Id	Note	EffectPrefab	Offset	Rotate	Scale	IsDirection	InitAngle
17	主教即将行动（闪红光）	Assets/Product/Effect/Prefab/FxWanfa/FxChessWarningBishop.prefab					
18	骑士即将行动（闪红光）	Assets/Product/Effect/Prefab/FxWanfa/FxChessWarningKnight.prefab					
19	城堡即将行动（闪红光）	Assets/Product/Effect/Prefab/FxWanfa/FxChessWarningRook.prefab					
20	小兵即将行动（闪红光）	Assets/Product/Effect/Prefab/FxWanfa/FxChessWarningPawn.prefab					
21	国王蓝色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpKing.prefab					
22	国王黄色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpKing02.prefab					
23	女王蓝色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpQueen.prefab					
24	女王黄色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpQueen02.prefab					
25	主教蓝色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpBishop.prefab					
26	主教黄色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpBishop02.prefab					
27	骑士蓝色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpKnight.prefab					
28	骑士黄色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpKnight02.prefab					
29	城堡蓝色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpRook.prefab					
30	城堡黄色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpRook02.prefab					
31	小兵蓝色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpPawn.prefab					
32	小兵黄色流光	Assets/Product/Effect/Prefab/FxWanfa/FxChessBackUpPawn02.prefab					
33	棋子死亡	Assets/Product/Effect/Prefab/FxWanfa/FxChessFall.prefab					
34	棋子眩晕	Assets/Product/Effect/Prefab/FxWanfa/FxChessGiddy.prefab	0|0.66|0				
35	击中主教	Assets/Product/Effect/Prefab/FxWanfa/FxChessHitBishop.prefab					
36	击中国王	Assets/Product/Effect/Prefab/FxWanfa/FxChessHitKing.prefab					
37	击中骑士	Assets/Product/Effect/Prefab/FxWanfa/FxChessHitKnight.prefab					
38	击中小兵	Assets/Product/Effect/Prefab/FxWanfa/FxChessHitPawn.prefab					
39	击中城堡	Assets/Product/Effect/Prefab/FxWanfa/FxChessHitRook.prefab					
40	击中女王	Assets/Product/Effect/Prefab/FxWanfa/FxChessHitQueen.prefab					
41	起手棋子附加	Assets/Product/Effect/Prefab/FxWanfa/FxChessBuff.prefab					
42	黑岩小刀技能1特效	Assets/Product/Effect/Prefab/FxWanfa/FxBRSBuff.prefab					
43	攻击范围（蓝色）	Assets/Product/Effect/Prefab/FxWanfa/FxAttackRangeNew.prefab					
44	移动范围（绿色）	Assets/Product/Effect/Prefab/FxWanfa/FxMovePlaceNew.prefab					
45	危险区域（红色）	Assets/Product/Effect/Prefab/FxWanfa/FxWarningPlaceNew.prefab					
46	施法区域（蓝色）和伤害区域（黄色）	Assets/Product/Effect/Prefab/FxWanfa/FxAttackRangeMix.prefab					
47	危险区域（红色）和伤害区域（黄色）	Assets/Product/Effect/Prefab/FxWanfa/FxWarningPlaceMix.prefab					
48	白毛伤害区域（边框）	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoAttackRange.prefab					
49	露娜伤害区域（边框）	Assets/Product/Effect/Prefab/FxWanfa/FxChessLunaAttackRange.prefab					
50	露娜攻击动作特效	Assets/Product/Effect/Prefab/FxWanfa/FxChessLunaAttack.prefab					
51	露娜格子受击特效	Assets/Product/Effect/Prefab/FxWanfa/FxChessLunaAttackGrid1.prefab					
52	露娜大招格子受击特效	Assets/Product/Effect/Prefab/FxWanfa/FxChessLunaAttackGrid2.prefab					
53	薇拉红莲瞬移	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoMove.prefab					
54	白毛刀光特效（复用上期）	Assets/Product/Effect/Prefab/FxWanfa/FxBRSSwordSlash.prefab	0|0.45|0	0|180|180			
55	白毛格子受击特效	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoAttackGrid.prefab					
56	白毛救驾特效	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoHelpSkill.prefab					
57	站到黑格的特效	Assets/Product/Effect/Prefab/FxWanfa/FxGridStandBlack.prefab					
58	站到白格的特效	Assets/Product/Effect/Prefab/FxWanfa/FxGridStandWhite.prefab					
59	白毛施法范围（蓝色）和伤害范围（边框）	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoAttackRangeMix.prefab					
60	薇拉伤害区域（边框）	Assets/Product/Effect/Prefab/FxWanfa/FxChessLunaAttackRange.prefab					
61	薇拉施法范围（蓝色）和伤害范围（边框）	Assets/Product/Effect/Prefab/FxWanfa/FxAttackRangeNew.prefab					
62	红怒薇拉伤害区域（边框）	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoAttackRange.prefab					
63	红怒薇拉施法范围（蓝色）和伤害范围（边框）	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoAttackRangeMix.prefab					
64	Boss延迟伤害预览	Assets/Product/Effect/Prefab/FxWanfa/FxWarningPlaceMix.prefab					
65	扳手大招特效符号	Assets/Product/Effect/Prefab/FxWanfa/FxLotteryBlue.prefab					
66	扳手大招常驻特效	Assets/Product/Effect/Prefab/FxWanfa/FxReSuperGreen.prefab			0.5|0.5|0.5		
67	扳手跳劈技能延迟结算格子伤害特效	Assets/Product/Effect/Prefab/FxWanfa/FxChessLunaAttackGrid1.prefab					
68	扳手跳劈技能处于大招状态下时的震屏特效	Assets/Product/Effect/Prefab/FxWanfa/Fxpingfengzdpfjiesuan.prefab					
69	扳手普攻特效	Assets/Product/Effect/Prefab/FxWanfa/FxBRSSwordSlash.prefab		0|180|0			
70	遮天碧碧普攻	Assets/Product/Effect/Prefab/FxWanfa/FxRpgBiankaLuolei.prefab					
71	遮天碧碧切换形态表情	Assets/Product/Effect/Prefab/FxWanfa/FxReJingdai.prefab	0|1|0				
72	遮天碧碧切换形态黑色切入特效	Assets/Product/Effect/Prefab/FxWanfa/FxGridStandBlack.prefab					
73	遮天碧碧切换形态白色切入特效	Assets/Product/Effect/Prefab/FxWanfa/FxGridStandWhite.prefab					
74	遮天碧碧雷击技能表情	Assets/Product/Effect/Prefab/FxWanfa/FxReXiao.prefab	0|1|0				
75	遮天碧碧雷击技能特效	Assets/Product/Effect/Prefab/FxWanfa/FxLightningChess.prefab					
76	遮天碧碧大招召唤表情	Assets/Product/Effect/Prefab/FxWanfa/FxReShengqi.prefab	0|1|0				
77	遮天碧碧大招消失特效	Assets/Product/Effect/Prefab/FxWanfa/FxShunYiChess.prefab					
78	遮天碧碧大招格子常驻锁定特效	Assets/Product/Effect/Prefab/FxWanfa/FxAttackPlace.prefab					
79	遮天碧碧大招雷击特效	Assets/Product/Effect/Prefab/FxWanfa/FxLightningChess.prefab					
80	下阵区域提示特效	Assets/Product/Effect/Prefab/FxWanfa/FxWarningPlaceMix.prefab			1.9|1|11.5		
81	棋子放入备战席/格子上时的特效	Assets/Product/Effect/Prefab/FxSceneEffect/FxSceneRougePrefab/FxRogueSimBuildingFog.prefab					
82	角色红怒且怒气未满	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBuff37.prefab	0|0.5|0		1.5|1.5|1.5		
83	角色红怒且怒气已满	Assets/Product/Effect/Prefab/FxCizhui/FxCizhuiBuff50.prefab	0|0.5|0		1.5|1.5|1.5		
84	角色普通格挡	Assets/Product/Effect/Prefab/FxWanfa/FxReYanseBlue.prefab					
85	角色普通格挡成功	Assets/Product/Effect/Prefab/FxWanfa/FxCizhuizzqiHit.prefab					
86	角色红怒格挡	Assets/Product/Effect/Prefab/FxWanfa/FxReYanseRed.prefab					
87	角色大招砸地板	Assets/Product/Effect/Prefab/FxWanfa/FxDownPunchRed.prefab					
88	角色融合	Assets/Product/Effect/Prefab/FxWanfa/FxZoneNpcBuff.prefab					
89	节点胜利	Assets/Product/Effect/Prefab/FxWanfa/FxFireworkExplode.prefab					
90	角色红怒格挡反击1	Assets/Product/Effect/Prefab/FxWanfa/FxBlockTipChess.prefab	0|1|0		0.5|0.5|0.5		
91	角色红怒格挡反击2	Assets/Product/Effect/Prefab/FxWanfa/FxBlockAttackChess.prefab			1.25|1.25|1.25		
92	角色大招砸地板（放大版）	Assets/Product/Effect/Prefab/FxWanfa/FxDownPunchRed.prefab			2|2|2		
93	地板黑洞	Assets/Product/Effect/Prefab/FxWanfa/FxHoleChess.prefab					
94	角色普攻十字	Assets/Product/Effect/Prefab/FxWanfa/FxSwordSlashChess.prefab	0|0.5|0.5	45|180|85	1.5|1.5|1.5		
95	角色普攻斜角	Assets/Product/Effect/Prefab/FxWanfa/FxSwordSlashChess.prefab	0|0|0.2	0|180|0			
96	普通咖喱棒	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunEXAngleA.prefab	0|0.5|1.5	0|180|0	0.8|0.8|0.8		
97	红莲咖喱棒	Assets/Product/Effect/Prefab/FxWanfa/FxCaliburChess.prefab		0|-90|0	1.5|1|2		
98	遮天碧碧大招期间常驻特效	Assets/Product/Effect/Prefab/FxWanfa/FxReSuperYellow.prefab	-0.5|0|-0.3		0.8|0.8|0.8		
99	红莲移动	Assets/Product/Effect/Prefab/FxWanfa/FxChessBaimaoMove.prefab					
