Id	UpGoodsId	GoodsId
1006	[2046002, 2045001]	[2076002, 2096001, 2075001, 2095001]
501		[31, 11001, 11003, 11004, 11006, 33, 36]
1002	[1021003]	[1061003, 1031003, 1011003, 1071003, 1051003, 1011002, 1041002, 1061002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
1001	[2026004, 2025001]	[2016001, 2036001, 2015001, 2035001]
1003	[1051003]	[1061003, 1031003, 1011003, 1071003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
1004	[1011003]	[1061003, 1031003, 1071003, 1051003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
1005	[1031003]	[1061003, 1011003, 1071003, 1051003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
2000	[1031003]	[1061003, 1011003, 1071003, 1051003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
2010	[1021003]	[1061003, 1031003, 1011003, 1071003, 1051003, 1011002, 1041002, 1061002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
1017	[1061003]	[1031003, 1011003, 1071003, 1051003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
1018	[1071003]	[1061003, 1031003, 1011003, 1051003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
1019	[1051003]	[1061003, 1031003, 1011003, 1071003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1021001, 1031001, 1051001]
1020	[1011003]	[1061003, 1031003, 1071003, 1051003, 1021003, 1011002, 1041002, 1061002, 1071002, 1081002, 1021002, 1031002, 1081003, 1091002, 1021001, 1031001, 1051001]
1021	[1031003]	[1061003, 1011003, 1071003, 1051003, 1021003, 1011002, 1041002, 1061002, 1071002, 1081002, 1021002, 1031002, 1081003, 1091002, 1021001, 1031001, 1051001]
1022	[1061003]	[1031003, 1011003, 1071003, 1051003, 1021003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1021001, 1031001, 1051001]
1023	[1071003]	[1061003, 1031003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1021001, 1031001, 1051001]
1024	[1021003]	[1061003, 1031003, 1071003, 1011003, 1051003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1021001, 1031001, 1051001]
1025	[1041003]	[1061003, 1031003, 1011003, 1071003, 1051003, 1021003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1021001, 1031001, 1051001]
1026	[1051003]	[1061003, 1031003, 1071003, 1011003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1021001, 1031001, 1051001]
1027	[1011003]	[1061003, 1031003, 1071003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1028	[1031003]	[1061003, 1071003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1029	[1061003]	[1031003, 1071003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1030	[1061003]	[1031003, 1071003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1031	[1071003]	[1061003, 1031003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1032	[1021003]	[1061003, 1031003, 1071003, 1011003, 1051003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1033	[1051003]	[1061003, 1031003, 1071003, 1011003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1034	[1011003]	[1061003, 1031003, 1071003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1035	[1031003]	[1061003, 1071003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1036	[1021004]	[1061003, 1031003, 1071003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1037	[1041003]	[1061003, 1031003, 1071003, 1011003, 1051003, 1021003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1038	[1061003]	[1071003, 1031003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1021001, 1031001, 1051001]
1039	[1051003]	[1061003, 1031003, 1071003, 1011003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1040	[1031003]	[1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1041	[1071003]	[1061003, 1031003, 1011003, 1051003, 1021003, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1042	[1041003]	[1061003, 1071003, 1011003, 1051003, 1031003, 1021003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1043	[1021003]	[1061003, 1031003, 1071003, 1011003, 1051003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1044	[1011003]	[1071003, 1031003, 1061003, 1051003, 1021003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1045	[1021004]	[1061003, 1031003, 1071003, 1011003, 1021003, 1041003, 1051003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1046	[1061003]	[1031003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1047	[1071003]	[1061003, 1031003, 1011003, 1051003, 1021003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1048	[1041003]	[1061003, 1071003, 1011003, 1051003, 1031003, 1021003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1049	[1141003]	[1061003, 1071003, 1011003, 1051003, 1031003, 1021003, 1021004, 1041003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1050	[1051003]	[1071003, 1031003, 1061003, 1011003, 1021003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1051	[1011003]	[1061003, 1031003, 1071003, 1021004, 1021003, 1041003, 1051003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1021001, 1031001, 1051001]
1052	[1021003]	[1031003, 1011003, 1071003, 1051003, 1061003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1053	[1061003]	[1071003, 1031003, 1011003, 1051003, 1021003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1054	[1071003]	[1061003, 1041003, 1011003, 1051003, 1031003, 1021003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1055	[1031003]	[1061003, 1071003, 1011003, 1051003, 1041003, 1021003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1056	[1041003]	[1031003, 1011003, 1071003, 1051003, 1061003, 1021003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1057	[1061003]	[1071003, 1031003, 1011003, 1051003, 1021003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1058	[1011003]	[1031003, 1061003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1059	[1051003]	[1031003, 1061003, 1011003, 1071003, 1021003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1060	[1171003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1061	[1021003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1062	[1071003]	[1031003, 1061003, 1011003, 1051003, 1021003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1063	[1021004]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1064	[1031003]	[1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1065	[1141003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1066	[1041003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1067	[1171003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1041003, 1021004, 1141003, 1021003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1068	[1061003]	[1031003, 1071003, 1011003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1021001, 1031001, 1051001]
1069	[1071003]	[1031003, 1061003, 1011003, 1021004, 1051003, 1021003, 1041003, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1070	[1051003]	[1061003, 1011003, 1071003, 1031003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1071	[1021003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1141003, 1041003, 1021004, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1072	[1031003]	[1041003, 1061003, 1011003, 1071003, 1051003, 1021003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1073	[1121003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1074	[1021004]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1075	[1061003]	[1031003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1076	[1041003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1077	[1011003]	[1031003, 1061003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1078	[1171003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1079	[1051003]	[1031003, 1061003, 1011003, 1071003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1021001, 1031001, 1051001]
1080	[1141003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1081	[1071003]	[1031003, 1061003, 1011003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1082	[1041003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1083	[1031003]	[1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1084	[1021003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1085	[1021004]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1086	[1131003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1087	[1011003]	[1031003, 1061003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1088	[1121003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1089	[1051003]	[1031003, 1061003, 1011003, 1071003, 1021003, 1041003, 1021004, 1141003, 1171003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1090	[1141003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1171003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1091	[1041003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1021004, 1141003, 1171003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1092	[1061003]	[1031003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1093	[1171003]	[1031003, 1061003, 1011003, 1071003, 1051003, 1021003, 1041003, 1021004, 1141003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
1094	[1071003]	[1031003, 1061003, 1011003, 1051003, 1021003, 1041003, 1021004, 1141003, 1171003, 1121003, 1011002, 1041002, 1071002, 1081002, 1021002, 1031002, 1061002, 1081003, 1091002, 1111002, 1121002, 1131002, 1161002, 1211002, 1221002, 1021001, 1031001, 1051001]
