EffectGroupId	Note	PanelOpenUp	PanelOpenDown	PanelCardShowOff	EffectOpenBox	SkipEffect	CarriageEffect	FloorEffect	CardEffectStart	CardEffect	ApertureEffect	CardEffectSound
11	活动品质5	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiLunaDrawActivityOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiLunaPanelOpenDown05.prefab		Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawActivityLunaCubeOpen05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiLunaDrawActivityOpenUp05Skip.prefab						
12	活动品质6	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiLunaDrawActivityOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiLunaPanelOpenDown06.prefab		Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawActivityLunaCubeOpen06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiLunaDrawActivityOpenUp06Skip.prefab						
13	比安卡皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiClockViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorViolet.prefab	1552
14	比安卡皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiClockYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRenColorCheng.prefab	1553
15	比安卡皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiClockRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorRed.prefab	1554
16	卡列皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiLottoKareninaChouka/FxUiLottoKareninaChoukaJiesuanViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab		1552
17	卡列卡皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiLottoKareninaChouka/FxUiLottoKareninaChoukaJiesuanYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab		1553
18	卡列卡皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiLottoKareninaChouka/FxUiLottoKareninaChoukaJiesuanRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab		1554
19	薇拉绯耀皮肤卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab		1552
20	薇拉绯耀皮肤卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab		1553
21	薇拉绯耀皮肤卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab		1554
22	丽芙极昼绮愿稚梦卡池紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab		1552
23	丽芙极昼绮愿稚梦卡池橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab		1553
24	丽芙极昼绮愿稚梦卡池红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiDizuoRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab		1554
25	拉弥亚·紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiLamiyaViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorViolet.prefab	1552
26	拉弥亚·橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiLamiyaYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRenColorCheng.prefab	1553
27	拉弥亚·红	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff06.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel6.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp06Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiLamiyaRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRedStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardRed.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorRed.prefab	1554
28	深红之渊·紫	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff04.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel4.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp04Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi01Prefab/FxUiMain3dQishiCloudViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardVioletStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardViolet.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiHuanRenColorViolet.prefab	1552
29	深红之渊·橙	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenDown05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelCardShowOff05.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiDrawOpenBoxLevel5.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiDrawCard/FxUiPanelOpenUp05Skip.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi01Prefab/FxUiMain3dQishiCloudYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiFloor.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellowStart.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiMain3dQishi02Prefab/FxUiMain3dQishiCardYellow.prefab	Assets/Product/Effect/Prefab/FxUi/FxUiCommon/FxUiHuanRenColorCheng.prefab	1553
