Id	Priority	UpProbability	UpProbabilityDesc	UpProbabilityPercent	Bg	ProbabilityBg	IsChangePos	IconPosX	IconPosY	IsChangeSize	IconWidth	IconHeight	IsChangeRot	RotZ	NewTimeId
342	8380	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-8.0	9.0	1	613.94	664.4099	1	-10.0	
343	8390	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-22.0	9.0	1	475.5	514.5999	1	-10.0	
344	8400	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-25.0	26.0	1	571.77	618.77	1	-10.0	
345	8410	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-43.0	-64.0	1	612.58	662.94	1	-10.0	
346	8420	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	-13.0	14.0	1	455.72	493.1799	1	-10.0	
347	8430	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	2.0	7.0	1	613.94	664.4	1	-10.0	
348	8440	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	2.0	7.0	1	613.94	664.4	1	-10.0	
349	8450	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png	1	1.0	7.0	1	538.0	582.0	1	-16.5	
350	8460	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
351	8470	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
352	9900	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
353	8480	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
354	8490	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
355	8500	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
356	8510	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
357	8520	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									26908
358	8530	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									27951
359	8540	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									28220
360	8550	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									29753
361	8560	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									30851
362	8570	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									32970
363	8580	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									33850
364	8590	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									34760
365	8600	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									35540
366	8610	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									36510
367	8620	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									37907
368	8630	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
369	8640	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									
370	8650	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									39723
371	8660	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									40902
372	8670	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									41317
373	8680	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									42721
374	8690	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									43905
375	8700	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									44418
376	8710	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									45716
377	8720	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									46711
378	8730	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									42721
379	8740	<color=#26bbf9>占6星出率80%</color>	占6星出率	80%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog15.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog4.png									42721
1030	10000	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1031	9990	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1032	9980	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1033	9970	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1034	9960	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1035	9950	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1037	10000	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1038	9990	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1039	9980	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1040	9970	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1041	9960	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1042	9950	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1043	10000	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1044	9990	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1045	9980	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1046	9970	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1047	9960	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1048	9950	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1050	10000	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1051	9990	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1052	9980	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1053	9970	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1054	9960	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1055	9950	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1056	9940	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1057	9930	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1058	9920	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1059	9910	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1061	9900	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1062	9890	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1063	9880	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1064	9870	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1065	9860	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1066	9850	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1067	9840	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1068	9830	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1069	9820	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1070	9810	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1071	9800	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
1072	9790	<color=#26bbf9>占S级出率70%</color>	占S级出率	70%	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog22.png	Assets/Product/Texture/Image/UiDrawLog/UiDrawLog23.png									
