Id	TitleCN	TitleEN	RareRank	GroupBtnBg	MainRules	BaseRuleTitles	BaseRules	EventRuleTitles	EventRules	UpType	UpQuality	UpProbability	BottomText	NewHandBottomCount	SpecialBottomMin	SpecialBottomMax	DrawBottomHint	IsNotSelectDefault	IsShowFilter	CharFilterElementList	DrawRules	IsCharacterImage	DrawName
16	独域机体狙击角色	Standard Mode	2		['每10回必有S级独域机体']	['碎片转化', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池保底继承规则']	['重复获取独域机体，转换成18个相应角色的逆元碎片', 'S级独域机体基础掉率5%。', 'S级独域机体综合掉率12.45%', '名字类型相同的卡池继承保底，否则不继承。例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。']	['占S级出率']		独域机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底						1	[1, 2, 3, 4, 5, 6]	['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>S级</color>独域机体']		
17	周年限定	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['10连保底A级', '60连保底S级', '卡池保底继承规则']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '名字类型相同的卡池继承保底，否则不继承。例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为当前选中的UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底					True					
18	命运周年限定	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.综合概率与主题角色池一致', '4.S级角色基础掉落概率提升']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池保底继承规则']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '名字类型相同的卡池继承保底，否则不继承。例如【降临限定角色池】结束后，新的【降临限定角色池】继承保底。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为当前选中的UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100		True					
19	联动狙击	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体', '抽10返3活动中']	['10连保底A级', '60连保底S级', '卡池独立保底']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池']	['占S级出率', '抽10返3']	['若研发时抽出S级泛用机体，则必为UP角色。', '每10回研发后，额外奖励3回研发（750联动角色研发券）']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底										
20	命运联动狙击	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.S级角色基础掉落概率提升', '4.抽10返3活动中']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池独立保底']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池']	['占S级出率', '抽10返3']	['若研发时抽出S级泛用机体，则必为UP角色。', '每10回研发后，额外奖励3回研发（750联动角色研发券）']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100							
21	联动武器狙击	Standard Mode			['任选一组UP，占6星出率80%', '每研发10次必出五星或以上武器', '每研发30次必出六星武器']	['自选组合', '狙击模式详解', '卡池独立保底']	['选择1种装备组合进行抽取，特定组合获得概率提升。', '狙击武器可以选择你想要的武器进行大幅度概率提升。', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池']						6星保底						1				
22	辅助机狙击	Standard Mode			['每10回必有A级或以上辅助机', '每20回必有S级辅助机']	['自选组合', '狙击模式详解', '卡池保底继承规则', '源树脉络辅助机获取规则']	['选择1种辅助机进行抽取，特定目标获得概率提升。', '狙击辅助机可以选择你想要的辅助机进行大幅度概率提升。', '在辅助机狙击卡池中，A级及S级的保底次数均不会因狙击目标的变更而受影响，即保底次数继承', '限定辅助机仅在源树脉络卡池开启期间开放获取，指挥官无法从其他途径获取相关限定内容。【异身】以及【浮浮】卡池将视为源树脉络卡池。']	['占S级出率']		辅助机			S级保底						1		['<color=#ff5f2d>S级辅助机</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上辅助机']		
23	心选狙击	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['10连保底A级', '60连保底S级', '卡池保底继承规则']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '名字类型相同的卡池继承保底，否则不继承。本次【心选狙击】卡池结束后，只有新的【心选狙击】卡池继承保底。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底					True	1	[1, 2, 3, 4, 5, 6]			
24	命运心选狙击	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.综合概率与降临角色池一致', '4.S级角色基础掉落概率提升']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池保底继承规则', '校准系统']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '名字类型相同的卡池继承保底，否则不继承。本次【命运心选狙击】卡池结束后，只有新的【命运心选狙击】卡池会继承保底']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100		True	1	[1, 2, 3, 4, 5, 6]			
25	成员狙击	Standard Mode	1		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['基准模式', '狙击模式', '研发独立保底']	['每研发十次，必有A级或以上角色加入队伍', '狙击模式选择BRS，若产出的泛用机体为A级泛用机体，则BRS占A级角色产出率100%', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池']						S级保底						1	[1, 2, 3, 4, 5, 6]			
26	武器狙击	Standard Mode			['每研发10次必出五星或以上武器', '每研发30次必出六星武器。【★黑岩巨炮】占六星出率80%']	['10连保底五星武器', '30连保底六星武器', '研发独立保底']	['每研发10次必出五星或以上武器。', '每研发30次必出六星武器。', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池']	['占六星出率']					六星保底						1				
27	夏令限定狙击	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['10连保底A级', '60连保底S级', '卡池保底继承规则']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '名字类型相同的卡池继承保底，否则不继承。例如【夏令限定角色池】结束后，新的【夏令限定角色池】继承保底。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为当前选中的UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底					True	1	[1, 2, 3, 4, 5, 6]			
28	命运夏令限定狙击	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.综合概率与主题角色池一致', '4.S级角色基础掉落概率提升']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池保底继承规则']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '名字类型相同的卡池继承保底，否则不继承。例如【命运夏令限定角色池】结束后，新的【命运夏令限定角色池】继承保底。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为当前选中的UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100		True	1	[1, 2, 3, 4, 5, 6]			
29	但丁狙击	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体', '卡池活动中']	['10连保底A级', '60连保底S级', '卡池独立保底', '卡池活动']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池', '任一卡池获得【但丁】时，可额外获得一名【但丁】，活动期间最多额外获得2次']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底										
30	命运但丁狙击	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.S级角色基础掉落概率提升', '4.卡池活动中']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池独立保底', '卡池活动']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池', '任一卡池获得【但丁】时，可额外获得一名【但丁】，活动期间最多额外获得2次']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100							
31	维吉尔狙击	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体', '卡池活动中']	['10连保底A级', '60连保底S级', '卡池独立保底', '卡池活动']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池', '任一卡池获得【维吉尔】时，可额外获得一名【维吉尔】，活动期间最多额外获得2次']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底										
32	命运维吉尔狙击	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.S级角色基础掉落概率提升', '4.卡池活动中']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池独立保底', '卡池活动']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池', '任一卡池获得【维吉尔】时，可额外获得一名【维吉尔】，活动期间最多额外获得2次']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100							
33	联动武器狙击	Standard Mode			['任选一组UP，占6星出率80%', '每研发10次必出五星或以上武器', '每研发30次必出六星武器']	['自选组合', '狙击模式详解', '卡池独立保底', '校准系统']	['选择1种装备组合进行抽取，特定组合获得概率提升。', '狙击武器可以选择你想要的武器进行大幅度概率提升。', '该卡池为特殊的联动卡池，保底次数只从相同的联动卡池继承，不继承到其他卡池', '抽出六星武器时，如果没有抽到当前选中的目标武器，则会触发校准系统，下次抽出六星武器时，必定为当前选中的自选目标武器。（校准保底同名卡池继承）']						6星保底						1				
34	异界装备狙击	Standard Mode			['每10回必有A级或以上异界装备', '每20回必有S级异界装备']	['自选组合', '狙击模式详解', '卡池保底继承规则']	['选择1种异界装备进行抽取，特定目标获得概率提升。', '狙击异界装备可以选择你想要的异界装备进行大幅度概率提升。', '在异界装备狙击卡池中，A级及S级的保底次数均不会因狙击目标的变更而受影响，即保底次数继承']	['占S级出率']		异界装备			S级保底						1				
35	淬炼活动角色	Standard Mode	2		['每10回必有A级或以上泛用机体', '每60回必有S级泛用机体']	['10连保底A级', '60连保底S级', '卡池保底继承规则', '阶段奖励规则']	['每研发10次，必有A级或以上泛用机体加入队伍。', '每研发60次，必有S级泛用机体加入队伍。', '名字类型相同的卡池继承保底，否则不继承。例如【淬炼活动角色池】结束后，新的【淬炼活动角色池】继承保底。', '淬炼卡池里的【活动角色池】和【命运活动角色池】共享阶段奖励进度，玩家在任意卡池内进行抽取都会增加阶段奖励进度。阶段奖励进度不会被继承，在当期淬炼卡池结束后进度将会被清零。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底								['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上角色']		
36	命运淬炼活动角色	Standard Mode	2		['1.每10回必有A级或以上泛用机体', '2.每80~100回必有S级泛用机体', '3.综合概率与主题角色池一致', '4.S级角色基础掉落概率提升']	['浮动保底', '基础掉率（不含保底）', '综合掉率（含保底）', '卡池保底继承规则', '阶段奖励规则']	['系统会在80-100随机一个值，比如随机到90，那么本次S级保底次数为90，抽出S级后重新随机保底次数。', 'S级泛用机体基础掉率1.5%。', 'S级泛用机体综合掉率和其他卡池一致（1.9%）', '名字类型相同的卡池继承保底，否则不继承。例如【命运淬炼活动角色池】结束后，新的【命运淬炼活动角色池】继承保底。', '淬炼卡池里的【活动角色池】和【命运活动角色池】共享阶段奖励进度，玩家在任意卡池内进行抽取都会增加阶段奖励进度。阶段奖励进度不会被继承，在当期淬炼卡池结束后进度将会被清零。']	['占S级出率']	['若研发时抽出S级泛用机体，则必为UP角色。']	泛用机体	<color=#fee82a>S级</color>	<color=#fee82a>100%</color>	S级保底		80	100					['<color=#ff5f2d>S级角色</color>', '<color=#ff5f2d>10回</color>必出<color=#ff5f2d>A级</color>或以上角色']		
