Id	CoreId	CoreLevel	DecomposeMoney	Description	BuffId
86	3006	1	18	"""每次闪避增加15%移动速度和3%的全伤害，持续5秒,最多叠加5层"""	[81052]
87	3006	2	36	"""每次闪避增加15%移动速度和4%的全伤害，持续5秒,最多叠加5层"""	[81053]
88	3006	3	54	"""每次闪避增加15%移动速度和5%的全伤害，持续5秒,最多叠加5层"""	[81054]
89	3007	1	18	进入超算空间时，以角色为中心半径3m释放一次冲击波，造成600%物理伤害	[81055]
90	3007	2	36	进入超算空间时，以角色为中心半径3m释放一次冲击波，造成900%物理伤害	[81056]
91	3007	3	54	进入超算空间时，以角色为中心半径3m释放一次冲击波，造成1200%物理伤害	[81057]
92	3008	1	18	角色有护盾时，全伤害增加12%	[81064]
93	3008	2	36	角色有护盾时，全伤害增加23%	[81065]
94	3008	3	54	角色有护盾时，全伤害增加35%	[81066]
95	3009	1	18	入场时额外获得1个信号球；满级获得3个相同的信号球	[81067]
96	3009	2	36	入场时额外获得2个信号球；满级获得3个相同的信号球	[81068]
97	3009	3	54	入场时额外获得3个相同颜色的信号球	[81069]
98	3010	1	18	每消除1个球可使自身额外伤害加成提升3%，持续5秒，可叠加5层。	[81073]
99	3010	2	36	每消除1个球可使自身额外伤害加成提升4%，持续5秒，可叠加5层。	[81074]
100	3010	3	54	每消除1个球可使自身额外伤害加成提升6%，持续5秒，可叠加5层。	[81075]
101	3011	1	18	5秒内连续消除三色球后，全伤害增加10%，持续5秒	[81076]
102	3011	2	36	5秒内连续消除三色球后，全伤害增加20%，持续6秒	[81077]
103	3011	3	54	5秒内连续消除三色球后，全伤害增加30%，持续8秒	[81078]
104	3012	1	18	每秒对半径4m内所有敌人造成攻击力100%火属性伤害	[81082]
105	3013	1	18	攻击时有50%概率对目标周围2m造成攻击力80%的雷属性伤害(不分敌我)，3s内只能触发1次	[81086]
106	3013	2	36	攻击时有50%概率对目标周围2m造成攻击力160%的雷属性伤害(不分敌我)，3s内只能触发1次	[81087]
107	3013	3	54	攻击时有50%概率对目标周围2m造成攻击力240%的雷属性伤害(不分敌我)，3s内只能触发1次	[81088]
108	3014	1	18	qte登场时会给操控角色增加10%攻击力，持续5秒	[81092]
109	3014	2	36	qte登场时会给操控角色增加15%攻击力，持续5秒	[81093]
110	3014	3	54	qte登场时会给操控角色增加20%攻击力，持续5秒	[81094]
111	3015	1	18	qte登场时降低目标物理防御20%，持续5秒	[81095]
112	3015	2	36	qte登场时降低目标物理防御25%，持续5秒	[81096]
113	3015	3	54	qte登场时降低目标物理防御30%，持续5秒	[81097]
114	3016	1	18	qte登场时降低目标属性抗性20%，持续5秒	[81098]
115	3016	2	36	qte登场时降低目标属性抗性25%，持续5秒	[81099]
116	3016	3	54	qte登场时降低目标属性抗性30%，持续5秒	[81100]
117	3017	1	18	召唤qte后，以角色为半径3m释放一次冲击波，造成300%物理伤害。	[81101]
118	3017	2	36	召唤qte后，以角色为半径3m释放一次冲击波，造成450%物理伤害。	[81102]
119	3017	3	54	召唤qte后，以角色为半径3m释放一次冲击波，造成600%物理伤害。	[81103]
120	3018	1	18	每次攻击都有30%概率使本次伤害增幅30%	[81104]
121	3018	2	36	每次攻击都有40%概率使本次伤害增幅40%	[81105]
122	3018	3	54	每次攻击都有50%概率使本次伤害增幅60%	[81106]
123	3019	1	18	造成暗属性伤害时，30%的概率追加本次伤害量60%的额外暗属性伤害	[81123]
124	3019	2	36	造成暗属性伤害时，40%的概率追加本次伤害量70%的额外暗属性伤害	[81124]
125	3019	3	54	造成暗属性伤害时，50%的概率追加本次伤害量80%的额外暗属性伤害	[81125]
126	3020	1	18	攻击有30%概率冻结敌人3s，计时结束后对目标半径3m范围内造成80%冰属性伤害	[81126]
127	3020	2	36	攻击有40%概率冻结敌人3s，计时结束后对目标半径3m范围内造成100%冰属性伤害	[81127]
128	3020	3	54	攻击有50%概率冻结敌人3s，计时结束后对目标半径3m范围内造成120%冰属性伤害	[81128]
129	3021	1	18	切换成员入场时，全伤害增幅10%，持续5s	[81135]
130	3021	2	36	切换成员入场时，全伤害增幅20%，持续5s	[81136]
131	3021	3	54	切换成员入场时，全伤害增幅30%，持续5s	[81137]
132	3022	1	18	切换成员入场时，对角色周围半径3m范围内的敌人造成300%的伤害	[81141]
133	3022	2	36	切换成员入场时，对角色周围半径3m范围内的敌人造成500%的伤害	[81142]
134	3022	3	54	切换成员入场时，对角色周围半径3m范围内的敌人造成700%的伤害	[81143]
135	3023	1	18	切换成员入场时，降低周围4m内敌人20%属性抗性，持续8s	[81144]
136	3023	2	36	切换成员入场时，降低周围4m内敌人25%属性抗性，持续8s	[81145]
137	3023	3	54	切换成员入场时，降低周围4m内敌人30%属性抗性，持续8s	[81146]
138	3024	1	18	开局获得100点能量	[81011]
139	3025	1	18	入场时额外获得3个相同颜色的信号球	[81069]
