Id	PoolId	Weight	Type	Params	Description	Name	Icon
40	10013	40	201	[30]	全队回复30%生命[概率:40%]		
41	10013	10	201	[-10]	全队失去10%生命[概率:10%]		
42	10014	60	301	[-50]	失去当前50%数量的畸变方块[概率:60%]		
43	10014	30	401	[1]	获得1点行动力[概率:30%]		
44	10014	10	101	[3]	获得1个高级插件单元[概率:10%]		
45	10015	60	201	[30]	全队回复30%生命[概率:60%]		
46	10015	20	401	[-1]	失去1点行动力[概率:20%]		
47	10015	20	101	[2]	获得1个中级插件单元[概率:20%]		
48	10016	30	201	[50]	全队回复50%生命[概率:30%]		
49	10016	30	401	[-1]	失去1点行动力[概率:30%]		
50	10016	40	101	[3]	获得1个高级插件单元[概率:40%]		
51	10017	60	202	[80]	小队随机1人回复80%生命[概率:60%]		
52	10017	40	201	[50]	全队回复50%生命[概率:40%]		
53	10018	40	201	[-50]	全队失去50%生命[概率:40%]		
54	10018	40	302	[-60]	失去60畸变方块[概率:40%]		
55	10018	20	301	[50]	获得已有50%数量的畸变方块[概率:20%]		
56	10019	40	202	[-50]	小队随机1人失去50%生命[概率:40%]		
57	10019	40	302	[42]	获得42畸变方块[概率:40%]		
58	10019	20	401	[1]	获得1点行动力[概率:20%]		
59	10020	50	303	[40, 42]	获得40~42畸变方块[概率:50%]		
60	10020	40	101	[1]	获得1个低级插件单元[概率:40%]		
61	10020	10	501	[1]	获得1个负面效果[概率:10%]		
62	10021	50	303	[35, 53]	获得35~53畸变方块[概率:50%]		
63	10021	40	101	[2]	获得1个中级插件单元[概率:40%]		
64	10021	10	501	[1]	获得1个负面效果[概率:10%]		
65	10022	50	303	[42, 60]	获得42~60畸变方块[概率:50%]		
66	10022	40	101	[3]	获得1个高级插件单元[概率:40%]		
67	10022	10	501	[1]	获得1个负面效果[概率:10%]		
68	20001	100	101	[1]	<color=#34AFF9><size=20>暴力拆卸</size></color>\n→获得1个低级插件单元		
69	20001	100	201	[-10]	\n→全队失去10%生命		
70	20001	100	101	[1]	<color=#34AFF9><size=20>单人破解</size></color>\n→获得1个低级插件单元		
71	20001	100	202	[-20]	\n→小队随机1人失去20%生命		
72	20002	100	101	[2]	<color=#34AFF9><size=20>暴力拆卸</size></color>\n→获得1个中级插件单元		
73	20002	100	201	[-20]	\n→全队失去20%生命		
74	20002	100	101	[2]	<color=#34AFF9><size=20>单人破解</size></color>\n→获得1个中级插件单元		
75	20002	100	202	[-30]	\n→小队随机1人失去30%生命		
76	20003	100	101	[3]	<color=#34AFF9><size=20>暴力拆卸</size></color>\n→获得1个高级插件单元		
77	20003	100	201	[-60]	\n→全队失去60%生命		
78	20003	100	101	[3]	<color=#34AFF9><size=20>单人破解</size></color>\n→获得1个高级插件单元		
79	20003	100	202	[-80]	\n→小队随机1人失去80%生命		
80	20004	100	101	[1]	<color=#34AFF9><size=20>敷衍的付出</size></color>\n→获得1个低级插件单元		
81	20004	100	301	[-20]	\n→失去已有20%数量的畸变方块		
82	20004	100	101	[2]	<color=#34AFF9><size=20>平庸的付出</size></color>\n→获得1个中级插件单元		
83	20004	100	301	[-40]	\n→失去已有40%数量的畸变方块		
84	20004	100	101	[3]	<color=#34AFF9><size=20>充分的付出</size></color>\n→获得1个高级插件单元		
85	20004	100	301	[-60]	\n→失去已有60%数量的畸变方块		
86	20005	100	101	[1]	<color=#34AFF9><size=20>敷衍的付出</size></color>\n→获得1个低级插件单元		
87	20005	100	302	[-45]	\n→失去45畸变方块		
88	20005	100	101	[2]	<color=#34AFF9><size=20>平庸的付出</size></color>\n→获得1个中级插件单元		
89	20005	100	302	[-60]	\n→失去60畸变方块		
90	20005	100	101	[3]	<color=#34AFF9><size=20>充分的付出</size></color>\n→获得1个高级插件单元		
91	20005	100	302	[-75]	\n→失去75畸变方块		
92	20006	100	101	[2]	<color=#34AFF9><size=20>谨慎的拆卸</size></color>\n→获得1个中级插件单元		
93	20006	100	501	[1]	\n→获得1个负面效果		
94	20006	100	101	[2]	<color=#34AFF9><size=20>粗暴的拆卸</size></color>\n→获得1个中级插件单元		
95	20006	100	401	[-1]	\n→失去1点行动力		
96	20007	100	101	[3]	<color=#34AFF9><size=20>谨慎的拆卸</size></color>\n→获得1个高级插件单元		
97	20007	100	501	[1]	\n→获得1个负面效果		
98	20007	100	101	[3]	<color=#34AFF9><size=20>粗暴的拆卸</size></color>\n→获得1个高级插件单元		
99	20007	100	401	[-1]	\n→失去1点行动力		
100	20008	100	201	[50]	<color=#34AFF9><size=20>完美维修</size></color>\n→全队回复50%生命		
101	20008	100	401	[-1]	\n→失去1点行动力		
102	20008	100	202	[50]	<color=#34AFF9><size=20>单独维修</size></color>\n→小队随机1人回复50%生命		
103	20008	100	301	[-20]	\n→失去已有20%数量的畸变方块		
104	20009	100	201	[20]	<color=#34AFF9><size=20>敷衍的付出</size></color>\n→全队回复20%生命		
105	20009	100	301	[-20]	\n→失去已有20%数量的畸变方块		
106	20009	100	202	[50]	<color=#34AFF9><size=20>平庸的付出</size></color>\n→小队随机1人回复50%生命		
107	20009	100	301	[-20]	\n→失去已有20%数量的畸变方块		
108	20009	100	201	[50]	<color=#34AFF9><size=20>充分的付出</size></color>\n→全队回复50%生命		
109	20009	100	301	[-50]	\n→失去已有50%数量的畸变方块		
110	20010	100	201	[30]	<color=#34AFF9><size=20>付出金钱</size></color>\n→全队回复30%生命		
111	20010	100	301	[-20]	\n→失去已有20%数量的畸变方块		
112	20010	100	303	[40, 42]	<color=#34AFF9><size=20>付出伤痛</size></color>\n→获得40~42畸变方块		
113	20010	100	201	[-30]	\n→全队失去30%生命		
114	20010	100	101	[1]	<color=#34AFF9><size=20>承受抑制</size></color>\n→获得1个低级插件单元		
115	20010	100	202	[-20]	\n→小队随机1人失去20%生命		
116	20011	100	201	[30]	<color=#34AFF9><size=20>付出金钱</size></color>\n→全队回复30%生命		
117	20011	100	301	[-30]	\n→失去已有30%数量的畸变方块		
118	20011	100	303	[35, 53]	<color=#34AFF9><size=20>付出伤痛</size></color>\n→获得35~53畸变方块		
119	20011	100	201	[-30]	\n→全队失去30%生命		
120	20011	100	101	[2]	<color=#34AFF9><size=20>承受抑制</size></color>\n→获得1个中级插件单元		
121	20011	100	202	[-30]	\n→小队随机1人失去30%生命		
122	20012	100	201	[50]	<color=#34AFF9><size=20>付出金钱</size></color>\n→全队回复50%生命		
123	20012	100	301	[-50]	\n→失去已有50%数量的畸变方块		
124	20012	100	303	[42, 60]	<color=#34AFF9><size=20>付出伤痛</size></color>\n→获得42~60畸变方块		
125	20012	100	201	[-50]	\n→全队失去50%生命		
126	20012	100	101	[3]	<color=#34AFF9><size=20>承受抑制</size></color>\n→获得1个高级插件单元		
127	20012	100	202	[-80]	\n→小队随机1人失去80%生命		
128	20013	100	302	[35]	<color=#34AFF9><size=20>试探性的让其抽取</size></color>\n→获得35畸变方块		
129	20013	100	201	[-20]	\n→全队失去20%生命		
130	20013	100	302	[40]	<color=#34AFF9><size=20>让其完整抽取一次</size></color>\n→获得40畸变方块		
131	20013	100	201	[-30]	\n→全队失去30%生命		
132	20013	100	302	[49]	<color=#34AFF9><size=20>让其完整抽取多次</size></color>\n→获得49畸变方块		
133	20013	100	201	[-40]	\n→全队失去40%生命		
134	20014	100	201	[50]	<color=#34AFF9><size=20>要求维修备品</size></color>\n→全队回复50%生命		
135	20014	100	301	[-50]	\n→失去已有50%数量的畸变方块		
136	20014	100	401	[1]	<color=#34AFF9><size=20>要求能量补充</size></color>\n→获得1点行动力		
137	20014	100	301	[-50]	\n→失去已有50%数量的畸变方块		
138	20014	100	101	[3]	<color=#34AFF9><size=20>要求装备</size></color>\n→获得1个高级插件单元		
139	20014	100	301	[-50]	\n→失去已有50%数量的畸变方块		
140	20015	100	502	[99]	<color=#34AFF9><size=20>全面洗消</size></color>\n→移除全部负面效果		
141	20015	100	301	[-50]	\n→失去已有50%数量的畸变方块		
142	20015	100	502	[1]	<color=#34AFF9><size=20>快速洗消</size></color>\n→移除随机1个负面效果		
143	20015	100	301	[-20]	\n→失去已有20%数量的畸变方块		
144	20016	100	502	[99]	<color=#34AFF9><size=20>全面洗消</size></color>\n→移除全部负面效果		
145	20016	100	201	[-50]	\n→全队失去50%生命		
146	20016	100	502	[1]	<color=#34AFF9><size=20>快速洗消</size></color>\n→移除随机1个负面效果		
147	20016	100	202	[-30]	\n→小队随机1人失去30%生命		
148	20017	100	101	[1]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个低级插件单元		
149	20017	100	201	[-20]	\n→全队失去20%生命		
150	20017	100	101	[1]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得1个低级插件单元		
151	20017	100	302	[-45]	\n→失去45畸变方块		
152	20017	100	101	[1]	<color=#34AFF9><size=20>无谋的打开</size></color>\n→获得1个低级插件单元		
153	20017	100	401	[-1]	\n→失去1点行动力		
154	20018	100	101	[2]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个中级插件单元		
155	20018	100	201	[-30]	\n→全队失去30%生命		
156	20018	100	101	[2]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得1个中级插件单元		
157	20018	100	302	[-60]	\n→失去60畸变方块		
158	20018	100	101	[2]	<color=#34AFF9><size=20>无谋的打开</size></color>\n→获得1个中级插件单元		
159	20018	100	401	[-1]	\n→失去1点行动力		
160	20019	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
161	20019	100	201	[-50]	\n→全队失去50%生命		
162	20019	100	101	[3]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得1个高级插件单元		
163	20019	100	302	[-75]	\n→失去75畸变方块		
164	20019	100	101	[3]	<color=#34AFF9><size=20>无谋的打开</size></color>\n→获得1个高级插件单元		
165	20019	100	401	[-1]	\n→失去1点行动力		
166	20020	100	301	[10]	<color=#34AFF9><size=20>打开</size></color>\n→获得已有10%数量的畸变方块		
167	20020	100	302	[38]	<color=#34AFF9><size=20>打开</size></color>\n→获得38畸变方块		
168	20020	100	303	[36, 42]	<color=#34AFF9><size=20>打开</size></color>\n→获得36~42畸变方块		
169	20021	100	301	[10]	<color=#34AFF9><size=20>打开</size></color>\n→获得已有10%数量的畸变方块		
170	20021	100	302	[44]	<color=#34AFF9><size=20>打开</size></color>\n→获得44畸变方块		
171	20021	100	303	[35, 53]	<color=#34AFF9><size=20>打开</size></color>\n→获得35~53畸变方块		
172	20022	100	301	[10]	<color=#34AFF9><size=20>打开</size></color>\n→获得已有10%数量的畸变方块		
173	20022	100	302	[49]	<color=#34AFF9><size=20>打开</size></color>\n→获得49畸变方块		
174	20022	100	303	[42, 56]	<color=#34AFF9><size=20>打开</size></color>\n→获得42~56畸变方块		
175	10023	50	103	[1]	随机升级1个已有插件单元[概率:50%]		
176	10023	50	302	[-60]	失去60畸变方块[概率:50%]		
177	10024	50	103	[1]	随机升级1个已有插件单元[概率:50%]		
178	10024	50	102		随机失去1个已有插件单元[概率:50%]		
179	20023	100	101	[1]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个低级插件单元		
180	20023	100	302	[-45]	\n→失去45畸变方块		
181	20023	100	103	[1]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→随机升级1个已有插件单元		
182	20023	100	302	[-60]	\n→失去60畸变方块		
183	20024	100	101	[2]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个中级插件单元		
184	20024	100	302	[-60]	\n→失去60畸变方块		
185	20024	100	103	[1]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→随机升级1个已有插件单元		
186	20024	100	302	[-60]	\n→失去60畸变方块		
187	20025	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
188	20025	100	302	[-75]	\n→失去75畸变方块		
189	20025	100	103	[1]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→随机升级1个已有插件单元		
190	20025	100	302	[-60]	\n→失去60畸变方块		
191	11001	25	101	[2001]	获得插件:燃料纯化(火属性增伤)[概率:25%]		
192	11001	25	302	[-45]	失去45个畸变方块[概率:25%]		
193	11001	50	302	[32]	获得32个畸变方块[概率:50%]		
194	11002	25	101	[2002]	获得插件:电路改良(雷属性增伤)[概率:25%]		
195	11002	25	302	[-45]	失去45个畸变方块[概率:25%]		
196	11002	50	302	[32]	获得32个畸变方块[概率:50%]		
197	11003	25	101	[2003]	获得插件:散热格栅(冰属性增伤)[概率:25%]		
198	11003	25	302	[-45]	失去45个畸变方块[概率:25%]		
199	11003	50	302	[32]	获得32个畸变方块[概率:50%]		
200	11004	25	101	[2004]	获得插件:辐射增幅(暗属性增伤)[概率:25%]		
201	11004	25	302	[-45]	失去45个畸变方块[概率:25%]		
202	11004	50	302	[32]	获得32个畸变方块[概率:50%]		
203	11005	25	101	[2005]	获得插件:强化重击(物理增伤)[概率:25%]		
204	11005	25	302	[-45]	失去45个畸变方块[概率:25%]		
205	11005	50	302	[32]	获得32个畸变方块[概率:50%]		
206	11006	25	101	[3008]	获得插件:护盾战术(有护盾时增伤)[概率:25%]		
207	11006	25	302	[-60]	失去60个畸变方块[概率:25%]		
208	11006	50	302	[32]	获得32个畸变方块[概率:50%]		
209	11007	25	101	[3010]	获得插件:信号Mk.1(消球增伤)[概率:25%]		
210	11007	25	302	[-60]	失去60个畸变方块[概率:25%]		
211	11007	50	302	[32]	获得32个畸变方块[概率:50%]		
212	11008	25	101	[3017]	获得插件:冲击波引线(qte范围伤害)[概率:25%]		
213	11008	25	302	[-60]	失去60个畸变方块[概率:25%]		
214	11008	50	302	[32]	获得32个畸变方块[概率:50%]		
215	11009	25	101	[2010]	获得插件:样本补正(击杀回球)[概率:25%]		
216	11009	25	302	[-60]	失去60个畸变方块[概率:25%]		
217	11009	50	302	[32]	获得32个畸变方块[概率:50%]		
218	11010	25	101	[3006]	获得插件:势能控制(闪避增伤)[概率:25%]		
219	11010	25	302	[-60]	失去60个畸变方块[概率:25%]		
220	11010	50	302	[32]	获得32个畸变方块[概率:50%]		
221	21001	100	101	[2]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个中级插件单元		
222	21001	100	302	[-60]	\n→失去60畸变方块		
223	21001	100	101	[2014]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:衔接Mk.2(连击增伤)		
224	21001	100	302	[-75]	\n→失去75畸变方块		
225	21002	100	101	[2]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个中级插件单元		
226	21002	100	302	[-60]	\n→失去60畸变方块		
227	21002	100	101	[2013]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:高速处理器(减少qte冷却)		
228	21002	100	302	[-75]	\n→失去75畸变方块		
229	21003	100	101	[2]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个中级插件单元		
230	21003	100	302	[-60]	\n→失去60畸变方块		
231	21003	100	101	[2006]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:出力增强(普攻增伤)		
232	21003	100	302	[-75]	\n→失去75畸变方块		
233	21004	100	101	[2]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个中级插件单元		
234	21004	100	302	[-60]	\n→失去60畸变方块		
235	21004	100	101	[2018]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:情报共享(切人回球)		
236	21004	100	302	[-75]	\n→失去75畸变方块		
237	21005	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
238	21005	100	302	[-75]	\n→失去75畸变方块		
239	21005	100	101	[3021]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:小队掩护(切人增伤)		
240	21005	100	302	[-90]	\n→失去90畸变方块		
241	21006	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
242	21006	100	302	[-75]	\n→失去75畸变方块		
243	21006	100	101	[3004]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:附着炸弹(范围火伤)		
244	21006	100	302	[-90]	\n→失去90畸变方块		
245	21007	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
246	21007	100	302	[-75]	\n→失去75畸变方块		
247	21007	100	101	[3008]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:护盾战术(有护盾时增伤)		
248	21007	100	302	[-90]	\n→失去90畸变方块		
249	21008	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
250	21008	100	302	[-75]	\n→失去75畸变方块		
251	21008	100	101	[3019]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:辐射尘(追加暗伤)		
252	21008	100	302	[-90]	\n→失去90畸变方块		
253	21009	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
254	21009	100	302	[-75]	\n→失去75畸变方块		
255	21009	100	101	[3019]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:辐射尘(追加暗伤)		
256	21009	100	302	[-90]	\n→失去90畸变方块		
257	21010	100	101	[3]	<color=#34AFF9><size=20>谨慎的打开</size></color>\n→获得1个高级插件单元		
258	21010	100	302	[-75]	\n→失去75畸变方块		
259	21010	100	101	[3013]	<color=#34AFF9><size=20>粗暴的打开</size></color>\n→获得插件:高压电弧(范围雷伤)		
260	21010	100	302	[-90]	\n→失去90畸变方块		
