Id	CoreId	Star	FightEventId	SpendMaterialId	SpendMaterialCount	Description	UpgradeDescription
14	3	3	2201304	60834	10	被动效果：每次进入战斗，回复自身<color=#0F70BC>20%已损失生命值</color>\n使用后，立即损失<color=#0F70BC>12.5%</color>最大生命值，获得<color=#0F70BC>2秒</color>无敌效果，并在<color=#0F70BC>5秒</color>内提升<color=#0F70BC>35%</color>额外伤害加成\n冷却时间<color=#0F70BC>15秒</color>\n·每次使用后，本场对战中后续使用都会损失翻倍的生命值；释放技能流失的生命值<color=#0F70BC>不会致死</color>	·进入战斗回复<color=#0F70BC>20%</color>已损失生命值\n·提升<color=#0F70BC>35%</color>额外伤害加成
15	3	4	2201305	60834	10	被动效果：每次进入战斗，回复自身<color=#0F70BC>20%已损失生命值</color>\n使用后，立即损失<color=#0F70BC>10%</color>最大生命值，获得<color=#0F70BC>2秒</color>无敌效果，并在<color=#0F70BC>5秒</color>内提升<color=#0F70BC>40%</color>额外伤害加成\n冷却时间<color=#0F70BC>15秒</color>\n·每次使用后，本场对战中后续使用都会损失翻倍的生命值；释放技能流失的生命值<color=#0F70BC>不会致死</color>	·进入战斗回复<color=#0F70BC>20%</color>已损失生命值\n·提升<color=#0F70BC>40%</color>额外伤害加成
16	4		2201401	60834	5	被动效果：每次进入战斗，回复自身<color=#0F70BC>5%最大生命值</color>\n每秒自动获得<color=#0F70BC>2点</color>充能，普攻额外获得<color=#0F70BC>1点</color>，每消一个球额外获得<color=#0F70BC>3点</color>，能量上限<color=#0F70BC>100点</color>\n充能达到上限后可主动释放，释放后<color=#0F70BC>移除当前所有信号球</color>，获得<color=#0F70BC>3组同色信号球</color>，持续<color=#0F70BC>2秒</color>后根据释放技能时移除的信号球数目返还等量的信号球	·进入战斗回复<color=#0F70BC>5%</color>最大生命值\n·获取的额外信号球持续<color=#0F70BC>2</color>秒
17	4	1	2201402	60834	5	被动效果：每次进入战斗，回复自身<color=#0F70BC>10%最大生命值</color>\n每秒自动获得<color=#0F70BC>2点</color>充能，普攻额外获得<color=#0F70BC>1点</color>，每消一个球额外获得<color=#0F70BC>3点</color>，能量上限<color=#0F70BC>100点</color>\n充能达到上限后可主动释放，释放后<color=#0F70BC>移除当前所有信号球</color>，获得<color=#0F70BC>3组同色信号球</color>，持续<color=#0F70BC>2秒</color>后根据释放技能时移除的信号球数目返还等量的信号球	·进入战斗回复<color=#0F70BC>10%</color>最大生命值\n·获取的额外信号球持续<color=#0F70BC>2</color>秒
18	4	2	2201403	60834	10	被动效果：每次进入战斗，回复自身<color=#0F70BC>15%最大生命值</color>\n每秒自动获得<color=#0F70BC>2点</color>充能，普攻额外获得<color=#0F70BC>1点</color>，每消一个球额外获得<color=#0F70BC>3点</color>，能量上限<color=#0F70BC>100点</color>\n充能达到上限后可主动释放，释放后<color=#0F70BC>移除当前所有信号球</color>，获得<color=#0F70BC>3组同色信号球</color>，持续<color=#0F70BC>3秒</color>后根据释放技能时移除的信号球数目返还等量的信号球	·进入战斗回复<color=#0F70BC>15%</color>最大生命值\n·获取的额外信号球持续<color=#0F70BC>3</color>秒
19	4	3	2201404	60834	10	被动效果：每次进入战斗，回复自身<color=#0F70BC>20%最大生命值</color>\n每秒自动获得<color=#0F70BC>2点</color>充能，普攻额外获得<color=#0F70BC>1点</color>，每消一个球额外获得<color=#0F70BC>3点</color>，能量上限<color=#0F70BC>100点</color>\n充能达到上限后可主动释放，释放后<color=#0F70BC>移除当前所有信号球</color>，获得<color=#0F70BC>3组同色信号球</color>，持续<color=#0F70BC>3秒</color>后根据释放技能时移除的信号球数目返还等量的信号球	·进入战斗回复<color=#0F70BC>20%</color>最大生命值\n·获取的额外信号球持续<color=#0F70BC>3</color>秒
20	4	4	2201405	60834	10	被动效果：每次进入战斗，回复自身<color=#0F70BC>25%最大生命值</color>\n每秒自动获得<color=#0F70BC>2点</color>充能，普攻额外获得<color=#0F70BC>1点</color>，每消一个球额外获得<color=#0F70BC>3点</color>，能量上限<color=#0F70BC>100点</color>\n充能达到上限后可主动释放，释放后<color=#0F70BC>移除当前所有信号球</color>，获得<color=#0F70BC>3组同色信号球</color>，持续<color=#0F70BC>4秒</color>后根据释放技能时移除的信号球数目返还等量的信号球	·进入战斗回复<color=#0F70BC>25%</color>最大生命值\n·获取的额外信号球持续<color=#0F70BC>4</color>秒
21	5		2200201	60834	5	释放时，自身恢复<color=#0F70BC>6%</color>最大生命值\n聚集能量并持续牵引四周敌人<color=#0F70BC>3秒</color>\n牵引期间不会受到伤害，攻击和移动不受限制\n技能冷却时间<color=#0F70BC>120秒</color>	·恢复<color=#0F70BC>6%</color>最大生命值血量\n·持续时间<color=#0F70BC>3秒</color>
22	5	1	2200202	60834	5	释放时，自身恢复<color=#0F70BC>12%</color>最大生命值\n聚集能量并持续牵引四周敌人<color=#0F70BC>3.5秒</color>\n牵引期间不会受到伤害，攻击和移动不受限制\n技能冷却时间<color=#0F70BC>120秒</color>	·恢复<color=#0F70BC>12%</color>最大生命值血量\n·持续时间<color=#0F70BC>3.5秒</color>
23	5	2	2200203	60834	10	释放时，自身恢复<color=#0F70BC>18%</color>最大生命值\n聚集能量并持续牵引四周敌人<color=#0F70BC>4秒</color>\n牵引期间不会受到伤害，攻击和移动不受限制\n技能冷却时间<color=#0F70BC>120秒</color>	·恢复<color=#0F70BC>18%</color>最大生命值血量\n·持续时间<color=#0F70BC>4秒</color>
24	5	3	2200204	60834	10	释放时，自身恢复<color=#0F70BC>24%</color>最大生命值\n聚集能量并持续牵引四周敌人<color=#0F70BC>4.5秒</color>\n牵引期间不会受到伤害，攻击和移动不受限制\n技能冷却时间<color=#0F70BC>120秒</color>	·恢复<color=#0F70BC>24%</color>最大生命值血量\n·持续时间<color=#0F70BC>4.5秒</color>
25	5	4	2200205	60834	10	释放时，自身恢复<color=#0F70BC>30%</color>最大生命值\n聚集能量并持续牵引四周敌人<color=#0F70BC>5秒</color>\n牵引期间不会受到伤害，攻击和移动不受限制\n技能冷却时间<color=#0F70BC>120秒</color>	·恢复<color=#0F70BC>30%</color>最大生命值血量\n·持续时间<color=#0F70BC>5秒</color>
26	6		2200401	60834	5	释放时，角色生成1个持续<color=#0F70BC>0.8秒</color>的护盾\n护盾受到敌人攻击时，会<color=#0F70BC>抵消1次伤害</color>\n抵消成功时，进入超算空间，角色获得<color=#0F70BC>1个</color>随机信号球\n并对目标反击，造成当前生命值<color=#0F70BC>1%</color>的物理伤害\n当目标生命值低于<color=#0F70BC>50%</color>时，反击造成的伤害提升<color=#0F70BC>100%</color>\n技能冷却时间 <color=#0F70BC>30秒</color>	·获得<color=#0F70BC>1个</color>随机信号球\n·反弹伤害为目标当前生命值<color=#0F70BC>1%</color>
27	6	1	2200402	60834	5	释放时，角色生成1个持续<color=#0F70BC>0.8秒</color>的护盾\n护盾受到敌人攻击时，会<color=#0F70BC>抵消1次伤害</color>\n抵消成功时，进入超算空间，角色获得<color=#0F70BC>1个</color>随机信号球\n并对目标反击，造成当前生命值<color=#0F70BC>2%</color>的物理伤害\n当目标生命值低于<color=#0F70BC>50%</color>时，反击造成的伤害提升<color=#0F70BC>100%</color>\n技能冷却时间 <color=#0F70BC>30秒</color>	·获得<color=#0F70BC>1个</color>随机信号球\n·反弹伤害为目标当前生命值<color=#0F70BC>2%</color>
28	6	2	2200403	60834	10	释放时，角色生成1个持续<color=#0F70BC>0.8秒</color>的护盾\n护盾受到敌人攻击时，会<color=#0F70BC>抵消1次伤害</color>\n抵消成功时，进入超算空间，角色获得<color=#0F70BC>1个</color>随机信号球\n并对目标反击，造成当前生命值<color=#0F70BC>3%</color>的物理伤害\n当目标生命值低于<color=#0F70BC>50%</color>时，反击造成的伤害提升<color=#0F70BC>100%</color>\n技能冷却时间 <color=#0F70BC>30秒</color>	·获得<color=#0F70BC>1个</color>随机信号球\n·反弹伤害为目标当前生命值<color=#0F70BC>3%</color>
29	6	3	2200404	60834	10	释放时，角色生成1个持续<color=#0F70BC>0.8秒</color>的护盾\n护盾受到敌人攻击时，会<color=#0F70BC>抵消1次伤害</color>\n抵消成功时，进入超算空间，角色获得<color=#0F70BC>1个</color>随机信号球\n并对目标反击，造成当前生命值<color=#0F70BC>4%</color>的物理伤害\n当目标生命值低于<color=#0F70BC>50%</color>时，反击造成的伤害提升<color=#0F70BC>100%</color>\n技能冷却时间 <color=#0F70BC>30秒</color>	·获得<color=#0F70BC>1个</color>随机信号球\n·反弹伤害为目标当前生命值<color=#0F70BC>4%</color>
30	6	4	2200405	60834	10	释放时，角色生成1个持续<color=#0F70BC>0.8秒</color>的护盾\n护盾受到敌人攻击时，会<color=#0F70BC>抵消1次伤害</color>\n抵消成功时，进入超算空间，角色获得<color=#0F70BC>2个</color>随机信号球\n并对目标反击，造成当前生命值<color=#0F70BC>5%</color>的物理伤害\n当目标生命值低于<color=#0F70BC>50%</color>时，反击造成的伤害提升<color=#0F70BC>100%</color>\n技能冷却时间 <color=#0F70BC>30秒</color>	·获得<color=#0F70BC>2个</color>随机信号球\n·反弹伤害为目标当前生命值<color=#0F70BC>5%</color>
31	7		2200506	60834	5	被动效果：战斗中每次受到攻击后角色造成全伤害提升<color=#0F70BC>0.5%</color>，可叠加<color=#0F70BC>5层</color>持续时间无限\n使用后，每秒回复<color=#0F70BC>3%</color>的角色最大生命值，持续<color=#0F70BC>3</color>秒；期间闪避<color=#0F70BC>不会消耗闪避值</color>\n冷却时间<color=#0F70BC>90秒</color>。	·受到攻击角色伤害提升<color=#0F70BC>0.5%</color>\n·使用后每秒回复<color=#0F70BC>3%</color>最大生命
32	7	1	2200506	60834	5	被动效果：战斗中每次受到攻击后角色造成全伤害提升<color=#0F70BC>1%</color>，可叠加<color=#0F70BC>5层</color>持续时间无限\n使用后，每秒回复<color=#0F70BC>4.5%</color>的角色最大生命值，持续<color=#0F70BC>3</color>秒；期间闪避<color=#0F70BC>不会消耗闪避值</color>\n冷却时间<color=#0F70BC>90秒</color>。	·受到攻击角色伤害提升<color=#0F70BC>1%</color>\n·使用后每秒回复<color=#0F70BC>4.5%</color>最大生命
33	7	2	2200506	60834	10	被动效果：战斗中每次受到攻击后角色造成全伤害提升<color=#0F70BC>1.5%</color>，可叠加<color=#0F70BC>5层</color>持续时间无限\n使用后，每秒回复<color=#0F70BC>6%</color>的角色最大生命值，持续<color=#0F70BC>3</color>秒；期间闪避<color=#0F70BC>不会消耗闪避值</color>\n冷却时间<color=#0F70BC>90秒</color>。	·受到攻击角色伤害提升<color=#0F70BC>1.5%</color>\n·使用后每秒回复<color=#0F70BC>6%</color>最大生命
34	7	3	2200506	60834	10	被动效果：战斗中每次受到攻击后角色造成全伤害提升<color=#0F70BC>2%</color>，可叠加<color=#0F70BC>5层</color>持续时间无限\n使用后，每秒回复<color=#0F70BC>7.5%</color>的角色最大生命值，持续<color=#0F70BC>3</color>秒；期间闪避<color=#0F70BC>不会消耗闪避值</color>\n冷却时间<color=#0F70BC>90秒</color>。	·受到攻击角色伤害提升<color=#0F70BC>2%</color>\n·使用后每秒回复<color=#0F70BC>7.5%</color>最大生命
35	7	4	2200506	60834	10	被动效果：战斗中每次受到攻击后角色造成全伤害提升<color=#0F70BC>2.5%</color>，可叠加<color=#0F70BC>5层</color>持续时间无限\n使用后，每秒回复<color=#0F70BC>9%</color>的角色最大生命值，持续<color=#0F70BC>3</color>秒；期间闪避<color=#0F70BC>不会消耗闪避值</color>\n冷却时间<color=#0F70BC>90秒</color>。	·受到攻击角色伤害提升<color=#0F70BC>2.5%</color>\n·使用后每秒回复<color=#0F70BC>9%</color>最大生命
36	8		2200507	60834	5	"""被动效果：战斗中受到致死伤害时将不会扣除生命值并且角色进入无敌状态，持续<color=#0F70BC>1秒</color>,每场战斗只会触发<color=#0F70BC>1次</color>\n可在任意时间开启与关闭技能，开启后每次闪避额外消耗<color=#0F70BC>250点闪避值</color>，角色额外伤害提升<color=#0F70BC>5%</color>"""	·开启技能后角色造成伤害提升<color=#0F70BC>5%</color>
37	8	1	2200507	60834	5	"""被动效果：战斗中受到致死伤害时将不会扣除生命值并且角色进入无敌状态，持续<color=#0F70BC>1秒</color>,每场战斗只会触发<color=#0F70BC>1次</color>\n可在任意时间开启与关闭技能，开启后每次闪避额外消耗<color=#0F70BC>250点闪避值</color>，角色额外伤害提升<color=#0F70BC>10%</color>"""	·开启技能后角色造成伤害提升<color=#0F70BC>10%</color>
38	8	2	2200507	60834	10	"""被动效果：战斗中受到致死伤害时将不会扣除生命值并且角色进入无敌状态，持续<color=#0F70BC>1秒</color>,每场战斗只会触发<color=#0F70BC>1次</color>\n可在任意时间开启与关闭技能，开启后每次闪避额外消耗<color=#0F70BC>250点闪避值</color>，角色额外伤害提升<color=#0F70BC>15%</color>"""	·开启技能后角色造成伤害提升<color=#0F70BC>15%</color>
39	8	3	2200507	60834	10	"""被动效果：战斗中受到致死伤害时将不会扣除生命值并且角色进入无敌状态，持续<color=#0F70BC>1秒</color>,每场战斗只会触发<color=#0F70BC>1次</color>\n可在任意时间开启与关闭技能，开启后每次闪避额外消耗<color=#0F70BC>250点闪避值</color>，角色额外伤害提升<color=#0F70BC>20%</color>"""	·开启技能后角色造成伤害提升<color=#0F70BC>20%</color>
40	8	4	2200507	60834	10	"""被动效果：战斗中受到致死伤害时将不会扣除生命值并且角色进入无敌状态，持续<color=#0F70BC>1秒</color>,每场战斗只会触发<color=#0F70BC>1次</color>\n可在任意时间开启与关闭技能，开启后每次闪避额外消耗<color=#0F70BC>250点闪避值</color>，角色额外伤害提升<color=#0F70BC>25%</color>"""	·开启技能后角色造成伤害提升<color=#0F70BC>25%</color>
41	9		2200508	60834	5	"""被动效果：角色会恢复造成伤害<color=#0F70BC>0.05%</color>的生命值\n主动效果：使用技能后的<color=#0F70BC>0.3秒</color>内角色进入无敌状态,<color=#0F70BC>0.3-3秒</color>角色获得霸体与高额减伤，无敌状态内受到攻击将会释放冲击波对怪物造成<color=#0F70BC>角色攻击力*2260%</color>的伤害并<color=#0F70BC>重置技能冷却</color>\n冷却<color=#0F70BC>10秒</color>"""	·冲击波对怪物造成<color=#0F70BC>角色攻击力*2260%</color>的伤害
42	9	1	2200508	60834	5	被动效果：角色会恢复造成伤害<color=#0F70BC>0.05%</color>的生命值\n主动效果：使用技能后的<color=#0F70BC>0.3秒</color>内角色进入无敌状态，无敌状态内受到攻击将会释放冲击波对怪物造成<color=#0F70BC>角色攻击力*2781%</color>的伤害并<color=#0F70BC>重置技能冷却</color>\n冷却<color=#0F70BC>10秒</color>	·冲击波对怪物造成<color=#0F70BC>角色攻击力*2781%</color>的伤害
43	9	2	2200508	60834	10	被动效果：角色会恢复造成伤害<color=#0F70BC>0.05%</color>的生命值\n主动效果：使用技能后的<color=#0F70BC>0.3秒</color>内角色进入无敌状态，无敌状态内受到攻击将会释放冲击波对怪物造成<color=#0F70BC>角色攻击力*3302%</color>的伤害并<color=#0F70BC>重置技能冷却</color>\n冷却<color=#0F70BC>10秒</color>	·冲击波对怪物造成<color=#0F70BC>角色攻击力*3302%</color>的伤害
44	9	3	2200508	60834	10	被动效果：角色会恢复造成伤害<color=#0F70BC>0.05%</color>的生命值\n主动效果：使用技能后的<color=#0F70BC>0.3秒</color>内角色进入无敌状态，无敌状态内受到攻击将会释放冲击波对怪物造成<color=#0F70BC>角色攻击力*3824%</color>的伤害并<color=#0F70BC>重置技能冷却</color>\n冷却<color=#0F70BC>10秒</color>	·冲击波对怪物造成<color=#0F70BC>角色攻击力*3824%</color>的伤害
45	9	4	2200508	60834	10	被动效果：角色会恢复造成伤害<color=#0F70BC>0.05%</color>的生命值\n主动效果：使用技能后的<color=#0F70BC>0.3秒</color>内角色进入无敌状态，无敌状态内受到攻击将会释放冲击波对怪物造成<color=#0F70BC>角色攻击力*4345%</color>的伤害并<color=#0F70BC>重置技能冷却</color>\n冷却<color=#0F70BC>10秒</color>	·冲击波对怪物造成<color=#0F70BC>角色攻击力*4345%</color>的伤害
46	10		2200509	60834	5	被动效果：装备角色的普通攻击伤害提升<color=#0F70BC>40%</color>\n主动效果：充能满后可使用，使用技能后的立即获得<color=#0F70BC>2组三消球</color>，使用技能后将消耗核心全部充能，角色的<color=#0F70BC>必杀技</color>会为技能提供充能	装备角色的普通攻击伤害提升<color=#0F70BC>40%</color>
47	10	1	2200509	60834	5	被动效果：装备角色的普通攻击伤害提升<color=#0F70BC>60%</color>\n主动效果：充能满后可使用，使用技能后的立即获得<color=#0F70BC>2组三消球</color>，使用技能后将消耗核心全部充能，角色的<color=#0F70BC>必杀技</color>会为技能提供充能	装备角色的普通攻击伤害提升<color=#0F70BC>60%</color>
48	10	2	2200509	60834	10	被动效果：装备角色的普通攻击伤害提升<color=#0F70BC>80%</color>\n主动效果：充能满后可使用，使用技能后的立即获得<color=#0F70BC>2组三消球</color>，使用技能后将消耗核心全部充能，角色的<color=#0F70BC>必杀技</color>会为技能提供充能	装备角色的普通攻击伤害提升<color=#0F70BC>80%</color>
49	10	3	2200509	60834	10	被动效果：装备角色的普通攻击伤害提升<color=#0F70BC>100%</color>\n主动效果：充能满后可使用，使用技能后的立即获得<color=#0F70BC>2组三消球</color>，使用技能后将消耗核心全部充能，角色的<color=#0F70BC>必杀技</color>会为技能提供充能	装备角色的普通攻击伤害提升<color=#0F70BC>100%</color>
50	10	4	2200509	60834	10	被动效果：装备角色的普通攻击伤害提升<color=#0F70BC>120%</color>\n主动效果：充能满后可使用，使用技能后的立即获得<color=#0F70BC>2组三消球</color>，使用技能后将消耗核心全部充能，角色的<color=#0F70BC>必杀技</color>会为技能提供充能	装备角色的普通攻击伤害提升<color=#0F70BC>120%</color>
