Id	Type	Order	Name	BigIcon	Path	GIFAsset	Description	WorldDesc	IsFree	ConvertItemId	ConvertItemCount	TimeLimitType	ExpireTimeStr	Duration	PackageId	ConnotationDesc
11000011	1	11	表情-新晋	Assets/Product/Texture/Image/IconExpression/IconExpressA11.png	Assets/Product/Texture/Image/IconExpression/IconExpressA11.png		聊天表情	拟真围剿结算时排行前30%~95%可获得		1	10000	2		604800		新晋
11000012	1	12	表情-老手	Assets/Product/Texture/Image/IconExpression/IconExpressA12.png	Assets/Product/Texture/Image/IconExpression/IconExpressA12.png		聊天表情	拟真围剿结算时排行前10%~30%可获得		1	10000	2		604800		老手
11000013	1	13	表情-专家	Assets/Product/Texture/Image/IconExpression/IconExpressA13.png	Assets/Product/Texture/Image/IconExpression/IconExpressA13.png		聊天表情	拟真围剿结算时排行前5%~10%可获得		1	10000	2		604800		专家
11000014	1	14	表情-王牌	Assets/Product/Texture/Image/IconExpression/IconExpressA14.png	Assets/Product/Texture/Image/IconExpression/IconExpressA14.png		聊天表情	拟真围剿结算时排行前1%~5%可获得		1	10000	2		604800		王牌
11000015	1	15	表情-至尊	Assets/Product/Texture/Image/IconExpression/IconExpressA15.png	Assets/Product/Texture/Image/IconExpression/IconExpressA15.png		聊天表情	拟真围剿结算时排行前1%以内可获得		1	10000	2		604800		至尊
11000016	1	16	表情-比心比心	Assets/Product/Texture/Image/IconExpression/IconExpressA16.png	Assets/Product/Texture/Image/IconExpression/IconExpressA16.png		聊天表情	比心比心——露西亚·鸦羽		1	10000	1				比心比心
11000017	1	17	表情-很多螺母	Assets/Product/Texture/Image/IconExpression/IconExpressA17.png	Assets/Product/Texture/Image/IconExpression/IconExpressA17.png		聊天表情	你有很多螺母——神威		1	10000	1				很多螺母
11000018	1	18	表情-咻	Assets/Product/Texture/Image/IconExpression/IconExpressA18.png	Assets/Product/Texture/Image/IconExpression/IconExpressA18.png		聊天表情	咻~——七实·脉冲		1	10000	1				咻
11000019	1	19	表情-牛年大吉	Assets/Product/Texture/Image/IconExpression/IconExpressA19.png	Assets/Product/Texture/Image/IconExpression/IconExpressA19.png		春节表情——领取后可获得该表情7天的使用权限	牛年大吉——卡列尼娜		1	10000	2		604800		牛年大吉
11000020	1	20	表情-万事如意	Assets/Product/Texture/Image/IconExpression/IconExpressA20.png	Assets/Product/Texture/Image/IconExpression/IconExpressA20.png		春节表情——领取后可获得该表情7天的使用权限	万事如意——蒲牢		1	10000	2		604800		万事如意
11000021	1	21	表情-恭喜发财	Assets/Product/Texture/Image/IconExpression/IconExpressA21.png	Assets/Product/Texture/Image/IconExpression/IconExpressA21.png		春节表情——领取后可获得该表情7天的使用权限	恭喜发财-常羽		1	10000	2		604800		恭喜发财
11000022	1	22	表情-放鞭炮	Assets/Product/Texture/Image/IconExpression/IconExpressA22.png	Assets/Product/Texture/Image/IconExpression/IconExpressA22.png		春节表情——领取后可获得该表情7天的使用权限	放鞭炮——库洛姆		1	10000	2		604800		放鞭炮
11000023	1	23	表情-脱非入欧	Assets/Product/Texture/Image/IconExpression/IconExpressA23.png	Assets/Product/Texture/Image/IconExpression/IconExpressA23.png		春节表情——领取后可获得该表情7天的使用权限	脱非入欧——神威		1	10000	2		604800		脱非入欧
11000024	1	24	表情-我要睡了	Assets/Product/Texture/Image/IconExpression/IconExpressA24.png	Assets/Product/Texture/Image/IconExpression/IconExpressA24.png		聊天表情——抑制拟算活动获得	我要睡了——万事		1	10000	1				我要睡了
11000025	1	25	表情-投票啦	Assets/Product/Texture/Image/IconExpression/IconExpressA25.png	Assets/Product/Texture/Image/IconExpression/IconExpressA25.png		聊天表情——参加“伊甸文化纪支援站”活动获得	投票啦——赛利卡		1	10000	1			1000	投票啦
11000026	1	26	表情-来抱抱	Assets/Product/Texture/Image/IconExpression/IconExpressA26.png	Assets/Product/Texture/Image/IconExpression/IconExpressA26.png		聊天表情——参加“分光双星”活动获得	来抱抱——丽芙		1	10000	1			1000	来抱抱
11000027	1	27	表情-啾啾啾	Assets/Product/Texture/Image/IconExpression/IconExpressA27.png	Assets/Product/Texture/Image/IconExpression/IconExpressA27.png		聊天表情——参加“超限乱斗”活动获得	啾啾啾——丽芙		1	10000	1			1000	啾啾啾
11000028	1	28	成就表情-异火	Assets/Product/Texture/Image/IconExpression/IconExpressA28.png	Assets/Product/Texture/Image/IconExpression/IconExpressA28.png		成就表情-异火进化至SSS	成就-异火		1	10000	1			1001	方向反了吗？
11000029	1	29	成就表情-红莲	Assets/Product/Texture/Image/IconExpression/IconExpressA29.png	Assets/Product/Texture/Image/IconExpression/IconExpressA29.png		成就表情-红莲进化至SSS	成就-红莲		1	10000	1			1001	嗅到一丝阴谋
11000030	1	30	成就表情-蚀暗	Assets/Product/Texture/Image/IconExpression/IconExpressA30.png	Assets/Product/Texture/Image/IconExpression/IconExpressA30.png		成就表情-蚀暗进化至SSS	成就-蚀暗		1	10000	1			1001	Zzz...
11000031	1	31	成就表情-零度	Assets/Product/Texture/Image/IconExpression/IconExpressA31.png	Assets/Product/Texture/Image/IconExpression/IconExpressA31.png		成就表情-零度进化至SSS	成就-零度		1	10000	1			1001	情绪管理中
11000032	1	32	成就表情-风暴	Assets/Product/Texture/Image/IconExpression/IconExpressA32.png	Assets/Product/Texture/Image/IconExpression/IconExpressA32.png		成就表情-风暴进化至SSS	成就-风暴		1	10000	1			1001	诶嘿~
11000033	1	33	成就表情-重能	Assets/Product/Texture/Image/IconExpression/IconExpressA33.png	Assets/Product/Texture/Image/IconExpression/IconExpressA33.png		成就表情-重能进化至SSS	成就-重能		1	10000	1			1001	优雅
11000034	1	34	成就表情-爆裂	Assets/Product/Texture/Image/IconExpression/IconExpressA34.png	Assets/Product/Texture/Image/IconExpression/IconExpressA34.png		成就表情-爆裂进化至SSS	成就-爆裂		1	10000	1			1001	不服吗！
11000035	1	35	成就表情-夜刃	Assets/Product/Texture/Image/IconExpression/IconExpressA35.png	Assets/Product/Texture/Image/IconExpression/IconExpressA35.png		成就表情-夜刃进化至SSS	成就-夜刃		1	10000	1			1001	生日快乐
11000036	1	36	成就表情-黎明	Assets/Product/Texture/Image/IconExpression/IconExpressA36.png	Assets/Product/Texture/Image/IconExpression/IconExpressA36.png		成就表情-黎明进化至SSS	成就-黎明		1	10000	1			1001	冷静分析
11000037	1	37	成就表情-流光	Assets/Product/Texture/Image/IconExpression/IconExpressA37.png	Assets/Product/Texture/Image/IconExpression/IconExpressA37.png		成就表情-流光进化至SSS	成就-流光		1	10000	1			1001	为难丽芙了
11000038	1	38	成就表情-仰光	Assets/Product/Texture/Image/IconExpression/IconExpressA38.png	Assets/Product/Texture/Image/IconExpression/IconExpressA38.png		成就表情-仰光进化至SSS	成就-仰光		1	10000	1			1001	期待
11000039	1	39	成就表情-暗能	Assets/Product/Texture/Image/IconExpression/IconExpressA39.png	Assets/Product/Texture/Image/IconExpression/IconExpressA39.png		成就表情-暗能进化至SSS	成就-暗能		1	10000	1			1001	钱包空了
11000040	1	40	成就表情-乱数	Assets/Product/Texture/Image/IconExpression/IconExpressA40.png	Assets/Product/Texture/Image/IconExpression/IconExpressA40.png		成就表情-乱数进化至SSS	成就-乱数		1	10000	1			1001	没眼看
11000041	1	41	成就表情-烬燃	Assets/Product/Texture/Image/IconExpression/IconExpressA41.png	Assets/Product/Texture/Image/IconExpression/IconExpressA41.png		成就表情-烬燃进化至SSS	成就-烬燃		1	10000	1			1001	哼
11000042	1	42	成就表情-脉冲	Assets/Product/Texture/Image/IconExpression/IconExpressA42.png	Assets/Product/Texture/Image/IconExpression/IconExpressA42.png		成就表情-脉冲进化至SSS	成就-脉冲		1	10000	1			1001	哎呀呀呀
11000043	1	43	成就表情-深红之渊	Assets/Product/Texture/Image/IconExpression/IconExpressA43.png	Assets/Product/Texture/Image/IconExpression/IconExpressA43.png		成就表情-深红之渊进化至SSS	成就-深红之渊		1	10000	1			1001	上车
11000044	1	44	成就表情-夙星	Assets/Product/Texture/Image/IconExpression/IconExpressA44.png	Assets/Product/Texture/Image/IconExpression/IconExpressA44.png		成就表情-夙星进化至SSS	成就-夙星		1	10000	1			1001	暗中观察
11000045	1	45	成就表情-溢彩	Assets/Product/Texture/Image/IconExpression/IconExpressA45.png	Assets/Product/Texture/Image/IconExpression/IconExpressA45.png		成就表情-溢彩进化至SSS	成就-溢彩		1	10000	1			1001	买买买！
11000046	1	46	成就表情-真理	Assets/Product/Texture/Image/IconExpression/IconExpressA46.png	Assets/Product/Texture/Image/IconExpression/IconExpressA46.png		成就表情-真理进化至SSS	成就-真理		1	10000	1			1001	干得漂亮
11000047	1	47	成就表情-银牙	Assets/Product/Texture/Image/IconExpression/IconExpressA47.png	Assets/Product/Texture/Image/IconExpression/IconExpressA47.png		成就表情-银牙进化至SSS	成就-银牙		1	10000	1			1001	毫无难度
11000048	1	48	成就表情-弧光	Assets/Product/Texture/Image/IconExpression/IconExpressA48.png	Assets/Product/Texture/Image/IconExpression/IconExpressA48.png		成就表情-弧光进化至SSS	成就-弧光		1	10000	1			1001	格局小了
11000049	1	49	成就表情-鸦羽	Assets/Product/Texture/Image/IconExpression/IconExpressA49.png	Assets/Product/Texture/Image/IconExpression/IconExpressA49.png		成就表情-鸦羽进化至SSS	成就-鸦羽		1	10000	1			1001	要尝尝吗
11000050	1	50	成就表情-瑰丽	Assets/Product/Texture/Image/IconExpression/IconExpressA50.png	Assets/Product/Texture/Image/IconExpression/IconExpressA50.png		成就表情-瑰丽进化至SSS	成就-瑰丽		1	10000	1			1001	自己体会
11000051	1	51	成就表情-狂犬	Assets/Product/Texture/Image/IconExpression/IconExpressA51.png	Assets/Product/Texture/Image/IconExpression/IconExpressA51.png		成就表情-狂犬进化至SSS	成就-狂犬		1	10000	1			1001	肚子饿了
11000052	1	52	成就表情-凛冽	Assets/Product/Texture/Image/IconExpression/IconExpressA52.png	Assets/Product/Texture/Image/IconExpression/IconExpressA52.png		成就表情-凛冽进化至SSS	成就-凛冽		1	10000	1			1001	理解不能
11000053	1	53	成就表情-雀翎	Assets/Product/Texture/Image/IconExpression/IconExpressA53.png	Assets/Product/Texture/Image/IconExpression/IconExpressA53.png		成就表情-雀翎进化至SSS	成就-雀翎		1	10000	1			1001	乘风而起
11000054	1	54	成就表情-游麟	Assets/Product/Texture/Image/IconExpression/IconExpressA54.png	Assets/Product/Texture/Image/IconExpression/IconExpressA54.png		成就表情-游麟进化至SSS	成就-游麟		1	10000	1			1001	嘿嘿，钱
11000055	1	55	成就表情-银冕	Assets/Product/Texture/Image/IconExpression/IconExpressA55.png	Assets/Product/Texture/Image/IconExpression/IconExpressA55.png		成就表情-银冕进化至SSS	成就-银冕		1	10000	1			1001	不开心
11000056	1	56	成就表情-明觉	Assets/Product/Texture/Image/IconExpression/IconExpressA56.png	Assets/Product/Texture/Image/IconExpression/IconExpressA56.png		成就表情-明觉进化至SSS	成就-明觉		1	10000	1			1001	醒着，别掐
11000057	1	57	成就表情-岚音	Assets/Product/Texture/Image/IconExpression/IconExpressA57.png	Assets/Product/Texture/Image/IconExpression/IconExpressA57.png		成就表情-岚音进化至SSS	成就-岚音		1	10000	1			1001	乖巧
11000058	1	58	成就表情-荣光	Assets/Product/Texture/Image/IconExpression/IconExpressA58.png	Assets/Product/Texture/Image/IconExpression/IconExpressA58.png		成就表情-荣光进化至SSS	成就-荣光		1	10000	1			1001	那我走？
11000059	1	59	成就表情-XXI	Assets/Product/Texture/Image/IconExpression/IconExpressA59.png	Assets/Product/Texture/Image/IconExpression/IconExpressA59.png		成就表情-XXI进化至SSS	成就-XXI		1	10000	1			1001	摸摸
11000060	1	60	成就表情-绯耀	Assets/Product/Texture/Image/IconExpression/IconExpressA60.png	Assets/Product/Texture/Image/IconExpression/IconExpressA60.png		成就表情-绯耀进化至SSS	成就-绯耀		1	10000	1			1001	就这？
11000061	1	61	成就表情-戏炎	Assets/Product/Texture/Image/IconExpression/IconExpressA61.png	Assets/Product/Texture/Image/IconExpression/IconExpressA61.png		成就表情-戏炎进化至SSS	成就-戏炎		1	10000	1			1001	怪我咯
11000062	1	62	成就表情-极昼	Assets/Product/Texture/Image/IconExpression/IconExpressA62.png	Assets/Product/Texture/Image/IconExpression/IconExpressA62.png		成就表情-极昼进化至SSS	成就-极昼		1	10000	1			1001	谢谢你
11000063	1	63	成就表情-幻奏	Assets/Product/Texture/Image/IconExpression/IconExpressA63.png	Assets/Product/Texture/Image/IconExpression/IconExpressA63.png		成就表情-幻奏进化至SSS	成就-幻奏		1	10000	1			1001	悠哉小调
11000064	1	64	成就表情-元谒	Assets/Product/Texture/Image/IconExpression/IconExpressA64.png	Assets/Product/Texture/Image/IconExpression/IconExpressA64.png		成就表情-元谒进化至SSS	成就-元谒		1	10000	1			1001	这盒里吗
11000065	1	65	成就表情-沃托	Assets/Product/Texture/Image/IconExpression/IconExpressA65.png	Assets/Product/Texture/Image/IconExpression/IconExpressA65.png		成就表情-沃托进化至SSS	成就-沃托		1	10000	1			1001	耶~
11000066	1	66	成就表情-庭霓	Assets/Product/Texture/Image/IconExpression/IconExpressA66.png	Assets/Product/Texture/Image/IconExpression/IconExpressA66.png		成就表情-庭霓进化至SSS	成就-庭霓		1	10000	1			1001	白鹤亮翅
11000067	1	67	成就表情-霜誓	Assets/Product/Texture/Image/IconExpression/IconExpressA67.png	Assets/Product/Texture/Image/IconExpression/IconExpressA67.png		成就表情-霜誓进化至SSS	成就-霜誓		1	10000	1			1001	哼
11000068	1	68	成就表情-冷观	Assets/Product/Texture/Image/IconExpression/IconExpressA68.png	Assets/Product/Texture/Image/IconExpression/IconExpressA68.png		成就表情-冷观进化至SSS	成就-冷观		1	10000	1			1001	打开有惊喜
11000069	1	69	成就表情-宵煌	Assets/Product/Texture/Image/IconExpression/IconExpressA69.png	Assets/Product/Texture/Image/IconExpression/IconExpressA69.png		成就表情-宵煌进化至SSS	成就-宵煌		1	10000	1			1001	喵~
11000070	1	70	成就表情-伶崖	Assets/Product/Texture/Image/IconExpression/IconExpressA70.png	Assets/Product/Texture/Image/IconExpression/IconExpressA70.png		成就表情-伶崖进化至SSS	成就-伶崖		1	10000	1			1001	开饭
11000071	1	71	成就表情-沧翊	Assets/Product/Texture/Image/IconExpression/IconExpressA71.png	Assets/Product/Texture/Image/IconExpression/IconExpressA71.png		成就表情-沧翊进化至SSS	成就-沧翊		1	10000	1			1001	为了薯条
11000072	1	72	成就表情-华钟	Assets/Product/Texture/Image/IconExpression/IconExpressA72.png	Assets/Product/Texture/Image/IconExpression/IconExpressA72.png		成就表情-华钟进化至SSS	成就-华钟		1	10000	1			1001	谢谢老板
11000073	1	73	成就表情-棘钧	Assets/Product/Texture/Image/IconExpression/IconExpressA73.png	Assets/Product/Texture/Image/IconExpression/IconExpressA73.png		成就表情-棘钧进化至SSS	成就-棘钧		1	10000	1			1001	圆润离开
11000074	1	74	成就表情-遥星之座	Assets/Product/Texture/Image/IconExpression/IconExpressA79.png	Assets/Product/Texture/Image/IconExpression/IconExpressA79.png		成就表情-遥星之座进化至SSS	成就-遥星之座		1	10000	1			1001	七实开的
11000075	1	75	成就表情-啸钺	Assets/Product/Texture/Image/IconExpression/IconExpressA80.png	Assets/Product/Texture/Image/IconExpression/IconExpressA80.png		成就表情-啸钺进化至SSS	成就-啸钺		1	10000	1			1001	猛虎下山
11000076	1	76	表情-虎年大吉	Assets/Product/Texture/Image/IconExpression/IconExpressA81.png	Assets/Product/Texture/Image/IconExpression/IconExpressA81.png		2022春节活动-桃符授春获得	虎年大吉-七实		1	10000	1				虎年大吉
11000077	1	77	表情-如虎添翼	Assets/Product/Texture/Image/IconExpression/IconExpressA83.png	Assets/Product/Texture/Image/IconExpression/IconExpressA83.png		2022春节活动-新岁淘金获得	如虎添翼-比安卡		1	10000	1				如虎添翼
11000078	1	78	表情-虎虎生威	Assets/Product/Texture/Image/IconExpression/IconExpressA82.png	Assets/Product/Texture/Image/IconExpression/IconExpressA82.png		2022春节活动-新岁淘金获得	虎虎生威-神威		1	10000	1				虎虎生威
11000079	1	79	表情-食汤圆了喂	Assets/Product/Texture/Image/IconExpression/IconExpressA77.png	Assets/Product/Texture/Image/IconExpression/IconExpressA77.png		2022元宵活动-同祈迎春获得	食汤圆了喂-渡边		1	10000	1				食汤圆了喂
11000080	1	80	表情-年年有余	Assets/Product/Texture/Image/IconExpression/IconExpressA78.png	Assets/Product/Texture/Image/IconExpression/IconExpressA78.png		2022春节-福禄献礼活动获得	年年有余-蒲牢		1	10000	1				年年有余
11000081	1	81	表情-不愧是我	Assets/Product/Texture/Image/IconExpression/IconExpressA74.png	Assets/Product/Texture/Image/IconExpression/IconExpressA74.png		众志行征通关平坦难度获得	不愧是我-七实		1	10000	1				不愧是我
11000082	1	82	表情-轻松通关	Assets/Product/Texture/Image/IconExpression/IconExpressA75.png	Assets/Product/Texture/Image/IconExpression/IconExpressA75.png		众志行征通关险要难度获得	轻松通关-七实		1	10000	1				轻松通关
11000083	1	83	表情-就这就这	Assets/Product/Texture/Image/IconExpression/IconExpressA76.png	Assets/Product/Texture/Image/IconExpression/IconExpressA76.png		众志行征通关崎岖难度获得	就这就这-七实		1	10000	1				就这就这
11000084	1	84	表情-微笑	Assets/Product/Texture/Image/IconExpression/IconExpressA84.png	Assets/Product/Texture/Image/IconExpression/IconExpressA84.png		参与分光双星玩法获得	微笑-哈卡玛		1	10000	1				微笑
11000085	1	85	成就表情-隐星	Assets/Product/Texture/Image/IconExpression/IconExpressA85.png	Assets/Product/Texture/Image/IconExpression/IconExpressA85.png		成就表情-隐星进化至SSS	成就-隐星		1	10000	1			1001	先加体力
11000086	1	86	成就表情-辉晓	Assets/Product/Texture/Image/IconExpression/IconExpressA89.png	Assets/Product/Texture/Image/IconExpression/IconExpressA89.png		成就表情-辉晓进化至SSS	成就-辉晓		1	10000	1			1001	倔强
11000087	1	87	成就表情-暝月	Assets/Product/Texture/Image/IconExpression/IconExpressA90.png	Assets/Product/Texture/Image/IconExpression/IconExpressA90.png		成就表情-暝月进化至SSS	成就-暝月		1	10000	1			1001	不用谢
11000088	1	88	表情-五一纪行	Assets/Product/Texture/Image/IconExpression/IconExpressA91.png	Assets/Product/Texture/Image/IconExpression/IconExpressA91.png		2022五一活动-五一纪行获得	五一纪行-赛利卡		1	10000	1				五一纪行
11000089	1	89	表情-哼	Assets/Product/Texture/Image/IconExpression/IconExpressA86.png	Assets/Product/Texture/Image/IconExpression/IconExpressA86.png		聊天表情——参加“超限乱斗·核心重燃”活动获得	哼——辉晓		1	10000	1			1000	哼
11000090	1	90	表情-哦呵呵呵	Assets/Product/Texture/Image/IconExpression/IconExpressA87.png	Assets/Product/Texture/Image/IconExpression/IconExpressA87.png		聊天表情——参加“超限乱斗·核心重燃”活动获得	哦呵呵呵——辉晓		1	10000	1			1000	哦呵呵呵
11000091	1	91	表情-给我等着	Assets/Product/Texture/Image/IconExpression/IconExpressA88.png	Assets/Product/Texture/Image/IconExpression/IconExpressA88.png		聊天表情——参加“超限乱斗·核心重燃”活动获得	给我等着——辉晓		1	10000	1			1000	给我等着
11000092	1	92	表情-鸢纸刻历	Assets/Product/Texture/Image/IconExpression/IconExpressA93.png	Assets/Product/Texture/Image/IconExpression/IconExpressA93.png		2022端午活动-鸢纸刻历获得	鸢纸刻历-蒲牢		1	10000	1				鸢纸刻历
11000093	1	93	表情-思考	Assets/Product/Texture/Image/IconExpression/IconExpressA92.png	Assets/Product/Texture/Image/IconExpression/IconExpressA92.png		成就表情-逆旅进化至SSS	思考——逆旅		1	10000	1			1001	思考
11000094	1	94	表情-饮茶	Assets/Product/Texture/Image/IconExpression/IconExpressA94.png	Assets/Product/Texture/Image/IconExpression/IconExpressA94.png		聊天表情——参加“心象风景”活动获得	饮茶——逆旅		1	10000	1			1000	饮茶
11000095	1	95	表情-空花最强	Assets/Product/Texture/Image/IconExpression/IconExpressA95.png	Assets/Product/Texture/Image/IconExpression/IconExpressA95.png		完成新手指导任务后获得	空花最强-赛利卡		1	10000	1				空花最强
11000096	1	96	表情-前有隐藏道路	Assets/Product/Texture/Image/IconExpression/IconExpressA98.png	Assets/Product/Texture/Image/IconExpression/IconExpressA98.png		众志行征Ⅱ通关平坦难度获得	前有隐藏道路——深痕		1	10000	1				前有隐藏道路
11000097	1	97	表情-前有重要道具	Assets/Product/Texture/Image/IconExpression/IconExpressA97.png	Assets/Product/Texture/Image/IconExpression/IconExpressA97.png		众志行征Ⅱ通关险要难度获得	前有重要道具——深痕		1	10000	1				前有重要道具
11000098	1	98	表情-需要肢体动作	Assets/Product/Texture/Image/IconExpression/IconExpressA96.png	Assets/Product/Texture/Image/IconExpression/IconExpressA96.png		众志行征Ⅱ通关崎岖难度获得	需要肢体动作——深痕		1	10000	1				需要肢体动作
11000099	1	99	表情-膝枕	Assets/Product/Texture/Image/IconExpression/IconExpressA99.png	Assets/Product/Texture/Image/IconExpression/IconExpressA99.png		成就表情-深痕进化至SSS	膝枕——深痕		1	10000	1			1001	膝枕
11000100	1	100	成就表情-霏粼	Assets/Product/Texture/Image/IconExpression/IconExpressA100.png	Assets/Product/Texture/Image/IconExpression/IconExpressA100.png		成就表情-霏粼进化至SSS	成就-霏粼		1	10000	1			1001	意识模糊
11000101	1	101	表情-哭哭	Assets/Product/Texture/Image/IconExpression/IconExpressA101.png	Assets/Product/Texture/Image/IconExpression/IconExpressA101.png		成就表情-琉璃进化至SSS	琉璃——哭哭		1	10000	1			1001	哭哭
11000102	1	102	表情-秋月渐盈	Assets/Product/Texture/Image/IconExpression/IconExpressA102.png	Assets/Product/Texture/Image/IconExpression/IconExpressA102.png		2022中秋活动-秋月渐盈获得	秋月渐盈-辉晓		1	10000	1				秋月渐盈
11000103	1	103	表情-快来吃饭	Assets/Product/Texture/Image/IconExpression/IconExpressA105.png	Assets/Product/Texture/Image/IconExpression/IconExpressA105.png		聊天表情——在本我回廊-夜刃的心锁试炼挑战关中，3星通关所有关卡获得	夜刃-快来吃饭		1	10000	1			1000	快来吃饭
11000104	1	104	表情-POWER	Assets/Product/Texture/Image/IconExpression/IconExpressA104.png	Assets/Product/Texture/Image/IconExpression/IconExpressA104.png		聊天表情——在本我回廊-深红之渊的心锁试炼挑战关中，3星通关所有关卡获得	深红之渊-POWER		1	10000	1			1000	POWER
11000105	1	105	表情-歪比巴卜	Assets/Product/Texture/Image/IconExpression/IconExpressA106.png	Assets/Product/Texture/Image/IconExpression/IconExpressA106.png		聊天表情——参加“分光双星”获得	超刻-歪比巴卜		1	10000	1			1000	歪比巴卜
11000106	1	106	表情-快停下！	Assets/Product/Texture/Image/IconExpression/IconExpressA103.png	Assets/Product/Texture/Image/IconExpression/IconExpressA103.png		成就表情-超刻进化至SSS	超刻——快停下！		1	10000	1			1001	快停下！
11000107	1	107	成就表情-？	Assets/Product/Texture/Image/IconExpression/IconExpressA107.png	Assets/Product/Texture/Image/IconExpression/IconExpressA107.png		成就表情-掣矩进化至SSS	成就-掣矩		1	10000	1			1001	？
11000108	1	108	表情-别急	Assets/Product/Texture/Image/IconExpression/IconExpressA113.png	Assets/Product/Texture/Image/IconExpression/IconExpressA113.png		通关调色板喧嚣盛典所有简单关卡获得	别急		1	10000	1			1000	别急
11000109	1	109	表情-你先别急	Assets/Product/Texture/Image/IconExpression/IconExpressA114.png	Assets/Product/Texture/Image/IconExpression/IconExpressA114.png		通关调色板帷幕之后所有简单关卡获得	你先别急		1	10000	1			1000	你先别急
11000110	1	110	表情-总之别急	Assets/Product/Texture/Image/IconExpression/IconExpressA112.png	Assets/Product/Texture/Image/IconExpression/IconExpressA112.png		调色板商店兑换	总之别急		1	10000	1			1000	总之别急
11000111	1	111	表情-木大	Assets/Product/Texture/Image/IconExpression/IconExpressA109.png	Assets/Product/Texture/Image/IconExpression/IconExpressA109.png		通过活动“光辉同行”获得	木大		1	10000	1			1000	木大
11000112	1	112	表情-欧拉	Assets/Product/Texture/Image/IconExpression/IconExpressA110.png	Assets/Product/Texture/Image/IconExpression/IconExpressA110.png		通过活动“光辉同行”获得	欧拉		1	10000	1			1000	欧拉
11000113	1	113	表情-失败的嘴炮	Assets/Product/Texture/Image/IconExpression/IconExpressA111.png	Assets/Product/Texture/Image/IconExpression/IconExpressA111.png		通过活动“光辉同行”获得	失败的嘴炮		1	10000	1			1000	失败的嘴炮
11000114	1	114	表情-真正的首席	Assets/Product/Texture/Image/IconExpression/IconExpressA115.png	Assets/Product/Texture/Image/IconExpression/IconExpressA115.png		成就表情-万华进化至SSS	万华——真正的首席！		1	10000	1			1001	真正的首席
11000115	1	115	成就表情-醒醒	Assets/Product/Texture/Image/IconExpression/IconExpressA108.png	Assets/Product/Texture/Image/IconExpression/IconExpressA108.png		成就表情-虹霁进化至SSS	成就-虹霁		1	10000	1			1001	醒醒
11000116	1	116	成就表情-出警！	Assets/Product/Texture/Image/IconExpression/IconExpressA123.png	Assets/Product/Texture/Image/IconExpression/IconExpressA123.png		成就表情-坼霆进化至SSS	成就-出警！		1	10000	1			1001	出警！
11000117	1	117	成就表情-呜呜露娜	Assets/Product/Texture/Image/IconExpression/IconExpressA125.png	Assets/Product/Texture/Image/IconExpression/IconExpressA125.png		成就表情-深红囚影进化至SSS	成就-呜呜露娜		1	10000	1			1001	呜呜露娜
11000118	1	118	表情-露厨	Assets/Product/Texture/Image/IconExpression/IconExpressA126.png	Assets/Product/Texture/Image/IconExpression/IconExpressA126.png		通过活动“露记大排档”获得	露厨		1	10000	1			1000	露厨
