Id	GroupId	PieceId	PieceWeight	Condition	IncreaseWeight
30204017	30204	19	1		
30205001	30205	41	1		
30205002	30205	42	1		
30205003	30205	43	1		
30205004	30205	44	1		
30205005	30205	29	1		
30205006	30205	30	1		
30205007	30205	31	1		
30205008	30205	32	1		
30205009	30205	17	1		
30205010	30205	18	1		
30205011	30205	45	1		
30205012	30205	46	1		
30205013	30205	34	1		
30205014	30205	22	1		
30205015	30205	16	1		
30205016	30205	15	1		
40101001	40101	47	1		
40101002	40101	48	1		
40101003	40101	49	1		
40101004	40101	50	1		
40101005	40101	51	1		
40101006	40101	52	1		
40101007	40101	53	1		
40102001	40102	23	1		
40102002	40102	24	1		
40102003	40102	26	1		
40102004	40102	27	1		
40102005	40102	28	1		
40102006	40102	30	1		
40102007	40102	31	1		
40103001	40103	51	1		
40103002	40103	52	1		
40103003	40103	53	1		
40103004	40103	54	1		
40103005	40103	55	1		
40103006	40103	56	1		
40103007	40103	57	1		
40103008	40103	27	1		
40103009	40103	28	1		
40103010	40103	29	1		
40103011	40103	30	1		
40103012	40103	31	1		
40103013	40103	32	1		
40103014	40103	33	1		
40103015	40103	50	1		
40103016	40103	26	1		
40104001	40104	52	1		
40104002	40104	53	1		
40104003	40104	54	1		
40104004	40104	55	1		
40104005	40104	56	1		
40104006	40104	57	1		
40104007	40104	58	1		
40104008	40104	28	1		
40104009	40104	29	1		
40104010	40104	30	1		
40104011	40104	31	1		
40104012	40104	32	1		
40104013	40104	33	1		
40104014	40104	34	1		
40201001	40201	49	1		
40201002	40201	50	1		
40201003	40201	51	1		
40201004	40201	52	1		
40201005	40201	53	1		
40201006	40201	25	1		
40201007	40201	26	1		
40201008	40201	27	1		
40202001	40202	24	1		
40202002	40202	25	1		
40202003	40202	50	1		
40202004	40202	51	1		
40202005	40202	52	1		
40202006	40202	30	1		
40202007	40202	54	1		
40203001	40203	52	1		
40203002	40203	53	1		
40203003	40203	26	1		
40203004	40203	27	1		
40203005	40203	28	1		
40203006	40203	29	1		
40203007	40203	55	1		
40203008	40203	56	1		
40203009	40203	30	1		
40203010	40203	31	1		
40203011	40203	32	1		
40203012	40203	57	1		
40203013	40203	58	1		
40203014	40203	33	1		
40203015	40203	51	1		
40203016	40203	54	1		
40204001	40204	50	1		
40204002	40204	26	1		
40204003	40204	38	1		
40204004	40204	39	1		
40204005	40204	54	1		
40204006	40204	55	1		
40204007	40204	31	1		
40204008	40204	32	1		
40204009	40204	42	1		
40204010	40204	43	1		
40204011	40204	44	1		
40204012	40204	57	1		
40204013	40204	34	1		
40204014	40204	45	1		
40205001	40205	35	1		
40205002	40205	36	1		
40205003	40205	37	1		
40205004	40205	42	1		
40205005	40205	43	1		
40205006	40205	45	1		
40205007	40205	46	1		
40205008	40205	54	1		
40205009	40205	55	1		
40205010	40205	56	1		
40205011	40205	57	1		
40205012	40205	58	1		
40205013	40205	33	1		
40205014	40205	34	1		
50101001	50101	49	1		
50101002	50101	50	1		
50101003	50101	51	1		
50101004	50101	52	1		
50101005	50101	53	1		
50101006	50101	25	1		
50101007	50101	26	1		
50101008	50101	27	1		
50102001	50102	49	1		
50102002	50102	24	1		
50102003	50102	25	1		
50102004	50102	50	1		
50102005	50102	26	1		
50102006	50102	54	1		
50102007	50102	30	1		
50103001	50103	35	1		
50103002	50103	36	1		
50103003	50103	37	1		
50103004	50103	51	1		
50103005	50103	52	1		
50103006	50103	53	1		
50103007	50103	27	1		
50103008	50103	28	1		
50103009	50103	29	1		
50103010	50103	38	1		
50103011	50103	55	1		
50103012	50103	56	1		
50103013	50103	31	1		
50103014	50103	32	1		
50103015	50103	57	1		
50103016	50103	33	1		
50104001	50104	49	1		
50104002	50104	23	1		
50104003	50104	37	1		
50104004	50104	50	1		
50104005	50104	26	1		
50104006	50104	39	1		
50104007	50104	40	1		
50104008	50104	42	1		
50104009	50104	43	1		
50104010	50104	54	1		
50104011	50104	30	1		
50104012	50104	58	1		
50104013	50104	34	1		
50104014	50104	45	1		
50105001	50105	47	1		
50105002	50105	24	1		
50105003	50105	36	1		
50105004	50105	55	1		
50105005	50105	56	1		
50105006	50105	30	1		
50105007	50105	43	1		
50105008	50105	44	1		
50105009	50105	57	1		
50105010	50105	58	1		
50105011	50105	33	1		
50105012	50105	34	1		
50105013	50105	45	1		
50105014	50105	46	1		
50201001	50201	23	1		
50201002	50201	24	1		
50201003	50201	25	1		
50201004	50201	26	1		
50201005	50201	27	1		
50201006	50201	28	1		
50201007	50201	29	1		
50201008	50201	11	1		
50201009	50201	12	1		
50201010	50201	13	1		
50201011	50201	14	1		
50201012	50201	15	1		
50201013	50201	16	1		
50201014	50201	17	1		
50202001	50202	24	1		
50202002	50202	18	1		
50202003	50202	19	1		
50202004	50202	26	1		
50202005	50202	27	1		
50202006	50202	15	1		
50202007	50202	30	1		
50203001	50203	5	1		
50203002	50203	6	1		
50203003	50203	25	1		
50203004	50203	28	1		
50203005	50203	29	1		
50203006	50203	16	1		
50203007	50203	17	1		
50203008	50203	7	1		
50203009	50203	31	1		
50203010	50203	32	1		
50203011	50203	18	1		
50203012	50203	19	1		
50203013	50203	9	1		
50203014	50203	33	1		
50203015	50203	21	1		
50203016	50203	10	1		
50204001	50204	5	1		
50204002	50204	6	1		
50204003	50204	7	1		
50204004	50204	8	1		
50204005	50204	9	1		
50204006	50204	26	1		
50204007	50204	27	1		
50204008	50204	30	1		
50204009	50204	15	1		
50204010	50204	20	1		
50204011	50204	19	1		
50204012	50204	34	1		
50204013	50204	22	1		
50204014	50204	10	1		
50205001	50205	23	1		
50205002	50205	24	1		
50205003	50205	25	1		
50205004	50205	11	1		
50205005	50205	12	1		
50205006	50205	31	1		
50205007	50205	32	1		
50205008	50205	18	1		
50205009	50205	9	1		
50205010	50205	33	1		
50205011	50205	34	1		
50205012	50205	21	1		
50205013	50205	22	1		
60101001	60101	59	1		
60101002	60101	59	1		
60101003	60101	59	1		
60102001	60102	5	1		
60102002	60102	6	1		
60102003	60102	7	1		
60103001	60103	23	1		
60103002	60103	24	1		
60103003	60103	25	1		
60103004	60103	26	1		
60103005	60103	27	1		
60103006	60103	28	1		
60103007	60103	29	1		
60104001	60104	5	1		
60104002	60104	6	1		
60104003	60104	7	1		
60104004	60104	8	1		
60104005	60104	9	1		
60104006	60104	24	1		
60104007	60104	25	1		
60104008	60104	26	1		
60104009	60104	27	1		
60104010	60104	28	1		
60104011	60104	29	1		
60104012	60104	30	1		
60104013	60104	31	1		
60104014	60104	32	1		
60105001	60105	26	1		
60105002	60105	27	1		
60105003	60105	28	1		
60105004	60105	29	1		
60105005	60105	30	1		
60105006	60105	31	1		
60105007	60105	32	1		
60105008	60105	33	1		
60105009	60105	34	1		
60105010	60105	7	1		
60105011	60105	8	1		
60105012	60105	9	1		
60105013	60105	10	1		
60106001	60106	28	1		
60106002	60106	31	1		
60106003	60106	33	1		
60106004	60106	34	1		
60106005	60106	7	1		
60106006	60106	9	1		
60106007	60106	10	1		
60106008	60106	40	1		
60106009	60106	41	1		
60106010	60106	42	1		
60106011	60106	43	1		
60106012	60106	44	1		
60106013	60106	45	1		
60106014	60106	46	1		
60201001	60201	47	1		
60201002	60201	48	1		
60201003	60201	49	1		
60201004	60201	50	1		
60201005	60201	51	1		
60201006	60201	52	1		
60201007	60201	53	1		
60201008	60201	54	1		
60201009	60201	55	1		
60201010	60201	56	1		
60202001	60202	52	1		
60202002	60202	53	1		
60202003	60202	54	1		
60202004	60202	55	1		
60202005	60202	56	1		
60202006	60202	57	1		
60202007	60202	26	1		
60202008	60202	27	1		
60202009	60202	28	1		
60202010	60202	29	1		
60202011	60202	30	1		
60202012	60202	31	1		
60202013	60202	32	1		
60202014	60202	33	1		
60203001	60203	28	1		
60203002	60203	29	1		
60203003	60203	30	1		
60203004	60203	31	1		
60203005	60203	32	1		
60203006	60203	33	1		
60203007	60203	34	1		
60203008	60203	52	1		
60203009	60203	53	1		
60203010	60203	54	1		
60203011	60203	55	1		
60203012	60203	56	1		
60203013	60203	57	1		
60203014	60203	7	1		
60203015	60203	8	1		
60203016	60203	9	1		
60203017	60203	10	1		
60204001	60204	50	1		
60204002	60204	51	1		
60204003	60204	52	1		
60204004	60204	53	1		
60204005	60204	54	1		
60204006	60204	55	1		
60204007	60204	56	1		
60204008	60204	57	1		
60204009	60204	58	1		
60204010	60204	18	1		
60204011	60204	19	1		
60204012	60204	20	1		
60204013	60204	21	1		
60204014	60204	22	1		
60204015	60204	26	1		
60204016	60204	27	1		
60204017	60204	28	1		
60204018	60204	29	1		
60204019	60204	30	1		
60204020	60204	31	1		
60204021	60204	32	1		
60204022	60204	33	1		
60204023	60204	34	1		
60204024	60204	7	1		
60204025	60204	8	1		
60204026	60204	9	1		
60204027	60204	10	1		
70101001	70101	47	1		
70101002	70101	48	1		
70101003	70101	49	1		
70101004	70101	50	1		
70101005	70101	51	1		
70101006	70101	35	1		
70101007	70101	36	1		
70101008	70101	37	1		
70101009	70101	38	1		
70101010	70101	39	1		
70101011	70101	23	1		
70101012	70101	24	1		
70101013	70101	25	1		
70101014	70101	26	1		
70101015	70101	27	1		
70102001	70102	26	1		
70102002	70102	27	1		
70102003	70102	28	1		
70102004	70102	29	1		
70102005	70102	30	1		
70102006	70102	31	1		
70102007	70102	32	1		
70102008	70102	33	1		
70102009	70102	50	1		
70102010	70102	51	1		
70102011	70102	52	1		
70102012	70102	53	1		
70102013	70102	54	1		
70102014	70102	55	1		
70102015	70102	56	1		
70102016	70102	57	1		
70102017	70102	38	1		
70102018	70102	39	1		
70102019	70102	40	1		
70102020	70102	41	1		
70102021	70102	42	1		
70102022	70102	43	1		
70102023	70102	44	1		
70102024	70102	45	1		
70103001	70103	28	1		
70103002	70103	29	1		
70103003	70103	30	1		
70103004	70103	31	1		
70103005	70103	52	1		
70103006	70103	53	1		
70103007	70103	54	1		
70103008	70103	55	1		
70103009	70103	56	1		
70103010	70103	40	1		
70103011	70103	41	1		
70103012	70103	42	1		
70103013	70103	43	1		
70103014	70103	44	1		
70103015	70103	57	1		
70103016	70103	58	1		
70103017	70103	45	1		
70103018	70103	46	1		
70103019	70103	33	1		
70103020	70103	34	1		
70104001	70104	30	1		
70104002	70104	31	1		
70104003	70104	32	1		
70104004	70104	33	1		
70104005	70104	34	1		
70104006	70104	54	1		
70104007	70104	55	1		
70104008	70104	56	1		
70104009	70104	57	1		
70104010	70104	58	1		
70104011	70104	42	1		
70104012	70104	43	1		
70104013	70104	44	1		
70104014	70104	45	1		
70104015	70104	46	1		
70104016	70104	9	1		
70104017	70104	10	1		
70201001	70201	5	1		
70201002	70201	8	1		
70201003	70201	23	1		
70201004	70201	24	1		
70201005	70201	28	1		
70201006	70201	29	1		
70201007	70201	35	1		
70201008	70201	36	1		
70201009	70201	40	1		
70201010	70201	41	1		
70202001	70202	59	1		
70202002	70202	59	1		
70202003	70202	59	1		
70203001	70203	6	1		
70203002	70203	7	1		
70203003	70203	25	1		
70203004	70203	26	1		
70203005	70203	27	1		
70203006	70203	37	1		
70203007	70203	38	1		
70203008	70203	39	1		
70203009	70203	30	1		
70203010	70203	31	1		
70203011	70203	32	1		
70203012	70203	42	1		
70203013	70203	43	1		
70203014	70203	44	1		
70203015	70203	9	1		
70204001	70204	6	1		
70204002	70204	7	1		
70204003	70204	25	1		
70204004	70204	26	1		
70204005	70204	27	1		
70204006	70204	37	1		
70204007	70204	38	1		
70204008	70204	39	1		
70204009	70204	30	1		
70204010	70204	31	1		
70204011	70204	32	1		
70204012	70204	42	1		
70204013	70204	43	1		
70204014	70204	44	1		
70204015	70204	9	1		
70204016	70204	45	1		
70204017	70204	34	1		
70204018	70204	10	1		
70205001	70205	6	1		
70205002	70205	7	1		
70205003	70205	25	1		
70205004	70205	26	1		
70205005	70205	27	1		
70205006	70205	37	1		
70205007	70205	38	1		
70205008	70205	39	1		
70205009	70205	30	1		
70205010	70205	31	1		
70205011	70205	32	1		
70205012	70205	42	1		
70205013	70205	43	1		
70205014	70205	44	1		
70205015	70205	9	1		
70205016	70205	45	1		
70205017	70205	46	1		
70205018	70205	10	1		
70205019	70205	33	1		
70205020	70205	34	1		
70206001	70206	30	1		
70206002	70206	31	1		
70206003	70206	32	1		
70206004	70206	42	1		
70206005	70206	43	1		
70206006	70206	44	1		
70206007	70206	9	1		
70206008	70206	45	1		
70206009	70206	46	1		
70206010	70206	10	1		
70206011	70206	33	1		
70206012	70206	34	1		
70301001	70301	5	1		
70301002	70301	8	1		
70301003	70301	11	1		
70301004	70301	12	1		
70301005	70301	17	1		
70301006	70301	23	1		
70301007	70301	24	1		
70301008	70301	28	1		
70301009	70301	29	1		
70301010	70301	35	1		
70301011	70301	36	1		
70301012	70301	40	1		
70301013	70301	41	1		
70301014	70301	47	1		
70301015	70301	48	1		
70301016	70301	52	1		
70301017	70301	53	1		
70301018	70301	9	1		
70301019	70301	31	1		
70301020	70301	32	1		
70301021	70301	18	1		
70301022	70301	19	1		
70301023	70301	42	1		
70301024	70301	43	1		
70301025	70301	54	1		
70301026	70301	55	1		
70302001	70302	59	1		
70302002	70302	59	1		
70302003	70302	59	1		
70304001	70304	6	1		
70304002	70304	7	1		
70304003	70304	13	1		
70304004	70304	14	1		
70304005	70304	15	1		
70304006	70304	16	1		
70304007	70304	25	1		
70304008	70304	26	1		
70304009	70304	27	1		
70304010	70304	37	1		
70304011	70304	38	1		
70304012	70304	39	1		
70304013	70304	49	1		
70304014	70304	50	1		
70304015	70304	51	1		
70304016	70304	9	1		
70304017	70304	20	1		
70304018	70304	30	1		
70304019	70304	44	1		
70304020	70304	56	1		
70305001	70305	6	1		
70305002	70305	7	1		
70305003	70305	13	1		
70305004	70305	14	1		
70305005	70305	15	1		
70305006	70305	16	1		
70305007	70305	25	1		
70305008	70305	26	1		
70305009	70305	27	1		
70305010	70305	37	1		
70305011	70305	38	1		
70305012	70305	39	1		
70305013	70305	49	1		
70305014	70305	50	1		
70305015	70305	51	1		
70305016	70305	9	1		
70305017	70305	20	1		
70305018	70305	30	1		
70305019	70305	44	1		
70305020	70305	56	1		
70305021	70305	10	1		
70305022	70305	21	1		
70305023	70305	22	1		
70305024	70305	33	1		
70305025	70305	34	1		
70305026	70305	45	1		
70305027	70305	46	1		
70305028	70305	57	1		
70305029	70305	58	1		
70306001	70306	5	1		
70306002	70306	6	1		
70306003	70306	7	1		
70306004	70306	8	1		
70306005	70306	9	1		
70306006	70306	10	1		
70306007	70306	11	1		
70306008	70306	12	1		
70306009	70306	13	1		
70306010	70306	14	1		
70306011	70306	15	1		
70306012	70306	16	1		
70306013	70306	17	1		
70306014	70306	18	1		
70306015	70306	19	1		
70306016	70306	20	1		
70306017	70306	21	1		
70306018	70306	22	1		
70306019	70306	23	1		
70306020	70306	24	1		
70306021	70306	25	1		
70306022	70306	26	1		
70306023	70306	27	1		
70306024	70306	28	1		
70306025	70306	29	1		
70306026	70306	30	1		
70306027	70306	31	1		
70306028	70306	32	1		
70306029	70306	33	1		
70306030	70306	34	1		
70306031	70306	35	1		
70306032	70306	36	1		
70306033	70306	37	1		
70306034	70306	38	1		
70306035	70306	39	1		
70306036	70306	40	1		
70306037	70306	41	1		
70306038	70306	42	1		
70306039	70306	43	1		
70306040	70306	44	1		
70306041	70306	45	1		
70306042	70306	46	1		
70306043	70306	47	1		
70306044	70306	48	1		
70306045	70306	49	1		
70306046	70306	50	1		
70306047	70306	51	1		
70306048	70306	52	1		
70306049	70306	53	1		
70306050	70306	54	1		
70306051	70306	55	1		
70306052	70306	56	1		
70306053	70306	57	1		
70306054	70306	58	1		
70306055	70306	1	1		
70306056	70306	3	1		
70306057	70306	4	1		
