Id	UiName	ModelName	CameraName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	FieldOfView
1030	UiCharacter	QR2AilaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1031	UiCharacter	QR3BiankaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1032	UiCharacter	QR2SufeiyaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1033	UiCharacter	QR2KuluomuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1034	UiCharacter	QR4LuxiyaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1035	UiCharacter	QR2WeilaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1036	UiCharacter	QR2KamuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1037	UiCharacter	QR3LuosaitaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1038	UiCharacter	QR2QuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1039	UiCharacter	QR1ChangyuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1040	UiCharacter	QR3LunaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1041	UiCharacter	QR2WanshiMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1042	UiCharacter	QR3SailinnaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1043	UiCharacter	QR3KuluomuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1044	UiCharacter	QR2TwentyoneMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1045	UiCharacter	QR3WeilaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1046	UiCharacter	QR2LuolanMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1047	UiCharacter	QR4LifuMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1048	UiCharacter	QR4SailinnaMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
1049	UiCharacter	QR2PulaoMd010011TX	['UiCamNearLv', 'UiCamNearGrade', 'UiCamNearQuality', 'UiCamNearSkill', 'UiCamNearEnhanceSkill', 'UiCamNearrExchange']	[0.1, -1.33, 0.07, 1.62, -0.4699, 0.1]	[0.61, 0.66, 0.61, 0.61, 0.6399, 0.61]	[-23.85, -23.76, -22.8199, -23.54, -23.51, -23.85]	[0.856, 1.7139, -1.557, 0.8149, 0.8439, 0.8389]	[0.0, 20.649, 0.0, -20.0, 12.835, -11.604]	[0.0, 0.3019, 0.0, 0.0, 0.1899, -0.172]	
