Id	Type	DescriptionType	Name	IsTimeStop	Icon	Text	Duration	NeedSendCommonClick	OffsetY	IsMask	MaskTargetWidget	MaskTargetUi	ClickKey	NextGuide
12022	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>使用<color=#ffda58>【攻击】</color>键击打<color=#ffda58>【即时触发器】</color>，即可打开地图内对应的机关，现在请攻击<color=#ffda58>【即时触发器】</color>打开大门。</size>						1	27	
12030	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	核心能力<color=#ffda58>【数据狩捕定位锚】</color>已解锁，现进行引导教学。						1	27	
12031	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<color=#ffda58>【数据狩捕定位锚】</color>有多种型号正在并行开发中，现解锁型号为<color=#ffda58>【仿噬型】</color>。						1	27	
12032	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	合理使用定位锚，可实现地形飞跃、数据体定位狩捕等多项功能。						1	27	
12033	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	当<color=#ffda58>【数据狩捕定位锚】</color>释放距离内存在可链接的<color=#ffda58>【锚点接口】</color>时，						1	27	
12034	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	可以通过使用定位锚的<color=#ffda58>【牵引】</color>功能将自己拉近至<color=#ffda58>【锚点接口】</color>所在的位置。						1	27	
12035	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	现在请通过移动视角，选中<color=#ffda58>【锚点接口】</color>。						1	27	
12037	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	按下<color=#ffda58>【定位锚】</color>按钮使用<color=#ffda58>【牵引】</color>功能移动到<color=#ffda58>【锚点接口】</color>		True		True	ButtonSpear	1	26	
12040	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	部分暂未激活的<color=#ffda58>【锚点接口】</color>也需要通过<color=#ffda58>【即时触发器】</color>开启。						1	27	
12041	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	请使用<color=#ffda58>【攻击】</color>键击打<color=#ffda58>【即时触发器】</color>以激活静默的<color=#ffda58>【锚点接口】</color>。						1	27	
12042	1	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	请使用定位锚将自己<color=#ffda58>【牵引】</color>至<color=#ffda58>【锚点接口】</color>所在的位置翻越高台以继续前进。						1		
12043	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>接下来将进行<color=#ffda58>【数据狩捕定位锚】</color>的使用训练，请合理使用定位锚链接<color=#ffda58>【锚点接口】</color>通过地形前往下一个目标点。</size>						1	27	
12044	1	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	请寻找合适路线，前往下一个目标点。						1		
12045	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26><color=#ffda58>【探索】</color>教学已完成，接下来将要进行的是数据体<color=#ffda58>【狩捕】</color>教学，请前往训练场以完成后续教学内容。</size>						1	27	
12050	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	已到达训练场地。						1	27	
12051	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	前方目标为大型<color=#ffda58>【数据体】</color>的模拟体，请放心它并不会产生任何攻击行为。						1	27	
12052	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>在<color=#ffda58>【亚卡数界】</color>中，战斗会锁定目标敌人。本次教学任务中只允许智能锁定，手动锁定请在其他环境设定。</size>						1	27	
12053	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	使用<color=#ffda58>【数据狩捕定位锚】</color>的<color=#ffda58>【牵引】</color>功能可以将自身快速拉近至锁定的<color=#ffda58>【数据体】</color>身边。						1	27	
12054	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	请使用<color=#ffda58>【锁定】</color>键选中<color=#ffda58>【数据体】</color>。		True		True	ButtonFocus	1	8	
12055	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	已选中目标，请使用<color=#ffda58>【数据狩捕定位锚】</color>快速拉近距离。		True		True	ButtonSpear	1	26	
12060	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>在<color=#ffda58>【亚卡数界】</color>中，攻击特定部位可以增加该部位防火墙的破解进度。使用核心被动可以加快破解进度。</size>						1	27	
12061	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<color=#ffda58>【数据体】</color>特定部位的防火墙在被完全攻破后将会进入可骇破的状态。						1	27	
12062	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	请尝试骇破<color=#ffda58>【数据体】</color>的头部或者前肢						1	27	
12063	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<color=#ffda58>【数据体】</color>受击产生硬直后，在场角色单独技能球可以达到<color=#ffda58>【三消】</color>效果一次						1	27	
12064	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=30>被破坏的部位将出现数据缺口，此时可以对该缺口使用<color=#ffda58>【数据狩捕定位锚】</color>的<color=#ffda58>【狩捕】</color>功能。</size>						1	27	
12070	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	点击定位锚，对数据缺口进行<color=#ffda58>【狩捕】</color>。		True		True	ButtonSpear	1	26	
12071	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	在空中进入<color=#ffda58>【狩捕】</color>状态时，可以通过普通<color=#ffda58>【攻击】</color>积攒<color=#ffda58>【信号球】</color>。		True		True	ButtonAttack	1	1	
12072	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	实际战斗中<color=#ffda58>【信号球】</color>生成速度为地面的两倍。						1	27	
12073	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	通过消除<color=#ffda58>【信号球】</color>将造成更高额的伤害，每次点击球将会消除相邻所有同色球。		True		True	PanelHuntSpearQte/Ball1	1	14	
12074	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>消除<color=#ffda58>【信号球】</color>后，如果存在<color=#ffda58>【连续三个信号球】</color>为<color=#ffda58>【同色】</color>，将<color=#ffda58>【自动消除】</color>最多两次并造成大量伤害。</size>						1	27	
12075	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>达成<color=#ffda58>【自动消除】</color>后，技能栏将进入彩色球栏模式，此时异色球也能各自计一个为同色被<color=#ffda58>【自动消除】</color>，最多两次。此效果不能再触发彩色球栏模式。</size>		True		True	PanelHuntSpearQte/Ball6	1	19	
12076	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	基本教学已完成，现进行进阶教学。						1	27	
12080	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	在实际与<color=#ffda58>【数据体】</color>的战斗中，<color=#ffda58>【狩捕】</color>状态存在时间限制。						1	27	
12081	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	在时间限制内造成足量伤害使<color=#ffda58>【画面顶部】</color>显示<color=#ffda58>【数据穿透率】</color>到达100，						1	27	
12082	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<color=#ffda58>【数据狩捕定位锚】</color>就可以将存在数据缺口的部位完全<color=#ffda58>【固定】</color>在地面上。						1	27	
12083	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>当所有可破坏部位均被<color=#ffda58>【固定】</color>后，数据体将被完全定位，可以触发<color=#ffda58>【轨道打击】</color>，彻底解决<color=#ffda58>【数据体】</color>。</size>						1	27	
12084	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	接下来进行实操演练。						1	27	
12086	1	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	锁定目标后，破坏<color=#ffda58>【数据体】</color>的头或者前肢						1		
12087	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	检测到部位可被骇破，可以对该部位使用<color=#ffda58>【狩捕】</color>功能。		True		True	ButtonSpear	1	26	
12090	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	未完成<color=#ffda58>【固定】</color>条件，已重置训练数据，可以再次尝试。						1	27	
12091	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	也可以通过后方的撤离点离开，结束教学内容。						1	27	
12092	1	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	<size=26>如果要再次进入<color=#ffda58>【狩捕】</color>状态，需要先推动左摇杆向被破坏部位进行攻击。触发数据缺口后，再进行<color=#ffda58>【狩捕】</color>。</size>						1		
12990	2	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	作战训练完成，前往撤离点退出模拟训练程式。						1	27	
13000	1	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	test\n黯角正在蓄力开大，如果它完成了蓄力过程，将会释放天地大冲撞						1		
13001	1	1	引导AI		Assets/Product/Texture/Image/RoleCharacter/TongyonggouzaotiUnknown02.png	test\n不过蓄力过程中它自己也处于无防备状态，只要沿着场景里升起的塔柱上去就能对它造成伤害						1		
900200	2	1	露西亚		Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Nice Job						1	27	
103101	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	指挥官，欢迎来到<color=#ffda58>魔方弹跳乐</color>，接下来由我为您介绍本次玩法。						1		
103102	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	本次挑战需要观察鲨士碧儿的<color=#ffda58>行动轨迹</color>，进行躲避或反击。						1		
103103	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	玩法开始前，将给予各位指挥官<color=#ffda58>1000分</color>作为奖励，最后将以个人及团队成绩进行结算！						1		
103104	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	整体关卡流程将<color=#ffda58>限时</color>进行，其中包含若干轮次，每一轮均分为<color=#ffda58>两个阶段</color>。						1		
103105	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	下面进入第一阶段：<color=#ffda58>躲避阶段</color>，需要观察鲨士碧儿的障碍技能，对其进行躲避。						1		
103106	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#ffda58>推人挡板</color>：随机方向将出现挡板，挡板可以将角色推动。						1		
103107	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	使用跳跃，可以跳过挡板进行躲避。						1		
103108	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	如若<color=#FF6287>掉落平台</color>，将<color=#FF6287>扣除</color>一定分数，随后重新在随机点位<color=#ffda58>复活</color>。						1		
103109	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#ffda58>平移光束</color>：随机方向将出现光束，触碰光束将眩晕角色。						1		
103110	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	使用<color=#ffda58>闪避</color>，可以穿过光束进行躲避。						1		
103111	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	躲避失败将受到<color=#ffda58>晕眩</color>，<color=#FF6287>扣除</color>一定分数。						1		
103112	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#ffda58>扩散光圈</color>：鲨士碧儿升空蓄力后砸向地面，产生扩散光圈。						1		
103113	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	使用<color=#ffda58>闪避</color>或<color=#ffda58>跳跃</color>，可以躲避光圈。						1		
103114	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	如若触碰光圈，也将被眩晕。						1		
103115	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#ffda58>蓄力一击</color>：鲨士碧儿将随机选择<color=#ffda58>晕眩</color>玩家进行蓄力推开。						1		
103116	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	若被蓄力击中，将有几率被<color=#FF6287>推落平台</color>。						1		
103117	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	鲨士碧儿技能释放结束后，将进入第二阶段：<color=#ffda58>爆破阶段</color>。						1		
103118	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	这个阶段指挥官获得三个特殊<color=#ffda58>技能球</color>，使用后可以携带对应颜色的炸弹。						1		
103119	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#00FF00>绿色炸弹</color>：将发生以自己为中心的<color=#00FF00>九宫格</color>方向发生爆炸。						1		
103120	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#FFFF00>黄色炸弹</color>：将发生以自己为中心的<color=#FFFF00>十字</color>方向发生爆炸。						1		
103121	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#69FFFF>蓝色炸弹</color>：将发生以自己为中心的<color=#69FFFF>斜向</color>方向发生爆炸。						1		
103122	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	此阶段同时鲨士碧儿将释放炸弹，同样将在倒计时结束爆炸。						1		
103123	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	对应<color=#FF6287>红色区域</color>为鲨士碧儿爆炸区域，若位于红色区域，将被<color=#FF6287>扣减分数</color>。						1		
103124	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	倒计时结束时，将以当前位置进行炸弹判定。						1		
103125	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	利用炸弹范围规则及调整站位，攻击鲨士碧儿。						1		
103126	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	如若使用炸弹<color=#ffda58>命中</color>鲨士碧儿，将产生伤害及增加积分。						1		
103127	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#FF6287>三人</color>同色，额外加成<color=#FF6287>1.5倍</color>；<color=#FF9D64>二人</color>同色，额外加成<color=#FF9D64>1.3倍</color>						1		
103128	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	2人使用同色炸弹命中时，将产生1.3倍加成伤害及分数。						1		
103129	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	若提前<color=#ffda58>击杀</color>鲨士碧儿，可以获得额外的<color=#ffda58>击杀分数</color>及<color=#ffda58>剩余时间加分</color>。						1		
103130	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	对局内，我们可以<color=#ffda58>救助</color>晕眩中的队友。						1		
103131	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	<color=#ffda58>靠近</color>晕眩的队友，队友即可解除晕眩状态，同时<color=#ffda58>增加分数</color>。						1		
103132	2	1	赛利卡		Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	恭喜指挥官已经完成教学，快去尝试实战吧！						1		
