Id	Title	StoryText
34	邀请·α	在出租点被阿尔法拉上了摩托艇，浪花差点把自己打翻，还好被阿尔法拉了一把。
35	邀请·异火	观看映画晨星夜晚的灯光表演时遇到了沉思的里，他坚称由自己来排布电路的话会更加规范和节能。
36	邀请·乱数	在摊贩上进行射击比赛，里击落的玩偶塞了满满两袋，两个人提着玩偶，回到了集合点。
37	邀请·蚀暗	在乐园的小路上散步时，看见丽芙看着花坛出神，她似乎想要在灰鸦的基地里也搞一个类似的绿化。
38	邀请·流光	在小吃摊贩购买可丽饼时遇到了丽芙，吃到一半的时候互相交换了口味，丽芙看上去十分开心。
39	邀请·仰光	在中心广场的长椅上休息时无意惊扰了鸽子，随着白鸽漫天飞舞，在白翼的间隙之中和正在投喂白鸽的丽芙目光相交。
40	邀请·重能	在神威再次尝试用大神威数次冲浪无果后，严肃地制止了他，并且带着他租借了冲浪板。
41	邀请·暗能	看见在电玩城玩跳舞机的神威耍帅失败并摔了一个脸着地。
42	邀请·零度	遇上了在商业街购物的比安卡，替她提了东西后和她喝了一顿下午茶，并被她塞了一沓代金券。
43	邀请·真理	登上了乐园城堡最高的塔楼，在朝阳中看见头发随风飞舞的比安卡，晨光给她镀上了神圣的光晕。
44	邀请·爆裂	被迫和卡列尼娜一同打入了映画晨星的后勤部，并且加大了今晚烟花表演的火药剂量。
45	邀请·烬燃	在沙滩闲逛时被拉入了与卡列尼娜的水仗，由于卡列使用了外挂级别的火箭筒作为水枪，惨败。
46	邀请·风暴	迷路在花车游行中时，遇到了假装npc的七实，两人蒙混在队伍当中，直到结束才被工作人员发现。
47	邀请·脉冲	在电玩城侥幸超过了七实一次分数，于是被七实拉着连打了二十把《钢铁阵BX》。
48	邀请·夜刃	在海滩闲逛的时候，没有忍住埋头挖起了海货，一头撞上了同样蹲在海滩上的渡边。
49	邀请·夙星	遇上了跳蚤市场，见识了渡边卓越的杀价技巧，并且收获了两大箱带给遗忘者孩童们的礼物。
50	邀请·弧光	在逛水族馆时，听见了库洛姆用比导览还要专业的知识储备，讲解不同生态圈里的鱼类差异。
51	邀请·银牙	以整个映画晨星为范围进行捉迷藏，在游戏快要结束的时候，发现苏菲亚竟然就藏在最初的地方。
52	邀请·瑰丽	在招待厅忍耐了薇拉一个小时的“酒疯”，最后发现薇拉喝的是无酒精电解液。
53	邀请·狂犬	看见了在大胃王免单活动中，吃光店家所有备菜，被老板含泪送出餐厅的卡穆。
54	邀请·凛冽	在乐园的全息影院里观看《莎士碧儿历险记》这部老动画时，邻座正好是罗塞塔。看完后，她似乎被不屈的碧儿打动了。
55	邀请·雀翎	坐完过山车后帮前座的曲梳理了将近一个小时的长发，托她的福，后座基本没看到什么风景。
56	邀请·游麟	在电玩城迎面撞上了双手提满了礼物袋的常羽，被他拉着一同搬空了电玩城的兑换区。
57	邀请·银冕	在水族馆里遇到露娜，和她一同观赏海月水母，幼小的生命随波逐流的样子让露娜陷入了沉思。
58	邀请·溢彩	眼睁睁看见海鸥打翻了在沙滩上取材的艾拉的颜料桶，最后演变成了……
59	邀请·岚音	看见了在中心广场即兴演奏的赛琳娜，不知为何，旁边的琴盒里已经盛满了晨星印花券。
60	邀请·明觉	遇上了正在沙滩椅上睡觉的万事，仔细看了看，他盖在脸上用于遮阳的书，似乎是库洛姆的《威尼斯商人》。
