Id	BoundsSizeX	BoundsSizeY	BoundsSizeZ	BoundsCenterOffsetX	BoundsCenterOffsetY	BoundsCenterOffsetZ
Q5SailinnaMd010011RM	0.7318	1.0883	0.729	-0.053	0.5388	-0.1099
Q5YongyechaoMd010011RM	0.7223	1.1049	0.8146	-0.0894	0.5523	-0.1985
Q6LuxiyaMd010011RM	1.2236	1.0436	0.805		0.5185	-0.1798
QR2JietaweiMd010011RM	1.6	1.6	1.6		0.5288	-0.137
QR2XiezouMd010011RM	1.6	1.6	1.6		0.57	-0.0282
QR3BuouxiongMd010011RM	1.6	1.6	1.6		0.5287	-0.1017
QR3WeiluonikaMd010011RM	1.6	1.6	1.6		0.7137	-0.1301
QR4LuosaitaMd010011RM	1.6	1.6	1.6		0.5687	-0.1771
QR4WeilaMd010011RM	1.6	1.6	1.6		0.5248	-0.1649
QR5BiankaMd010011RM	1.6	1.6	1.6		0.6159	-0.2
QR5LifuMd010011RM	1.6092	1.9332	1.7235	0.0058	0.4275	-0.0052
R1LuxiyaMd010011RM	1.0815	1.6879	0.4202		0.8336	-0.0134
R1LuxiyaMd010011RM_Relink	1.0815	1.6879	0.4202		0.8336	-0.0134
R2KalieninaMd010031RM	1.0658	1.5971	0.4965		0.7985	-0.1303
R3BiankaMd010031RM	1.0626	1.8359	1.1973		0.9179	0.036
E3RevolverMd010011RM	0.414	0.0423	0.1817	-0.153		0.0262
Mb1DianaMd010002RM	8.4339	7.908	8.1568	-0.2669	3.893	-1.2272
Mb1ElpisMd010002RM	4.8856	3.8249	1.8882		1.7742	-0.0492
Mb1EphialtesMd010001RM	7.7861	5.4	4.5447	1.493	2.6938	-0.8276
Mb1GeneralMd010001RM	2.1775	2.9136	0.8103	-0.1928	1.3342	-0.0023
Mb1GodzillaMd010001RM	5.6148	6.7629	7.4804	-0.0449	1.42	-1.6686
Mb1JiabailieMd000001RM	3.8128	3.174	3.6731	0.4993	1.5356	-0.3671
Mb1KeeleyMd010001RM	5.8083	5.7691	1.5197	-0.3647	2.2151	-0.32
Mb1LilithMd010001RM	1.2958	2.4124	1.2958		1.1622	
Mb1MonzanoMd010001RM	3.1984	3.0118	3.8549	0.2223	1.4406	-0.5948
Mb1MortalpersonMd010001RM	40.6675	32.8538	47.7072	1.2803	3.5711	-13.7739
Mb1MortalpersonMd010002RM	200.0052	211.0352	205.2026		93.0634	-1.9399
Mb1MortalpersonMd010003RM	200.005	211.035	205.2024		93.0634	-1.9399
Mb1StarknightMd010003RM	9.9592	10.9499	9.8831		2.0843	0.456
Mb1TifaMd010001	2.839	3.8811	0.646	0.132	1.0538	-0.0914
Mb1XuexiaoMd000001LV	7.5582	3.8785	3.8761		1.271	-0.3762
Mb1XuexiaoMd000001RMLV	7.5582	3.8785	3.8761		1.271	-0.3762
Me1FangshengdouniuMd000001RM	5.0236	6.1906	8.4063	-0.0118	1.7784	-1.6309
Me1GargoyleMd010001RM	9.9761	6.5999	4.5645	-0.7465	2.3045	0.0069
Me1HetimingyunzhilunMd010001RM	2.6379	6.3465	1.6455		3.1754	-0.0167
Me1JiegouqiutuMd010001RM	3.1881	4.3614	1.9744	-0.6022	1.9235	-0.0255
Me1KeyboardistMd000001RM	1.5744	2.779	1.5641	-0.0521	1.3263	-0.0313
Me1ShengtangMd010001RM	1.4074	2.6976	5.6881	0.3531	1.3488	-2.844
Me1ShuixingnvMd010001RM	1800.0	180.0001	180.0005	-1.9882	1.2463	
Me1SimmoonguyMd010001RM	5.3874	5.0535	2.8807	-0.9329	2.1685	0.2039
Me1TadpoleMd010001RM	2.1179	3.0424	5.7581		1.483	-1.1994
Me1TwofacerMd010001RM	3.5501	3.4988	4.0049		1.7353	-0.7885
Me1YihehuolidanyuanMd000001RMLV	1.3098	1.5671	2.1113	-0.0024	0.7707	0.3973
Mo1BatMd010002RM	6.0665	2.327	1.3067		0.2136	0.2834
Mo1DimianjianshiqiMd000001RMLV	1.4175	2.4576	2.7258	-0.1888	0.6672	-0.0908
Mo1HetipaotaiMd010001RM	3.3336	2.0484	1.8049	0.2941	1.0243	
Mo1HetipaotaiMd010001RMLV	3.3336	2.0484	1.8049	0.2941	1.0243	
Mo1HetipaotaiyoujunMd010001RMLV	3.3336	2.0484	1.8052	0.2941	1.0243	
Mo1HetiwurenjiMd010001RM	2.5136	1.3995	1.3887		0.6997	0.2397
Mo1RelinknullMd010011RM						
Mo1SemifiniMd010001RM	1.147	1.9275	0.8509	-0.0031	0.7304	-0.0244
Mo1SinmaidMd010001RM	1.6668	2.2955	0.5111	0.0792	1.1478	-0.025
Mo1UngouzaotiMd010001RM	1.3958	2.0418	0.2699		1.0214	-0.0388
Mo1YijushaojiejipaoMd000001RMLV	0.8333	1.0043	0.7703		0.4954	-0.091
R3LilithMd010011RM	2.2532	2.9096	1.9924	0.0056	1.0489	-0.095
R3LilithMd019281RM	2.7669	3.2704	2.6666	-0.0144	1.4223	-0.0416
R3WanshiMd010011RM	1.1223	1.8214	0.5366	0.0005	0.9105	-0.1558
R3WanshiMd019281RM	1.1358	1.9158	0.8368		0.9577	-0.287
R3WeiluonikaMd010011RM	3.7214	3.344	2.8962	-0.0203	0.6274	-0.6814
R4DubianMd010011RM	1.173	1.91	0.9969		0.955	0.0889
R4DubianMd019071RM	1.2886	1.9795	1.1476	-0.0388	0.9922	0.0136
R4LifuMd010031RM	2.3152	3.2204	2.378	-0.0056	1.1632	-0.1251
R4WeilaMd010011RM	1.608	2.3925	1.8202	-0.004	0.9865	-0.0451
R4WeilaMd019011RM	2.5676	2.6958	2.4948	0.11	0.8608	-0.1278
R5BiankaMd010021RM	2.9289	2.9861	2.3651	-0.0127	1.1278	0.0103
R5LifuMd010031RM	2.0626	2.7929	2.5504	0.0063	1.2544	-0.184
R5LuxiyaMd010011RM	1.1339	1.7814	0.5031		0.8904	-0.1181
R5YongyechaoMd010011RM	1.0892	1.6108	0.6308	0.0004	0.7472	-0.1078
R6LuxiyaMd010031RM	1.8067	1.8491	1.4526	-0.2715	0.7762	-0.5524
R7LuxiyaMd010011RM	2.8666	3.3888	2.3547	-0.3474	0.9352	-0.0816
Com1ChieffMd00001SG	1.6	1.7818	1.6		0.7778	-0.0021
Com1ChieffMd01001SG	1.6	2.0559	1.6141		0.8916	-0.0465
Com1ChieffMd01001SGLV	1.6	2.0559	1.6141		0.8916	-0.0465
Com1ChieffMd02001SG	2.0	2.9307	2.099		1.0372	-0.0104
Com1ChieffMd02001SGLV	2.0	2.9307	2.099		1.0372	-0.0104
Com1ChieffMd03001SG	2.0097	2.4346	2.0373	0.0048	1.0132	0.004
Com1ChiefmMd00001SG	1.784	2.2326	1.7115	0.092	0.8548	-0.0881
Com1ChiefmMd01001SG	1.6	2.0681	1.6201		0.93	-0.119
Com1ChiefmMd01001SGLV	1.6	2.0681	1.6201		0.93	-0.119
Com1ChiefmMd02001SG	2.0	2.9317	2.1044		1.0559	-0.0653
Com1ChiefmMd02001SGLV	2.0	2.9317	2.1044		1.0559	-0.0653
Com1ChiefmMd03001SG	2.0002	2.4219	2.0586	0.0001	1.0341	-0.064
Mo1ForsakensoliderMd010001SGLV	0.8793	1.796	0.8905		0.8974	-0.0064
Npc1AdwMd00001SGLV	2.0676	2.3234	2.3608	0.0338	0.6343	-0.1788
Npc1AolajiangMd010011SGLV	1.1455	2.2586	1.1467		1.13	-0.1054
Npc1AsimovMd00001SGLV	2.0026	2.9822	2.2165	0.0013	1.3152	-0.0445
Npc1BiaoyanyirenMd00001SGLV	2.2927	2.0821	1.0815	0.2278	1.041	
Npc1CafebossfMd00001SGDrama	1.0468	1.6018	0.3009		0.8009	0.0125
Npc1CafebossfMd00001SGLV	1.0468	1.6018	0.3009		0.8009	0.0125
Npc1CafebossmMd00001SGDrama	2.0	2.354	2.0	-0.0006	1.0103	-0.0093
Npc1CafebossmMd00001SGLV	2.0	2.354	2.0	-0.0006	1.0103	-0.0093
Npc1CatMd00001SGLV	2.0	2.0756	2.0811		0.2351	-0.0931
Npc1CatMd00002SGLV	2.0	2.0756	2.0811		0.2351	-0.0931
Npc1CatMd00003SGLV	2.0	2.0756	2.0811		0.2351	-0.0931
Npc1DroneMd00001SGLV	0.9064	0.189	0.7853		0.0945	-0.0306
Npc1FannishaMd00001SGLV	2.0313	2.7266	2.0543	-0.0126	1.148	0.0203
Npc1FemaleMd00001SGDrama						
Npc1FemaleMd00001SGLV						
Npc1FemaleMd00001SGLVShow						
Npc1GztcaptainMd00001SGLV	1.4432	2.1201	0.3502		1.06	-0.0396
Npc1HarryjoeMd00001SGLV	2.0008	2.9778	2.2664	-0.0001	1.2988	-0.0423
Npc1HetigongzuojiqiMd01001SGLV	1.6829	1.9365	0.6611		0.9757	0.0583
Npc1HetipaotaiMd00001SGLV	4.0	4.0	4.0	0.2643	1.0177	
Npc1HetiwurenjiMd01001SGLV	2.5136	1.3995	1.3887		0.6997	0.2397
Npc1HetiyiliaojiMd01001SGLV	2.6017	2.1847	1.7734	0.0427	1.0035	-0.0003
Npc1JidijibingMd00001SGLV	4.6084	4.2293	4.0	0.0837	1.1782	-0.0978
Npc1KurobeardMd00002SGLV	0.4651	0.7096	0.6061	0.0008	0.5263	-0.0699
Npc1KurocookMd00005SGLV	0.4746	0.8706	1.1921	0.0025	0.5814	0.219
Npc1KurodataMd00007SGLV	0.4651	0.8812	0.6061	0.0008	0.4406	-0.0699
Npc1KuroMd00001SGLV	0.4186	0.6748	0.553		0.3446	-0.0715
Npc1KuroNanamiMd00012SGLV	0.4186	0.6748	0.553		0.3446	-0.0715
Npc1KurorepairMd00006SGLV	0.4747	1.1827	0.6179	-0.0005	0.4271	-0.0681
Npc1KuroscanMd00003SGLV	0.5234	0.7409	0.6659	0.0008	0.3704	-0.04
Npc1KuroswateringMd00004SGLV	0.5263	0.9792	1.0835	0.0013	0.5267	0.1644
Npc1KurosweepMd00008SGLV	0.481	0.8661	0.6071	0.0002	0.4485	-0.0694
Npc1KuroTaskMd00010SGLV	0.4186	0.6748	0.553		0.3446	-0.0715
Npc1KuroTaskMd00011SGLV	0.4655	0.7268	0.6063	0.0008	0.3632	-0.0698
Npc1KuroTaskMd00012SGLV	0.4651	0.7096	0.6061	0.0008	0.5263	-0.0699
Npc1MaleMd00001SGDrama						
Npc1MaleMd00001SGLV						
Npc1MaleMd00001SGLVShow						
Npc1PoliceMd01001SGLV	3.2769	3.3414	2.617		1.6603	0.0477
Npc1RobotMd00001SGLV	0.2409	0.4041	0.2635		0.2405	0.0183
Npc1RobotMd00002SGLV	0.5035	0.8328	0.5427		0.4199	0.0372
Npc1RobotMd00003SGLV	0.5035	0.8328	0.5427		0.4199	0.0372
Npc1RobotMd00004SGLV	0.5035	0.8328	0.5427		0.4199	0.0372
Npc1RobotMd00005SGLV	0.5035	0.8328	0.5427		0.4199	0.0372
Npc1RobotMd00006SGLV	0.5035	0.8328	0.5427		0.4199	0.0372
Npc1SailikaMd00001SGLV	1.1133	1.6716	0.3138		0.8358	-0.0376
Npc1ShikaMd00001SGLV	2.0079	2.8363	2.2149	0.0039	1.2755	0.0107
Npc1SimonMd00001SGLV	2.0016	3.2636	2.2663	0.0008	1.1912	-0.0483
Npc1SkaterboyMd01001SGLV	2.6399	2.6007	0.8748	0.6351	1.2504	0.0008
Npc1TiaojiushiMd00001SGLV	2.7995	1.4658	2.7879	0.0001	0.7328	-0.0008
Npc1TuziMd00001SGLV	4.0	5.5568	5.5568	-0.0413	1.0281	0.0996
Npc1XiongrenMd00001SGLV	4.0	4.0	4.0		1.273	-0.0247
Npc1XuexiaoMd00001SGLV	10.0	5.6273	5.6273		1.271	-0.3762
Npc1ZakeMd00001SGLV	2.0012	2.8226	2.0943	0.0006	1.2796	-0.0855
R1LifuMd010011SG	2.0	2.5824	2.4132		1.0472	-0.0548
R1LifuMd010011SGDrama	2.0	2.5824	2.4132		1.0472	-0.0548
R1LifuMd010021SG	2.0	2.6843	2.4132		0.9962	-0.0548
R1LifuMd010021SGLV	2.0	2.6843	2.4132		0.9962	-0.0548
R1LifuMd010031SG	2.0002	2.6605	2.4132	0.0001	1.0082	-0.0548
R3BuouxiongMd010011SG	2.0581	3.43	2.3057		0.6841	-0.0464
R3BuouxiongMd010021SG	2.0581	3.43	2.3057		0.6841	-0.0464
R3BuouxiongMd010021SGLV	2.0581	3.43	2.3057		0.6841	-0.0464
R3BuouxiongMd010021SGLV2	2.0581	3.43	2.3057		0.6841	-0.0464
R3BuouxiongMd010031SG	2.0581	3.43	2.3057		0.6841	-0.0464
R3BuouxiongMd019011SG	1.6	2.9953	1.8977		0.7786	-0.044
R3CibeizheMd010011SG	2.0371	2.6291	2.3913		1.3145	-0.1278
R3CibeizheMd010021SG	2.0	3.2169	2.3637		1.0198	-0.1125
R3CibeizheMd010031SG	2.0	3.2169	2.3931		1.0198	-0.1272
R3CibeizheMd019141SG	2.0119	2.9213	2.4555	-0.0055	1.1186	-0.162
R3CibeizheMd019231SG	6.6505	6.0359	5.9446	-0.0008	0.7372	-0.4233
R3CibeizheMd019291SG	2.6602	2.6719	2.3778		0.858	-0.1259
R3HanyingMd010011SG	2.2041	2.7942	2.1782	0.0006	1.1915	0.032
R3HanyingMd010021SG	2.1577	2.8452	2.1782	-0.0225	1.166	0.032
R3HanyingMd010031SG	2.1574	2.8452	2.1957	-0.0223	1.166	0.0232
R3HanyingMd019141SG	2.4447	2.8201	2.225		1.1797	-0.0069
R3KuluomuMd010021SGLV	3.0932	3.0678	2.9987	-0.0187	1.2844	0.0122
R3LamiyaMd010011SG	5.8983	5.9255	6.4539	-0.0018	0.4754	-0.0978
R3LamiyaMd010021SG	5.8983	6.0386	6.4539	-0.0018	0.532	-0.0978
R3LamiyaMd010031SG	5.8983	5.9255	6.4539	-0.0018	0.4754	-0.0978
R3LamiyaMd019371SG	2.0928	2.7982	2.2367	0.0464	0.9344	-0.0447
R3LilithMd010011SG	2.7669	3.5599	2.5931	-0.0305	1.3741	0.0117
R3LilithMd010021SG	2.7669	3.5602	2.5931	-0.0305	1.374	0.0117
R3LilithMd010031SG	2.7669	3.5767	2.5931	-0.0333	1.3823	0.0138
R3LilithMd019281SG	2.7669	3.2704	2.6666	-0.0144	1.4223	-0.0416
R3NietiyaMd010011SG	2.0086	2.7887	2.272	-0.0043	1.1888	0.0001
R3NietiyaMd010021SG	2.0086	2.7888	2.272	-0.0043	1.1887	0.0001
R3NietiyaMd010021SGLV	2.0086	2.7888	2.272	-0.0043	1.1887	0.0001
R3NietiyaMd010031SG	2.0086	2.7887	2.272	-0.0043	1.1888	0.0001
R3QuMd010011SG	3.1488	3.1239	3.1527	-0.0125	0.9341	-0.0992
R3QuMd010021SG	3.1552	2.9035	3.1532	-0.0157	1.0831	-0.0989
R3QuMd010021SGLV	3.1552	2.9035	3.1532	-0.0157	1.0831	-0.0989
R3QuMd010031SG	3.1488	3.1239	3.1523	-0.0125	0.9341	-0.0994
R3QuMd019142SG	2.0754	3.2252	2.3652	0.0177	1.0083	-0.0739
R3QuMd019281SG	1.0683	1.6863	0.627		0.8431	-0.1184
R3WanshiMd010011SG	2.0015	3.0233	2.1189		1.1011	-0.1105
R3WanshiMd010021SG	2.0022	2.9945	2.1189	0.0002	1.1155	-0.1105
R3WanshiMd010021SGLV	2.0022	2.9945	2.1189	0.0002	1.1155	-0.1105
R3WanshiMd010031SG	2.0022	2.9945	2.1189	0.0002	1.1155	-0.1105
R3WanshiMd019281SG	1.1358	1.9158	0.8368		0.9577	-0.287
R3WeilaMd010011SG	2.0355	2.5344	2.165	0.0166	0.7649	-0.0802
R3WeilaMd010021SG	2.0352	2.5817	2.1997	0.0167	0.7412	-0.0628
R3WeilaMd010031SG	2.0352	2.7138	2.1997	0.0167	0.8073	-0.0628
R3WeilaMd019141SG	2.0694	2.3744	2.2658	0.0054	1.0788	-0.1026
R3WeiluonikaMd010011SG	6.6533	6.3575	6.0504	0.0261	0.6643	-0.6814
R3WeiluonikaMd010021SG	3.7214	3.7292	3.2022	-0.0203	0.82	-0.5284
R3WeiluonikaMd010031SG	3.7214	3.7292	3.2022	-0.0203	0.82	-0.5284
R3WeiluonikaMd019011SG	6.6448	6.3575	6.0504	0.0227	0.6692	-0.6829
R4BiankaMd010011SG	3.1859	3.4771	3.2097	0.0929	0.6637	-0.1136
R4BiankaMd010011SGDrama	3.1859	3.4771	3.2097	0.0929	0.6637	-0.1136
R4BiankaMd010011SGLV	3.1859	3.4771	3.2097	0.0929	0.6637	-0.1136
R4BiankaMd010021SG	3.1846	3.6056	3.2092	0.0923	0.728	-0.1147
R4BiankaMd010021SGLV	3.1846	3.6056	3.2092	0.0923	0.728	-0.1147
R4BiankaMd010031SG	3.1846	3.603	3.2092	0.0923	0.7267	-0.1147
R4BiankaMd019011SG	2.0	2.7943	2.2284		1.3774	0.0864
R4BiankaMd019241SG	2.0	2.8389	2.1934		0.9992	-0.0318
R4BiankaMd019241SGCafe	2.0	2.8389	2.1934		0.9992	-0.0318
R4BiankaMd019241SGLV	2.0	2.8389	2.1934		0.9992	-0.0318
R4BiankaMd019281SG	1.2198	1.8041	1.1604		0.9012	-0.1465
R4DubianMd010011SG	2.034	3.126	2.1698	-0.0107	1.2224	-0.0965
R4DubianMd010021SG	2.034	3.126	2.1371	-0.0107	1.2224	-0.1132
R4DubianMd010031SG	2.034	3.126	2.1371	-0.0107	1.2224	-0.1132
R4DubianMd019071SG	2.0716	2.9112	2.2511	-0.0358	1.4295	-0.0625
R4KalieninaMd010011SG	2.0346	2.8906	2.1584	-0.0173	1.056	-0.036
R4KalieninaMd010011SGDrama	2.0346	2.8906	2.1584	-0.0173	1.056	-0.036
R4KalieninaMd010011SGCafe	2.0346	2.8906	2.1584	-0.0173	1.056	-0.036
R4KalieninaMd010021SG	2.03	2.8906	2.7495	-0.0001	1.056	-0.3226
R4KalieninaMd010021SGCafe	2.03	2.8906	2.7495	-0.0001	1.056	-0.3226
R4KalieninaMd010021SGLV	2.03	2.8906	2.7495	-0.0001	1.056	-0.3226
R4KalieninaMd010031SG	2.0118	2.8906	2.8074	0.0059	1.056	-0.2937
R4KalieninaMd019011SG	2.0	2.0	2.0		0.861	0.0151
R4KalieninaMd019131SG	2.0	2.0	2.3126		0.861	-0.1411
R4KalieninaMd019381SG	2.0	2.0	2.0011		0.861	0.0145
R4LiangMd010011SG	2.0272	3.1096	2.071	0.0136	1.1249	-0.0646
R4LiangMd010021SG	2.1654	3.1096	2.071	-0.0554	1.1249	-0.0646
R4LiangMd010021SGLV	2.1654	3.1096	2.071	-0.0554	1.1249	-0.0646
R4LiangMd010031SG	2.0272	3.1096	2.071	0.0136	1.1249	-0.0646
R4LifuMd010011SG	2.3152	2.8726	2.3974		1.3398	-0.1226
R4LifuMd010021SG	2.3152	3.2412	2.378	-0.0056	1.1528	-0.1251
R4LifuMd010031SG	2.3152	3.2204	2.378	-0.0056	1.1632	-0.1251
R4LifuMd019331SG	2.6598	3.1971	2.2439	-0.0519	1.3953	-0.0821
R4LunaMd010011SG	2.4	3.3371	3.1298		1.0778	-0.1436
R4LunaMd010021SG	2.4001	3.333	3.0663		1.0756	-0.1148
R4LunaMd010031SG	2.4001	3.333	3.0663		1.0756	-0.1148
R4LunaMd019031SG	4.1567	3.2655	2.3471	-1.0628	1.0071	-0.1488
R4LunaMd019281SG	3.3276	3.9178	3.2158	-0.0936	0.7531	-0.1082
R4LuosaitaMd010011SG	4.0	4.0	4.0	-0.0014	0.9353	-0.4026
R4LuosaitaMd010021SG	4.0	4.0	4.0	-0.0014	0.9353	-0.4026
R4LuosaitaMd010021SGLV	4.0	4.0	4.0	-0.0014	0.9353	-0.4026
R4LuosaitaMd010031SG	4.0	4.0	4.0		0.9353	-0.4063
R4LuosaitaMd019011SG	3.428	3.4278	3.8491	0.0014	0.9833	-0.7766
R4ShenweiMd010011SG	3.2628	3.6368	2.9555	0.085	1.3163	0.0778
R4ShenweiMd010021SG	3.2512	3.6387	2.9753	0.0908	1.3153	0.045
R4ShenweiMd010021SGLV	3.2512	3.6387	2.9753	0.0908	1.3153	0.045
R4ShenweiMd010031SG	3.2633	3.6368	2.9555	0.0847	1.3163	0.0771
R4ShenweiMd019421SG	2.2745	3.4985	2.4176	0.0255	1.1215	-0.0448
R4WeilaMd010011SG	2.0097	3.0242	2.2427	-0.0048	1.1007	-0.0431
R4WeilaMd010011SGDrama	2.0097	3.0242	2.2427	-0.0048	1.1007	-0.0431
R4WeilaMd010021SG	2.008	3.0238	2.2427	-0.004	1.1009	-0.0431
R4WeilaMd010021SGLV	2.008	3.0238	2.2427	-0.004	1.1009	-0.0431
R4WeilaMd010031SG	2.008	3.0238	2.2449	-0.004	1.1009	-0.042
R4WeilaMd019011SG	2.5676	3.0883	2.4948	0.11	1.0571	-0.1278
R4WeilaMd019101SG	2.2279	2.8136	2.4468	0.0854	1.2903	-0.0988
R5BiankaMd010011SG	2.9296	2.9863	2.3652	-0.0124	1.1277	0.0103
R5BiankaMd010021SG	2.9296	2.9863	2.3652	-0.0124	1.1277	0.0103
R5BiankaMd010021SGCafe	2.9296	2.9863	2.3652	-0.0124	1.1277	0.0103
R5BiankaMd010021SGLV	2.9296	2.9863	2.3652	-0.0124	1.1277	0.0103
R5BiankaMd010031SG	2.9296	2.9863	2.3652	-0.0124	1.1277	0.0103
R5BiankaMd019011SG	2.85	2.944	2.3899	-0.0003	1.2162	-0.0795
R5BiankaMd019241SG	2.85	3.117	2.5223	0.0069	1.1026	-0.1278
R5LifuMd010011SG	4.0	4.0	4.0		0.9993	-0.4533
R5LifuMd010021SG	4.0	4.0	4.0	-0.0005	0.9993	-0.4498
R5LifuMd010021SGLV	4.0	4.0	4.0	-0.0005	0.9993	-0.4498
R5LifuMd010031SG	4.0	4.0	4.0		0.9993	-0.4498
R5LifuMd019011SG	2.0926	2.8667	2.3091	0.0286	1.2609	-0.1254
R5LuxiyaMd010011SG	2.3493	2.7293	2.2791	0.0351	1.2151	-0.0909
R5LuxiyaMd010021SG	2.3486	2.7293	2.2791	0.0347	1.2151	-0.0909
R5LuxiyaMd010031SG	2.3489	2.7042	2.2791	0.0346	1.2276	-0.0909
R5LuxiyaMd019021SG	3.408	3.3007	3.0275		1.1941	-0.0627
R5SailinnaMd010011SG	2.9427	3.4802	3.0397	-0.0062	0.9242	-0.0353
R5SailinnaMd010021SG	2.9427	3.4802	3.0397	-0.0062	0.9242	-0.0353
R5SailinnaMd010021SGLV	2.9427	3.4802	3.0397	-0.0062	0.9242	-0.0353
R5SailinnaMd010031SG	2.9427	3.4802	3.0397	-0.0062	0.9242	-0.0353
R5SailinnaMd019371SG	2.1441	3.344	2.9213	-0.0559	1.3412	0.0101
R5YongyechaoMd010011SG	2.6379	3.1695	2.7467	-0.0878	0.7885	-0.0528
R5YongyechaoMd010011SG_Relink	2.6379	3.1695	2.7467	-0.0878	0.7885	-0.0528
R5YongyechaoMd010021SG	2.6383	3.1681	2.7464	-0.0869	0.7878	-0.0534
R5YongyechaoMd010021SGLV	2.6383	3.1681	2.7464	-0.0869	0.7878	-0.0534
R5YongyechaoMd010031SG	2.6415	3.1746	2.747	-0.0853	0.7911	-0.0546
R5YongyechaoMd019031SG	2.6922	3.4644	2.9928	-0.0377	0.6846	-0.0901
R5YongyechaoMd019071SG	2.1435	2.6969	2.2254	0.0717	1.0178	-0.0424
R6LuxiyaMd010011SG	2.8273	3.1484	2.6957	0.0019	1.1102	-0.2325
R6LuxiyaMd010011SGDrama	2.8273	3.1484	2.6957	0.0019	1.1102	-0.2325
R6LuxiyaMd010021SG	2.8273	3.1484	2.6957	0.0019	1.1102	-0.2325
R6LuxiyaMd010021SGCafe	2.8273	3.1484	2.6957	0.0019	1.1102	-0.2325
R6LuxiyaMd010021SGLV	2.8273	3.1484	2.6957	0.0019	1.1102	-0.2325
R6LuxiyaMd010031SG	2.8233	3.1465	2.6805	0.0039	1.1113	-0.225
R6LuxiyaMd019011SG	1.1559	1.738	0.7723		0.8689	-0.172
R6LuxiyaMd019371SG	2.9272	3.2973	2.3928	-0.0596	0.9108	-0.121
R6LuxiyaMd019371SGDrama	2.9272	3.2973	2.3928	-0.0596	0.9108	-0.121
R6LuxiyaMd019371SGLV	2.9272	3.2973	2.3928	-0.0596	0.9108	-0.121
R7LuxiyaMd010011SG	3.2335	3.7047	2.3547	-0.1639	1.0932	-0.0816
R7LuxiyaMd010021SGLV	3.0195	3.3888	2.3574	-0.2774	0.9352	-0.083
SG1PetMd00001BeamCannon01SGLV	0.1392	0.2974	0.5643		0.0064	-0.1083
SG1PetMd00001Bear01SGLV	0.6451	0.7914	0.4861		0.3877	-0.0479
