ChapterId	Difficult	DifficultName	DifficultEnName	DifficultColor	Desc	ActivityTimeId	ActivityCondition	OpenCondition	StageGroupIds	PrefabName	BgStageIndexs	TitleTextColors	LeftTimeTextColors	ProgressTextColors	TreasureId	AchievementId	SkipIds	SkipConditions	SkipIcons	SkipNames	SkipChapterNames	EggIds	SpineStageIndexs	SpineProgressWans
1033	1	普通	难度				30406	770400	[28, 29, 30, 31, 32]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor33.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[522]	[1007109]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump34.png']	['下一章节']	['梦赴光寥之乡']			
2010	1	普通	难度				30406	770400	[33, 34, 35]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor10DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[523]	[1007113]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump12.png']	['浮点纪实·第11章']	['逐生复始']			
1034	1	普通	难度				30406	770400	[36]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor34.prefab	[1]	['#ffffff']	['#53B3FF']	['#ffffff']			[525]	[1007115]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump35.png']	['下一章节']	['覆海离声']			
2011	1	普通剧情	N	#49E6FF			30406	770400	[37]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor11DPA.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[524]	[1007117]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump13.png']	['浮点纪实·第12章']	['末路燎原']			
2111	2	隐藏剧情	H	#AF49FF			1007116	1007116	[38]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor11DPB.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[524]	[1007117]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump13.png']	['浮点纪实·第12章']	['末路燎原']			
2012	1	普通	难度				30406	770400	[39, 40, 41]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor12DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[527]	[1007118]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump14.png']	['浮点纪实·第13章']	['织奏序言']			
1035	1	普通	难度				30406	770400	[42]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor36.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[526]	[1007126]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump36.png']	['下一章节']	['溯梦归途']			
1036	1	普通	难度				1007130	770400	[43, 44, 45]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor35.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[529]	[1007127]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump37.png']	['下一章节']	['眠于厄寐之境']			
2013	1	普通	难度				30406	770400	[46, 47, 48, 49]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor13DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[528]	[1007131]	['Assets/Product/Texture/Image/StoryJump/StoryShortJump15.png']	['浮点纪实·第14章']	['理想笼']			
2014	1	普通	难度				30406	770400	[50, 51, 52, 53]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor14DP.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']										
1037	1	普通	难度				770400	770400	[54]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor37.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[530]	[1007138]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump39.png']	['下一章节']	['推想视限']			
1038	1	普通	难度				770400	770400	[55, 56, 57]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor38.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']			[531]	[1007143]	['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump40.png']	['下一章节']	['冬冕的凋亡']	[1]		
1039	1	普通	难度				770400	770400	[58]	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor37.prefab	[1]	['#ffffff']	['#0f70BC']	['#ffffff']										
