Id	StageDetailType	TransformCondition	TransformStageId	Ignore	UnlockCondition	ProgressConditions	ProgressGreyBg	ProgressBg	AchievementTpyes	AchievementNames	AchievementDescs	AchievementBriefDescs	AchievementUndoneDescs	VideoId	Specialorder	MonsterHeads	MonsterReplaceOrders	EffectPath
15020721	4								[1, 2]	{1: '长夜终明', 2: '极限脱出'}	{1: '成功逃离康士坦丁镇矿井。', 2: '在五分钟内逃离康士坦丁镇矿井。'}							
15020722	1																	
15020801	4																	
15020899	4			True	1007084				[1, 2, 2]	{1: '城市与群星', 2: '暗黑扫描仪', 3: '缦音告慰'}	{1: '山上的城，离天堂很近。', 2: '镜中窥物。', 3: '闲倚一枝藤。'}	{1: '<color=#989898>※随车队前往航天城</color>', 2: '<color=#989898>※解锁小地图并记录4个交互点</color>', 3: '<color=#989898>※弹奏琵琶时遇到九龙士兵</color>'}			A			
15020802	1																	
15020803	1																	
15020804	4								[1, 2, 2]	{1: '追踪者游戏', 2: '精确射手', 3: '行云流刃'}	{1: '车辙是劫后余生的证明。', 2: '时代变了。', 3: '游刃必有余地矣。'}	{1: '<color=#989898>※完成关卡主要流程</color>', 2: '<color=#989898>※完成机枪流程（含队友）</color>', 3: '<color=#989898>※终结“大型感染体”</color>'}						
15020805	1																	
15020806	1																	
15020807	1																	
15020808	4								[1]	{1: '忿怒梦呓'}	{1: '梦中星辰坠落于地。'}	{1: '<color=#989898>※完成关卡主要流程</color>'}						
15020809	1																	
15020810	1																	
15020811	4								[1, 2]	{1: '洞隐烛微', 2: '医者与刺客'}	{1: '揭穿他的假面。', 2: '拖后腿？抱大腿！'}	{1: '<color=#989898>※完成关卡主要流程</color>', 2: '<color=#989898>※协助丽芙完成战斗</color>'}						
15020812	1																	
15020813	4								[1, 2]	{1: '前目的地', 2: '幻之轨迹'}	{1: '起点亦是尽头。', 2: '终有交错时。'}	{1: '<color=#989898>※完成关卡主要流程</color>', 2: '<color=#989898>※触发含英与维罗妮卡首次对抗</color>'}						
15020814	1																	
15020815	1																	
15020816	5								[1, 2, 2, 2]	{1: '琼雨归碧阶', 2: '玲弦刺霄', 3: '影簪戏法', 4: '见时知几'}	{1: '抚琴相送，夙愿扬长。', 2: '直骇玄龙腾云霄。', 3: '她追，她躲，她插翅难飞。', 4: '相信直觉。'}	{1: '<color=#989898>※首通Boss战</color>', 2: '<color=#989898>※一命通关</color>', 3: '<color=#989898>※完成20次弹刀</color>', 4: '<color=#989898>※在Boss转阶段时不受任何伤害</color>'}						
15020817	1																	
15020901	1																	
15020902	4								[1, 2]	{1: '“鹰眼”', 2: '西部最强'}	{1: '无影灯。', 2: '万事的左轮手枪。'}	{1: '<color=#989898>※检视全部可疑物品</color>', 2: '<color=#989898>※击败所有敌人</color>'}						
15020903	1																	
15020904	1																	
15020905	4								[2]	{1: '小熊，让我进去'}	{1: '唯物主义。'}	{1: '<color=#989898>※完成关卡主要流程</color>'}						
15020906	1																	
15020907	1																	
15020908	1																	
15020909	1																	
15020910	4								[1]	{1: '交错真相'}	{1: '余响不尽。'}	{1: '<color=#989898>※完成关卡主要流程</color>'}						
15020911	1																	
15020912	1																	
15020915	4								[1]	{1: '第二颗糖'}	{1: '走到尽头。'}	{1: '<color=#989898>※完成关卡主要流程</color>'}						
15020913	1																	
15020914	1																	
15020916	1																	
15020917	1																	
15020918	4								[2]	{1: '失败救援'}	{1: '拯救的意义是……'}	{1: '<color=#989898>※完成关卡主要流程</color>'}						
15020919	4								[2]	{1: '拂晓之前'}	{1: '最后一颗子弹。'}	{1: '<color=#989898>※完成关卡主要流程</color>'}						
15020925	1				1007087													
15020920	1																	
15020921	1																	
15020922	5								[1, 1, 1]	{1: '此间的见证', 2: '雾中影', 3: '撕裂伤'}	{1: '轮盘赌。', 2: '闻风。', 3: '闻声。'}	{1: '<color=#989898>※300秒内终结“修特罗尔”</color>', 2: '<color=#989898>※完成一次“苦痛之源”的判定</color>', 3: '<color=#989898>※完成一次“深痛同步”的判定</color>'}						
15020923	1																	
15020924	1																	
15020926	1																	
10310101	1																	
10310103	1																	
10310102	4								[2, 2]	{1: '黄金时庭的誓言', 2: '尘封的过往'}		{1: '※是誓言，也是约定。', 2: '※启封记忆的书页。'}	{1: '城市的天桥上，有不一样的风景', 2: '“这是他们的故事。”'}					
10310104	1																	
10310105	4								[1]	{1: '辉煌的尾声'}		{1: '※那是最后一抹荣光'}						
10310106	1																	
10310107	1																	
10310108	1																	
10310110	1																	
10310111	1																	
10310109	4																	
10310113	1																	
10310112	4																	
10310212	4			True	1007089				[1]	{1: '暗角'}		{1: '※真相总藏于阴暗潮湿之地。'}			A			
10310114	1																	
10310115	1																	
10310116	4								[1]	{1: '漫无止境的五月'}		{1: '※今天是几号？'}				['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10310216	4			True	1007090				[2, 2]	{1: '利刃出鞘！', 2: '无法改变的明天'}		{1: '※拔刀！', 2: '※结局......不该是这样......'}	{1: '新的武器......？', 2: '如果当时，能再快一点......'}		A	['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10310316	4			True	1007091				[1]	{1: '告死之蝶'}		{1: '※连翅羽都溃烂在土壤里。'}			B	['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10310117	1																	
10310118	1																	
10310130	1																	
10310119	4								[1, 2]	{1: '收割终幕', 2: '星移电掣'}		{1: '※光影转暗，一切落幕。', 2: '※一定有办法躲开她的追击。'}	{2: '如果被追上，后果不堪设想......'}			['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10310120	1																	
10310121	1																	
10310122	4								[1]	{1: '相似的梦'}		{1: '※我们在梦里重逢。'}						
10310123	1																	
10310124	1																	
10310125	4								[1, 2]	{1: '在时空的尽头', 2: '昔时虚影'}		{1: '※行至末路，就此相拥。', 2: '※他们将所说都留在了过去。'}	{2: '旧日虚影的呢喃......'}					
10310126	4								[1, 2]	{1: '最后的潮声', 2: '无需援助'}		{1: '※静心听完最后一曲吧。', 2: '※这条路，我会自己走下去。'}	{2: '我不需要你的力量。'}					
10310127	5								[1, 2, 2]	{1: '直到黎明到来', 2: '重蹈覆辙', 3: '裁剪逝者的噩梦'}		{1: '※Welcome To The New World.', 2: '※你无法左右这场轮回。', 3: '※撕碎后再度拼凑，似是永远。'}	{2: '无论重来多少次，结局也只有一个。', 3: '不死的情况下击败冯·内古特'}					
10310128	1																	
10310129	1																	
15021001	1																	
15021002	1																	
15021003	1																	
15021004	4								[1, 2]	{1: '归于残页', 2: '桃金娘的啜泣'}	{1: '融入她们的歌声里。', 2: '传闻那间无人的厕所里……'}	{1: '<color=#989898>※与合唱团合影</color>', 2: '<color=#989898>※了解厕所怪谈</color>'}	{2: '<color=#989898>※了解厕所怪谈</color>'}					
15021005	1																	
15021006	1																	
15021007	1																	
15021008	4								[1, 2]	{1: '百米冲刺', 2: '灵异修炼手册'}	{1: '逃离一个面具后……', 2: '肆意幻想的日常。'}	{1: '<color=#989898>※成功找到狐狸面具</color>', 2: '<color=#989898>※集齐怪谈社所有日记</color>'}	{2: '<color=#989898>※集齐怪谈社所有日记</color>'}					
15021009	1																	
15021010	1																	
15021011	4								[1, 2]	{1: '“电视”剧主角', 2: '绝望的谢幕'}	{1: '外面的锁一拳一个！', 2: '已无力逃脱。'}	{1: '<color=#989898>※逃离录像，与优华相遇</color>', 2: '<color=#989898>※收集所有笔记，了解结局</color>'}	{2: '<color=#989898>※收集所有笔记，了解结局</color>'}					
15021012	4								[1, 2]	{1: '祝你早安，午安，晚安。', 2: '心愿跨越漫长时光'}	{1: '我们该醒来了。', 2: '流逝的日子历历在目'}	{1: '<color=#989898>※离开美好的梦境</color>', 2: '<color=#989898>※不使用跳过完成玻璃球</color>'}						
15021013	1																	
15021014	1																	
15021015	4								[1]	{1: '遥逐终逝之花'}	{1: '远远地伸出双手……'}	{1: '<color=#989898>※追赶优华</color>'}						
15021016	1																	
15021017	5								[1]	{1: '再会了……再见了。'}	{1: '……只为我们一瞬的重逢。'}	{1: '<color=#989898>※击败优华</color>'}						
15021018	1																	
15021019	1																	
10320100	1																	
10320101	1																	
10320102	4								[1]	{1: '“涨潮”'}	{1: '她看到过那些“未来”。'}	{1: '<color=#989898>※完成关卡</color>'}						
10320103	1																	
10320104	1																	
10320105	1																	
10320106	1																	
10320107	4								[2]	{1: '一起走吧！'}	{1: '跟我去机械教会吧？'}	{1: '<color=#989898>※解救红潮中的医疗机器人</color>'}	{1: '<color=#989898>※解救红潮中的医疗机器人</color>'}					
10320108	1																	
10320109	4								[1, 2]	{1: '潮声絮语', 2: '逃不掉了！'}	{1: '离开……', 2: '七实企图抓住所有希望。'}	{1: '<color=#989898>※完成关卡</color>', 2: '<color=#989898>※打碎所有的虚影</color>'}	{2: '<color=#989898>※打碎所有的虚影</color>'}					
10320110	1																	
10320111	4								[1, 2, 1]	{1: '缜密荒原', 2: '弹！弹！乐！', 3: '异潮拟物'}	{1: '他们在这里战斗过。', 2: 'bong！bong！pong！', 3: '这不是地球上能够孕育出的生物。'}	{1: '<color=#989898>※找到所有的调查点</color>', 2: '<color=#989898>※成功完成3次弹反</color>', 3: '<color=#989898>※完成关卡</color>'}	{2: '<color=#989898>※成功完成3次弹反</color>'}					
10320112	1																	
10320113	1																	
10320114	1																	
10320115	1																	
10320116	4																	
10320216	4			True	1007105										A			
10320316	4			True	1007106										B			
10320416	4			True	1007107				[1]	{1: '“新生”'}	{1: '一切朝未知的方向发展。'}	{1: '<color=#989898>※完成关卡</color>'}			C			
10320117	1																	
10320118	1																	
10320119	4								[1, 1]	{1: '最佳玩家！', 2: '她看到'}	{1: '最喜欢这个游戏了！', 2: '她看到旷野与新生。'}	{1: '<color=#989898>※玩一局吧台的小游戏</color>', 2: '<color=#989898>※完成关卡</color>'}				['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10320120	1																	
10320121	1																	
10320122	5								[1, 2, 2]	{1: '“未来”', 2: '嗖！', 3: '最强七实！'}	{1: '七实想要……回到地球去。', 2: '哼哼，才不会被击倒！', 3: '有指挥官，七实就是最强哒！'}	{1: '<color=#989898>※完成关卡</color>', 2: '<color=#989898>※精准闪避开场的“帕瓦特冲击”</color>', 3: '<color=#989898>※观看完美CG</color>'}	{2: '<color=#989898>※精准闪避开场的“帕瓦特冲击”</color>', 3: '<color=#989898>※观看完美CG</color>'}					
10320123	1																	
10320124	1																	
10330100	1																	
10330101	1																	
10330102	4								[1]	{1: '未知海底'}	{1: '海浪汹涌'}	{1: '<color=#989898>※这条路...能走到终点吗？</color>'}				['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10330103	1																	
10330104	1																	
10330105	4								[1, 2, 2, 2]	{1: '月光落于雪野', 2: '在这里等我', 3: '远航', 4: '是你吗'}	{1: '她停滞在这片寒冬。', 2: '你在这里等我，我很快就回来。', 3: '骑士没有归来，人鱼也没有。', 4: '你不应该来这里……'}	{1: '<color=#989898>※完成流程</color>', 2: '<color=#989898>※预览到阿尔法的幻觉</color>', 3: '<color=#989898>※预览到拉弥亚和罗兰的幻觉</color>', 4: '<color=#989898>※预览到指挥官的幻觉</color>'}	{2: '<color=#989898>※预览到阿尔法的幻觉</color>', 3: '<color=#989898>※预览到拉弥亚和罗兰的幻觉</color>', 4: '<color=#989898>※预览到指挥官的幻觉</color>'}					
10330205	1																	
10330106	1																	
10330107	1																	
10330108	4								[1, 2, 2]	{1: '“故事”', 2: '既定的结局', 3: '“真相”'}	{1: '陈旧的故事终会泛起新的涟漪。', 2: '这个故事已经结束了', 3: '真的吗？'}	{1: '<color=#989898>※是读者？还是作者？</color>', 2: '<color=#989898>※按她说的做，一定不会错。</color>', 3: '<color=#989898>※从未如此清醒过...</color>'}	{2: '<color=#989898>※按她说的做，一定不会错。</color>', 3: '<color=#989898>※从未如此清醒过...</color>'}			['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10330208	4			True	1007110										A	['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10330308	4			True	1007111										B	['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10330109	1																	
10330110	1																	
10330111	1																	
10330112	1																	
10330113	4															['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
10330213	4								[1]	{1: '“我们”'}	{1: '从来不是孤身一人。'}	{1: '<color=#989898>※击败慈悲者投影</color>'}						
10330114	1																	
10330115	1																	
10330116	4								[1]	{1: '低语'}	{1: '意识沉溺于海底。'}	{1: '<color=#989898>※聆听首席意识中的回响</color>'}						
10330117	1																	
10330118	1																	
10330119	4								[1]	{1: '镜前'}	{1: '来吧，于镜前抬起头，告诉我——'}	{1: '<color=#989898>※新的身体……？</color>'}				['Assets/Product/Texture/Image/RoleCharacter/V3000kes01Normal01.png']	[1]	
10330120	1																	
10330121	1																	
10330122	4								[2, 2]	{1: '四翼白鸦', 2: '旧文明的遗物'}	{1: '即使是恒星，也会逐渐走向灭亡。', 2: '那是属于过去的盛装。'}	{1: '<color=#989898>※聆听四翼白鸦雕像前的对话。</color>', 2: '<color=#989898>※收集城市中的三处数据碎片。</color>'}	{1: '<color=#989898>※聆听四翼白鸦雕像前的对话。</color>', 2: '<color=#989898>※收集城市中的三处数据碎片。</color>'}					
10330123	1																	
10330124	1																	
10330125	1																	
10330126	1																	
10330127	5																	
10330227	5			True	1007112				[2, 1, 2]	{1: '“回忆”', 2: '黎明将至', 3: '过去与未来'}	{1: '这里藏着灰鸦一部分重要的记忆。', 2: '跨越数不清的苦难和黑夜。', 3: '这就是你珍视的记忆之一吗？'}	{1: '<color=#989898>※第一次进入记忆回廊</color>', 2: '<color=#989898>※“处决”卡俄斯</color>', 3: '<color=#989898>※三次打开记忆回廊的出口</color>'}	{1: '<color=#989898>※第一次进入记忆回廊</color>', 3: '<color=#989898>※三次打开记忆回廊的出口</color>'}		A			
10330128	1																	
10330129	1																	
10330130	1																	
15021101	1																	
15021102	1																	
15021103	1																	
15021104	1																	
15021105	4								[1, 1, 3]	{1: '凛冬将至', 2: '皇家同花顺', 3: '食脑者行动<color=#989898>（不计入收藏品进度）</color>'}	{1: '做好保暖，凛冬将至。', 2: '牌组最重要的就是整整齐齐。', 3: '战术、谍报、动作…'}	{1: '<color=#989898>※完成关卡</color>', 2: '<color=#989898>※刺杀五名警卫</color>', 3: '<color=#989898>※潜入实验室而不被发现</color>'}						
15021106	1																	
15021107	1																	
15021108	4								[1]	{1: '彩虹之尾'}	{1: '尽头没有猫，也没有摇篮。'}	{1: '<color=#989898>※完成关卡</color>'}						
15021109	1																	
15021110	1																	
15021111	1																	
15021112	4								[1]	{1: '寄生前夜'}	{1: '红死病悄无声息地溜进来。'}	{1: '<color=#989898>※完成开场演出</color>'}						
15021199	4			True	1007114				[1, 3]	{1: '光荣歧路', 2: '治学精神<color=#989898>（不计入收藏品进度）</color>'}	{1: '野心与忠诚互不兼容。', 2: '做研究就得严谨。'}	{1: '<color=#989898>※完成关卡</color>', 2: '<color=#989898>※与场景中所有调查点交互</color>'}			A			
15021113	4								[1, 2, 3]	{1: '夜行异闻录', 2: 'I型起源', 3: '焦土战术<color=#989898>（不计入收藏品进度）</color>'}	"{1: '走兽与鬣狗相遇，女巫栖息于此。', 2: '""Id, ego and superego. ""', 3: '我杀故我在。'}"	{1: '<color=#989898>※击败Boss</color>', 2: '<color=#989898>※收听所有录音</color>', 3: '<color=#989898>※击倒场景中的所有敌人</color>'}	{2: '<color=#989898>※收听所有录音</color>'}					
15021114	1																	
15021115	1																	
15021116	1																	
15021117	4								[1, 2]	{1: '莱克斯的纸条', 2: '铁皮歌舞团'}	{1: '为什么不把世界都装进瓶子呢？', 2: '帕弥什的另类浪漫。'}	{1: '<color=#989898>※完成关卡</color>', 2: '<color=#989898>※观看机器人的舞蹈</color>'}	{2: '<color=#989898>※观看机器人的舞蹈</color>'}					
15021118	1																	
15021119	5								[1, 2, 3]	{1: '洛城苍穹下', 2: '银影奇术师', 3: '月伞居合道<color=#989898>（不计入收藏品进度）</color>'}	{1: '坠落晚星是谎言的绝唱。', 2: '优雅假面下的致命魔术。', 3: '索罗还是姑妈先开枪？'}	{1: '<color=#989898>※完成关卡</color>', 2: '<color=#989898>※完成10次弹刀</color>', 3: '<color=#989898>※成功弹反BOSS流金轮回的子弹</color>'}	{2: '<color=#989898>※完成10次弹刀</color>'}					
15021120	1																	
15021121	1																	
10340100	1																	
10340101	4								[1]	{1: '终曲前奏'}	{1: '成功掩护乔纳森和丹黛菈离开剧院。'}	{1: '<color=#989898>※完成关卡</color>'}						
10340102	1																	
10340103	1																	
10340104	1																	
10340105	4								[1]	{1: '巡环开端'}	{1: '成功摆脱不明敌人的追踪。'}	{1: '<color=#989898>※完成关卡</color>'}						
10340106	1																	
10340107	1																	
10340108	1																	
10340109	1																	
10340110	1																	
10340111	4								[1]	{1: '“谢幕”'}	{1: '战胜依诺·卢娅。'}	{1: '<color=#989898>※完成关卡</color>'}						
10340112	1																	
10340113	1																	
10340114	1																	
10340115	1																	
10340116	5								[1]	{1: '春不可或缺的风'}	{1: '再一次战胜依诺·卢娅，夺回赛琳娜。'}	{1: '<color=#989898>※完成关卡</color>'}						
10340117	1																	
15021301	1																	
15021302	4								[1, 2]	{1: '教师的身手', 2: '找到你了'}	{1: '这就是莱博维茨的实力？', 2: '陌生而熟悉的感觉……'}	{1: '<color=#989898>※协助车队脱困</color>', 2: '<color=#989898>※邂逅神秘少女</color>'}	{2: '跟着她留下的记号……'}			['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[2]	
15021303	1																	
15021304	1																	
15021305	1																	
15021306	1																	
15021307	1																	
15021308	4								[1, 2]	{1: '奶茶的魔力', 2: '饱和甜度'}		{1: '<color=#989898>※与洁塔薇一起度过短暂的闲暇时光</color>', 2: '<color=#989898>※取得较高的好感度</color>'}	{2: '<color=#989898>※取得较高的好感度</color>'}			['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[1]	
15021309	1																	
15021310	1																	
15021311	1																	
15021312	4								[1]	{1: '为了见证未完的结局'}	{1: '满功率运行'}	{1: '<color=#989898>※坚持至最后一刻</color>'}						
15021313	1																	
15021314	4								[1, 3]	{1: '特邀嘉宾', 2: '逆行的快乐<color=#989898>（不计入收藏品进度）</color>'}	{1: '不确定，开一枪试试', 2: '好丑的立牌，崩了吧'}	{1: '<color=#989898>※离开小丑的游乐场</color>', 2: '<color=#989898>※通过迷宫时未触发陷阱</color>'}	{2: '高手从不触发BE'}					
15021315	5								[1, 2, 3]	{1: '完美谢幕', 2: '好球！', 3: '今天你差点抓到了……<color=#989898>（不计入收藏品进度）</color>'}	{2: '我打——'}	{1: '<color=#989898>※见证小丑滑稽的结局</color>', 2: '<color=#989898>※将小丑的球打回去并将其炸伤</color>', 3: '<color=#989898>※未触发小丑的抓取技能</color>'}	{2: '试着将球狠狠地打回去', 3: '洁塔薇永不被捕！'}					
15021316	1																	
15021317	1																	
15021318	1																	
15021319	1																	
15021320	1																	
15021321	1																	
15021322	1																	
15021323	1																	
15021324	1																	
15021325	1																	
15021400	2													10187				
15021401	4								[2]	{1: '你一定很特别'}	{1: '大错特错，薇拉。'}	{1: '<color=#989898>基线测试选错大于两次</color>'}	{1: '<color=#989898>基线测试选错大于两次</color>'}					
15021499	4			True	1007119				[1]	{1: '是我……吗？'}	{1: '窥得陌生新世界的一角。'}	{1: '<color=#989898>完成关卡流程</color>'}			A			
15021402	1																	
15021403	1																	
15021404	1																	
15021405	1																	
15021406	4								[1, 2]	{1: '不完美任务', 2: '善于倾听'}	{1: '就算拼命，也无法救下再多一个人了。', 2: '听完她说的话吧。'}	{1: '<color=#989898>完成关卡流程</color>', 2: '<color=#989898>与小女孩完成对话</color>'}	{2: '<color=#989898>与小女孩完成对话</color>'}			['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png']	[2]	
15021407	1																	
15021408	1																	
15021409	1																	
15021410	4								[1, 2, 2, 2]	{1: '岂是如此不便之物', 2: '我也有大招了', 3: '驾驶电车', 4: '旁观电车驶过'}	{1: '真正的进化。', 2: '生命之星VIP的实力。', 3: '这是正确的选择吗？', 4: '这是正确的选择吗？'}	{1: '<color=#989898>装备动力甲</color>', 2: '<color=#989898>释放大招</color>', 3: '<color=#989898>选择【开枪】</color>', 4: '<color=#989898>选择【不开枪】</color>'}	{2: '<color=#989898>释放大招</color>', 3: '<color=#989898>选择【开枪】</color>', 4: '<color=#989898>选择【不开枪】</color>'}			['Assets/Product/Texture/Image/RoleCharacter/V210zjNormal01.png', 'Assets/Product/Texture/Image/RoleCharacter/V230zhgNormal01.png']	[2, 3]	
15021411	1																	
15021412	1																	
15021413	1																	
15021414	1																	
15021415	1																	
15021416	1																	
15021417	4								[1, 3]	{1: '普罗米修斯', 2: 'POWER<color=#989898>（不计入收藏品进度）</color>'}	{1: '让活火尽情燃烧。', 2: '那把椅子果然很可疑。'}	{1: '<color=#989898>完成关卡流程</color>', 2: '<color=#989898>坐上那把椅子</color>'}	{2: '<color=#989898>坐上那把椅子</color>'}					
15021418	1																	
15021419	5								[1, 2, 2]	{1: '撕裂良夜', 2: '燃烧咆哮', 3: '比削苹果还简单'}	{1: '绝不踏入那个温和的良夜。', 2: '无上限的力量。', 3: '我将无数次击败你。'}	{1: '<color=#989898>完成关卡流程</color>', 2: '<color=#989898>闪避所有【侵袭崩落】</color>', 3: '<color=#989898>拼刀5次</color>'}	{2: '<color=#989898>闪避所有【侵袭崩落】</color>', 3: '<color=#989898>拼刀5次</color>'}					
15021420	1																	
15021421	1																	
15021422	1				1007120													
15021423	1				1007121													
15021424	1				1007122													
15021425	1				1007123													
10350101	4								[1]	{1: '海渊独歌'}	{1: '她行走在荒芜的海底。'}	{1: '<color=#989898>※完成关卡流程</color>'}						
10350102	1																	
10350103	1																	
10350104	1																	
10350105	1																	
10350106	1																	
10350107	1																	
10350108	1																	
10350109	1																	
10350110	1																	
10350111	4								[1, 2]	{1: '逆流而上', 2: '水中异象'}	{1: '寻找前进的方向。', 2: '水里……那是什么？'}	{1: '<color=#989898>※完成关卡流程</color>', 2: '<color=#989898>※不被触手击中</color>'}	{2: '<color=#989898>※不被触手击中</color>'}					
10350112	1																	
10350113	1																	
10350114	4								[1]	{1: '逃离海洋馆'}	{1: '这一切，就要结束了。'}	{1: '<color=#989898>※完成关卡流程</color>'}						
10350115	5								[1, 2]	{1: '再见，千子', 2: '滞空危机'}	{1: '每一声再见，都是一次接近死亡的丧钟。', 2: '她听到来自红潮中的回响。'}	{1: '<color=#989898>※完成关卡流程</color>', 2: '<color=#989898>※摔落次数小于3次</color>'}	{2: '<color=#989898>※摔落次数小于3次</color>'}					
10350116	1																	
10350117	1																	
10350118	1																	
10350119	1																	
10350120	1																	
10350121	1																	
10350122	1																	
10350123	1																	
10350124	1																	
10350125	4								[1]	{1: '未尽之路'}	{1: '死局已被更改，离开这里吧。'}	{1: '<color=#989898>※完成关卡流程</color>'}						
10350126	1																	
10350127	1																	
10350128	1																	
10350129	1																	
10350130	4								[3, 3]	{1: '丽芙也来帮忙！', 2: '我来助你！'}	{1: '无论在哪里，丽芙都会帮助你。', 2: '小心！卡列尼娜来了！'}	{1: '<color=#989898>※使用丽芙占领一个据点</color>', 2: '<color=#989898>※解锁卡列的支援</color>'}	{1: '<color=#989898>※使用丽芙占领一个据点</color>', 2: '<color=#989898>※解锁卡列的支援</color>'}			['Assets/Product/Texture/Image/Role/RoleHeadLifu.png']	[3]	
10350230	4			True	1007128				[3, 3]	{1: '《九龙英雄传1》', 2: '《九龙英雄传2》'}	{1: '传说曾经有一个伟大英雄……', 2: '真的英雄敢于直面可怖存在。'}	{1: '<color=#989898>※不重启击杀国王</color>', 2: '<color=#989898>※boss据点难度大于等于3的情况下通关</color>'}	{1: '<color=#989898>※不重启击杀国王</color>', 2: '<color=#989898>※boss据点难度大于等于3的情况下通关</color>'}		A			
10350131	1																	
