Id	ActId	Name	SubName	RowSize	ColSize	PieceItemCount	BgUrl	CompleteStoryId	CompleteRewardId	CompleteHintText	RewardPiecesStr	RewardId	CompleteImageUrl	PuzzleType
11	6	虹莺小队	Iris Warbler	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg10.png		12992		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[12988, 12989, 12990, 12991]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull13.png	1
12	6	艺术课堂	Art Class	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg10.png		12997		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[12993, 12994, 12995, 12996]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull14.png	1
13	7	死亡主宰	DEAD MASTER	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg14.png		61510		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[61506, 61507, 61508, 61509]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull15.png	1
14	7	升变	Promotion	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg14.png		61515		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[61511, 61512, 61513, 61514]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull16.png	1
15	8	禁锢月光	Shackled Moonlight	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg15.png		61510		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[61506, 61507, 61508, 61509]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull17.png	1
16	8	月色君临	Return Of The Moon	3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg15.png		61515		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[61511, 61512, 61513, 61514]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull18.png	1
17	9	夏日祭		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg16.png		64241		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[64237, 64238, 64239, 64240]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull19.png	1
18	9	传统英雄		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg16.png		64246		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[64242, 64243, 64244, 64245]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull20.png	1
19	10	但丁		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg17.png		66294		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[66290, 66291, 66292, 66293]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull21.png	1
20	10	维吉尔		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg17.png		66299		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[66295, 66296, 66297, 66298]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull22.png	1
21	11	雾魇之拥		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg17.png		68310		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[68306, 68307, 68308, 68309]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull21.png	1
22	11	往事遗光		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg17.png		68315		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[68311, 68312, 68313, 68314]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull22.png	1
23	11	镜中孤影		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg17.png		68320		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[68316, 68317, 68318, 68319]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull21.png	1
24	11	彼岸流浪		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg17.png		68325		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[68321, 68322, 68323, 68324]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull22.png	1
25	11	破碎凝望		3	5	1	Assets/Product/Texture/Image/UiFubenActivityPuzzle/FubenActivityPuzzleBg17.png		68330		['1|2|6|11', '7|8|12|13', '3|4|5|9', '10|14|15']	[68326, 68327, 68328, 68329]	Assets/Product/Texture/Image/UiFubenActivityPuzzle/PuzzleImgFull22.png	1
