Id	Type	Params	Formula	Desc
50000005	10202028	[5]		For QUEST - Clear Babylonia Shopping District Stage 5
50000006	10202028	[6]		For QUEST - Clear Babylonia Shopping District Stage 6
50000101	10203001	[1001, 1]		Cafe - Complete Stage 1
50000102	10203001	[1002, 1]		Cafe - Complete Stage 2
50000103	10203001	[1003, 1]		Cafe - Complete Stage 3
50000104	10203001	[1004, 1]		Cafe - Complete Stage 4
50000105	10203001	[1005, 1]		Cafe - Complete Stage 5
50000106	10203001	[1006, 1]		Cafe - Complete Stage 6
50000107	10101003	[20030112]		Advance the Caffeine Conundrum mission to unlock
50000108	10101003	[200301302]		Advance the Caffeine Conundrum mission to unlock
50000109	10101003	[200301381]		Advance the Caffeine Conundrum mission to unlock
50001001	10101003	[20030112]		Advance the Chronicles mission to unlock
50001002	10101003	[20010112]		Advance the Chronicles mission to unlock
50001003	10101003	[2002045]		Advance the Pilotage mission to unlock
50001004	10101003	[2002040]		Advance the Pilotage mission to unlock
50001005	10101003	[2002015]		Advance the Pilotage mission to unlock
50001006	10101003	[2002044]		Advance the Pilotage mission to unlock
50001007	10101003	[2002017]		Journey Mandatory Guide - Map
50001011	10101003	[2002042]		Advance Pilotage mission [Leisure Time Invitation] to unlock the prerequisite mission
50001012	10101003	[20030143]		"Complete Chronicles mission ""Caffeine Conundrum"" to unlock the prerequisite mission ""Commercial Square Development Plan"""
50001013	10101001	[2001]		"Advance Chronicles mission ""Commercial Square Development Plan"" to unlock"
50001014	10101001	[2001]		"Advance Chronicles mission ""Commercial Square Development Plan"" to unlock"
50001015	10101001	[2004]		"Advance Chronicles mission ""Celebration Invitation: Lucia"" to unlock"
50001016	10101001	[2005]		"Advance Chronicles mission ""Celebration Invitation: Vera"" to unlock"
50001017			50001018&50001019	"Advance Chronicles mission ""Celebration Invitation: Vera"" to unlock"
50001018	10101005	[3004]		"Advance Chronicles mission ""Celebration Invitation: Vera"" to unlock"
50001019	10101006	[3004]		"Advance Chronicles mission ""Celebration Invitation: Vera"" to unlock"
50001020			50001021&50001022	"Advance Chronicles mission ""Celebration Invitation: Lucia"" to unlock"
50001021	10101005	[3005]		"Advance Chronicles mission ""Celebration Invitation: Lucia"" to unlock"
50001022	10101006	[3005]		"Advance Chronicles mission ""Celebration Invitation: Lucia"" to unlock"
50001023	10101001	[2002]		Complete [Leisure Time Invitation] to unlock
50001024	10101001	[2003]		"Complete Chronicles mission ""Caffeine Conundrum"" to unlock"
50001025	10101003	[2002044]		Advance Pilotage mission [Leisure Time Invitation] to unlock the prerequisite mission
50001026	10101001	[2005]		"Advance Chronicles mission ""Celebration Invitation: Vera"" to unlock"
50001027	10101003	[30040101]		"Complete Chronicles mission ""Celebration Invitation - Vera"" to unlock this mission."
50001028	10101003	[30050101]		"Complete Chronicles mission ""Celebration Invitation - Lucia"" to unlock this mission."
50001029	10101003	[30060101]		露西亚选项1
50001030	10101003	[30060102]		露西亚选项2
50001031	10101003	[30060103]		露西亚选项3
50001032	10101003	[30070101]		布偶熊选项1
50001033	10101003	[30070102]		布偶熊选项2
50001034	10101003	[30070103]		布偶熊选项3
50001035	10101003	[30080101]		薇拉选项1
50001036	10101003	[30080102]		薇拉选项2
50001037	10101003	[30080103]		薇拉选项3
50001038	10101003	[30090101]		比安卡选项1
50001039	10101003	[30090102]		比安卡选项2
50001040	10101003	[30090103]		比安卡选项3
50001041	10101003	[30100101]		罗塞塔选项1
50001042	10101003	[30100102]		罗塞塔选项2
50001043	10101003	[30100103]		罗塞塔选项3
50001044	10101003	[30110101]		万事选项1
50001045	10101003	[30110102]		万事选项2
50001046	10101003	[30110103]		万事选项3
50001047	10101003	[30120101]		里选项1
50001048	10101003	[30120102]		里选项2
50001049	10101003	[30120103]		里选项3
50001050	10101003	[30130101]		阿西莫夫选项1
50001051	10101003	[30130102]		阿西莫夫选项2
50001052	10101003	[30130103]		阿西莫夫选项3
50001500	10101001	[2002]		Complete [Leisure Time Invitation] to unlock
50001501	10101003	[10010125]		Complete Phase 1 to unlock
50001502	10101003	[10010144]		Complete Phase 2 to unlock
50001503	10101003	[10010155]		Complete Phase 3 to unlock
50001504	10101003	[10010163]		Complete Phase 4 to unlock
50001505	10101003	[20030112]		"Advance Chronicles mission ""Caffeine Conundrum"" to unlock"
50001506	10101003	[20010112]		"Advance Chronicles mission ""Commercial Square Development Plan"" to unlock"
50001511	10101003	[2002014]		推进引航任务「逸时邀约」可解锁
50001551	10101	[40]		Reach Commandant Level 40
50002001			50002002|50002003	Achieve any ending of [Invitation Mission] to unlock the prerequisite mission [Wishes Adrift in the Starry Sea]
50002002	10101007	[1, 1, 2, 3, 4]		【对玩家不可见】完成任意邀约任务可解锁
50002003	10101008	[1001, 1]		【对玩家不可见】bool值1001设置为true
50002004	10101003	[20120107]		Advance Chronicles mission [Wishes Adrift in the Starry Sea] to unlock
50002005	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002006			50002007|50002008	Achieve any ending of [Invitation Mission]
50002007	10101007	[1, 1, 2, 3, 4]		【对玩家不可见】完成任意邀约任务可解锁
50002008	10101008	[1002, 1]		【对玩家不可见】bool值1002设置为true
50002009	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002010	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002011	10101007	[1, 1, 2, 3, 4]		[Not visible to players] [Drone event early unlock FinishCondition] Complete any Invitation Mission
50002012	10101007	[1, 1, 2, 3, 4]		[Not visible to players] [Photo event early unlock FinishCondition] Complete any Invitation Mission
50002013	10101007	[1, 1, 2, 3, 4]		Achieve any ending of Invitation Mission to unlock
50002014	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002015	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002016	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002017	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002018	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002019	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002020	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002021	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002022	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002023	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002024	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002025	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002026	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002027	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002028	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002029	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002030	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002031	10204001	[101, 1021]		【对玩家不可见】【接取任务前置条件】完成第一关无人机
50002032	10101007	[1, 1, 2, 3, 4]		【对玩家不可见】【接取任务前置条件】完成任意邀约任务
50002033	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002034	10187	[1, 200255]		[Not visible to players] Mandatory tutorial ID 200255 completed, used to complete the first StepObj of 1.5 Journey Mission
50002035	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002036	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002037	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002038	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002039	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002040	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002041	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002042	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002043	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002044	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002045	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002046	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002047	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002048	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002049	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002050	10101001	[2002]		【空花1.5测试占位】完成漫纪任务「逸时邀约」可解锁
50002051	10101001	[7001]		Complete Pilotage mission [Toward Undiscovered Beauty] to unlock
50002052	10101001	[7001]		Complete Pilotage mission [Toward Undiscovered Beauty] to unlock
50002053	10101001	[2002]		Complete [Leisure Time Invitation] to unlock
50003001	10101003	[20130108]		Advance [Will Under the Lens] to unlock
50003002	10101003	[20130304]		Advance [Will Under the Lens] to unlock
50003003	10101003	[20110106]		Advance [Will Under the Lens] to unlock
50003101	10101003	[20140504]		Advance [Will Under the Lens] to unlock
50003102	10101003	[70010108]		【对玩家不可见】【解锁空花1.5Pin点】完成StepObj70010102
50010000	10187	[1, 200100]		[Guide] Journal Progression Guide 200100 Completed
50010001	10101002	[200201]		[Guide] Complete the first story dialogue
50010002	10101003	[2002038]		[Guide] Complete Journey Log Guide prerequisite process
50010003	10101003	[2002044]		[Guide] Complete Photo Guide prerequisite process
50010004	10187	[1, 200002]		[Guide] Guide 200002 Completed
50010005	10187	[1, 200003]		[Guide] Guide 200003 Completed
50010006	10203002	[1001, 1]		[Guide] Cafe currently at Stage 1001 Time Period 1
50010007	10187	[1, 200201]		[Guide] Guide 200201 Completed
50010008	10203002	[1001, 2]		[Guide] Cafe currently at Stage 1001 Time Period 2
50010009	10203002	[1001, 3]		[Guide] Cafe currently at Stage 1001 Time Period 3
50010010	10187	[1, 200102]		[Guide] Photo Wall Progression Guide 200102 Completed
50010011	10187	[1, 200103]		[Guide] Photo Taking Progression Guide 200103 Completed
50010012	10187	[1, 200101]		[Guide] Map Progression Guide 200101 Completed
50010013	10203001	[1001, 1]		[Guide] Cafe Stage 1001 cleared
50010014	10203002	[1002, 1]		[Guide] Cafe currently at Stage 1002 Time Period 1
50010015	10203002	[1003, 1]		[Guide] Cafe currently at Stage 1003 Time Period 1
50010016	10203002	[1004, 1]		[Guide] Cafe currently at Stage 1004 Time Period 1
50010017	10203002	[1004, 3]		[Guide] Cafe currently at Stage 1004 Time Period 3
50010018	10203002	[1005, 1]		[Guide] Cafe currently at Stage 1005 Time Period 1
50010019	10203001	[1006, 1]		[Guide] Cafe Stage 1006 cleared
50010020	10203002	[2001, 1]		[Guide] Cafe currently at Stage 2001 Time Period 1
50010021	10202022	[0]		[Guide] Commercial District currently on preparation interface
50010022	10202022	[1]		[Guide] Commercial District currently on gameplay interface
50010023	10202021	[1, 1]		[Guide] Commercial District currently at 1-1
50010024	10202023	[1]		[Guide] Commercial District currently has tip bubbles
50010025	10202023	[2]		[Guide] Commercial District currently has feedback bubbles
50010026	10202021	[1, 2]		[Guide] Commercial District currently at 1-2
50010027	10202021	[1, 3]		[Guide] Commercial District currently at 1-3
50010028	10187	[1, 200236]		[Guide] Commercial District Guide 200236 Completed
50010029	10202021	[2, 1]		[Guide] Commercial District currently at 2-1
50010030	10202021	[2, 2]		[Guide] Commercial District currently at 2-2
50010031	10202021	[3, 1]		[Guide] Commercial District currently at 3-1
50010032	10187	[1, 200241]		[Guide] Commercial District Guide 200241 Completed
50010033	10202021	[3, 0]		[Guide] Commercial District currently at Stage 3 any round
50010034	10202025	[2, 25]		[Guide] Commercial District's current Satisfaction greater than or equal to 25
50010035	10187	[1, 200243]		[Guide] Commercial District Guide 200243 Completed
50010036	10202026	[1]		[Guide] Commercial District currently has emergency events
50010037	10202027	[1]		[Guide] Commercial District currently in regular promotion
50010038	10187	[1, 200246]		[Guide] Commercial District Guide 200246 Completed
50010039	10202021	[4, 1]		[Guide] Commercial District currently at 4-1
50010040	10202021	[5, 0]		[Guide] Commercial District currently at Stage 5 any round
50010041	10202024	[2, 50]		[Guide] Commercial District's current Gold Coins greater than or equal to 50
50010042	10202003	[0, 122]		[Guide] Commercial District hasn't built CUB Experience
50010043	10202003	[0, 121]		[Guide] Commercial District hasn't built Genius Board Game Shop
50010044	10202003	[0, 131]		[Guide] Commercial District hasn't built Bud Isle Flowers
50010045	10202003	[0, 112]		[Guide] Commercial District hasn't built Inn Elite
50010046	10101	[1]		Commandant reaches Lv.1
50010047	10202003	[1, 111]		[Guide] Commercial District already has Fancy Food constructed
50010048	10101001	[7001]		"[Guide] Complete Pilotage mission ""Toward Undiscovered Beauty"""
50010101	10187	[1, 200255]		【空花1.5测试占位】【完成强引导】完成空花新闻强引导
50010102	10187	[1, 200256]		【空花1.5测试占位】【完成强引导】完成1.5期历程日志+邀约强引导
50010201	10101003	[20120107]		【空花1.5测试占位】【强引导触发】无人机强引导触发（完成前置剧情StepObj）
50010202	10101003	[20110105]		【空花1.5测试占位】【强引导触发】拍照玩法强引导触发（完成前置剧情StepObj）
50010301	10101003	[20110106]		【拍照引导1】
50010302	10101003	[20130104]		【拍照引导2】
50010303	10101003	[20130108]		【拍照引导3】
50010304	10101003	[20130304]		【拍照引导4】
50010401	10204001	[104, 1041]		【无人机玩法】完成第一章的最后一关
50010402	10204001	[204, 2041]		【无人机玩法】完成第二章的最后一关
50010403	10204001	[303, 3031]		【无人机玩法】完成第三章的最后一关
50010404	10204001	[403, 4031]		【无人机玩法】完成第四章的最后一关
50010405	10101003	[20120107]		Advance Chronicles mission [Wishes Adrift in the Starry Sea] to unlock
50010406	10101003	[20120109]		Advance Chronicles mission [Wishes Adrift in the Starry Sea] to unlock
50010407	10101003	[20120113]		Advance Chronicles mission [Wishes Adrift in the Starry Sea] to unlock
50010408	10101003	[20120115]		Advance Chronicles mission [Wishes Adrift in the Starry Sea] to unlock
50010409	10101003	[70010107]		【地图功能】1.5历程任务推进至到达1.5场景
50010410	10101001	[7001]		[Invitation Feature] Unlocks after completing 1.5 Journey Mission
50010411	10187	[0, 200261]		[Tutorial] First drone tutorial incomplete (used to block tutorial within drone stages)
