Id	Name	BaseDesc	Icon	LevelDescList
11	炽能迸发	召唤棋子，朝最近的敌人进行直刺近战攻击。	Assets/Product/Texture/Image/IconSkill/R4Dubianhong1.png	['Ⅰ.棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=15。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.棋子直刺距离提升，伤害提升至<color=#3ACC3B>18。</color>', 'Ⅳ.大幅提升棋子攻速加成。']
12	逆反剑技	召唤棋子，朝最近的敌人进行挥砍近战攻击。	Assets/Product/Texture/Image/IconSkill/R3shenweihong1.png	['Ⅰ.棋子持续<color=#3ACC3B>6</color>秒，伤害<color=#3ACC3B>=12。</color>', 'Ⅱ.被动效果：红球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.棋子挥砍距离提升，伤害提升至<color=#3ACC3B>15。</color>', 'Ⅳ.棋子变为横扫攻击。']
13	装甲突击	持续时间内，角色获得护甲提升，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R2shenweilan1.png	['Ⅰ.持续<color=#3ACC3B>5</color>秒，护甲<color=#3ACC3B>+2。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.持续时间提升至<color=#3ACC3B>8</color>秒，护甲提升至<color=#3ACC3B>4。</color>', 'Ⅳ.被动效果：连锁状态下，获得随连锁次数提升的护甲。']
14	快意波动	持续时间内，角色获得攻速加成提升，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R1luxiyalan1.png	['Ⅰ.持续<color=#3ACC3B>5</color>秒，攻速加成<color=#3ACC3B>+25%。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.持续时间提升至<color=#3ACC3B>8</color>秒，攻速加成提升至<color=#3ACC3B>40%。</color>', 'Ⅳ.被动效果：连锁状态下，获得随连锁次数提升的攻速加成。']
15	雷霆迅突	持续时间内，角色获得冲刺充能提升，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R3Weilalan1.png	['Ⅰ.持续<color=#3ACC3B>5</color>秒，冲刺充能<color=#3ACC3B>+40%。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.持续时间提升至<color=#3ACC3B>8</color>秒，冲刺充能提升至<color=#3ACC3B>60%。</color>', 'Ⅳ.被动效果：连锁状态下，获得随连锁次数提升的冲刺充能。']
16	生命渴求	持续时间内，角色获得生命偷取效率提升，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R2Hanyinlan1.png	['Ⅰ.持续<color=#3ACC3B>5</color>秒，生命偷取效率<color=#3ACC3B>+2%。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.持续时间提升至<color=#3ACC3B>8</color>秒，生命偷取效率提升至<color=#3ACC3B>3%。</color>', 'Ⅳ.被动效果：连锁状态下，获得随连锁次数提升的生命偷取效率。']
17	碎光漫步	持续时间内，角色获得速度提升，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R3luxiyalan1.png	['Ⅰ.持续<color=#3ACC3B>5</color>秒，速度<color=#3ACC3B>+25%。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.持续时间提升至<color=#3ACC3B>8</color>秒，速度提升至<color=#3ACC3B>37.5%。</color>', 'Ⅳ.被动效果：连锁状态下，获得随连锁次数提升的速度。']
18	急停共振	<color=#3ACC3B>10</color>秒内，角色停止移动时大幅提升暴击，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R2yongyechaolan1.png	['Ⅰ.暴击<color=#3ACC3B>+30%。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.暴击提升至<color=#3ACC3B>50%。</color>', 'Ⅳ.角色停止移动时暴击伤害<color=#3ACC3B>+75%，</color>技能效果变为全局被动。']
19	磁弹速射	后续若干次普攻会额外攻击，重复触发叠加普攻次数，至多叠加<color=#3ACC3B>99</color>次。	Assets/Product/Texture/Image/IconSkill/R2lilan1.png	['Ⅰ.持续<color=#3ACC3B>3</color>次普攻，额外攻击伤害=普攻伤害<color=#3ACC3B>50%。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.持续效果提升至<color=#3ACC3B>7</color>次普攻。', 'Ⅳ.额外攻击伤害提升至普攻伤害<color=#3ACC3B>*125%。</color>']
20	疗愈粒子	召唤棋子，为周围范围内角色回复生命值。	Assets/Product/Texture/Image/IconSkill/R1lifulan1.png	['Ⅰ.棋子持续<color=#3ACC3B>10</color>秒，生命值回复<color=#3ACC3B>=2。</color>', 'Ⅱ.被动效果：蓝球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.生命值回复提升至<color=#3ACC3B>3。</color>', 'Ⅳ.大幅提升回复范围，棋子额外为范围内角色提升<color=#3ACC3B>25%</color>速度。']
21	引力信标	短暂延迟后，以角色当前位置为圆心范围吸引敌人。	Assets/Product/Texture/Image/IconSkill/R4Kalieninahuang1.png	['Ⅰ.小范围吸引敌人。', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.大范围吸引敌人。', 'Ⅳ.释放后，<color=#3ACC3B>5</color>秒内，角色获得<color=#3ACC3B>+5</color>护甲。']
22	豁免空间	短暂进入超算空间，定身所有怪物。	Assets/Product/Texture/Image/IconSkill/R2lifuhuang1.png	['Ⅰ.定身持续<color=#3ACC3B>0.5</color>秒。', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.定身持续时间提升至<color=#3ACC3B>1</color>秒。', 'Ⅳ.释放后，<color=#3ACC3B>3</color>秒内，怪物获得<color=#DB1D1A>-3</color>护甲。']
23	高能侵袭	立即回复冲刺充能。	Assets/Product/Texture/Image/IconSkill/R3shenweihuang1.png	['Ⅰ.回复<color=#3ACC3B>1</color>次冲刺充能。', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.回复<color=#3ACC3B>3</color>次冲刺充能。', 'Ⅳ.被动效果：冲刺后，<color=#3ACC3B>5</color>秒内角色获得射程<color=#3ACC3B>+8，</color>重复触发刷新持续时间。']
24	近卫反击	持续时间内，角色获得击退提升，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R3Luosaitahuang1.png	['Ⅰ.持续<color=#3ACC3B>5</color>秒，击退<color=#3ACC3B>+1。</color>', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.击退提升至<color=#3ACC3B>2</color>，持续时间提升至<color=#3ACC3B>7</color>秒。', 'Ⅳ.击退提升至<color=#3ACC3B>3</color>，持续时间提升至<color=#3ACC3B>9</color>秒。']
25	侵蚀切割	召唤棋子，降低周围范围内敌人的护甲。	Assets/Product/Texture/Image/IconSkill/R2yongyechaohuang1.png	['Ⅰ.棋子持续<color=#3ACC3B>10</color>秒，小范围内护甲降低<color=#3ACC3B>2。</color>', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.护甲降低提升至<color=#3ACC3B>3。</color>', 'Ⅳ.效果范围提升至中等。']
26	掠影机动	<color=#3ACC3B>10</color>秒内，角色停止移动时大幅提升闪避，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R4Lianghuang1.png	['Ⅰ.闪避<color=#3ACC3B>+15%。</color>', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.闪避<color=#3ACC3B>+25%。</color>', 'Ⅳ.角色停止移动时射程<color=#3ACC3B>+5，</color>技能效果变为全局被动。']
27	不动明王	<color=#3ACC3B>10</color>秒内，角色停止移动时大幅提升护甲，重复触发刷新持续时间。	Assets/Product/Texture/Image/IconSkill/R2shenweihuang1.png	['Ⅰ.护甲<color=#3ACC3B>+4。</color>', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.护甲<color=#3ACC3B>+6。</color>', 'Ⅳ.角色停止移动时生命偷取效率<color=#3ACC3B>+3%，</color>技能效果变为全局被动。']
28	光羽飞散	召唤棋子，持续随机生成信号球。	Assets/Product/Texture/Image/IconSkill/R4Lifuhuang1.png	['Ⅰ.棋子持续<color=#3ACC3B>5</color>秒，每次生成<color=#3ACC3B>1</color>个随机信号球。', 'Ⅱ.被动效果：黄球掉落概率<color=#3ACC3B>+25%。</color>', 'Ⅲ.每次生成信号球数量提升至<color=#3ACC3B>2。</color>', 'Ⅳ.棋子持续降低中等范围内敌人的速度，<color=#DB1D1A>-50</color>移动速度。']
