Id	Name	Type	LifeType	ShowType	ShowDesc	ShowOnPointTypes	ShowOnColors	Params	Icon	Desc
51	瞬移Ⅲ	1	2		每回合前3次移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合前3次移动不消耗行动点（注意检查跟队长技是否叠加）
52	额外数据1	18	2		本回合获取颜料时，可额外获得2点	[3]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合获取数据时，额外获得2点数据
53	额外数据2	18	2		本回合获取颜料时，可额外获得3点	[3]	[1, 2, 3]	[999, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合获取数据时，额外获得3点数据
54	额外数据3	18	2		本回合获取颜料时，可额外获得4点	[3]	[1, 2, 3]	[999, 4]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合获取数据时，额外获得4点数据
55	强效治疗1	28	2		本回合议论可额外降低大师1级	[2]	[1, 2, 3]	[999, 1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合治疗效果提升1
56	强效治疗2	28	2		本回合议论可额外降低大师2级	[2]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合治疗效果提升2
57	强效治疗3	28	2		本回合议论可额外降低大师3级	[2]	[1, 2, 3]	[999, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合治疗效果提升3
58	很多数据1	10	4	1	获得2点三色颜料			[1, 2]		红色数据提升2
59	很多数据1	10	4		获得2点三色颜料			[2, 2]		绿色数据提升2
60	很多数据1	10	4		获得2点三色颜料			[3, 2]		蓝色数据提升2
61	很多数据2	10	4	1	获得4点三色颜料			[1, 4]		红色数据提升4
62	很多数据2	10	4		获得4点三色颜料			[2, 4]		绿色数据提升4
63	很多数据2	10	4		获得4点三色颜料			[3, 4]		蓝色数据提升4
64	很多数据3	10	4	1	获得7点三色颜料			[1, 7]		红色数据提升7
65	很多数据3	10	4		获得7点三色颜料			[2, 7]		绿色数据提升7
66	很多数据3	10	4		获得7点三色颜料			[3, 7]		蓝色数据提升7
67	高效研究1	15	2		本回合，提升作品展览只需5点颜料	[1]	[1, 2, 3]	[5]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合，提升研究等级现在只需要消耗5个研究数据（注意检查与队长技叠加，是否取最低）
68	高效研究2	15	2		本回合，提升作品展览只需3点颜料	[1]	[1, 2, 3]	[4]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合，提升研究等级现在只需要消耗3个研究数据（注意检查与队长技叠加，是否取最低）
69	高效研究3	15	2		本回合，提升作品展览只需2点颜料	[1]	[1, 2, 3]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合，提升研究等级现在只需要消耗2个研究数据（注意检查与队长技叠加，是否取最低）
70	时间静止	21	2	1	本回合结算时，大师不会提升等级					本回合结算时，不走时间轴结算，但进度照常
71	病毒下降1	11	4	1	所有派系大师下降1级			[1, -1]		红色BOSS等级下降1
72	病毒下降1	11	4		所有派系大师下降1级			[2, -1]		绿色BOSS等级下降1
73	病毒下降1	11	4		所有派系大师下降1级			[3, -1]		蓝色BOSS等级下降1
74	病毒下降2	11	4	1	所有派系大师下降3级			[1, -3]		红色BOSS等级下降3
75	病毒下降2	11	4		所有派系大师下降3级			[2, -3]		绿色BOSS等级下降3
76	病毒下降2	11	4		所有派系大师下降3级			[3, -3]		蓝色BOSS等级下降3
77	研究提升1	13	4	1	所有作品展览提升1级			[1, 1]		红色研究等级提升1
78	研究提升1	13	4		所有作品展览提升1级			[2, 1]		绿色研究等级提升1
79	研究提升1	13	4		所有作品展览提升1级			[3, 1]		蓝色研究等级提升1
80	红绿混合	29	2		本回合，议论或提升展览可混合使用红、绿颜料	[1, 2]	[1, 2]	[1, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合，研究或治疗可混合使用红、绿数据
81	绿蓝混合	29	2		本回合，议论或提升展览可混合使用绿、蓝颜料	[1, 2]	[2, 3]	[2, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合，研究或治疗可混合使用绿、蓝数据
82	红蓝混合	29	2		本回合，议论或提升展览可混合使用红、蓝颜料	[1, 2]	[1, 3]	[1, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合，研究或治疗可混合使用红、蓝数据
83	沉重的治疗1	6	2		本回合每次议论，需要额外花费1点颜料	[2]	[1, 2, 3]	[1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合每次治疗时，需要额外花费1点对应颜色的数据
84	沉重的治疗2	6	2		本回合每次议论，需要额外花费2点颜料	[2]	[1, 2, 3]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合每次治疗时，需要额外花费2点对应颜色的数据
85	沉重的治疗3	6	2		本回合每次议论，需要额外花费3点颜料	[2]	[1, 2, 3]	[3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合每次治疗时，需要额外花费3点对应颜色的数据
86	有限治疗1	9	2		本回合，总共只能议论2次	[2]	[1, 2, 3]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合，全部颜色只能合计治疗2次
87	有限治疗2	9	2		本回合，总共只能议论1次	[2]	[1, 2, 3]	[1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合，全部颜色只能合计治疗1次
88	数据散失1	10	4	1	三色颜料全部减少1点			[1, -1]		红色数据减少1
89	数据散失1	10	4		三色颜料全部减少1点			[2, -1]		绿色数据减少1
90	数据散失1	10	4		三色颜料全部减少1点			[3, -1]		蓝色数据减少1
91	数据散失2	10	4	1	三色颜料全部减少2点			[1, -2]		红色数据减少2
92	数据散失2	10	4		三色颜料全部减少2点			[2, -2]		绿色数据减少2
93	数据散失2	10	4		三色颜料全部减少2点			[3, -2]		蓝色数据减少2
94	数据散失3	10	4	1	三色颜料全部减少4点			[1, -4]		红色数据减少4
95	数据散失3	10	4		三色颜料全部减少4点			[2, -4]		绿色数据减少4
96	数据散失3	10	4		三色颜料全部减少4点			[3, -4]		蓝色数据减少4
97	低效获取1	32	2		本回合获取颜料时，获取数量-1	[3]	[1, 2, 3]	[999, 1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合获取数据时，丢失1个对应颜色数据
98	低效获取2	32	2		本回合获取颜料时，获取数量-2	[3]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合获取数据时，丢失2个对应颜色数据
99	404	10	4	1	失去所有颜料			[1, -999]		红色数据减少999
100	404	10	4		失去所有颜料			[2, -999]		绿色数据减少999
101	404	10	4		失去所有颜料			[3, -999]		蓝色数据减少999
102	红色强化1	11	6	1	派系大师(红)等级提升1			[1, 1]		下回合，红色BOSS等级提升1
103	红色强化2	11	6	1	派系大师(红)等级提升2			[1, 2]		下回合，红色BOSS等级提升2
104	红色强化3	11	6	1	派系大师(红)等级提升3			[1, 3]		下回合，红色BOSS等级提升3
105	绿色强化1	11	6	1	派系大师(绿)等级提升1			[2, 1]		下回合，绿色BOSS等级提升1
106	绿色强化2	11	6	1	派系大师(绿)等级提升2			[2, 2]		下回合，绿色BOSS等级提升2
107	绿色强化3	11	6	1	派系大师(绿)等级提升3			[2, 3]		下回合，绿色BOSS等级提升3
108	蓝色强化1	11	6	1	派系大师(蓝)等级提升1			[3, 1]		下回合，蓝色BOSS等级提升1
109	蓝色强化2	11	6	1	派系大师(蓝)等级提升2			[3, 2]		下回合，蓝色BOSS等级提升2
110	蓝色强化3	11	6	1	派系大师(蓝)等级提升3			[3, 3]		下回合，蓝色BOSS等级提升3
111	红色强化1	11	6	1	所有大师等级提升1			[1, 1]		下回合，红色BOSS等级提升1
112	绿色强化1	11	6		所有大师等级提升1			[2, 1]		下回合，绿色BOSS等级提升1
113	蓝色强化1	11	6		所有大师等级提升1			[3, 1]		下回合，蓝色BOSS等级提升1
114	红色强化2	11	6	1	所有大师等级提升2			[1, 2]		下回合，红色BOSS等级提升2
115	绿色强化2	11	6		所有大师等级提升2			[2, 2]		下回合，绿色BOSS等级提升2
116	蓝色强化2	11	6		所有大师等级提升2			[3, 2]		下回合，蓝色BOSS等级提升2
117	结算强化	31	2							回合结算时，普通、爆发、大流行导致的病毒等级额外+1
118	行动削弱1	14	4	1	失去1点行动点			[-1]		本回合，行动点降低1点
119	行动削弱2	14	4	1	失去2点行动点			[-2]		本回合，行动点降低2点
120	地点延缓1	17	2		本回合执行地点行动后，扣除该区域2点同色颜料	[1, 2, 3]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合执行地点行动后，扣除该区域颜色的2点数据
121	地点延缓2	17	2		本回合执行地点行动后，扣除该区域3点同色颜料	[1, 2, 3]	[1, 2, 3]	[999, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	本回合执行地点行动后，扣除该区域颜色的3点数据
122	高效研究4	15	2		本回合，提升作品展览等级只需要消耗1点颜料	[1]	[1, 2, 3]	[1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	本回合，提升研究等级现在只需要消耗1个研究数据
123	瞬移Ⅲ	1	2		本回合移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉时间轴2-本回合移动不消耗行动点
124	作战提升	28	2		本回合，议论可额外降低大师1级	[2]	[1, 2, 3]	[999, 1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉时间轴2-本回合治疗效果+1
125	BOSS强化	11	6	1	派系大师等级提升3			[1, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉4-下回合BOSS等级+3
126	BOSS强化	11	6					[2, 3]		薇拉4-下回合BOSS等级+3
127	BOSS强化	11	6					[3, 3]		薇拉4-下回合BOSS等级+3
128	作战提升Ⅱ	28	2		本回合议论效果+2	[2]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉4-本回合治疗效果+2
129	作战提升Ⅲ	28	2		本回合议论效果+3	[2]	[1, 2, 3]	[999, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉6-本回合治疗效果+3
130	危险的结算	24	2					[2]		薇拉6本回合时间轴结算将执行2次
131	行动力	14	4	1	获得2点行动点			[2]		里2-行动点+2
132	强效获取	18	2		本回合获取颜料时，获取数量+1	[3]	[1, 2, 3]	[999, 1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	里2-本回合获取能量效果+1
133	行动力	14	4	1	获得3点行动点，获得7点三色颜料			[3]		里4-行动点+3
134	数据获得	10	4					[1, 7]		里4-三色数据+7
135	数据获得	10	4					[2, 7]		里4-三色数据+7
136	数据获得	10	4					[3, 7]		里4-三色数据+7
137	行动力	14	4	1	获得5点行动点			[5]		里6-行动点+5
138	能量次数不限	19	2		本回合获取颜料次数不限制	[3]	[1, 2, 3]	[1, 999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	里6-本回合获取能量次数不限制
139	能量次数不限	19	2		本回合获取颜料次数不限制			[2, 999]		里6-本回合获取能量次数不限制
140	能量次数不限	19	2		本回合获取颜料次数不限制			[3, 999]		里6-本回合获取能量次数不限制
141	蓝色提升	11	6	1	派系大师(蓝)等级+3，红、绿大师等级-1			[3, 3]		艾拉2-下回合蓝色病毒等级+3
142	红色下降	11	6					[1, -1]		艾拉2-下回合红色病毒等级-1
143	绿色下降	11	6					[2, -1]		艾拉2-下回合绿色病毒等级-1
144	时间轴结算	24	2					[2]		艾拉4-时间轴结算执行2次
145	数据获得	10	4	1	获得7点三色颜料			[1, 7]		艾拉4-三色数据+7
146	数据获得	10	4					[2, 7]		艾拉4-三色数据+7
147	数据获得	10	4					[3, 7]		艾拉4-三色数据+7
148	行动力	14	4	1	获得5点行动点			[5]		艾拉6-行动点+5
149	高效研究	15	2		本回合，提升作品展览只需5点颜料	[1]	[1, 2, 3]	[5]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	艾拉6-本回合，提升研究等级现在只需要消耗5个研究数据
150	强效获取	18	2		本回合获取颜料时，获取数量+2	[3]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列2-本回合获取能量效果+2
151	重roll	27	2		获取颜料时，可重ROLL2次	[3]	[1, 2, 3]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列2-获取能量时roll2次骰子
152	数据获得	10	4	1	获得5点三色颜料			[1, 5]		卡列4-三色数据+5
153	数据获得	10	4					[2, 5]		卡列4-三色数据+5
154	数据获得	10	4					[3, 5]		卡列4-三色数据+5
155	重roll	27	2		获取能量时，可重ROLL3次	[3]	[1, 2, 3]	[3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列4-获取能量时roll3次骰子
156	行动力	14	4	1	获得5点行动点			[5]		卡列6-行动点+5
157	多次获得	19	2		本回合获取颜料次数+2	[3]	[1, 2, 3]	[1, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列6-三色各可额外获取2次能量
158	多次获得	19	2		本回合获取颜料次数+2			[2, 2]		卡列6-三色各可额外获取2次能量
159	多次获得	19	2		本回合获取颜料次数+2			[3, 2]		卡列6-三色各可额外获取2次能量
160	能量限制	33	1		本关无法获取颜料	[3]	[1, 2, 3]	[0, 3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	薇拉困难-无法获取能量
161	能量限制	36	1		每次移动后，可获得该区域同色颜料1点	[1, 2, 3, 4]	[1, 2, 3]	[1, 999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉困难-每次移动都能获得对应颜色数据1点
162	高效研究	34	1		提升作品展览的颜料需求量，每回合-1，提升后重置	[1]	[1, 2, 3]		Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	里困难-每回合研究所需数据-1，研究后重置（注意检查里哥技能混合，应该要从6点往下扣）
163	研究限制	33	1		无法提升作品展览等级	[1]	[1, 2, 3]	[0, 1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill008.png	艾拉困难-无法执行研究
164	换一种方式研究	35	1					[6, 1]		艾拉困难-回合开始时，病毒等级等于6，提升对应颜色研究等级1
165	痛苦的结算Ⅰ	30	1							普通、爆发导致的病毒等级提升效果+1
166	痛苦的结算Ⅱ	31	1							普通、爆发、大流行导致的病毒等级提升效果+1
167	作战提升	28	2		本回合，议论可额外降低大师1级	[2]	[1, 2, 3]	[999, 1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉简单1-本回合治疗效果+1
168	行动力	14	4	1	获得1点行动点			[1]		薇拉简单1-行动点+1
169	瞬移Ⅲ	1	2		本回合移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉简单2-本回合移动不消耗行动点
170	BOSS强化	11	6	1	所有大师等级提升1			[1, 1]		薇拉困难1-下回合BOSS等级+1
171	BOSS强化	11	6					[2, 1]		薇拉困难1-下回合BOSS等级+1
172	BOSS强化	11	6					[3, 1]		薇拉困难1-下回合BOSS等级+1
173	作战提升Ⅱ	28	2		本回合，议论可额外降低大师1级	[2]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉困难1-本回合治疗效果+2
174	瞬移Ⅲ	1	2		本回合移动不消耗行动点	[1, 2, 3, 4]	[1, 2, 3]	[999]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	薇拉困难2-本回合移动不消耗行动点
175	BOSS强化	11	6	1	所有大师等级提升2			[1, 2]		薇拉困难2-下回合BOSS等级+2
176	BOSS强化	11	6					[2, 2]		薇拉困难2-下回合BOSS等级+2
177	BOSS强化	11	6					[3, 2]		薇拉困难2-下回合BOSS等级+2
178	行动力	14	4	1	获得2点行动点			[2]		里简单1-行动点+2
179	强效获取	18	2		本回合获取颜料时，获取数量+1	[3]	[1, 2, 3]	[999, 1]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	里简单1-本回合获取能量效果+1
180	行动力	14	4	1	获得5点行动点，5点三色颜料			[5]		里简单2-行动点+5
181	数据获得	10	4					[1, 5]		里简单2-三色数据+5
182	数据获得	10	4					[2, 5]		里简单2-三色数据+5
183	数据获得	10	4					[3, 5]		里简单2-三色数据+5
184	行动力	14	4	1	获得2点行动点			[2]		里困难1-行动点+2
185	强效获取	18	2		本回合获取颜料时，获取数量+2	[3]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	里困难1-本回合获取能量效果+2
186	行动力	14	4	1	获得5点行动点，5点三色颜料			[5]		里困难2-行动点+5
187	数据获得	10	4					[1, 5]		里困难2-三色数据+5
188	数据获得	10	4					[2, 5]		里困难2-三色数据+5
189	数据获得	10	4					[3, 5]		里困难2-三色数据+5
190	蓝色提升	11	6	1	派系大师(蓝)等级+3，红、绿大师等级-1			[3, 1]		艾拉简单1-下回合蓝色病毒等级+1
191	红色下降	11	6					[1, -1]		艾拉简单1-下回合红色病毒等级-1
192	绿色下降	11	6					[2, -1]		艾拉简单1-下回合绿色病毒等级-1
193	行动力	14	4	1	获得5点行动点			[5]		艾拉简单2-行动点+5
194	高效研究	15	2		本回合，提升作品展览只需5点颜料	[1]	[1, 2, 3]	[5]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	艾拉简单2-本回合，提升研究等级现在只需要消耗5个研究数据
195	数据获得	10	4	1	获得4点三色颜料			[1, 4]		艾拉困难1-三色数据+4
196	数据获得	10	4					[2, 4]		艾拉困难1-三色数据+4
197	数据获得	10	4					[3, 4]		艾拉困难1-三色数据+4
198	蓝色提升	11	6	1	所有大师等级提升1			[3, 1]		艾拉困难1-下回合蓝色病毒等级+1
199	红色提升	11	6					[1, 1]		艾拉困难1-下回合红色病毒等级+1
200	绿色提升	11	6					[2, 1]		艾拉困难1-下回合绿色病毒等级+1
201	行动力	14	4	1	获得5点行动点			[5]		艾拉困难2-行动点+5
202	高效研究	15	2		本回合，提升作品展览只需5点颜料	[1]	[1, 2, 3]	[5]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	艾拉困难2-本回合，提升研究等级现在只需要消耗5个研究数据
203	强效获取	18	2		本回合获取颜料时，获取数量+2	[3]	[1, 2, 3]	[999, 2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列简单1-本回合获取能量效果+2
204	重roll	27	2		获取颜料时，可重ROLL2次	[1]	[1, 2, 3]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列简单1-执行研究可roll2次骰子
205	行动力	14	4	1	获得5点行动点			[5]		卡列简单2-行动点+5
206	多次获得	26	2		本回合获取颜料的数量一定为最大值	[3]	[1, 2, 3]	[5, 5, 5, 5, 5, 5]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列简单2-本回合通过能量点获取的数据一定为最大值
207	数据获得	10	4	1	获得3点三色颜料			[1, 3]		卡列困难1-三色数据+3
208	数据获得	10	4					[2, 3]		卡列困难1-三色数据+3
209	数据获得	10	4					[3, 3]		卡列困难1-三色数据+3
210	重roll	27	2		获取颜料时，可重ROLL2次	[1]	[1, 2, 3]	[3]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列困难1-执行研究可roll3次骰子
211	行动力	14	4	1	获得5点行动点			[5]		卡列困难2-行动点+5
212	多次获得	26	2		本回合获取的颜料一定为最大值	[3]	[1, 2, 3]	[5, 5, 5, 5, 5, 5]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	卡列困难2-本回合通过能量点获取的数据一定为最大值
213	绿色下降	11	4	1	派系大师(绿)下降1级			[2, -1]		指挥官1简单1-绿色BOSS等级-1
214	无需行动	2	2		本回合在绿色区域上移动不消耗行动力	[1, 2, 3]	[2]	[2]	Assets/Product/Texture/Image/UiColorTable/Skill/UiColorTableSkill010.png	指挥官1简单1-本回合在绿色区域上移动不消耗行动力
215	数据丢失	10	4	1	失去5点绿色颜料			[2, -5]		指挥官1简单2-绿色数据-5
