Id	Type	NextMessageIds	Name	CueId	RoleIcon	Desc	ShowIcon	ConfirmContent
1041041	1					……		['结束']
1041042	1	[1041043]				被硝烟和战火损毁的法奥斯甲板上，有谁沾染着鲜血写下一句话。		['继续']
1041043	1	[1041044]				“每一位在黑暗中点燃火炬的人，都不应被遗忘。”		['继续']
1041044	1	[1041045]	法奥斯学生			你……还能站起来吗？		['继续']
1041045	1	[1041046]	法奥斯学生			还能站起来的话……我们走。		['继续']
1041046	1	[1041047]	法奥斯学生			我们要去激活法奥斯纪念碑中的信标，然后……		['继续']
1041047	1		法奥斯学生			归航。		['结束']
1041048	1	[1041049]				一只肥硕的橘黄色猫咪混入了猫群。		['继续']
1041049	1	[1041050]				它还不适应阿尔法的摩托轰鸣，更喜欢在每一处临时落脚地里休息。		['继续']
1041050	1	[1041051]				有时是谨慎的小憩，有时也会四脚朝天放松地睡一大觉。		['继续']
1041051	1	[1041052]				对于不得不一起生活的“伙伴”们——那只白猫，它不喜欢，但绕着走就相安无事了；至于另一只灰猫……它很喜欢，会时不时去咬灰猫的屁股。		['继续']
1041052	1	[1041053]				新的猫粮它不是很喜欢，可能因为没有像以前一样炒过，不够香脆。		['继续']
1041053	1					所以它现在每天少吃三斤干饭，可能很快就瘦下来了。		['结束']
