Id	Name	Icon	Type	EquipOccupationType	Quality	MainSkillFactorId	MainSkillFactorLevel	MainSkillFactorAbility	AddSlotNum	AddFactorLevel	MainFactorId	MainFactorLevel	LevelWeights	FactorAbility	Ability
13096203	Aggro Concealment III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2	3	3						13096	[6]	[100]	[60]	60
13096204	Aggro Concealment IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2	3	4						13096	[12]	[100]	[120]	120
21001201	Starting Energy I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2	3	1	21001	1	10							10
21001202	Starting Energy II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2	3	2	21001	3	30							30
21001203	Starting Energy III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2	3	3	21001	6	60							60
21001204	Starting Energy IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink031.png	2	3	4	21001	12	120							120
11031201	Basic Attack DMG Increase I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2	1	1						11031	[1]	[100]	[10]	10
11031202	Basic Attack DMG Increase II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2	1	2						11031	[3]	[100]	[30]	30
11031203	Basic Attack DMG Increase III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2	1	3						11031	[6]	[100]	[60]	60
11031204	Basic Attack DMG Increase IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink032.png	2	1	4						11031	[12]	[100]	[120]	120
11030201	Core DMG Bonus I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2	1	1						11030	[1]	[100]	[10]	10
11030202	Core DMG Bonus II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2	1	2						11030	[3]	[100]	[30]	30
11030203	Core DMG Bonus III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2	1	3						11030	[6]	[100]	[60]	60
11030204	Core DMG Bonus IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink033.png	2	1	4						11030	[12]	[100]	[120]	120
11029201	Skill DMG Increase I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2	1	1						11029	[1]	[100]	[10]	10
11029202	Skill DMG Increase II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2	1	2						11029	[3]	[100]	[30]	30
11029203	Skill DMG Increase III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2	1	3						11029	[6]	[100]	[60]	60
11029204	Skill DMG Increase IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink034.png	2	1	4						11029	[12]	[100]	[120]	120
11032201	Signature DMG Increase I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2	1	1						11032	[1]	[100]	[10]	10
11032202	Signature DMG Increase II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2	1	2						11032	[3]	[100]	[30]	30
11032203	Signature DMG Increase III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2	1	3						11032	[6]	[100]	[60]	60
11032204	Signature DMG Increase IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink035.png	2	1	4						11032	[12]	[100]	[120]	120
21006201	Follow-Up Skill DMG Increase I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2	1	1	21006	1	10							10
21006202	Follow-Up Skill DMG Increase II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2	1	2	21006	3	30							30
21006203	Follow-Up Skill DMG Increase III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2	1	3	21006	6	60							60
21006204	Follow-Up Skill DMG Increase IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink036.png	2	1	4	21006	12	120							120
21007201	Chain DMG Increase I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2	1	1						21007	[1]	[100]	[10]	10
21007202	Chain DMG Increase II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2	1	2						21007	[3]	[100]	[30]	30
21007203	Chain DMG Increase III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2	1	3						21007	[6]	[100]	[60]	60
21007204	Chain DMG Increase IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink040.png	2	1	4						21007	[12]	[100]	[120]	120
21008201	Bloodburn Bonus I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2	1	1	21008	1	10							10
21008202	Bloodburn Bonus II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2	1	2	21008	3	30							30
21008203	Bloodburn Bonus III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2	1	3	21008	6	60							60
21008204	Bloodburn Bonus IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink037.png	2	1	4	21008	12	120							120
21009201	Healing Assault I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2	3	1	21009	1	10							10
21009202	Healing Assault II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2	3	2	21009	3	30							30
21009203	Healing Assault III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2	3	3	21009	6	60							60
21009204	Healing Assault IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink038.png	2	3	4	21009	12	120							120
21010201	Shield Slam Boost I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2	2	1	21010	1	10							10
21010202	Shield Slam Boost II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2	2	2	21010	3	30							30
21010203	Shield Slam Boost III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2	2	3	21010	6	60							60
21010204	Shield Slam Boost IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink039.png	2	2	4	21010	12	120							120
21011201	Support DMG Reduction I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2	3	1	21011	1	10							10
21011202	Support DMG Reduction II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2	3	2	21011	3	30							30
21011203	Support DMG Reduction III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2	3	3	21011	6	60							60
21011204	Support DMG Reduction IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink041.png	2	3	4	21011	12	120							120
21012201	CRIT DMG Buff I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2	1	1	21012	1	10							10
21012202	CRIT DMG Buff II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2	1	2	21012	3	30							30
21012203	CRIT DMG Buff III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2	1	3	21012	6	60							60
21012204	CRIT DMG Buff IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink042.png	2	1	4	21012	12	120							120
21013201	Absolute Advantage I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2	1	1	21013	1	10							10
21013202	Absolute Advantage II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2	1	2	21013	3	30							30
21013203	Absolute Advantage III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2	1	3	21013	6	60							60
21013204	Absolute Advantage IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink043.png	2	1	4	21013	12	120							120
21014201	Wrath Strike I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2	1	1	21014	1	10							10
21014202	Wrath Strike II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2	1	2	21014	3	30							30
21014203	Wrath Strike III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2	1	3	21014	6	60							60
21014204	Wrath Strike IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink044.png	2	1	4	21014	12	120							120
21015201	Imbalance Specialist I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2	1	1	21015	1	10							10
21015202	Imbalance Specialist II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2	1	2	21015	3	30							30
21015203	Imbalance Specialist III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2	1	3	21015	6	60							60
21015204	Imbalance Specialist IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink045.png	2	1	4	21015	12	120							120
21016201	Miraculous Survival I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2	3	1	21016	1	10							10
21016202	Miraculous Survival II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2	3	2	21016	3	30							30
21016203	Miraculous Survival III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2	3	3	21016	6	60							60
21016204	Miraculous Survival IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink051.png	2	3	4	21016	12	120							120
21017201	Bloodburn Assault I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2	1	1	21017	1	10							10
21017202	Bloodburn Assault II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2	1	2	21017	3	30							30
21017203	Bloodburn Assault III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2	1	3	21017	6	60							60
21017204	Bloodburn Assault IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink052.png	2	1	4	21017	12	120							120
21018201	Victory Pursuit I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2	1	1	21018	1	10							10
21018202	Victory Pursuit II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2	1	2	21018	3	30							30
21018203	Victory Pursuit III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2	1	3	21018	6	60							60
21018204	Victory Pursuit IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink053.png	2	1	4	21018	12	120							120
31001103	Thunder Brand	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink001.png	1	1	3	31001	1	60	2	1					60
31001104	Thunder Brand	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink001.png	1	1	4	31001	2	120	2	1					120
31002103	Ashen Memory	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink004.png	1	1	3	31002	1	60	2	1					60
31002104	Ashen Memory	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink004.png	1	1	4	31002	2	120	2	1					120
31003104	Chain Blaze	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink007.png	1	1	4	31003	1	120	2	1					120
31004104	Void Sheath	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink008.png	1	1	4	31004	1	120	2	1					120
31005104	Void Silence	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink009.png	1	1	4	31005	1	120	2	1					120
31006104	Arc Scar	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink010.png	1	1	4	31006	1	120	2	1					120
31007103	Radiant Guard	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink003.png	1	2	3	31007	1	60	2	1					60
31007104	Radiant Guard	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink003.png	1	2	4	31007	2	120	2	1					120
31008103	Stellar Focus	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink006.png	1	1	3	31008	1	60	2	1					60
31008104	Stellar Focus	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink006.png	1	1	4	31008	2	120	2	1					120
31009104	Jet Boost	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink015.png	1	2	4	31009	1	120	2	1					120
31010104	Cosmic Edge	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink016.png	1	1	4	31010	1	120	2	1					120
31011104	Guided Focus	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink017.png	1	2	4	31011	1	120	2	1					120
31012104	Unfurled Stars	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink018.png	1	1	4	31012	1	120	2	1					120
31013103	Sacred Hymn	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink002.png	1	3	3	31013	1	60	2	1					60
31013104	Sacred Hymn	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink002.png	1	3	4	31013	2	120	2	1					120
31014103	Divine Decree	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink005.png	1	1	3	31014	1	60	2	1					60
31014104	Divine Decree	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink005.png	1	1	4	31014	2	120	2	1					120
31015104	Final Verdict	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink011.png	1	3	4	31015	1	120	2	1					120
31016104	Sacred Dawn	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink012.png	1	3	4	31016	1	120	2	1					120
31017104	Absolution Turn	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink013.png	1	3	4	31017	1	120	2	1					120
31018104	Devout Chant	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink014.png	1	3	4	31018	1	120	2	1					120
