Id	Type	Name	ConditionId	VideoConfigIds	ImageUrl	Desc
201	2	Max DMG			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage17.png'}	{1: '- Every character skill and attack has a preset <color=#ffdd93>max DMG</color>.\\n- Player DMG dealt in battle <color=#ffdd93>cannot exceed</color> the preset max DMG.\\n- Max DMG can be increased by upgrading <color=#ffdd93>Research Level</color> or <color=#ffdd93>equipment traits</color>.'}
202	2	Class Equipment			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage10.png'}	{1: '- When <color=#ffdd93>Research Level</color> meets requirements, equipping <color=#ffdd93>class equipment</color> unlocks two <color=#ffdd93>special module slots</color> (left and right).\\n- When equipment in the left and right slots is the <color=#ffdd93>same class</color> as the class equipment, gains a <color=#ffdd93>Trait Level bonus</color>.\\n- When the bonus is triggered, the <color=#ffdd93>first trait</color> of the module equipment receives an additional level increase.'}
203	2	Unique Trait			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage11.png'}	{1: '- A trait marked as <color=#ffdd93>Unique</color>. When carried in duplicates, only the trait with the <color=#ffdd93>highest level</color> will take effect.'}
204	2	Trait Level			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage12.png'}	{1: '- Each trait is generated with a fixed level.\\n- <color=#ffdd93>Identical traits</color> stack their levels, and traits gain corresponding effects based on their <color=#ffdd93>total level</color>.\\n- After Trait Level reaches the <color=#ffdd93>cap</color>, exceeding levels have no effect.'}
205	2	Equipment Level			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage13.png'}	"{1: ""- Used to evaluate equipment strength and <color=#ffdd93>matchmaking</color> threshold requirements for stages.\\n- A piece's Equipment Level equals <color=#ffdd93>Quality</color> plus <color=#ffdd93>Trait</color> levels combined.\\n- <color=#ffdd93>Equipment Level</color> can be increased by embedding more traits through <color=#ffdd93>Enhancement</color>.""}"
206	2	Gear Enhancement			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage14.png'}	{1: '- Extraction consumes <color=#ffdd93>other equipment</color> to embed their <color=#ffdd93>traits</color> into <color=#ffdd93>empty trait slots</color> of the equipment being enhanced.\\n- When the extracted equipment has <color=#ffdd93>multiple traits</color>, one will be <color=#ffdd93>randomly selected</color> for embedding.'}
300	3	Character Forms			{1: 'Assets/Product/Texture/Image/UiDlcRelink/DlcRelinkWikiImage09.png'}	{1: '- The character has multiple <color=#ffdd93>forms</color>, each with different <color=#ffdd93>skills</color> and <color=#ffdd93>combat focus</color>.\\n- Tap to switch freely between forms.'}
301	3	Crimson Weave: Phantom Cavalry		{1: '31008', 2: '31008'}		"{1: ""- <color=#ffdd93>Crimson Weave</color>'s <color=#ffdd93>Phantom Cavalry</color> excels at <color=#ffdd93>burst DPS</color>.\\n- In this form, most attacks can generate <color=#ffdd93>Wildfire Value</color>.\\n- At max Wildfire Value, <color=#ffdd93>press and hold Basic Attack</color> to cast <color=#ffdd93>Wildfire Slash</color>, dealing massive DMG to enemies.\\n- In <color=#ffdd93>Odachi Mode</color>, Wildfire Slash deals higher DMG."", 2: ""- <color=#ffdd93>Kodachi Mode</color>: Cast Skill 2 <color=#ffdd93>Sundered Delusion</color> to gain large amounts of <color=#ffdd93>Wildfire Value.</color>\\n- Combine Skill 2's <color=#ffdd93>Swordwave Attack</color> and Skill 1 <color=#ffdd93>Whirling Thrash</color> combos to rapidly fill up Wildfire Value.\\n- <color=#ffdd93>Basic Attack</color> and <color=#ffdd93>Swordwave Attack</color> in <color=#ffdd93>Odachi Mode</color> can quickly generate Wildfire Value for burst DMG.""}"
302	3	Crimson Weave: Resonance Edge		{1: '31009', 2: '31010'}		"{1: ""- <color=#ffdd93>Crimson Weave</color>'s <color=#ffdd93>Resonance Edge</color> form excels at <color=#ffdd93>team buffs</color> and <color=#ffdd93>sustained DPS</color>.\\n- In this form, most attacks grant <color=#ffdd93>Swordwave Energy</color>.\\n- When Swordwave Energy exceeds <color=#ffdd93>20</color>, perform a <color=#ffdd93>Dodge</color> or the <color=#ffdd93>4th hit of Basic Attack</color>, then <color=#ffdd93>rapidly tap Basic Attack</color>, to consume Swordwave Energy and unleash <color=#ffdd93>Swordwave Attack</color>, dealing DMG and applying <color=#ffdd93>Bladebreak</color> to enemies.\\n- Enemies affected by Bladebreak take increased DMG."", 2: '- <color=#ffdd93>Kodachi Mode</color>: Use Skill 1 <color=#ffdd93>Whirling Thrash</color> combos and Skill 2 <color=#ffdd93>Sundered Delusion</color> to quickly fill up <color=#ffdd93>Swordwave Energy</color>.\\n- <color=#ffdd93>Odachi Mode</color>: Completing <color=#ffdd93>Basic Attack cycles</color> can also fully fill up Swordwave Energy.'}"
303	3	Startrail: Iron Bastion		{1: '31011', 2: '31012'}		"{1: ""- <color=#ffdd93>Startrail</color>'s <color=#ffdd93>Iron Bastion</color> form excels at <color=#ffdd93>survivability</color> and building <color=#ffdd93>Aggro</color>.\\n- In this form, <color=#ffdd93>defensive actions</color> and most attacks grant <color=#ffdd93>Starcore Value</color>.\\n- When wielding Sword Shield, <color=#ffdd93>press and hold Basic Attack</color> to consume <color=#ffdd93>100</color> Starcore Value and cast <color=#ffdd93>Jump Cleave</color>.\\n- When wielding Shield Axe and Starcore Value exceeds <color=#ffdd93>400</color>, <color=#ffdd93>press and hold Basic Attack</color> to cast <color=#ffdd93>Meteoric Doom</color>."", 2: '- When <color=#ffdd93>switching weapon</color> forms, gains a shield based on the current <color=#ffdd93>Starcore Value</color>.\\n- When wielding Sword & Shield and <color=#ffdd93>using skills</color>, gains a <color=#ffdd93>DMG bonus</color> and a <color=#ffdd93>shield</color>.\\n- Using Skill 2 <color=#ffdd93>Golden Roar</color> can also <color=#ffdd93>taunt enemies</color>, drawing their attacks.\\n- Use skills strategically to stay safe while also safeguarding other players.'}"
304	3	Startrail: Mad Dissection		{1: '31013', 2: '31014'}		"{1: ""- <color=#ffdd93>Startrail</color>'s <color=#ffdd93>Mad Dissection</color> form excels at <color=#ffdd93>Toughness Break</color>.\\n- In this form, most attacks with Sword Shield grant <color=#ffdd93>Sharpness Value</color>.\\n- When wielding Shield Axe, <color=#ffdd93>Basic Attacks</color> consume Sharpness Value to generate <color=#ffdd93>Infinitas Value</color>, and <color=#ffdd93>using skills</color> also generates Infinitas Value.\\n- When Infinitas Value exceeds <color=#ffdd93>300</color>, <color=#ffdd93>press and hold Basic Attack</color> to consume all Infinitas Value and cast <color=#ffdd93>Meteoric Doom</color>. Additional effects are triggered when <color=#ffdd93>600</color> or <color=#ffdd93>900</color> Infinitas Value are consumed."", 2: '- While wielding Sword Shield, use Skill 1 <color=#ffdd93>Comet Burst</color> combos, Skill 2 <color=#ffdd93>Lightning Blade Slash</color> combos, and a full <color=#ffdd93>Basic Attack</color> chain to rapidly build <color=#ffdd93>Sharpness Value</color>.\\n- After switching to Shield Axe form, <color=#ffdd93>Basic Attack</color> converts Sharpness Value into <color=#ffdd93>Infinitas Value</color>. Then, <color=#ffdd93>press and hold</color> Skill 1 <color=#ffdd93>Inferno Cyclone</color> and Skill 2 <color=#ffdd93>Lightning Sweep</color> combos to gain a total of <color=#ffdd93>600</color> Infinitas Value.\\n- When combined with the <color=#ffdd93>300</color> Infinitas Value gained while <color=#ffdd93>enemies are Imbalanced</color>, you can spend <color=#ffdd93>900</color> Infinitas Value to unleash the most powerful <color=#ffdd93>Meteoric Doom</color>.'}"
305	3	Empyrea: Chant Weaver		{1: '31015', 2: '31016'}		"{1: ""- <color=#ffdd93>Empyrea</color>'s <color=#ffdd93>Chant Weaver</color> form excels at <color=#ffdd93>team healing</color> and <color=#ffdd93>DMG Reduction</color>.\\n- In this form, Skill 1 <color=#ffdd93>Holywings Mass</color>, Skill 2 <color=#ffdd93>Zodiacal Grace</color> combos, and the <color=#ffdd93>final hit of Basic Attack</color> can grant <color=#ffdd93>Chant Stacks</color>, up to <color=#ffdd93>12 stacks</color>.\\n- At max Chant Stacks, <color=#ffdd93>press and hold Basic Attack</color> to cast <color=#ffdd93>Divine Prayer</color> and clear all stacks to enter <color=#ffdd93>Empyrea Form</color>.\\n- In Empyrea Form, Skill 3 is replaced with <color=#ffdd93>Azure Firmament</color>; can <color=#ffdd93>press and hold Basic Attack</color> to perform 2 hits with <color=#ffdd93>Radiant Judgment I</color> and <color=#ffdd93>Radiant Judgment II</color>.\\n- Azure Firmament can <color=#ffdd93>heal</color> all allied units on the field and provide substantial <color=#ffdd93>DMG Reduction</color> for allies <color=#ffdd93>within range</color>."", 2: ""- Skill 1 or Skill 2 can grant <color=#ffdd93>Chant Stacks</color>, which are key to maintaining battle rhythm and resource cycling.\\n- Skill 3 <color=#ffdd93>Nighttime Prayer</color> can <color=#ffdd93>heal</color> all allied units. When used at the right moment, it provides strong tactical value beyond simple recovery.\\n- The <color=#ffdd93>Empyrea Form</color> exclusive skill <color=#ffdd93>Azure Firmament</color> offers powerful protection but has a <color=#ffdd93>long cooldown</color>. It's recommended to use it to precisely counter <color=#ffdd93>high-threat enemy Signatures</color> or <color=#ffdd93>burst attacks</color>.\\n- Skill 4 <color=#ffdd93>Crimson Crown</color> provides an <color=#ffdd93>ATK boost</color> for the entire team. Best to use it when enemies enter <color=#ffdd93>Imbalanced state</color>, or just before your main damage dealer characters <color=#ffdd93>activate burst skills</color>, to maximize team damage output.""}"
306	3	Empyrea: Dawnhymn Angel		{1: '31017', 2: '31017'}		"{1: ""- <color=#ffdd93>Empyrea</color>'s <color=#ffdd93>Dawnhymn Angel</color> form has <color=#ffdd93>weakened support abilities</color> but <color=#ffdd93>enhanced damage output</color>.\\n- In this form, Skill 1 <color=#ffdd93>Holywings Mass</color> combos, Skill 2 <color=#ffdd93>Zodiacal Grace</color> combos, and the <color=#ffdd93>final hit of Basic Attack</color> grant <color=#ffdd93>Chant Stacks</color>, up to <color=#ffdd93>12 stacks</color>.\\n- Skill 3 <color=#ffdd93>Nighttime Prayer</color> and Skill 4 <color=#ffdd93>Crimson Crown</color> consume <color=#ffdd93>4 Chant Stacks</color>.\\n- At <color=#ffdd93>8 Chant Stacks</color>, <color=#ffdd93>press and hold Basic Attack</color> to cast <color=#ffdd93>Divine Prayer</color>, clearing all Chant Stacks to enter <color=#ffdd93>Empyrea Form</color> and replacing Skill 3 with <color=#ffdd93>Azure Firmament</color>; can <color=#ffdd93>press and hold Basic Attack</color> to perform 2 hits with <color=#ffdd93>Radiant Judgment I</color> and <color=#ffdd93>Radiant Judgment II</color>.\\n- <color=#ffdd93>Radiant Judgment</color> deals increased DMG while in Dawnhymn Angel form."", 2: '- Use Skill 1 <color=#ffdd93>Holywings Mass</color> combos and Skill 2 <color=#ffdd93>Zodiacal Grace</color> combos to quickly accumulate <color=#ffdd93>Chant Stacks</color> and enter <color=#ffdd93>Empyrea Form</color>.\\n- After entering Empyrea Form, <color=#ffdd93>press and hold Basic Attack</color> to cast <color=#ffdd93>Radiant Judgment</color> for massive burst damage.\\n- Skill 3 <color=#ffdd93>Nighttime Prayer</color> and Skill 4 <color=#ffdd93>Crimson Crown</color> both consume Chant Stacks when cast.\\n- During combat, adjust how you allocate and prioritize Chant Stacks based on the battlefield situation.'}"
