Id	MovieId	Name	TalkText	Action	BubbleControllerId	PlanetCharacterId
82	30101		——独角兽投出的标枪有最小号的飞船那么大，小狼紧紧抱着它穿越危机四伏的小行星带，来到了第三个星球。	Click01		1
83	30101	21号	好多沙子……			1
84	30101	21号	会陷进去，要小心前进。			1
85	30102	21号	唔……沙子好多。（甩甩）	Catch02	107	1
86	30102	沙漠游商	欢迎光临本区域。	Greet01		8
87	30102	沙漠游商	客人有什么需要的东西吗？			8
88	30102	21号	21号在找能够让自己变得强大的宝物。	Click01		1
89	30102	沙漠游商	正在搜索相关商品……以下是满足客人需求的商品。			8
90	30102	21号	为什么都是武器？		101	1
91	30102	沙漠游商	这符合您“变得强大”的需求，本店的商品在这个星球上很受欢迎。	Talk01		8
92	30102	沙漠游商	如果您怀疑本店的商品质量，我们可以提供试用。			8
93	30102	沙漠游商	……请做好准备。			8
94	30103	沙漠游商	……居然，失败了。	Stand03	105	8
95	30103	沙漠游商	那么，请支付刚才试用期间损坏的武器样品赔偿款，数目为……	Talk01	108	8
96	30103		沙漠游商比出一个数字。			
97	30103	21号	……拒绝。	No01		1
98	30103	21号	21号只相信自己爪子的力量。			1
99	30103	21号	这种“强大”，不对劲，不是21号想要的。			1
100	30103	21号	再见。			1
101	30103	沙漠游商	……			8
102	30103	沙漠游商	真正的“强大”，究竟是……			8
103	30202	绿洲头领	前方是绿洲的领地，身份不明的人不许进入，请出示你的信物。	Talk01		9
104	30202	21号	信物？21号没有。	No01	101	1
105	30202	绿洲头领	如果你执意前进，就不要怪我不客气了。			9
106	30202	绿洲头领	来人，把这个来路不明的家伙押进牢房里。			9
107	30202	21号	不战斗，就会被抓住……！		107	1
108	30203	21号	呼……呼……	Tired01		1
109	30203	绿洲头领	……你比我想象中强一些。			9
110	30203	21号	21号破坏了很多敌人，都是凶猛的机械，所以很强……还能继续战斗。	Talk01		1
111	30203		有什么东西从身上掉了出来。			
112	30203	绿洲头领	这是，你为什么会有这个？！			9
113	30203	21号	21号答应红色的灰鸦，要把它交给见到的其他同类，还给我！		102	1
114	30203	绿洲头领	这么说，你不是遗迹守护者的手下……这是一场误会，灰鸦是我的盟友，请接受我的道歉。	Talk01		9
115	30203	21号	唔嗯，什么是遗迹守护者？		101	1
116	30203	绿洲头领	……遗迹守护者是这个星球的领主，它喜欢战争，把原本绿色的星球变成了现在这副样子。			9
117	30203	绿洲头领	我的使命，就是把绿洲带回这片星球……对我来说，居民在绿洲中幸福生活的样子，才是最珍贵的宝物。			9
118	30203	绿洲头领	但只要遗迹守护者还在，战争就不会停止。			9
119	30203	21号	绿色是森林的颜色，喜欢。21号在路上看到一些……但是不多，这颗星球全是沙子，不喜欢。	Show01		1
120	30203	21号	我住的地方有很多绿色，绿色很顽强，所以这里也可以有。			1
121	30203	21号	21号可以帮你消灭破坏绿色的家伙，你来带路。			1
122	30203	绿洲头领	感谢你的帮助。	Thanks03	103	9
123	30302	遗迹守护者	我……渴望战争！	Gift01		10
124	30302	21号	……		102	1
125	30302	遗迹守护者	就是你在我的领地大闹吗……真是不知天高地厚。			10
126	30302	21号	猎物出现了……不会放过。	Click01		1
127	30302	遗迹守护者	哈哈哈哈，猎物？出来吧，我可靠的手下们！			10
128	30302	遗迹守护者	就让你看看谁是猎物，谁是猎手！			10
129	30303	遗迹守护者	哇啊啊啊！！	Click01		10
130	30303	遗迹守护者	你们怎么都逃了！！快给我回来！救命啊！			10
131	30303	21号	你无处可逃，21号会把你拆掉。	Gift01	107	1
132	30303	遗迹守护者	我输了！！我输了！！别，别拆我……我不会再发动战争了！我只是听信谗言一时糊涂……			10
133	30303	遗迹守护者	求你放过我，你想要什么，我都可以给你。	Lovesickness01		10
134	30303	21号	21号在寻找宝物，你知道宝物的位置吗？	Talk01		1
135	30303	遗迹守护者	要，要说宝物，我确实知道一个……			10
136	30303	遗迹守护者	在，离这里很远的地方，有一个星球……那个星球的最后一位领主，可能有你想要找的东西。			10
137	30303	遗迹守护者	不过，去那里的路程很远，还要经过另一个危险的地方。			10
138	30303	21号	21号有爪子和同伴，没有什么可怕的。			1
139	30303	遗迹守护者	呜——！这这这是去那颗星球的地图！求求你别再晃你的爪子了。			10
140	40101		——刚刚落地，小狼乘坐的飞船就在高温中像放久的薯片那样塌软了下来。炽热的岩浆在星球上永不停歇的翻滚着，这是小狼抵达的第四个星球。	Click01		1
141	40101	21号	好热。			1
142	40101	21号	飞船……动不了了？		101	1
143	40101	21号	得要去找新的。			1
144	40102		爆破兔正在生气地跺脚，并没有注意到附近的小狼。	Refuse01		11
145	40102	爆破兔	为什么我放在路上的采集装置都被破坏了？！		102	11
146	40102	爆破兔	啊啊啊！！又要重新开始了，要是让我知道是哪个家伙……		102	11
147	40102	21号	唔，这个气息是……	Click01		1
148	40102	爆破兔	难道是你干的？！			11
149	40102	爆破兔	……给我站住！！	Refuse01	102	11
150	40103	爆破兔	不可能，我怎么会输……	Refuse01	102	11
151	40103	21号	21号在故事里会越来越强。	Gift01	103	1
152	40103	爆破兔	什么意思……算了，无所谓了，跟你打了一场，我已经知道你不是破坏装置的罪魁祸首了。		101	11
153	40103	21号	你也能闻出来吗？			1
154	40103	爆破兔	才不是！是因为你们留下的破坏痕迹完全不一样，你看。			11
155	40103	爆破兔	咳，所以，对不起。			11
156	40103	21号	不用道歉，虽然不是21号干的，但是可以帮你修好，我很会修东西。			1
157	40103	爆破兔	不必了，既然会坏，说明材料的强度还远远不够！拆掉重做，对我来说才是最快的。	Show07		11
158	40103	爆破兔	嗯，这次要把金属的配比……还是这样比较好，再做两次爆破实验……			11
159	40103		爆破兔陷入了忘我的工作状态。	Cabinet01		11
160	40103	21号	唔，继续前进吧。			1
161	40202	21号	这是，蓝色的灰鸦？（嗅嗅）没有错，他们身上有相似的味道。	Ready01		1
162	40202	蓝色灰鸦	……			12
163	40202		蓝色灰鸦一动不动。			
164	40202	21号	不，这个气味……这是陷阱！	No01		1
165	40203		蓝色灰鸦被击败倒下之后，一个新的蓝色灰鸦出现了。			12
166	40203	蓝色灰鸦	没想到会有人识破我的陷阱，看来这次的试验品还是不合格……你们来这里有什么目的？	Talk01		12
167	40203	21号	这是那个红色的灰鸦让21号交给你的，她在找她的同类，我能闻得出来。	Show01		1
168	40203	蓝色灰鸦	原来是这样……我的确是灰鸦的一员。			12
169	40203	21号	那为什么，不回去？		101	1
170	40203	蓝色灰鸦	……我还有要做的事情，只有完成才能真正拯救我们的星星，所以还不能离开这里。			12
171	40203	蓝色灰鸦	多谢你告诉我同伴的情况，作为谢礼，我会向你们提供任何需要的东西。			12
172	40203	21号	21号需要去这个星球的飞船。	Talk01		1
173	40203		拿出地图遗迹守护者提供的地图指给蓝色灰鸦看。			
174	40203	蓝色灰鸦	可这个星球……不，我知道了，这是飞船的启动装置，船坞就在离这里不远的地方。			12
175	40302	坏家伙	呜呜，救，救命……我是一个弱小无助的船长，被海盗抢走了飞船和食物……	Touch01	105	13
176	40302	21号	（这个气味……21号在遗迹守护者还有被破坏的装置周围闻到过。）			1
177	40302	21号	你的身上有说谎的气味，我不相信你的话。	No01		1
178	40302	坏家伙	哎呀……			13
179	40302	坏家伙	真是敏锐的小狼崽，这可怎么办呢？	Talk01		13
180	40302	21号	吼——！		102	1
181	40303	坏家伙	唉哟……好疼好疼好疼。		105	13
182	40303	21号	下一击，就会把你撕碎……！	Refuse01	107	1
183	40303	坏家伙	那可不一定哦。‘叽里呱啦’！			13
184	40303		坏家伙念了一句21号听不懂的咒语。			
185	40303	21号	……唔！动不了了……为什么……		101	1
186	40303	坏家伙	小家伙，你很勇敢，也很有力量，但只靠这些是没有办法在残酷的星球生存的。	Talk01		13
187	40303	坏家伙	每一个故事都需要一个迷人的反派角色，所以……飞船我就收下了。			13
188	40303	坏家伙	不过，善良的船长，还是可以顺路送你们去目的地的。			13
189	50101	21号	……唔。			1
190	50101	21号	让那个家伙逃掉了……下次见到，21号不会再松懈。	Refuse01	102	1
191	50101	21号	继续前进吧。			1
192	50101	21号	这些是……蛋糕？			1
193	50102	“艺术家”	嘻嘻……真是完美的艺术……	Gift01		14
194	50102	21号	这颗星球……（嗅嗅）气味甜甜的。	Ready01	106	1
195	50102	“艺术家”	等等，你要踩在我的作品上了。			14
196	50102	21号	哦。			1
197	50102	“艺术家”	你别乱走！又踩在另一块上了！！			14
198	50102	21号	……哦。			1
199	50102	“艺术家”	啊啊啊！！我的伟大作品！！！	Refuse01	102	14
200	50102	“艺术家”	不，不可饶恕……			14
201	50102	21号	21号，只是在走路……		101	1
202	50103	“艺术家”	嘻嘻……嘻嘻嘻……原来是这样……	Click01		14
203	50103	“艺术家”	被破坏的蛋糕……颜色都混杂在一起，变成了更特别的颜色！			14
204	50103	“艺术家”	这种混乱的美感……毫无规律可言的惊喜……才是自由本身……			14
205	50103	“艺术家”	灵感正在喷涌而出……我明白了，之前的一切都是错误的！	Gift01		14
206	50103	“艺术家”	这一次……大家一定会承认我的艺术品位，我才是这个星球上最厉害的艺术家！			14
207	50103	“艺术家”	嘻嘻嘻……自由……自由……			14
208	50103	21号	这个家伙，脑子坏掉了……	No01		1
209	50202	最强宇宙勇者	呼呼！哈哈！	Gift01	103	15
210	50202	最强宇宙勇者	终于等到你们了！七……咳哼！最强宇宙勇者，在此恭候多时！			15
211	50202	21号	21号，不记得有这个角色……	No01		1
212	50202	最强宇宙勇者	唔，任何故事都要有彩蛋角色登场的嘛……			15
213	50202	最强宇宙勇者	那么，经过一番激烈的战斗，终于来到了主角一行人面对BOSS之前的关键时刻。	Talk01		15
214	50202	最强宇宙勇者	……在这里，挡在你面前的是——最强宇宙勇者！			15
215	50203	最强宇宙勇者	呜啊——我被打败了！		105	15
216	50203	21号	勇者，演得很假……			1
217	50203	最强宇宙勇者	咳哼，那么，打败最强宇宙勇者之后，付出一些小小的牺牲，你就能获得和最终BOSS抗衡的力量。	Talk01		15
218	50203	21号	……“牺牲”？		101	1
219	50203	最强宇宙勇者	就是放弃一些对自己很重要很重要的东西，来换取一些更重要的东西。			15
220	50203	21号	不管是自由还是同伴，21号都不会放弃。	No01		1
221	50203	最强宇宙勇者	呼呼……很帅气嘛，这才是勇者的回答！			15
222	50203	最强宇宙勇者	那么……我已经没有能够教给你的东西了，继续前进吧。			15
223	50302	姜饼王	你们是来和我做朋友的吗？	Gift01		16
224	50302	21号	21号，听说这里有宝物……	Click01		1
225	50302	姜饼王	宝物？你们现在就站在它上面呀！和大家一起生活的乐园！就是碧儿的宝物！			16
226	50302	姜饼王	留在这里，和我们一起玩吧？			16
227	50302	姜饼王	爪子……獠牙，这些可怕的东西，在这里都不需要，变成大家喜欢的样子，和大家一起玩吧？			16
228	50302	姜饼王	一起，玩吧？			16
229	50303	姜饼王	呜，呜呜——	Tired01		16
230	50303		被打败的姜饼王坐在地上，伤心地哭了起来。	Tired01		
231	50303	姜饼王	为什么，你也不愿意和碧儿一起玩？这里是碧儿创造的乐园……只有柔软甜甜的味道，没有痛苦可怕的回忆，这样不好吗？	Tired01		16
232	50303	姜饼王	……是碧儿哪里做得不对吗？	Tired01		16
233	50303	姜饼王	大家喜欢甜甜的东西……所以我就把星球变得甜甜的……	Tired01		16
234	50303	姜饼王	大家都在寻找宝物，所以我把我的宝物分给大家，这样大家就会来找我玩了……	Tired01		16
235	50303	姜饼王	这样是不对的吗？	Tired01		16
236	50303	21号	21号不知道，但21号明白了，“宝物”只是一个名字。	Talk01		1
237	50303	21号	这里没有21号想要的东西，是因为大家心里的“宝物”是不一样的。			1
238	50303	21号	而21号的宝物……早都已经得到了，只是我一直没有发现。			1
239	50303	姜饼王	碧儿不明白。	Touch01		16
240	50303	21号	没有关系，21号也花了很久才明白，但是不要紧，你也会有明白的一天。	Show01		1
241	50303	21号	有很多朋友教会了21号这个道理，所以，只要一直前进，就也会有人教会你。			1
242	50303	姜饼王	可是，故事到这里不是已经结束了吗？			16
243	50303	21号	不。	No01		1
244	50303		小小的狼摇了摇头。			
245	50303	21号	21号的故事，不会结束。			1
