Id	StageLibId	StageId	GridIndex	GridName	GridIcon	SupplyEnergyLevelReward	IsScoreStage	IsLockCharacterStage	MutexLockCharacter	AffixIds	Tips	Efficiency
11	404	30062469	1	EC-00					True		['本区域暂无环境效果']	['独域机制教学关卡']
12	404	30062438	1	EC-01		1				[761192]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%雷属性抗性</color>']	['<color=#0F70BC>独域机体</color>造成<color=#0F70BC>雷属性伤害</color>时，<color=#0F70BC>3秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
13	404	30062439	2	EC-02		1				[761192]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%雷属性抗性</color>']	['<color=#0F70BC>独域机体</color>造成<color=#0F70BC>雷属性伤害</color>时，<color=#0F70BC>3秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
14	404	30062440	3	EC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnThunder.png	1		True		[761192]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%雷属性抗性</color>']	['<color=#0F70BC>独域机体</color>造成<color=#0F70BC>雷属性伤害</color>时，<color=#0F70BC>3秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
15	405	30062441	1	PL-01		1				[761190]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理属性抗性</color>']	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
16	405	30062442	2	PL-02		1				[761190]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理属性抗性</color>']	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
17	405	30062443	3	PL-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnPhysical.png	1		True		[761190]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理属性抗性</color>']	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
18	406	30062444	1	DG-01		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
19	406	30062445	2	DG-02		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
20	406	30062446	3	DG-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnShadow.png	1		True		[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
21	407	30062358	1	DG-00					True		['本区域暂无环境效果']	['独域机制教学关卡']
22	407	30062447	2	DG-01		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
23	407	30062448	3	DG-02		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
24	407	30062449	4	DG-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnShadow.png	1		True		[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
25	408	30062450	1	FC-01		1				[761193]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%冰属性抗性</color>']	['<color=#0F70BC>独域机体</color>攻击被<color=#0F70BC>自身冻结</color>的目标时', '<color=#0F70BC>终结槽削减效率提高200%</color>(闪袭与拼刀无加成)']
26	408	30062451	2	FC-02		1				[761193]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%冰属性抗性</color>']	['<color=#0F70BC>独域机体</color>攻击被<color=#0F70BC>自身冻结</color>的目标时', '<color=#0F70BC>终结槽削减效率提高200%</color>(闪袭与拼刀无加成)']
27	408	30062452	3	FC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnIce.png	1		True		[761193]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%冰属性抗性</color>']	['<color=#0F70BC>独域机体</color>攻击被<color=#0F70BC>自身冻结</color>的目标时', '<color=#0F70BC>终结槽削减效率提高200%</color>(闪袭与拼刀无加成)']
28	409	30062453	1	FR-01		1				[761191]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%火属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次同色信号球</color>后，<color=#0F70BC>10秒内</color>', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
29	409	30062454	2	FR-02		1				[761191]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%火属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次同色信号球</color>后，<color=#0F70BC>10秒内</color>', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
30	409	30062455	3	FR-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnfire.png	1		True		[761191]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%火属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次同色信号球</color>后，<color=#0F70BC>10秒内</color>', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
31	410	30062470	1	EC-00					True		['本区域暂无环境效果']	['独域机制教学关卡']
32	410	30062456	2	EC-01		1				[761192]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%雷属性抗性</color>']	['<color=#0F70BC>独域机体</color>造成<color=#0F70BC>雷属性伤害</color>时，<color=#0F70BC>3秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
33	410	30062457	3	EC-02		1				[761192]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%雷属性抗性</color>']	['<color=#0F70BC>独域机体</color>造成<color=#0F70BC>雷属性伤害</color>时，<color=#0F70BC>3秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
34	410	30062458	4	EC-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnThunder.png	1		True		[761192]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%雷属性抗性</color>']	['<color=#0F70BC>独域机体</color>造成<color=#0F70BC>雷属性伤害</color>时，<color=#0F70BC>3秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
35	411	30062459	1	PL-01		1				[761190]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理属性抗性</color>']	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
36	411	30062460	2	PL-02		1				[761190]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理属性抗性</color>']	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
37	411	30062461	3	PL-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnPhysical.png	1		True		[761190]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理属性抗性</color>']	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
38	412	30062462	1	DG-01		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
39	412	30062463	2	DG-02		1				[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
40	412	30062464	3	DG-03	Assets/Product/Texture/Image/UiPivotCombat/UiPivotCombatBtnShadow.png	1		True		[761194]	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']
41	4001	30062465	1	DG-CR			True			[761194]	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']
42	4002	30062466	1	DG-CR			True			[761194]	['<color=#0F70BC>独域机体</color>连续消除<color=#0F70BC>2次不同色信号球</color>后，<color=#0F70BC>10秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%暗属性抗性</color>']
43	4011	30062467	1	PL-CR			True			[761190]	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理抗性</color>']
44	4012	30062468	1	PL-CR			True			[761190]	['<color=#0F70BC>独域机体</color>三消造成<color=#0F70BC>暴击伤害</color>时，<color=#0F70BC>8秒</color>内', '<color=#0F70BC>终结槽削减效率提高100%</color>(闪袭与拼刀无加成)']	['<color=#0F70BC>动态评级</color>到达<color=#0F70BC>B</color>及以上时，<color=#0F70BC>独域机体</color>造成伤害<color=#0F70BC>额外削</color>', '<color=#0F70BC>减目标40%物理抗性</color>']
