Id	SceneUrl	ModelUrl	LensX	LensY	LensDistance	BigMapLensX	BigMapLensY	BigMapDistance	MapOffsetX	MapOffsetY	CueTag	Desc
25000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-574.5	-836.4	63.0	-574.5	-836.4	168.0	252.0	-546.0	A	城市外围的废墟群，在旧时代曾是某个繁荣的工业小镇。随着帕弥什爆发，此处被逐渐废弃，现今已经成为了感染体的巢穴。
26000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-426.3999	-337.2	63.0	-426.3999	-337.2	168.0	261.0	-134.0	B	新苏菲亚城南部，供能中心的建设地。全城日常生活所需的能源都来自此处，是名副其实的城市生命线心脏。
31000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-113.4	-25.7	63.0	-113.4	8.1999	168.0	868.0	350.0	A	位于新苏菲亚城边缘的中型港口，通称“旧日港口”。自格林瓦诺斯托克防线崩溃后，就和无数废弃货轮一起静默至今。
32000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-161.5	-562.7999	63.0	-161.5	-562.7999	168.0	666.0	-260.0	A	地势平坦，感染体较少的雪原区域。土质比较松软，除了适合扎营之外，也很适合在开拓初期作为农田使用。
33000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	36.7999	-591.2	63.0	-177.1	-107.9	168.0	789.0	-450.0	A	比邻着雪林的小型内陆湖。冰湖已经多年未曾消融，在冰面上走过的时候，厚重的冰层下方似乎偶尔会有鱼影一闪而过。
34000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-318.2	-384.6	63.0	-260.7	-319.2	168.0	346.0	-480.0	A	位于雪山山脚的废墟群，在旧时代曾是某工业小镇的前线哨站。在其中仔细搜索的话，应该能找到一些尚可利用的物资。
41001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-247.8999	-71.8	63.0	-247.8999	1.25	168.0	781.0	313.0	A	位于新苏菲亚城边缘的中型港口，通称“旧日港口”。自格林瓦诺斯托克防线崩溃后，就和无数废弃货轮一起静默至今。
42001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-513.2	-276.2999	63.0	-513.2	50.5999	168.0	300.0		A	冰海和雪原交接的区域，地表覆有薄冰，通行不便，需要有守林人和载具的协助才能快速通过此区。
43001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	4.3	-654.4	63.0	4.3	-654.4	168.0	780.0	-369.0	A	雪林的东部边缘区域，植被比中部区域稀疏，但是也因此更适合中小型动物聚居。在此可以发现雪兔和角鹿的活动踪迹。
44001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-468.0	-475.0	63.0	-468.0	-475.0	168.0			A	
45001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-468.0	-475.0	63.0	-468.0	-475.0	168.0	123.0	-366.0	A	城市外围的废墟群，地底下全是旧时代留下的废弃矿道，如蛛网一般蜿蜒密布，如今还能从中回收一些剩余的矿产资源。
46001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-260.2999	96.0	63.0	-260.2999	96.0	168.0	622.0	99.0	C	新苏菲亚城西部，山顶上伫立着高大的灯塔，从塔顶上可以观测到整个海面。守林人在此轮流看守，提防机械角鲸来袭。
51001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-720.5999	-342.2999	63.0	-720.5999	-342.2999	168.0	253.0	50.0	A	旧日港口的西部区域，暗流较少，海面比其他区域更为平静一些，因此被选为“摩西级”破冰船的停泊地。
52001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-213.5	-454.2	63.0	-213.5	-454.2	168.0	668.0	-164.0	A	靠近着雪山山脚的雪原北部区域，高大的天然屏障为此处遮蔽了不少风雪，气温也较为平稳。
53001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-216.1	-506.2999	63.0	-216.1	-506.2999	168.0	715.0	-202.0	A	雪林的北部边缘区域，地势较高，感染体和仿生动物数量都处于较低水平，是少有的人类可以安全活动的区域。
54001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-957.5399	-379.97	63.0	-871.7899	-229.2599	168.0			A	
55001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	13.6	-781.4	63.0	13.6	-781.4	168.0	1137.0	-442.0	A	位于冰湖附近的废墟群，大部分建筑已经被雪暴严重侵蚀，不能再供人居住，但这恰好成为了不少仿生动物的居所。
56001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-329.5	-470.6	63.0	-329.5	-470.6	168.0	669.0	-92.0	D	新苏菲亚城东部，郊区的雪原上搁浅着一副巨大的鲸鱼骸骨。鲸骨在极地人的心中有着特殊的意义，因此被特地保留了下来。
60001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-426.0	-678.0	63.0	-426.0	-678.0	168.0	520.0	-150.0	A	白银城永远欢迎所有来客
60003	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-426.0	-678.0	63.0	-426.0	-678.0	168.0	520.0	-150.0	A	白银城永远欢迎所有来客
60005	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-147.0	27.0	63.0	-147.0	27.0	168.0	895.0	388.0	A	白银城永远欢迎所有来客
60007	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-147.0	27.0	63.0	-147.0	27.0	168.0	895.0	388.0	A	白银城永远欢迎所有来客
60009	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-49.5999	84.0	63.0	-49.5999	84.0	168.0	1000.0	426.0	A	白银城永远欢迎所有来客
60011	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-49.5999	84.0	63.0	-49.5999	84.0	168.0	1000.0	426.0	A	白银城永远欢迎所有来客
60013	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-432.1	-658.2	63.0	-432.1	-658.2	168.0	483.0	-364.0	A	勇者敢于挑战无人之径。
60017	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-432.1	-658.2	63.0	-432.1	-658.2	168.0	483.0	-364.0	A	勇者敢于挑战无人之径。
60021	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	147.0	-85.0	63.0	144.0	-105.0	168.0	1203.0	244.0	A	勇者敢于挑战无人之径。
60023	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	147.0	-85.0	63.0	144.0	-105.0	168.0	1203.0	244.0	A	勇者敢于挑战无人之径。
60026	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	48.0	-29.0	63.0	28.0	-53.0	168.0	1100.0	300.0	A	勇者敢于挑战无人之径。
60028	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	48.0	-29.0	63.0	28.0	-53.0	168.0	1100.0	300.0	A	勇者敢于挑战无人之径。
60101	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-260.2999	96.0	63.0	-260.2999	96.0	740.0	487.0	99.0	C	▂▃▂▃沙盘▃边缘的▃▂▃区域，部分地块将在一定回合数后坠落。
60102	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-260.2999	96.0	63.0	-260.2999	96.0	740.0	487.0	99.0	C	▂▃▂▃沙盘▃边缘的▃▂▃区域，部分地块将在一定回合数后坠落。
60103	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-260.2999	96.0	63.0	-260.2999	96.0	740.0	487.0	99.0	C	▂▃▂▃沙盘▃边缘的▃▂▃区域，部分地块将在一定回合数后坠落。
60104	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-260.2999	96.0	63.0	-260.2999	96.0	740.0	487.0	99.0	C	▂▃▂▃沙盘▃边缘的▃▂▃区域
70001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-260.2999	96.0	63.0	-260.2999	96.0	740.0	487.0	99.0	C	▂▃▂▃沙盘▃边缘的▃▂▃区域，部分地块将在一定回合数后坠落。
70002	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-260.2999	96.0	63.0	-260.2999	96.0	740.0	487.0	99.0	C	▂▃▂▃沙盘▃边缘的▃▂▃区域，部分地块将在一定回合数后坠落。
