Id	Name	Description	Icon	Param
104123		敌人当前，战斗是唯一的解决方案。		[1]
104124		敌人当前，战斗是唯一的解决方案。		[1]
104131		敌人当前，战斗是唯一的解决方案。		[1]
104132		敌人当前，战斗是唯一的解决方案。		[1]
104133		敌人当前，战斗是唯一的解决方案。		[1]
104134		你们找到了空中花园设置的补给点。		
104141		随机事件		
104142		你们找到了空中花园设置的补给点。		
104143		随机事件		
104144		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
104151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
104152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
104153		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
104161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
105011		敌人当前，战斗是唯一的解决方案。		[1]
105021		你们找到了空中花园设置的补给点。		
105031		随机事件		
105041		敌人当前，战斗是唯一的解决方案。		[1]
105042		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
105051		敌人当前，战斗是唯一的解决方案。		[1]
105061		敌人当前，战斗是唯一的解决方案。		[1]
105062		随机事件		
105071		敌人当前，战斗是唯一的解决方案。		[1]
105081		敌人当前，战斗是唯一的解决方案。		[1]
105082		随机事件		
105083		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
105091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
105101		随机事件		
105102		敌人当前，战斗是唯一的解决方案。		[1]
105103		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
105111		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
105121		随机事件		
105131		敌人当前，战斗是唯一的解决方案。		[1]
105141		随机事件		
105142		你们找到了空中花园设置的补给点。		
105151		你们找到了空中花园设置的补给点。		
105152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
105161		最危险的战场之中最危险的敌人就在面前，要做什么自不必说。		[3]
106011		敌人当前，战斗是唯一的解决方案。		[1]
106021		敌人当前，战斗是唯一的解决方案。		[1]
106022		随机事件		
106031		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
106032		随机事件		
106033		随机事件		
106034		随机事件		
106041		随机事件		
106042		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
106043		敌人当前，战斗是唯一的解决方案。		[1]
106051		敌人当前，战斗是唯一的解决方案。		[1]
106052		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
106053		敌人当前，战斗是唯一的解决方案。		[1]
106054		随机事件		
106061		随机事件		
106062		随机事件		
106063		随机事件		
106064		随机事件		
106071		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
106072		敌人当前，战斗是唯一的解决方案。		[1]
106073		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
106081		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
106082		随机事件		
106091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
106092		敌人当前，战斗是唯一的解决方案。		
106093		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
106101		敌人当前，战斗是唯一的解决方案。		[1]
106102		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
106103		敌人当前，战斗是唯一的解决方案。		[1]
106111		敌人当前，战斗是唯一的解决方案。		[1]
106112		你们找到了空中花园设置的补给点。		
106121		你们找到了空中花园设置的补给点。		
106122		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
106123		随机事件		
106131		敌人当前，战斗是唯一的解决方案。		[1]
106132		你们找到了空中花园设置的补给点。		
106133		随机事件		
106141		随机事件		
106142		敌人当前，战斗是唯一的解决方案。		[1]
106143		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
106151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
106152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
106161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
107011		敌人当前，战斗是唯一的解决方案。		[1]
107012		敌人当前，战斗是唯一的解决方案。		[1]
107021		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
107022		随机事件		
107023		敌人当前，战斗是唯一的解决方案。		[1]
107031		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
107032		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
107033		随机事件		
107041		敌人当前，战斗是唯一的解决方案。		[1]
107042		随机事件		
107043		敌人当前，战斗是唯一的解决方案。		[1]
107051		敌人当前，战斗是唯一的解决方案。		[1]
107052		敌人当前，战斗是唯一的解决方案。		[1]
107053		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
107061		敌人当前，战斗是唯一的解决方案。		[1]
107062		随机事件		
107063		敌人当前，战斗是唯一的解决方案。		[1]
107064		随机事件		
107071		你们找到了空中花园设置的补给点。		
107072		你们找到了空中花园设置的补给点。		
107081		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
107082		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
107083		敌人当前，战斗是唯一的解决方案。		[1]
107084		随机事件		
107091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
107092		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
107093		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
107101		随机事件		
107102		敌人当前，战斗是唯一的解决方案。		[1]
107111		敌人当前，战斗是唯一的解决方案。		[1]
107112		随机事件		
107113		随机事件		
107114		随机事件		
107121		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
107122		敌人当前，战斗是唯一的解决方案。		[1]
107123		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
107131		随机事件		
107132		你们找到了空中花园设置的补给点。		
107141		你们找到了空中花园设置的补给点。		
107142		敌人当前，战斗是唯一的解决方案。		[1]
107143		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
107151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
107152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
107153		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
107161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
108011		敌人当前，战斗是唯一的解决方案。		[1]
108012		敌人当前，战斗是唯一的解决方案。		[1]
108013		敌人当前，战斗是唯一的解决方案。		[1]
108021		敌人当前，战斗是唯一的解决方案。		[1]
108022		敌人当前，战斗是唯一的解决方案。		[1]
108023		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
108031		随机事件		
108032		敌人当前，战斗是唯一的解决方案。		[1]
108033		随机事件		
108034		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
108041		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
108042		随机事件		
108043		随机事件		
108051		随机事件		
108052		敌人当前，战斗是唯一的解决方案。		[1]
108053		随机事件		
108054		敌人当前，战斗是唯一的解决方案。		[1]
108055		你们找到了空中花园设置的补给点。		
108061		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
108062		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
108063		敌人当前，战斗是唯一的解决方案。		[1]
108071		敌人当前，战斗是唯一的解决方案。		[1]
108072		随机事件		
108073		你们找到了空中花园设置的补给点。		
108074		随机事件		[1]
108081		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
108082		随机事件		
108083		敌人当前，战斗是唯一的解决方案。		[1]
108091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
108092		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
108093		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
108094		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
108101		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
108102		敌人当前，战斗是唯一的解决方案。		[1]
108103		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
108104		随机事件		
108111		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		[1]
108112		随机事件		
108113		敌人当前，战斗是唯一的解决方案。		[1]
108121		你们找到了空中花园设置的补给点。		
108122		随机事件		
108123		你们找到了空中花园设置的补给点。		
108124		随机事件		[1]
108131		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
108132		随机事件		
108133		敌人当前，战斗是唯一的解决方案。		[1]
108141		敌人当前，战斗是唯一的解决方案。		[1]
108142		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
108143		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
108144		随机事件		[1]
108151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
108152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
108161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
109011		敌人当前，战斗是唯一的解决方案。		[1]
109012		敌人当前，战斗是唯一的解决方案。		[1]
109013		敌人当前，战斗是唯一的解决方案。		[1]
109014		敌人当前，战斗是唯一的解决方案。		[1]
109021		敌人当前，战斗是唯一的解决方案。		[1]
109022		随机事件		
109023		敌人当前，战斗是唯一的解决方案。		[1]
109024		随机事件		
109031		你们找到了空中花园设置的补给点。		
109032		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109033		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109041		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109042		随机事件		
109043		你们找到了空中花园设置的补给点。		
109051		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109052		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
109053		敌人当前，战斗是唯一的解决方案。		[1]
109061		敌人当前，战斗是唯一的解决方案。		[1]
109062		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
109063		敌人当前，战斗是唯一的解决方案。		[1]
109064		随机事件		
109071		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
109072		随机事件		
109073		敌人当前，战斗是唯一的解决方案。		[1]
109074		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109081		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109082		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109083		敌人当前，战斗是唯一的解决方案。		[1]
109084		随机事件		
109091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109092		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109093		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109101		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109102		敌人当前，战斗是唯一的解决方案。		[1]
109103		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109104		敌人当前，战斗是唯一的解决方案。		[1]
109105		你们找到了空中花园设置的补给点。		
109111		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109112		敌人当前，战斗是唯一的解决方案。		[1]
109113		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109114		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
109121		你们找到了空中花园设置的补给点。		
109122		随机事件		
109123		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109131		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
109132		随机事件		
109133		敌人当前，战斗是唯一的解决方案。		[1]
109141		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
109142		敌人当前，战斗是唯一的解决方案。		[1]
109143		随机事件		
109151		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
109152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
109161		前方敌人十分强大，俨然是附近感染体的领袖。但你们别无选择。		[3]
110011		敌人当前，战斗是唯一的解决方案。		[1]
110021		你们找到了空中花园设置的补给点。		
110031		随机事件		
110041		敌人当前，战斗是唯一的解决方案。		[1]
110042		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
110051		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
110061		随机事件		
110062		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
110071		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
110081		敌人当前，战斗是唯一的解决方案。		[1]
110082		随机事件		
110083		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
110091		你们跟着烟雾标示找到了空中花园投下的空投补给箱。		
110101		随机事件		
110102		敌人当前，战斗是唯一的解决方案。		[1]
110103		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
110111		你们从面前的敌人身上感觉到了不祥的气息，这也许会是一场棘手的战斗。		[2]
110121		随机事件		
110131		敌人当前，战斗是唯一的解决方案。		[1]
110141		随机事件		
110142		你们找到了空中花园设置的补给点。		
110151		你们找到了空中花园设置的补给点。		
110152		你们发现了一处其他执行部队留下的安全屋，可以在此稍事休息。		
110161		最危险的战场之中最危险的敌人就在面前，要做什么自不必说。		[3]
