Id	Name	Function	Describe	IsShowCourse	ImageAsset	TextGroupIds	SubIds
10010	巴别塔计划	BabelTower	1、巴别塔计划·洋流涡一共分为3关。每关只有一个自选阶段，自选阶段可以自由选择战略目标组合。\n\n2、每一关最多可以有3个编队参与挑战，开始只会开放每个关卡的第1编队，当每个关卡第1编队均有通关记录时，解锁编队2；当编队2均有通关记录时，解锁编队3。每个编队的挑战等级、挑战成员信息将单独记录。\n\n3、每一关分为5个难度，根据选择难度的不同，最终战略等级分数将会有不同的加成。最终战略等级=选择战略等级*难度加成系数（取整）。\n\n4、关卡内分为【环境情报】、【战略目标】和【支援模组】三个部分影响战斗\n※环境情报：战斗中的环境词缀，本关内的挑战会受到环境词缀的影响\n※战略目标：战斗中的难度词缀，选中的词缀会加入到关卡环境中增加战斗挑战性\n※支援模组：援助战斗的增益词缀，选中的词缀会辅助成员进行关卡战斗。\n\n5、每次挑战成功后，每个编队使用的成员将被锁定，被锁定的成员不能在其他关卡以及其他编队中使用。玩家可以通过【清除记录】或者【恢复记录】更改成员的使用状态\n※清除记录：清除该关卡下该编队获得的战略等级，同时解除成员的锁定状态\n※恢复记录：将该关卡下该编队恢复回上次通关的状态，重新获得对应的战略等级，通关成员重新锁定\n\n6、每个编队根据每关挑战中选择的战略目标组合会获得对应的战略等级分数，单关战略等级之和或总战略等级之和达到挑战任务要求后可以获得奖励。\n\n7、通关一次即可获得收藏品奖励，随着战略等级分数的提高，收藏品的品质将会提升。\n\n8、开放巴别塔排行榜，根据指挥官最终所有编队的战略等级之和排名。	1	['Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower01.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower02.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower03.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower05.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpBabelTower06.png']		
10011	阿普斯轨道	RogueLike	123	1	['Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike8.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike9.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike810.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpRogueLike11.jpg']		
10012	宿舍模板	DormTemplate	1、模板宿舍：\n（1）选择心仪的模板宿舍，设定为装扮目标\n（2）点击一键布置，可以将已有的家具按照模板一键摆放至目标宿舍中\n（3）家具数量不足时，可以快捷制造以及改装\n\n2、收藏宿舍：\n（1）可以在收藏宿舍中任意编辑自己心仪的宿舍装饰，保存到记录中生成模板\n（2）编辑好的记录模板可以设定为装扮目标，进行一键摆放\n（3）收藏模板在编辑时可使用所有家具，尽情的发挥创造力吧~	2	['Assets/Product/Texture/Image/UiHelp/UiHelpDorm1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm8.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm10.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm9.png']		
10013	巴别塔排行榜	BabelTowerRank	1、按照所有关卡所有编队的总等级之和排名。\n\n2、当总等级之和相同时，通关记录中花费时间最短的玩家排在前面。\n\n3、排行榜数据每隔30分钟刷新一次。	2			
10014	回归任务	RegressionTask	1、回归任务开启条件：\n（1）等级≥40级，未有获得过回归任务且距离最后一次登录时间≥15天\n（2）等级≥40级，曾有获得过回归任务且距离最后一次登录时间≥30天\n\n3、获得回归任务后，有效期为15天（具体结束时间见回归任务界面显示），时间结束后，未完成的任务无法继续完成，未领取的奖励无法再领取	2			
10015	邀请好友	ActivitySendInvitation	1、活动期间，等级≥55级的指挥官可获得邀请码\n\n2、把邀请码分享给符合以下条件的指挥官：\n（1）等级≥40级，未有获得过回归任务且距离最后一次登录时间≥15天\n（2）等级≥40级，曾有获得过回归任务且距离最后一次登录时间≥30天\n若对方在游戏中成功输入邀请码，则邀请成功\n\n3、邀请码可以重复使用（最多10次），根据邀请成功的人数，可领取相应档位的邀请奖励\n\n4、邀请奖励的刷新可能有一定延时，请稍候几分钟再尝试	2			
10016	邀请码奖励	ActivityAcceptInvitation	活动期间，符合以下条件的指挥官，可使用其他指挥官的邀请码领取奖励：\n（1）等级≥40级，未有获得过回归任务且距离最后一次登录时间≥15天\n（2）等级≥40级，曾有获得过回归任务且距离最后一次登录时间≥30天	2			
10017	潜行	SneakTurtial	潜行引导UI	1	['Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian01.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian02.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian03.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian04.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian05.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian06.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian07.png']		
10019	边界公约	Assign	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpAssign1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpAssign2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpAssign3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpAssign4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpAssign5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpAssign6.jpg']		
10020	合众战局	ArenaOnline	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpArenaOnline4.jpg']		
10021	中国城潜行	SneakTurtial02	潜行引导UI	1	['Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1201.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1202.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1203.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1204.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1205.png']		
10022	列阵	UnionKillStageHelp	列阵玩法图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png']		
10023	列阵	UnionKillMainHelp	列阵玩法图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png']		
10024	列阵	UnionKillRankHelp	列阵玩法图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png']		
10025	列阵	UnionPraiseRankHelp	列阵玩法图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill1.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill2.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill3.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill4.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill5.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpUnionKill8.png']		
10026	公会推荐界面	GuildRecommendHelp	公会系统图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg']		
10027	公会主界面	GuildMainHelp	公会系统图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg']		
10028	公会福利界面	GuildWelfareHelp	公会系统图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg']		
10029	公会天赋	GuildTalentHelp	公会天赋图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuild8.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild10.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild11.jpg']		
10030	公会BOSS玩法	GuildBossHelp	公会BOSS图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg']		
10031	公会BOSS_BOSS关	GuildBoss_CoreHelp	公会BOSS图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg']		
10032	公会BOSS_常序区关	GuildBoss_LowHelp	公会BOSS图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg']		
10033	公会BOSS_特遣区关	GuildBoss_SevereHelp	公会BOSS图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss8.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuildBoss9.jpg']		
1020	指挥局说明	GuildMain	公会系统图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg']		
1021	指挥局招募说明	GuildRecruit	1、指挥局的首席指挥官与副指挥官可以向其他没有指挥局的指挥官们发送招募申请。\n2、每个指挥局同时最多向20名指挥官发送招募申请。\n3、其他指挥官接收到招募申请后，可以通过申请直接加入指挥局。\n4、每个招募消息的记录时间是24小时。\n5、当旧的招募消息过时后，才可发起新的招募申请。	2			
10034	隐秘的墙角	SpecialTrain1Old	特训关1图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeYmdqj1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1201.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1202.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1203.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1204.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhuxian1205.png']		
10035	入阵	SpecialTrain2Old	特训关2图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeRz1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeRz2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeRz3.jpg']		
10036	刀瓜剑影	SpecialTrain1Old2	特训关3图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeDgjy6.jpg']		
10037	冲锋37	SpecialTrain2	特训关4图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeCf6.jpg']		
10038	夏日翻转	EliminateGame	三消图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpSummerEpisodeXrfz4.jpg']		
10039	异聚迷宫	InfestorExplore	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpInfestorExplore7.jpg']		
10040	公会成员	GuildRongyuHelp	公会系统图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpGuild1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpGuild9.jpg']		
10041	虚像地平线	ExpeditionMainHelp	虚像地平线主页面介绍	1	['Assets/Product/Texture/Image/UiHelp/UiHelpExpedition1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExpedition2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExpedition3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExpedition4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExpedition5.jpg']		
10042	梦魇挽歌	WorldBossHelp	梦魇挽歌图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss01.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss02.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss03.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss04.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss05.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpWorldBoss06.jpg']		
10043	捉鬼啦	ClickClearGame	中元小游戏图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan1.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan2.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan3.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan4.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpZhongYuan5.png']		
10044	维系者行动	MaintainerActionHelp	维系者行动图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpMaintaineraction4.jpg']		
10045	无归的航道	PuzzleActivity	拼图预热关图文指引	3	['Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpPuzzle5.jpg']	[1004501, 1004502, 1004503, 1004504]	
