Id	Name	Repeatable	Type	Quality	UnlockConditionId	EffectGroupId	Description	WorldDesc	Icon	VisionId
39	仿·始动之纹LV.3		1	5	1004026	40039	战斗开始时额外获得<color=#dbb536>3组</color>3消球	仿造远古时代技艺所打造的大纹章，能在战斗开始时获得三组三消信号球。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip025.png	
40	仿·余震之纹LV.2		1	4	1006006	40040	释放必杀后，获得<color=#dbb536>2组</color>3消球	仿造远古时代技艺所打造的小纹章，能在释放必杀技时获得两组三消信号球。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip054.png	
41	仿·余震之纹LV.3		1	5	1004029	40041	释放必杀后，获得<color=#dbb536>3组</color>3消球	仿造远古时代技艺所打造的大纹章，能在释放必杀技时获得三组三消信号球。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip054.png	
42	仿·烈焰之纹LV.2		1	4		40042	火属性额外伤害加成<color=#dbb536>+30%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加火属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip005.png	
43	仿·烈焰之纹LV.3		1	5	1004009	40043	火属性额外伤害加成<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加火属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip005.png	
44	仿·雷电之纹LV.2		1	4		40044	雷属性额外伤害加成<color=#dbb536>+30%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加雷属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip006.png	
45	仿·雷电之纹LV.3		1	5	1004010	40045	雷属性额外伤害加成<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加雷属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip006.png	
46	仿·寒冰之纹LV.2		1	4		40046	冰属性额外伤害加成<color=#dbb536>+30%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加冰属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip007.png	
47	仿·寒冰之纹LV.3		1	5	1004011	40047	冰属性额外伤害加成<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加冰属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip007.png	
48	仿·暗邃之纹LV.2		1	4		40048	暗属性额外伤害加成<color=#dbb536>+30%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加暗属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip008.png	
49	仿·暗邃之纹LV.3		1	5	1004012	40049	暗属性额外伤害加成<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加暗属性伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip008.png	
50	仿·砾锋之纹LV.2		1	4		40050	物理额外伤害加成<color=#dbb536>+30%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加物理伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip009.png	
51	仿·砾锋之纹LV.3		1	5	1004013	40051	物理额外伤害加成<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加物理伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip009.png	
52	仿·疗愈之纹LV.1		1	3		40052	所受治疗效果<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅增加治疗效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip048.png	
53	仿·疗愈之纹LV.2		1	4		40053	所受治疗效果<color=#dbb536>+100%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加治疗效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip048.png	
54	仿·燃血之纹LV.1		1	3		40054	技能球额外伤害加成<color=#dbb536>+15%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅增加技能球伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip027.png	
55	仿·燃血之纹LV.2		1	4	1006014	40055	技能球额外伤害加成<color=#dbb536>+30%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加技能球伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip027.png	
56	仿·燃血之纹LV.3		1	5	1004015	40056	技能球额外伤害加成<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加技能球伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip027.png	
57	仿·杀意之纹LV.1		1	3		40057	必杀技额外伤害加成<color=#dbb536>+15%</color>	仿造远古时代技艺所打造的残缺纹章，能小幅增加必杀技伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip055.png	
58	仿·杀意之纹LV.2		1	4	1006014	40058	必杀技额外伤害加成<color=#dbb536>+30%</color>	仿造远古时代技艺所打造的小纹章，能中幅增加必杀技伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip055.png	
59	仿·杀意之纹LV.3		1	5	1004016	40059	必杀技额外伤害加成<color=#dbb536>+50%</color>	仿造远古时代技艺所打造的大纹章，能大幅增加必杀技伤害。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip055.png	
60	零散锡制姜饼	1	2	3		40060	直接获取<color=#dbb536>10</color>颗锡纸姜饼	零散的几块锡制姜饼。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip061.png	
61	小袋锡纸姜饼		2	4		40061	直接获取<color=#dbb536>20</color>颗锡纸姜饼	一小袋锡制姜饼。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip061.png	
62	大袋锡纸姜饼		2	5		40062	直接获取<color=#dbb536>30</color>颗锡纸姜饼	一大袋锡制姜饼。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip061.png	
63	仿·饕餮之纹LV.1		2	3		40063	通关战斗额外掉落<color=#dbb536>2</color>颗锡制姜饼	仿造远古时代技艺所打造的残缺纹章，能小幅增加战斗时锡制姜饼的获取数量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip062.png	
64	仿·饕餮之纹LV.2		2	4	1004017	40064	通关战斗额外掉落<color=#dbb536>4</color>颗锡制姜饼	仿造远古时代技艺所打造的小纹章，能中幅增加战斗时锡制姜饼的获取数量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip062.png	
65	仿·饕餮之纹LV.3		2	5	1004017	40065	通关战斗额外掉落<color=#dbb536>6</color>颗锡制姜饼	仿造远古时代技艺所打造的大纹章，能大幅增加战斗时锡制姜饼的获取数量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip062.png	
66	仿·恩赐之纹LV.2		2	4		40066	每经过一个节点额外获得<color=#dbb536>2</color>颗锡制姜饼	仿造远古时代技艺所打造的小纹章，能中幅增加通过节点时锡制姜饼的获取数量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip063.png	
67	仿·恩赐之纹LV.3		2	5	1004017	40067	每经过一个节点额外获得<color=#dbb536>3</color>颗锡制姜饼	仿造远古时代技艺所打造的大纹章，能大幅增加通过节点时锡制姜饼的获取数量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip063.png	
68	小瓶仿生秘血		2	3		40068	直接获取<color=#dbb536>3</color>瓶仿生秘血(用于复活全队/重启关卡）	小瓶装的仿生秘血。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png	
69	中瓶仿生秘血		2	4		40069	直接获取<color=#dbb536>6</color>瓶仿生秘血(用于复活全队/重启关卡）	中瓶装的仿生秘血。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png	
70	大瓶仿生秘血		2	5		40070	直接获取<color=#dbb536>9</color>瓶仿生秘血(用于复活全队/重启关卡）	大瓶装的仿生秘血。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png	
71	特制仿生秘血		2	5	1004018	40071	直接获取<color=#dbb536>12</color>瓶仿生秘血(用于复活全队/重启关卡）	使用特殊方法调制的仿生秘血。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip064.png	
72	生欲之纹		2	5	1004018	40072	每经过一个节点额外获得<color=#dbb536>1</color>瓶仿生秘血(用于复活全队/重启关卡）	仿造远古时代技艺所打造的残缺纹章，能小幅增加通过节点时仿生秘血的获取数量。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip065.png	
73	遴择之纹		2	4	1004019	40073	招募券额外刷新次数<color=#dbb536>+1</color>	与离群者结下友谊的证明，能增加招募卷的额外刷新次数。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip066.png	
74	贪婪之纹		2	4	1004020	40074	商店折扣位<color=#dbb536>+2</color>	与商人结下友谊的证明，能增加商店的折扣位。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip056.png	
75	心鸣之纹		3	5	1004021	40075	触发QTE时，激活另一角色QTE，冷却时间<color=#dbb536>5</color>秒	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip032.png	
76	刀鬼之纹		3	5	1004022	40076	普攻额外伤害加成<color=#dbb536>+100%</color>	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip020.png	
77	残刃之纹		3	5	1004023	40077	普攻额外伤害加成<color=#d84740>-50%</color>；每<color=#dbb536>2</color>秒获得一个信号球	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip0016.png	
78	缚骨之纹		3	5	1004023	40078	闪避<color=#d84740>消耗双倍闪避值</color>；每<color=#dbb536>2</color>秒获得一个信号球	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip057.png	
79	立断之纹		3	5	1004024	40079	额外伤害加成<color=#dbb536>+80%</color>；每有一个信号球，加成效果<color=#d84740>-5%</color>	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip039.png	
80	戮力之纹		3	5	1004025	40080	每有一个信号球，额外伤害加成<color=#dbb536>+5%</color>	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip010.png	
81	力涌之纹		3	5	1004026	40081	每秒恢复未满能量值<color=#dbb536>1%</color>的必杀能量	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip058.png	
82	坚攻之纹		3	5	1004027	40082	所有护盾获取量<color=#dbb536>+100%</color>	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip023.png	
83	狂斗之纹		3	5	1004028	40083	每隔<color=#dbb536>5</color>秒，额外伤害加成<color=#dbb536>+5%</color>且额外伤害减免<color=#d84740>-5%</color>，叠加上限<color=#dbb536>100%</color>	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip028.png	
84	存余之纹		3	5	1004029	40084	使用3消时，获取<color=#dbb536>1颗</color>消耗的同色球	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip026.png	
85	视界之纹		3	5	1004030	40085	释放必杀时，将触发额外超算	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip059.png	
86	续意之纹		3	5	1004031	40086	释放必杀时，将恢复消耗值<color=#dbb536>50%</color>的必杀能量	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip060.png	
87	仿·蓄意之纹LV.2		3	4	1004032	40087	3消时额外获得<color=#dbb536>5</color>点能量	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip037.png	
88	仿·蓄意之纹LV.3		3	5	1004032	40088	3消时额外获得<color=#dbb536>10</color>点能量	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip037.png	
89	瞬杀之纹		3	4		40089	切换角色入场时，对<color=#dbb536>6</color>米范围内的所有敌人造成出场角色<color=#dbb536>500%</color>攻击力的伤害	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip036.png	
90	魁首之纹		3	5	1004033	40090	所有招募券额外招募次数<color=#dbb536>+1</color>	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip067.png	
91	秘藏之纹		3	5	1004034	40091	所有道具箱中珍稀/传说品质的道具出现概率增加	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip024.png	
92	集源之纹		3	5	1004035	40092	每个秘藏品提供<color=#dbb536>+10%</color>额外伤害加成	远古时代遗留下来的特制纹章，具备某种特殊的效果。	Assets/Product/Texture/Image/UiInfestorExplore/NewEquip049.png	
93	回归者的刀刃		4	5	1004045	40093	似乎没有什么特殊效果。。。	击败大海守卫后遗留的刀刃。由远古时代的工匠打造，经历了悠久的岁月。似乎能在某个关键场合派上用场……	Assets/Product/Texture/Image/IconTools/IconRougeItem014.png	
94	无之烙印		4	5	1004046	40094	额外伤害减免<color=#d84740>-50%</color>	以并不属于这个世界的符号所组成的烙印，承载着某种外来的意志。	Assets/Product/Texture/Image/IconTools/IconRougeItem019.png	
95	无限之烙印		4	5	1004046	40095	闪避恢复速度提升<color=#dbb536>+80%</color>	以并不属于这个世界的符号所组成的烙印，承载着某种外来的意志。	Assets/Product/Texture/Image/IconTools/IconRougeItem020.png	
96	玛琳之石		4	5	1004046	40096	每秒恢复<color=#dbb536>5%</color>最大生命值	闪耀着幽蓝色光辉的宝石，由已经失传的古老技艺雕琢而成。被冠以“玛琳”之名的，某个家族代代相传的宝物。	Assets/Product/Texture/Image/IconTools/IconRougeItem016.png	
97	幽潮紫晶石		4	5	1004046	40097	暴击率<color=#dbb536>+40%</color>，暴击伤害提升<color=#dbb536>+100%</color>	闪耀着幽紫色光辉的宝石，由已经失传的古老技艺雕琢而成。贴近耳朵时，仿佛能听到宝石内部传来幽幽的潮鸣。	Assets/Product/Texture/Image/IconTools/IconRougeItem018.png	
98	破损的幽潮紫晶石		4	4	1004046	40098	暴击率<color=#dbb536>+20%</color>	以暴力手段拆解机关后，所遗留下的宝石碎片。其中仍残留着少许力量。	Assets/Product/Texture/Image/IconTools/IconRougeItem017.png	
99	库利法斯黑圣典		4	5	1004045	40099	每秒回复<color=#dbb536>3</color>点能量，每秒受到<color=#d84740>5%</color>最大生命值的伤害，必杀额外伤害加成<color=#dbb536>+30%</color>	记载着远古时代禁忌知识的黑色圣典。也许有些智慧，就应该被埋葬在久远的过去。	Assets/Product/Texture/Image/IconTools/IconRougeItem010.png	
100	瑟弗拉斯白圣典		4	5	1004045	40100	每秒回复<color=#dbb536>3</color>点能量，每秒恢复<color=#dbb536>2%</color>最大生命值，必杀额外伤害加成<color=#dbb536>+30%</color>	记载着远古时代知识的白色圣典。教会最初的求道者是最接近远古智慧的存在，可惜，就连他们的知识也随着岁月而逐渐流失了。	Assets/Product/Texture/Image/IconTools/IconRougeItem09.png	
101	红泪滴吊坠		4	4	1004046	40101	额外伤害加成<color=#dbb536>+20%</color>	镶嵌着红色泪滴状宝石的吊坠，出自某个有名的收藏家之手。禁忌的深海是各类珍宝的沉眠之地，人们对此趋之若鹜，哪怕搭上性命也在所不惜。	Assets/Product/Texture/Image/IconTools/IconRougeItem011.png	
102	蓝泪滴吊坠		4	4	1004046	40102	闪避恢复速度<color=#dbb536>+50%</color>	镶嵌着蓝色泪滴状宝石的吊坠，出自某个有名的收藏家之手。禁忌的深海是各类珍宝的沉眠之地，人们对此趋之若鹜，哪怕搭上性命也在所不惜。	Assets/Product/Texture/Image/IconTools/IconRougeItem012.png	
103	黄泪滴吊坠		4	4	1004046	40103	每<color=#dbb536>12</color>秒获得<color=#dbb536>1组</color>3消球	镶嵌着黄色泪滴状宝石的吊坠，出自某个有名的收藏家之手。禁忌的深海是各类珍宝的沉眠之地，人们对此趋之若鹜，哪怕搭上性命也在所不惜。	Assets/Product/Texture/Image/IconTools/IconRougeItem013.png	
104	未解读的古籍		4	4	1004045	40104	战斗开始时随机获得<color=#dbb536>6</color>个信号球	某个传承已久的学派代代相传的古籍。该学派的创始之人似乎是某位神话中英雄的后裔，单脉相传的知识未能造福人世，最终只留下没落的结局。	Assets/Product/Texture/Image/IconTools/IconRougeItem015.png	
105	学者的笔记		4	4	1004045	40105	战斗开始时随机获得<color=#dbb536>3</color>个信号球	某位年轻学者的笔记，记载着他游历世界各地时的所见所闻。学者虽然笨拙，但他希望能用勤奋补足这一点。	Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	
106	愚钝者的笔记		4	5	1004045	40106	战斗开始时随机获得<color=#dbb536>3组</color>3消球	某位愚钝者临终前也依旧在撰写的笔记。过度追求与自己才能不匹配的事物，最终的结局唯有癫狂。	Assets/Product/Texture/Image/IconTools/IconRougeItem021.png	
108	无名者之剑		4	5		40108	额外伤害加成<color=#dbb536>+50%</color>，普攻回球效率<color=#dbb536>-50%</color>	某位无名之人留下的剑。由已经失传的工艺锻造而成，经历了无数战役之后，刀刃仍如崭新般锋利。	Assets/Product/Texture/Image/IconTools/E2SwordMd120111.png	
109	黑之纳特		4	4	1004028	40109	额外伤害加成<color=#dbb536>+20%</color>	仿造已经失传的机械工艺打造出的战斗机器人，大概能在战斗中派上关键的用场。	Assets/Product/Texture/Image/IconTools/IconSpecialTrainConsume01.png	
110	自律炮台欧米茄		4	4	1004028	40110	每<color=#dbb536>9</color>秒获得<color=#dbb536>1组</color>3消球	使用现在的机械工艺打造出的自律炮台，可以提供火力支援。	Assets/Product/Texture/Image/IconTools/E2BallrobotMd010011.png	
111	维斯塔		4	4		40111	在场角色每<color=#dbb536>10</color>秒提升<color=#dbb536>7%</color>攻击力，最多叠加<color=#dbb536>3</color>次	做工精良的权杖，似乎是某位神话时代英雄所持武器的仿制品。	Assets/Product/Texture/Image/IconTools/E3WandMd010011.png	
112	太阳鸟		4	4		40112	切换入场后增加<color=#dbb536>+7%</color>攻击力，持续<color=#dbb536>10</color>秒，最多叠加3次	饱经风霜的旗枪，似乎是某位神话时代英雄所持武器的仿制品。	Assets/Product/Texture/Image/IconTools/E3LanceMd010011.png	
113	叛离者家徽		4	5	1004046	40113	攻击力、最大生命值、会心、防御<color=#dbb536>+20%</color>	在某段时期，逃离了深海的叛离者家族所持有的家徽。叛离者终将回归深海，葬于深海。	Assets/Product/Texture/Image/IconTools/IconActivityRPG02.png	
