Id	Note	TemplateId	StageId	Weight	Mode	ModeParams	TimeLimit	MonsterGroupId	FightEventIds	SuggestAbility
27111	第二章-困难生存	2711	30062601	100	2	[100]	90	[271111]	[2250508]	3300
27211	第二章-困难生存-灵视保底	2721	30062601	100	2	[100]	90	[271111]	[2250509, 2250508]	3300
29111	第二章-困难打伤害	2911	30062616	100	4	[1400000]	90	[291111]	[2250508, 2250405]	3300
29112	第二章-困难打伤害	2912	30062616	100	4	[1900000]	90	[291121]	[2250508, 2250405]	3300
29113	第二章-困难打伤害	2913	30062616	100	4	[2500000]	90	[291111]	[2250508, 2250501, 2250405]	3300
29114	第二章-困难打伤害	2914	30062616	100	4	[3100000]	90	[291121]	[2250508, 2250405]	3300
29115	第二章-困难打伤害	2915	30062616	100	4	[3700000]	90	[291111]	[2250508, 2250501, 2250405]	3300
29211	第二章-困难打伤害-灵视保底	2921	30062616	100	4	[1400000]	90	[291111]	[2250509, 2250405, 2250508]	3300
29212	第二章-困难打伤害-灵视保底	2922	30062616	100	4	[1900000]	90	[291121]	[2250509, 2250405, 2250508]	3300
29213	第二章-困难打伤害-灵视保底	2923	30062616	100	4	[2500000]	90	[291111]	[2250509, 2250501, 2250405, 2250508]	3300
29214	第二章-困难打伤害-灵视保底	2924	30062616	100	4	[3100000]	90	[291121]	[2250509, 2250405, 2250508]	3300
29215	第二章-困难打伤害-灵视保底	2925	30062616	100	4	[3700000]	90	[291111]	[2250509, 2250501, 2250405, 2250508]	3300
31211	第三章-普通刷怪	3121	30062617	100	1	[0, 30]	90	[312111, 312112]	[2250508]	3300
31212	第三章-普通刷怪	3121	30062617	100	1	[0, 30]	90	[312121, 312122]	[2250508, 2250506]	3300
31213	第三章-普通刷怪	3121	30062617	100	1	[0, 30]	90	[312131, 312132]	[2250508, 2250507]	3300
31221	第三章-普通刷怪	3122	30062617	100	1	[0, 30]	90	[312211, 312212]	[2250508]	3300
31222	第三章-普通刷怪	3122	30062617	100	1	[0, 30]	90	[312221, 312222]	[2250508, 2250506]	3300
31223	第三章-普通刷怪	3122	30062617	100	1	[0, 30]	90	[312231, 312232]	[2250508, 2250507]	3300
31231	第三章-普通刷怪	3123	30062608	100	1	[0, 30]	90	[312311, 312312]	[2250508]	3300
31232	第三章-普通刷怪	3123	30062608	100	1	[0, 30]	90	[312321, 312322]	[2250508, 2250506]	3300
31233	第三章-普通刷怪	3123	30062608	100	1	[0, 30]	90	[312331, 312332]	[2250508, 2250507]	3300
31311	第三章-普通刷怪	3131	30062608	100	1	[0, 30, 60]	90	[313111, 313112, 313113]	[2250508]	3300
31312	第三章-普通刷怪	3131	30062608	100	1	[0, 30, 60]	90	[313121, 313122, 313123]	[2250508, 2250506]	3300
31313	第三章-普通刷怪	3131	30062608	100	1	[0, 30, 60]	90	[313131, 313132, 313133]	[2250508, 2250507]	3300
31321	第三章-普通刷怪	3132	30062618	100	1	[0, 30, 60]	90	[313211, 313212, 313213]	[2250508]	3300
31322	第三章-普通刷怪	3132	30062618	100	1	[0, 30, 60]	90	[313221, 313222, 313223]	[2250508, 2250506]	3300
31323	第三章-普通刷怪	3132	30062618	100	1	[0, 30, 60]	90	[313231, 313232, 313233]	[2250508, 2250507]	3300
31324	第三章-普通刷怪	3132	30062618	100	1	[0, 30, 60]	90	[313241, 313242, 313243]	[2250508]	3300
33111	第三章-普通割草	3311	30062617	100	3	[20]	90	[331111]	[2250508]	3300
33112	第三章-普通割草	3311	30062617	100	3	[20]	90	[331121]	[2250508, 2250506]	3300
33113	第三章-普通割草	3311	30062617	100	3	[20]	90	[331131]	[2250508, 2250507]	3300
33114	第三章-普通割草	3311	30062617	100	3	[20]	90	[331141]	[2250508]	3300
33121	第三章-普通割草	3312	30062608	100	3	[20]	90	[331211]	[2250508, 2250506]	3300
33122	第三章-普通割草	3312	30062608	100	3	[20]	90	[331221]	[2250508, 2250507]	3300
33123	第三章-普通割草	3312	30062608	100	3	[20]	90	[331231]	[2250508, 2250506]	3300
33124	第三章-普通割草	3312	30062608	100	3	[20]	90	[331241]	[2250508, 2250507]	3300
34111	第三章-普通伤害	3411	30062617	100	4	[3300000]	90	[341111]	[2250508, 2250405]	3300
34112	第三章-普通伤害	3412	30062617	100	4	[4000000]	90	[341121]	[2250508, 2250405]	3300
34113	第三章-普通伤害	3413	30062608	100	4	[4700000]	90	[341131]	[2250508, 2250405]	3300
34114	第三章-普通伤害	3414	30062608	100	4	[5500000]	90	[341111]	[2250508, 2250405]	3300
34115	第三章-普通伤害	3415	30062618	100	4	[6300000]	90	[341121]	[2250508, 2250405]	3300
34116	第三章-普通伤害	3416	30062618	100	4	[7200000]	90	[341131]	[2250508, 2250405]	3300
34117	第三章-普通伤害	3417	30062618	100	4	[8100000]	90	[341111]	[2250508, 2250405]	3300
36311	第三章-困难刷怪	3631	30062608	100	1	[0, 30, 60]	90	[363111, 363112, 363113]	[2250508, 2250506]	3300
36312	第三章-困难刷怪	3631	30062608	100	1	[0, 30, 60]	90	[363121, 363122, 363123]	[2250508, 2250507]	3300
36321	第三章-困难刷怪-灵视保底	3632	30062622	100	1	[0, 30, 60]	90	[363211, 363212, 363213]	[2250509, 2250506, 2250507, 2250508]	3300
36322	第三章-困难刷怪-灵视保底	3632	30062622	100	1	[0, 30, 60]	90	[363221, 363222, 363223]	[2250509, 2250506, 2250508]	3300
36323	第三章-困难刷怪-灵视保底	3632	30062622	100	1	[0, 30, 60]	90	[363231, 363232, 363233]	[2250509, 2250507, 2250508]	3300
37111	第三章-困难苟命	3711	30062622	100	2	[100]	90	[371111]	[2250508, 2250506, 2250507]	3300
37112	第三章-困难苟命	3711	30062622	100	2	[100]	90	[371121]	[2250508, 2250506, 2250507]	3300
37211	第三章-困难苟命-灵视保底	3721	30062622	100	2	[100]	90	[371111]	[2250509, 2250506, 2250507, 2250508]	3300
37212	第三章-困难苟命-灵视保底	3721	30062622	100	2	[100]	90	[371121]	[2250509, 2250506, 2250507, 2250508]	3300
39111	第三章-困难伤害	3911	30062617	100	4	[3300000]	90	[391111]	[2250508, 2250506, 2250405]	3300
39112	第三章-困难伤害	3912	30062617	100	4	[4000000]	90	[391121]	[2250508, 2250507, 2250405]	3300
39113	第三章-困难伤害	3913	30062608	100	4	[4700000]	90	[391111]	[2250508, 2250506, 2250507, 2250405]	3300
39114	第三章-困难伤害	3914	30062608	100	4	[5500000]	90	[391121]	[2250508, 2250506, 2250405]	3300
39115	第三章-困难伤害	3915	30062618	100	4	[6300000]	90	[391111]	[2250508, 2250507, 2250405]	3300
39116	第三章-困难伤害	3916	30062618	100	4	[7200000]	90	[391121]	[2250508, 2250506, 2250507, 2250405]	3300
39117	第三章-困难伤害	3917	30062622	100	4	[8100000]	90	[391111]	[2250508, 2250506, 2250405]	3300
39211	第三章-困难伤害-灵视保底	3921	30062622	100	4	[3300000]	90	[391111]	[2250509, 2250506, 2250405, 2250508]	3300
39212	第三章-困难伤害-灵视保底	3922	30062622	100	4	[4000000]	90	[391121]	[2250509, 2250507, 2250405, 2250508]	3300
39213	第三章-困难伤害-灵视保底	3923	30062622	100	4	[4700000]	90	[391111]	[2250509, 2250506, 2250507, 2250405, 2250508]	3300
39214	第三章-困难伤害-灵视保底	3924	30062622	100	4	[5500000]	90	[391121]	[2250509, 2250506, 2250405, 2250508]	3300
39215	第三章-困难伤害-灵视保底	3925	30062622	100	4	[6300000]	90	[391111]	[2250509, 2250507, 2250405, 2250508]	3300
39216	第三章-困难伤害-灵视保底	3926	30062622	100	4	[7200000]	90	[391121]	[2250509, 2250506, 2250507, 2250405, 2250508]	3300
39217	第三章-困难伤害-灵视保底	3927	30062622	100	4	[8100000]	90	[391111]	[2250509, 2250506, 2250405, 2250508]	3300
41211	第四章-普通刷怪	4121	30062619	100	1	[0, 30]	90	[412111, 412112]	[2250508, 2250502]	3300
41212	第四章-普通刷怪	4121	30062619	100	1	[0, 30]	90	[412121, 412122]	[2250508, 2250503]	3300
41213	第四章-普通刷怪	4121	30062619	100	1	[0, 30]	90	[412131, 412132]	[2250508]	3300
41221	第四章-普通刷怪	4122	30062606	100	1	[0, 30]	90	[412211, 412212]	[2250508, 2250502]	3300
41222	第四章-普通刷怪	4122	30062606	100	1	[0, 30]	90	[412221, 412222]	[2250508, 2250503]	3300
41223	第四章-普通刷怪	4122	30062606	100	1	[0, 30]	90	[412231, 412232]	[2250508]	3300
41224	第四章-普通刷怪	4122	30062606	100	1	[0, 30]	90	[412241, 412242]	[2250508, 2250502]	3300
41311	第四章-普通刷怪	4131	30062610	100	1	[0, 30, 60]	90	[413111, 413112, 413113]	[2250508, 2250503]	3300
41312	第四章-普通刷怪	4131	30062610	100	1	[0, 30, 60]	90	[413121, 413122, 413123]	[2250508]	3300
41313	第四章-普通刷怪	4131	30062610	100	1	[0, 30, 60]	90	[413131, 413132, 413133]	[2250508, 2250502]	3300
41314	第四章-普通刷怪	4131	30062610	100	1	[0, 30, 60]	90	[413141, 413142, 413143]	[2250508, 2250503]	3300
43111	第四章-普通割草	4311	30062619	100	3	[20]	90	[431111]	[2250508]	3300
43112	第四章-普通割草	4311	30062619	100	3	[20]	90	[431121]	[2250508, 2250502]	3300
43113	第四章-普通割草	4311	30062619	100	3	[20]	90	[431131]	[2250508, 2250503]	3300
43114	第四章-普通割草	4311	30062606	100	3	[20]	90	[431141]	[2250508]	3300
43115	第四章-普通割草	4311	30062606	100	3	[20]	90	[431151]	[2250508, 2250502]	3300
44111	第四章-普通伤害	4411	30062619	100	4	[7300000]	90	[441111]	[2250508, 2250405]	3300
44112	第四章-普通伤害	4412	30062619	100	4	[8900000]	90	[441121]	[2250508, 2250405]	3300
44113	第四章-普通伤害	4413	30062606	100	4	[10500000]	90	[441111]	[2250508, 2250405]	3300
44114	第四章-普通伤害	4414	30062606	100	4	[12100000]	90	[441121]	[2250508, 2250405]	3300
44115	第四章-普通伤害	4415	30062610	100	4	[13700000]	90	[441111]	[2250508, 2250405]	3300
44116	第四章-普通伤害	4416	30062610	100	4	[15300000]	90	[441121]	[2250508, 2250405]	3300
46311	第四章-困难刷怪	4631	30062619	100	1	[0, 30, 60]	90	[463111, 463112, 463113]	[2250508, 2250502]	3300
46312	第四章-困难刷怪	4631	30062606	100	1	[0, 30, 60]	90	[463121, 463122, 463123]	[2250508, 2250503]	3300
46313	第四章-困难刷怪	4631	30062610	100	1	[0, 30, 60]	90	[463131, 463132, 463133]	[2250508, 2250502, 2250503]	3300
46321	第四章-困难刷怪-灵视保底	4632	30062619	100	1	[0, 30, 60]	90	[463111, 463112, 463113]	[2250509, 2250502, 2250508]	3300
46322	第四章-困难刷怪-灵视保底	4632	30062606	100	1	[0, 30, 60]	90	[463121, 463122, 463123]	[2250509, 2250503, 2250508]	3300
46323	第四章-困难刷怪-灵视保底	4632	30062610	100	1	[0, 30, 60]	90	[463131, 463132, 463133]	[2250509, 2250502, 2250503, 2250508]	3300
47111	第四章-困难苟命	4711	30062619	100	2	[100]	90	[471111]	[2250508, 2250502, 2250503]	3300
47112	第四章-困难苟命	4711	30062606	100	2	[100]	90	[471121]	[2250508, 2250502, 2250503]	3300
47211	第四章-困难苟命-灵视保底	4721	30062619	100	2	[100]	90	[471111]	[2250509, 2250502, 2250503, 2250508]	3300
47212	第四章-困难苟命-灵视保底	4721	30062606	100	2	[100]	90	[471121]	[2250509, 2250502, 2250503, 2250508]	3300
49111	第四章-困难伤害	4911	30062619	100	4	[7300000]	90	[491111]	[2250508, 2250502, 2250405]	3300
49112	第四章-困难伤害	4912	30062619	100	4	[8900000]	90	[491111]	[2250508, 2250503, 2250405]	3300
49113	第四章-困难伤害	4913	30062606	100	4	[10500000]	90	[491111]	[2250508, 2250502, 2250503, 2250405]	3300
49114	第四章-困难伤害	4914	30062606	100	4	[12100000]	90	[491111]	[2250508, 2250502, 2250405]	3300
49115	第四章-困难伤害	4915	30062610	100	4	[13700000]	90	[491111]	[2250508, 2250503, 2250405]	3300
49116	第四章-困难伤害	4916	30062610	100	4	[15300000]	90	[491111]	[2250508, 2250502, 2250503, 2250405]	3300
49211	第四章-困难伤害-灵视保底	4921	30062619	100	4	[7300000]	90	[491111]	[2250509, 2250502, 2250405, 2250508]	3300
49212	第四章-困难伤害-灵视保底	4922	30062619	100	4	[8900000]	90	[491111]	[2250509, 2250503, 2250405, 2250508]	3300
49213	第四章-困难伤害-灵视保底	4923	30062606	100	4	[10500000]	90	[491111]	[2250509, 2250502, 2250503, 2250405, 2250508]	3300
49214	第四章-困难伤害-灵视保底	4924	30062606	100	4	[12100000]	90	[491111]	[2250509, 2250502, 2250405, 2250508]	3300
49215	第四章-困难伤害-灵视保底	4925	30062610	100	4	[13700000]	90	[491111]	[2250509, 2250503, 2250405, 2250508]	3300
49216	第四章-困难伤害-灵视保底	4926	30062610	100	4	[15300000]	90	[491111]	[2250509, 2250502, 2250503, 2250405, 2250508]	3300
51311	第五章-普通刷怪	5131	30062620	100	1	[0, 30, 60]	90	[513111, 513112, 513113]	[2250508, 2250504]	3300
51312	第五章-普通刷怪	5131	30062620	100	1	[0, 30, 60]	90	[513121, 513122, 513123]	[2250508, 2250505]	3300
51313	第五章-普通刷怪	5131	30062620	100	1	[0, 30, 60]	90	[513131, 513132, 513133]	[2250508]	3300
51321	第五章-普通刷怪	5132	30062620	100	1	[0, 30, 60]	90	[513211, 513212, 513213]	[2250508, 2250504]	3300
51322	第五章-普通刷怪	5132	30062620	100	1	[0, 30, 60]	90	[513221, 513222, 513223]	[2250508, 2250505]	3300
51323	第五章-普通刷怪	5132	30062620	100	1	[0, 30, 60]	90	[513231, 513232, 513233]	[2250508]	3300
51411	第五章-普通刷怪	5141	30062620	100	1	[0, 20, 40, 60]	90	[514111, 514112, 514113, 514114]	[2250508, 2250504]	3300
51412	第五章-普通刷怪	5141	30062620	100	1	[0, 20, 40, 60]	90	[514121, 514122, 514123, 514124]	[2250508, 2250505]	3300
51413	第五章-普通刷怪	5141	30062620	100	1	[0, 20, 40, 60]	90	[514131, 514132, 514133, 514134]	[2250508]	3300
51421	第五章-普通刷怪	5142	30062620	100	1	[0, 20, 40, 60]	90	[514211, 514212, 514213, 514214]	[2250508, 2250504]	3300
51422	第五章-普通刷怪	5142	30062620	100	1	[0, 20, 40, 60]	90	[514221, 514222, 514223, 514224]	[2250508, 2250505]	3300
51423	第五章-普通刷怪	5142	30062620	100	1	[0, 20, 40, 60]	90	[514231, 514232, 514233, 514234]	[2250508]	3300
51431	第五章-普通刷怪	5143	30062607	100	1	[0, 20, 40, 60]	90	[514311, 514312, 514313, 514314]	[2250508, 2250504]	3300
51432	第五章-普通刷怪	5143	30062607	100	1	[0, 20, 40, 60]	90	[514321, 514322, 514323, 514324]	[2250508, 2250505]	3300
51433	第五章-普通刷怪	5143	30062607	100	1	[0, 20, 40, 60]	90	[514331, 514332, 514333, 514334]	[2250508]	3300
51441	第五章-普通刷怪	5144	30062607	100	1	[0, 20, 40, 60]	90	[514411, 514412, 514413, 514414]	[2250508, 2250504]	3300
51442	第五章-普通刷怪	5144	30062607	100	1	[0, 20, 40, 60]	90	[514421, 514422, 514423, 514424]	[2250508, 2250505]	3300
51443	第五章-普通刷怪	5144	30062607	100	1	[0, 20, 40, 60]	90	[514431, 514432, 514433, 514434]	[2250508]	3300
51451	第五章-普通刷怪	5145	30062607	100	1	[0, 20, 40, 60]	90	[514511, 514512, 514513, 514514]	[2250508, 2250504]	3300
51452	第五章-普通刷怪	5145	30062607	100	1	[0, 20, 40, 60]	90	[514521, 514522, 514523, 514524]	[2250508, 2250505]	3300
51453	第五章-普通刷怪	5145	30062607	100	1	[0, 20, 40, 60]	90	[514531, 514532, 514533, 514534]	[2250508]	3300
53111	第五章-普通割草	5311	30062620	100	3	[20]	90	[531111]	[2250508]	3300
53112	第五章-普通割草	5311	30062620	100	3	[20]	90	[531121]	[2250508]	3300
53113	第五章-普通割草	5311	30062620	100	3	[20]	90	[531131]	[2250508]	3300
53121	第五章-普通割草	5312	30062607	100	3	[20]	90	[531211]	[2250508]	3300
53122	第五章-普通割草	5312	30062607	100	3	[20]	90	[531221]	[2250508]	3300
53123	第五章-普通割草	5312	30062607	100	3	[20]	90	[531231]	[2250508]	3300
53131	第五章-普通割草	5313	30062607	100	3	[20]	90	[531311]	[2250508]	3300
53132	第五章-普通割草	5313	30062607	100	3	[20]	90	[531321]	[2250508]	3300
53133	第五章-普通割草	5313	30062607	100	3	[20]	90	[531331]	[2250508]	3300
53134	第五章-普通割草	5313	30062607	100	3	[20]	90	[531341]	[2250508]	3300
54111	第五章-普通伤害	5411	30062620	100	4	[11100000]	90	[541111]	[2250508, 2250504, 2250405]	3300
54112	第五章-普通伤害	5412	30062620	100	4	[13500000]	90	[541121]	[2250508, 2250505, 2250405]	3300
54113	第五章-普通伤害	5413	30062620	100	4	[15900000]	90	[541131]	[2250508, 2250405]	3300
54114	第五章-普通伤害	5414	30062607	100	4	[18200000]	90	[541111]	[2250508, 2250504, 2250405]	3300
54115	第五章-普通伤害	5415	30062607	100	4	[20600000]	90	[541121]	[2250508, 2250505, 2250405]	3300
54116	第五章-普通伤害	5416	30062607	100	4	[22900000]	90	[541131]	[2250508, 2250405]	3300
56411	第五章-困难刷怪	5641	30062620	100	1	[0, 20, 40, 60]	90	[564111, 564112, 564113, 564114]	[2250508, 2250504]	3300
56412	第五章-困难刷怪	5641	30062620	100	1	[0, 20, 40, 60]	90	[564121, 564122, 564123, 564124]	[2250508, 2250505]	3300
56413	第五章-困难刷怪	5641	30062620	100	1	[0, 20, 40, 60]	90	[564131, 564132, 564133, 564134]	[2250508, 2250504, 2250505]	3300
56421	第五章-困难刷怪-灵视保底	5642	30062607	100	1	[0, 20, 40, 60]	90	[564211, 564212, 564213, 564214]	[2250509, 2250504, 2250508]	3300
56422	第五章-困难刷怪-灵视保底	5642	30062607	100	1	[0, 20, 40, 60]	90	[564221, 564222, 564223, 564224]	[2250509, 2250505, 2250508]	3300
56423	第五章-困难刷怪-灵视保底	5642	30062607	100	1	[0, 20, 40, 60]	90	[564231, 564232, 564233, 564234]	[2250509, 2250504, 2250505, 2250508]	3300
57111	第五章-困难苟命	5711	30062620	100	2	[100]	90	[571111]	[2250508, 2250504, 2250505]	3300
57112	第五章-困难苟命	5711	30062607	100	2	[100]	90	[571121]	[2250508, 2250504, 2250505]	3300
57113	第五章-困难苟命	5711	30062607	100	2	[100]	90	[571131]	[2250508, 2250504, 2250505]	3300
57211	第五章-困难苟命-灵视保底	5721	30062620	100	2	[100]	90	[571111]	[2250509, 2250504, 2250505, 2250508]	3300
57212	第五章-困难苟命-灵视保底	5721	30062607	100	2	[100]	90	[571121]	[2250509, 2250504, 2250505, 2250508]	3300
57213	第五章-困难苟命-灵视保底	5721	30062607	100	2	[100]	90	[571131]	[2250509, 2250504, 2250505, 2250508]	3300
59111	第五章-困难伤害	5911	30062620	100	4	[11100000]	90	[591111]	[2250508, 2250504, 2250405]	3300
59112	第五章-困难伤害	5912	30062620	100	4	[13500000]	90	[591121]	[2250508, 2250505, 2250405]	3300
59113	第五章-困难伤害	5913	30062620	100	4	[15900000]	90	[591111]	[2250508, 2250504, 2250505, 2250405]	3300
59114	第五章-困难伤害	5914	30062607	100	4	[18200000]	90	[591121]	[2250508, 2250504, 2250405]	3300
59115	第五章-困难伤害	5915	30062607	100	4	[20600000]	90	[591111]	[2250508, 2250505, 2250405]	3300
59116	第五章-困难伤害	5916	30062607	100	4	[22900000]	90	[591121]	[2250508, 2250504, 2250505, 2250405]	3300
59211	第五章-困难伤害-灵视保底	5921	30062620	100	4	[11100000]	90	[591111]	[2250509, 2250504, 2250405, 2250508]	3300
59212	第五章-困难伤害-灵视保底	5922	30062620	100	4	[13500000]	90	[591121]	[2250509, 2250505, 2250405, 2250508]	3300
59213	第五章-困难伤害-灵视保底	5923	30062620	100	4	[15900000]	90	[591111]	[2250509, 2250504, 2250505, 2250405, 2250508]	3300
59214	第五章-困难伤害-灵视保底	5924	30062607	100	4	[18200000]	90	[591121]	[2250509, 2250504, 2250405, 2250508]	3300
59215	第五章-困难伤害-灵视保底	5925	30062607	100	4	[20600000]	90	[591111]	[2250509, 2250505, 2250405, 2250508]	3300
59216	第五章-困难伤害-灵视保底	5926	30062607	100	4	[22900000]	90	[591121]	[2250509, 2250504, 2250505, 2250405, 2250508]	3300
66411	第六章-困难刷怪	6641	30062621	100	1	[0, 20, 40]	90	[664111, 664112, 664113]	[2250508]	3300
66412	第六章-困难刷怪	6641	30062621	100	1	[0, 20, 40]	90	[664121, 664122, 664123]	[2250508]	3300
66413	第六章-困难刷怪	6641	30062621	100	1	[0, 20, 40]	90	[664131, 664132, 664133]	[2250508]	3300
66421	第六章-困难刷怪	6642	30062621	100	1	[0, 20, 40]	90	[664211, 664212, 664213]	[2250508]	3300
66422	第六章-困难刷怪	6642	30062621	100	1	[0, 20, 40]	90	[664221, 664222, 664223]	[2250508]	3300
66423	第六章-困难刷怪	6642	30062621	100	1	[0, 20, 40]	90	[664231, 664232, 664233]	[2250508]	3300
30081	第三章boss战-拉弥亚	3001	30062645	100	1	[0]	90	[514531]	[2250508, 2250706, 2250406, 2250764]	3300
50071	第五章boss战1-塞壬	5001	30062646	100	1	[0]	90	[514531]	[2250508, 2250707, 2250767]	3300
50072	第五章boss战1-红潮女	5002	30062647	100	1	[0]	90	[514531]	[2250508, 2250708, 2250767]	3300
60001	第六章boss战-噬月异种	6001	30062648	100	1	[0]	90	[514531]	[2250508, 2250709, 2250768]	3300
70011	事件精英战斗-管家-第一章	7001	30062640	100	1	[0]	90	[514531]	[2250508, 2250701, 2250761]	3300
70021	事件精英战斗-修女-第二章	7002	30062641	100	1	[0]	90	[514531]	[2250508, 2250702, 2250762]	3300
70031	事件精英战斗-武藏-第三章	7003	30062642	100	1	[0]	90	[514531]	[2250508, 2250703, 2250763]	3300
70041	事件精英战斗-加百列-第四章	7004	30062643	100	1	[0]	90	[514531]	[2250508, 2250704, 2250765]	3300
70051	事件精英战斗-卡穆-第五章	7005	30062644	100	1	[0]	90	[514531]	[2250508, 2250705, 2250766]	3300
70061	事件精英战斗-双鲨-第四章	7006	30062650	100	1	[0]	90	[514531]	[2250508, 2250719, 2250770]	3300
70071	事件精英战斗-白鲨-第四章	7007	30062651	100	1	[0]	90	[514531]	[2250508, 2250720, 2250771]	3300
86411	DLC新结局-第六章-毁灭1-用刷怪模板	8641	30062660	100	1	[0, 30, 60]	90	[864111, 864112, 864113]	[2250509, 2250716, 2250506, 2250507, 2250508]	3300
86421	DLC新结局-第六章-毁灭2-用刷怪模板	8642	30062661	100	1	[0, 30, 60]	90	[864211, 864212, 864213]	[2250509, 2250717, 2250506, 2250507, 2250508]	3300
86431	DLC新结局-第六章-毁灭3-用刷怪模板	8643	30062662	100	1	[0, 30, 60]	90	[864311, 864312, 864313]	[2250509, 2250718, 2250506, 2250507, 2250508]	3300
