Id	DiscountNum	DiscountRate	GroupId	ConditionId	TitleContent	RoleIcon	RoleName	RoleContent	Desc	EndDesc	EndComfirmText	BgAsset
33	1	75	[3, 1, 4, 4, 3, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
34	1	75	[1, 2, 4, 4, 2, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
41	1	75	[4, 4, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
42	1	75	[1, 2, 3, 1, 2, 3]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
43	1	75	[3, 1, 4, 4, 3, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
44	1	75	[1, 2, 4, 4, 2, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
51	1	75	[4, 4, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
52	1	75	[1, 2, 3, 1, 2, 3]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
53	1	75	[3, 1, 4, 4, 3, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
54	1	75	[1, 2, 4, 4, 2, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
61	1	75	[4, 4, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨..特卖?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	没..没想到吧…这里也能找到我..	居然还可以使用锡制姜饼购买物品	你与鲨鲨道别，现实就在前方，前进！	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
62	1	75	[1, 2, 3, 1, 2, 3]	[0, 0, 0, 0, 0, 1004036]	鲨鲨..特卖?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	没..没想到吧…这里也能找到我..	居然还可以使用锡制姜饼购买物品	你与鲨鲨道别，现实就在前方，前进！	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
63	1	75	[3, 1, 4, 4, 3, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨..特卖?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	没..没想到吧…这里也能找到我..	居然还可以使用锡制姜饼购买物品	你与鲨鲨道别，现实就在前方，前进！	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
64	1	75	[1, 2, 4, 4, 2, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨..特卖?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	没..没想到吧…这里也能找到我..	居然还可以使用锡制姜饼购买物品	你与鲨鲨道别，现实就在前方，前进！	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
15	1	75	[4, 5, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory388.png
25	1	75	[4, 5, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory361.png
35	1	75	[4, 5, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory411.jpg
45	1	75	[4, 5, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory568.jpg
55	1	75	[4, 5, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨特卖	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	欢..欢迎来到鲨鲨特卖..给我姜饼..姜饼!	可以使用锡制姜饼购买冒险的必备物品	补给完毕，你与鲨鲨道别，继续你的旅途	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory623.jpg
65	1	75	[4, 5, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨..特卖?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	没..没想到吧…这里也能找到我..	居然还可以使用锡制姜饼购买物品	你与鲨鲨道别，现实就在前方，前进！	继续旅途	Assets/Product/Texture/Image/BgStory/BgStory594.jpg
71	1	75	[4, 5, 4, 4, 4, 4]	[0, 0, 0, 0, 0, 1004036]	鲨鲨..特卖?	Assets/Product/Texture/Image/RoleStory/BiancaTheatreShashibierNormal02.png	鲨鲨	我知道..知道你想要做什么…出发前..先买点..补给吧..	居然还可以使用锡制姜饼购买物品	你与鲨鲨道别，现实就在前方，前进！	继续旅途	Assets/Product/Texture/Image/BgStory/Bgstory614.jpg
