Id	Name	Icon	SimpleDes	Des	StarLevel	AddScore	Condition	BuffIds	MutexId	TeamLimit	FightEventIds
9006	主宰	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	免疫超算效果，并且获得属性加成	免疫超算和大招的限制效果，并且获得属性加成		200	97398	[777070]			
10001	复仇	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	队友死后，获得暴走效果，但失去抗性	队友死后，获得攻击加成且攻击频率增加，但是抗变为0		150		[777054]			
10002	诅咒	Assets/Product/Texture/Image/IconAffix/AffixIconZuzhou.png	死亡后诅咒玩家，支付代价提升伤害	死亡后诅咒玩家角色，伤害提升1000%但是在10秒后就必定死亡。		150		[777055]			
10003	成长	Assets/Product/Texture/Image/IconAffix/AffixIconQianghua.png	随着时间增加伤害和降低抗性	存在队友场合，怪物每10秒钟获得5%的伤害加成，并降低10%的抗性。		100		[777057]			
10004	贯通	Assets/Product/Texture/Image/IconAffix/AffixIconGuanchuan.png	获得护盾，并且攻击将降低玩家的额外伤害减免	存在队友场合，怪物获得20%最大生命值的护盾，并且怪物的攻击会降低玩家角色3%的额外伤害减免，可叠加10层，效果持续10秒。		100		[777060]			
10005	电盾	Assets/Product/Texture/Image/IconAffix/AffixIconDiandun.png	受击有概率召唤雷电	存在队友的场合，受击时，有15%-25%的几率在攻击者的位置释放雷电，造成25%的雷属性伤害，冷却时间2.5秒，与目标距离越远，概率越高		100		[777061]			
10006	主宰	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	免疫超算效果，并且获得属性加成	免疫超算和大招的限制效果，并且获得属性加成		200	97399	[777070]			
11001	劣化	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	造成伤害时，使目标受到的治疗量减少	造成伤害时，使目标受到的治疗量减少60%，持续5秒		100		[760632]			
11002	黑洞	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	在自身位置释放吸力较强的黑洞	每隔8秒，在自身位置释放吸力较强的黑洞		100		[780413]			
11003	埋雷	Assets/Product/Texture/Image/IconAffix/AffixIconMailei.png	攻击时在目标身上留下炸弹	攻击时在目标身上留下能造成20%的物理伤害的炸弹		100		[760372]			
11004	辐射	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	持续对附近敌人造成物理伤害	持续对附近敌人造成6%的物理伤害		100		[760291]			
11005	壁垒	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	持续获得护盾	获得当前生命值15%的永久护盾。护盾存在时免疫受击状态，承受足够伤害时移除护盾，15秒后护盾会重新生效		200		[760281]			
11006	主宰	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	免疫超算效果，并且获得属性加成	免疫超算和大招的限制效果，并且获得属性加成		500	97340	[777062]			
12001	劣化	Assets/Product/Texture/Image/IconAffix/AffixIconMianshang.png	造成伤害时，使目标受到的治疗量减少	造成伤害时，使目标受到的治疗量减少60%，持续5秒		100		[760632]			
12002	黑洞	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	在自身位置释放吸力较强的黑洞	每隔8秒，在自身位置释放吸力较强的黑洞		100		[780413]			
12003	埋雷	Assets/Product/Texture/Image/IconAffix/AffixIconMailei.png	攻击时在目标身上留下炸弹	攻击时在目标身上留下能造成20%的物理伤害的炸弹		100		[760372]			
12004	辐射	Assets/Product/Texture/Image/IconAffix/AffixIconBilei.png	持续对附近敌人造成物理伤害	持续对附近敌人造成6%的物理伤害		100		[760291]			
12005	壁垒	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	持续获得护盾	获得当前生命值15%的永久护盾。护盾存在时免疫受击状态，承受足够伤害时移除护盾，15秒后护盾会重新生效		200		[760281]			
12006	主宰	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	免疫超算效果，并且获得属性加成	免疫超算和大招的限制效果，并且获得属性加成		500	97341	[777062]			
20101	识别	Assets/Product/Texture/Image/IconAffix/AffixIconZhufu.png	三消才能触发击飞	角色使用与敌人同色的三消才能将其击飞		50		[781905]			
20102	置换	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	每20秒变换一次颜色	敌人每隔20秒会更改一次自身的颜色		50		[781906]			
20103	浸染	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	敌人攻击附带染色，角色可被同色敌人击飞	敌人的攻击也会导致角色被染色，且能被同色敌人被击飞		50		[781907]			
20104	净源	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	敌人失去额外抗性，但是伤害大幅提升	敌人失去额外抗性，但是伤害大幅提升		10		[781910]			
20201	冲锋	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	专注冲刺技能	敌人专注于施展冲刺技能，如果没对应有则会变得困惑		100		[732097]	1		
20202	射击	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	专注远程技能	敌人专注于施展远程技能，如果没对应有则会变得困惑		100		[732098]	1		
20203	搏斗	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	专注近战技能	敌人专注于使用近战技能，如果没对应有则会变得困惑		100		[732099]	1		
20204	瞬击	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	瞬移接近角色	敌人每隔一段时间会闪现接近角色		50		[732085]			
20205	禁锢	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png	攻击降低移速	敌人攻击会削减角色的移速		50		[732086]			
20206	滞算	Assets/Product/Texture/Image/IconAffix/AffixIconLiejie.png	攻击削减闪避值	敌人攻击会削减角色的闪避值		50		[732087]			
20301	轰拳	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	额外击飞攻击	敌人攻击时能额外召唤拳头从地下击飞角色		100		[781915]	2		
20302	空斩	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	额外远程攻击	敌人攻击时能额外召唤剑气远程攻击角色		100		[781916]	2		
20303	追伐	Assets/Product/Texture/Image/IconAffix/AffixIconHuoyan.png	额外追踪攻击	敌人攻击时能额外召唤拳头对角色当前位置进行攻击		100		[781917]	2		
20305	破势	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png	额外攻击削减能量	敌人的额外攻击会削减角色的必杀技能量		100		[781921]			
20306	暴走	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	攻击频率增加	敌人攻击频率增加		50		[760252]			
20401	轰拳	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	额外击飞攻击	敌人攻击时能额外召唤拳头从地下击飞角色		100		[781915]	3		
20402	空斩	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	额外远程攻击	敌人攻击时能额外召唤剑气远程攻击角色		100		[781916]	3		
20403	追伐	Assets/Product/Texture/Image/IconAffix/AffixIconHuoyan.png	额外追踪攻击	敌人攻击时能额外召唤拳头对角色当前位置进行攻击		100		[781917]	3		
20405	破势	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png	额外攻击削减能量	敌人的额外攻击会削减角色的必杀技能量		100		[781921]			
20406	暴走	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	攻击频率增加	敌人攻击频率增加		50		[760253]			
20501	缚限	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png	玩家只上阵1人，敌人减抗	玩家最多上阵1个角色，敌人额外伤害减免降低50%		150		[732040]	4	1	
20502	顽抗	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	角色必杀伤害降低	角色必杀技伤害降低25%		100		[732041]	4		
20503	逆算	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	主宰且超算期间额外增伤	敌人无视超算空间效果，且在超算空间中伤害提升20%		100		[732043]	4		
20504	战狂	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	角色满暴击，但伤害减免降低至0	角色暴击率提升100%，但额外伤害减免降低至0		50		[732045]			
20505	暴走·极	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	回球速度提升，敌人获得暴走	角色信号球恢复速度提升100%，敌人攻击频率大幅提高		50		[732046]			
20506	机巧	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	角色除必杀外的伤害提升，敌人定时获得护盾	角色除必杀外的伤害提升50%，敌人每隔30秒获得5%血量护盾		50		[732048]			
20507	连闪	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	角色无限闪避，但最大生命值减少	角色的闪避值无限，但是角色最大生命值减少20%		50		[732050]			
20601	缚限	Assets/Product/Texture/Image/IconAffix/AffixIconBingdu.png	玩家只上阵1人，敌人减抗	玩家最多上阵1个角色，敌人额外伤害减免降低50%		150		[732040]	5	1	
20602	顽抗	Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png	角色必杀伤害降低	角色必杀伤害降低40%		100		[732042]	5		
20603	逆算	Assets/Product/Texture/Image/IconAffix/AffixIconShexian.png	主宰且超算期间额外增伤	敌人无视超算空间效果，且在超算空间中伤害提升50%		100		[732044]	5		
20604	战狂	Assets/Product/Texture/Image/IconAffix/AffixIconTongling.png	角色满暴击，但伤害减免降低至0	角色暴击率提升100%，但额外伤害减免降低至0		50		[732045]			
20605	暴走·极	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	回球速度提升，敌人获得暴走·极与劣化	角色信号球恢复速度提升100%，敌人获得暴走和攻击减治疗效果		50		[732047]			
20606	机巧	Assets/Product/Texture/Image/IconAffix/AffixIconDudou.png	角色除必杀外的伤害提升，敌人定时获得护盾	角色除必杀外的伤害提升50%，敌人每隔30秒获得10%血量护盾		50		[732049]			
20607	连闪	Assets/Product/Texture/Image/IconAffix/AffixIconShanxian2.png	角色无限闪避，但最大生命值减少	角色的闪避值无限，但是角色最大生命值减少50%		50		[732051]			
20701	汲能	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	丝线会吸取能量	被马德拉挂上丝线期间会被吸取大招能量		100		[781926]	6		
20702	缠丝	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33281.png	丝线会减少移速和回血	被马德拉挂上丝线期间都会减少移速和回血率		100		[781928]	6		
20703	抑止	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33123.png	丝线会降低伤害	被马德拉挂上丝线期间角色伤害减低20%		100		[781931]	6		
20704	暴走	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	攻击频率增加	敌人的攻击频率增加		50		[760252]			
20705	雷盾	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13061.png	受击时，中概率朝攻击者所处位置召雷	受击时，中概率朝攻击者所处位置召雷		50		[760352]			
20706	超荷	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22110.png	血量大幅提升，但有流血效果	敌人血量大幅提升，但会随着时间损失血量		50		[781934]			
20707	浴血	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	敌人失去额外抗性，但是伤害大幅提升	敌人失去额外抗性，但是伤害大幅提升		10		[781936]			
20801	汲能	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon10044.png	丝线会吸取能量	被马德拉挂上丝线期间会被吸取大招能量		100		[781926]	7		
20802	缠丝	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33281.png	丝线会减少移速和回血	被马德拉挂上丝线期间都会减少移速和回血率		100		[781928]	7		
20803	抑止	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33123.png	丝线会降低伤害	被马德拉挂上丝线期间角色伤害减低40%		100		[781931]	7		
20804	暴走	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou.png	攻击频率增加	敌人的攻击频率增加		50		[760253]			
20805	雷盾	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13061.png	受击时，大概率朝攻击者所处位置召雷	受击时，大概率朝攻击者所处位置召雷		50		[760353]			
20806	超荷	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22110.png	血量大幅提升，但有流血效果	敌人血量大幅提升，但会随着时间损失血量		50		[781934]			
20807	浴血	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	敌人失去额外抗性，但是伤害大幅提升	敌人失去额外抗性，但是伤害大幅提升		10		[781936]			
20901	强袭行军	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	召唤光辉行进者	召唤光辉行进者		100			8	1	
20902	荆棘之吻	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	召唤提法	召唤提法		100			8	1	
20903	猩红剑斩	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	召唤露西亚	召唤露西亚		100			8	1	
20904	灼炎暗戏	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22110.png	召唤罗兰	召唤罗兰		100			8	1	
20905	罪行惩戒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	召唤加百列	召唤加百列		100			8	1	
20906	杀意匿藏	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33123.png	召唤物会在露娜被击败后出现	召唤物会在露娜被击败后出现并攻击角色		50		[732031]			
20907	渴斗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	召唤物会更加主动发动攻击	召唤物会更加主动发动攻击		50		[732032]			
20908	迷彩	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	召唤物变成半透明	召唤物变成半透明		50		[732033]			
20909	萃能	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png	召唤物攻击会吸取必杀能量	召唤物的攻击会吸取角色较少的必杀能量		100		[732039]			
21001	强袭行军	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	召唤光辉行进者	召唤光辉行进者		100			9	1	
21002	荆棘之吻	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	召唤提法	召唤提法		100			9	1	
21003	猩红剑斩	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22110.png	召唤露西亚	召唤露西亚		100			9	1	
21004	灼炎暗戏	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	召唤罗兰	召唤罗兰		100			9	1	
21005	罪行惩戒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	召唤加百列	召唤加百列		100			9	1	
21006	杀意匿藏	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33123.png	召唤物会在露娜被击败后出现	召唤物会在露娜被击败后出现并攻击角色		50		[732031]			
21007	渴斗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13011.png	召唤物会更加主动发动攻击	召唤物会更加主动发动攻击		50		[732032]			
21008	迷彩	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33091.png	召唤物变成半透明	召唤物变成半透明		50		[732033]			
21009	萃能	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22090.png	召唤物攻击会吸取必杀能量	召唤物的攻击会吸取角色较少的必杀能量		100		[732038]			
30001	猩核爆裂	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13001.png	敌人<color=#B14722>生命增加</color>，<color=#00b48a>被攻击弱点</color>触发范围真伤	敌人<color=#B14722>生命增加20w</color>，<color=#00b48a>被攻击弱点</color>触发7.5w真伤		200					[2230110]
30002	绯红业火	Assets/Product/Texture/Image/IconAffix/AffixIconZengshangFuzhuHuo.png	敌人<color=#B14722>增伤</color>，角色攻击附带<color=#00b48a>火伤</color>	敌人<color=#B14722>增伤30%</color>，角色攻击附带<color=#00b48a>15%火伤</color>		100					[2230112]
30003	叛逆烙印	Assets/Product/Texture/Image/IconAffix/AffixIconZengshangFuzhuWuli.png	敌人<color=#B14722>增伤</color>，角色攻击附带<color=#00b48a>物理伤害</color>	敌人<color=#B14722>增伤30%</color>，角色攻击附带<color=#00b48a>15%物理伤害</color>		100					[2230113]
30004	虚空侵蚀	Assets/Product/Texture/Image/IconAffix/AffixIconZengshangFuzhuAn.png	敌人<color=#B14722>增伤</color>，角色攻击附带<color=#00b48a>暗伤</color>	敌人<color=#B14722>增伤30%</color>，角色攻击附带<color=#00b48a>15%暗伤</color>		100					[2230114]
30005	幻影代价	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33001.png	敌人<color=#B14722>增伤</color>，攻击被<color=#00b48a>闪避</color>时短暂消除，并降低抗性	敌人<color=#B14722>增伤30%</color>，攻击被<color=#00b48a>闪避</color>时短暂消除，并降低10%抗性		150					[2230116]
30006	双刃诅咒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32121.png	角色<color=#00b48a>增伤</color>，<color=#B14722>受击</color>叠加抗性降低	角色<color=#00b48a>增伤20%</color>，<color=#B14722>受击</color>时抗性降低5%，可叠加		150					[2230117]
30007	焚化协议	Assets/Product/Texture/Image/IconAffix/AffixIconZengshangXiaoyingHuo.png	敌人受到<color=#00b48a>焚烧伤害</color>增加，<color=#B14722>其他伤害</color>降低	敌人受到<color=#00b48a>焚烧伤害</color>增加30%，<color=#B14722>其他伤害</color>降低10%		150					[2230118]
30008	狂暴代价	Assets/Product/Texture/Image/IconAffix/AffixIconBaozou2.png	敌人获得<color=#B14722>暴走3</color>，角色<color=#00b48a>增伤</color>	敌人获得<color=#B14722>暴走3</color>，角色<color=#00b48a>增伤20%</color>		150					[2230119]
30009	濒死尊严	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22011.png	敌人血量越低，增加<color=#B14722>伤害</color>与<color=#B14722>抗性</color>	敌人血量每下降10%，<color=#B14722>增加伤害10%</color>，<color=#B14722>抗性5%</color>，最大4层		500					[2230120]
30010	连击共鸣	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22031.png	敌人<color=#B14722>生命增加</color>，角色攻击附加<color=#00b48a>连击</color>伤害	敌人<color=#B14722>生命增加300w</color>，角色攻击附加<color=#00b48a>连击数*30</color>的伤害		100					[2230122]
30011	噩梦增殖	Assets/Product/Texture/Image/IconAffix/AffixIconhaiqiao2.png	<color=#00b48a>所有召唤物</color>生命增加，并获得暴走3	<color=#00b48a>所有召唤物</color>生命增加20w，并获得暴走3		100					[2230123]
30012	白刃协议	Assets/Product/Texture/Image/IconAffix/AffixIconZengshangXiaoyingWuli.png	敌人受到<color=#00b48a>真意斩伤害</color>增加，<color=#B14722>其他伤害</color>降低	敌人受到<color=#00b48a>真意斩伤害</color>增加30%，<color=#B14722>其他伤害</color>降低10%		100					[2230124]
30013	从影交响	Assets/Product/Texture/Image/UiFight/FightSkillIconLure4.png	敌人<color=#B14722>增伤</color>，角色一定连击后<color=#00b48a>召唤随机单位</color>	敌人<color=#B14722>增伤25%</color>，角色每300连击后<color=#00b48a>召唤随机单位</color>		100					[2230125]
30014	混沌滋生	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon11121.png	敌方召唤物<color=#B14722>上限增加</color>，但放技能<color=#00b48a>对友方</color>造成范围伤害	敌方召唤物<color=#B14722>上限增加2</color>，但放技能<color=#00b48a>对友方</color>造成范围伤害		100					[2230147]
30015	混沌共生	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12101.png	敌方召唤物<color=#B14722>伤害增加</color>，但受伤<color=#00b48a>传导至本体</color>	敌方召唤物<color=#B14722>伤害增加25%</color>，但受伤<color=#00b48a>传导30%至本体</color>		100					[2230148]
