Id	Name	Icon	Des	StarLevel	SubScore	FightEventIds
100521	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100522	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100523	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100524	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
100525	能量强化Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	普通攻击能量额外获得3点	3	300	[51026]
100526	免伤护盾Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	每隔20秒，获得可以抵抗3次伤害的护盾	3	500	[97209]
100527	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
100621	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100622	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100623	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100624	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
100625	必杀缩减Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	在场角色每10秒，额外获得30点能量	3	300	[190123]
100626	免伤护盾Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	每隔20秒，获得可以抵抗3次伤害的护盾	3	500	[97209]
100627	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
100721	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100722	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100723	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100724	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
100725	QTE协同	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	每次三消触发QTE后，激活另一角色的QTE	1	100	[90903]
100726	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
100821	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100822	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100823	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100824	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
100825	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
100826	必杀缩减Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	在场角色每10秒，额外获得30点能量	3	300	[190123]
100827	天下无双	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	队伍成员的单消和二消将视为三消	1	800	[93344]
100921	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
100922	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
100923	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
100924	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
100925	能量强化Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13031.png	普通攻击能量额外获得3点	3	300	[51026]
100926	QTE协同	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	每次三消触发QTE后，激活另一角色的QTE	1	100	[90903]
101021	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101022	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101023	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101024	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101025	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
101026	免伤护盾Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	每隔20秒，获得可以抵抗3次伤害的护盾	3	500	[97209]
101121	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101122	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101123	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101124	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
101125	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
101126	必杀缩减Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	在场角色每10秒，额外获得30点能量	3	300	[190123]
101221	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101222	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101223	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101224	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101225	信号增幅Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔15秒将恢复2个随机信号球	2	200	[93347]
101226	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
101227	天下无双	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	队伍成员的单消和二消将视为三消	1	800	[93344]
101321	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101322	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101323	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101324	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101325	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
101326	治疗暴动	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	治疗溢出转化为200%的伤害	1	100	[93390]
101421	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101422	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101423	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101424	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101425	QTE协同	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	每次三消触发QTE后，激活另一角色的QTE	1	100	[90903]
101426	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
101427	唯我独尊	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22060.png	队伍成员连续消除同种信号球时，获得10%额外伤害加成，持续15秒，无叠加上限	1	300	[96105]
101521	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101522	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101523	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101524	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101525	信号增幅Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔15秒将恢复2个随机信号球	2	200	[93347]
101526	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
101621	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101622	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101623	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101624	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101625	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
101626	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
101627	治疗暴动	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22080.png	治疗溢出转化为200%的伤害	1	100	[93390]
101721	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101722	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101723	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101724	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101725	免伤护盾Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	每隔20秒，获得可以抵抗3次伤害的护盾	3	500	[97209]
101726	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
101727	必杀缩减Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	在场角色每10秒，额外获得30点能量	3	300	[190123]
101821	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101822	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101823	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101824	伤害减免Ⅰ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升30%	1	200	[97128]
101825	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
101826	信号增幅Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔15秒将恢复2个随机信号球	2	200	[93347]
101827	天下无双	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	队伍成员的单消和二消将视为三消	1	800	[93344]
101921	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
101922	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
101923	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
101924	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
101925	免伤护盾Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33303.png	每隔20秒，获得可以抵抗3次伤害的护盾	3	500	[97209]
101926	必杀缩减Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21073.png	在场角色每10秒，额外获得30点能量	3	300	[190123]
102021	霸体强化	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32001.png	队伍成员在本场中获得霸体	1	200	[97114]
102022	生命强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21131.png	全队成员生命值增加5000	2	200	[93307]
102023	伤害强化Ⅱ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22041.png	所有队伍成员的攻击提升80%	2	400	[96002]
102024	伤害减免Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12141.png	所有成员额外伤害减免提升60%	3	400	[97130]
102025	信号增幅Ⅲ	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21151.png	每隔10秒将恢复3个随机信号球	3	300	[93348]
102026	QTE协同	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	每次三消触发QTE后，激活另一角色的QTE	1	100	[90903]
102027	QTE治疗	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon22001.png	触发QTE后，治疗当前角色15%的最大生命值	1	300	[21131]
