Id	Name	SkipId	TimeId	BtnInitMethodName	IsRemindWhenOpen	RemindPriority	RedConditions	RedParam	TagCondition	TagOffset	TagParam	ActivityRewardIds	RewardShowTimeIds	ConstShowRewardId	ConstShowRewardClaimCondition
34	模拟作战	11752		RefreshSimulate											
35	宠物	7110		RefreshPartner											
36	2021白色情人节	80011													
37	猜拳小游戏	11753													
38	萌战	11756		RefreshMoeWar											
39	宠物抽卡系统	7212		RefreshPetCard											
40	新宠物活动	7109		RefreshPetTrial											
41	翻牌拼大小	11761		RefreshPokerGuessing											
42	骇入玩法	11758		RefreshHack											
43	推箱子	20128		RefreshRpgMaker			['CONDITION_RPG_MAKER_GAME_RED']								
44	界限构解	81104		RefreshReform			['CONDITION_REFORM_All_RED_POINT']								
45	双人同行	82001		RefreshCoupleCombat											
46	超级爬塔	20084		RefreshSuperTower											
47	夏活系列关	20088		RefreshSummerSeries											
48	杀戮空间	20083		RefreshKillZone											
49	虚像地平线	11734		RefreshExpedition											
50	三消-链合回路	82010					['CONDITION_SAMECOLOR_IS_CHALLENGE']								
51	全境特遣-全服决战	80176		RefreshAreaWar			['XRedPointConditionAreaWarActivity']		XRedPointConditionAreaWarActivityTag						
52	超限乱斗	20104		RefreshSuperSmashBros					Default						
53	教学关涂装试玩	89012		RefreshTeachingSkin					Default						
54	射击玩法	89011		RefreshMaverick					Default						
55	意识营救战	82040		RefreshMemorySave											
56	肉鸽玩法	82020		RefreshTheatre											
57	模拟经营	82050		RefreshDoomsDay											
58	独域特攻 - Sp角色	82070		RefreshPivotCombat					CONDITION_PIVOTCOMBAT_NEW_AREA_OPEN_RED_POINT						
59	限时逃脱	82080		RefreshEscape					CONDITION_ESCAPE_ACTIVITY_CHALLENGE						
60	浮点纪实-故事集	20191		RefreshFubenShortStory											
61	塔防	82100		RefreshDoubleTower											
62	副面板活动商店			RefreshFubenShortStory											
63	副面板跳转	20125		RefreshSecondActivityPanel											
64	工会战	85016	47201	RefreshGuildWar	1	2	['CONDITION_GUILDWAR_Main']								
65	矿工	20177		RefreshGoldenMiner			['CONDITION_GOLDEN_MINER_REWARD']		Default						
66	春节七关	83010		RefreshNormal											
67	音游小游戏	84010		RefreshTaiKoMaster					CONDITION_ACTIVITY_TAIKO_MASTER_CD_UNLOCK						
68	多维挑战	84020		RefreshMultiDim											
69	活动剧情	20147		RefreshActivityFestival											
70	拟真围剿	84040		RefreshGuildBoss											
71	正逆塔-心象风景	85013		RefreshTwoSideTower					CONDITION_TWO_SIDE_TOWER_NEW_CHAPTER						
72	特训关	11727		RefreshActivitySpecialTrain											
73	七夕活动	11761		RefreshActivityFestival											
74	肉鸽2.0（厄愿潮声）	85015		RefreshBiancaTheatre											
75	中秋活动剧情	20166		RefreshActivityFestival											
76	本我回廊	11772		RefreshActivityCharacterTower											
77	战双大秘境	80201		RefreshActivityRift			['CONDITION_RIFT_ENTRANCE']								
78	调色板战争	88004		RefreshColorTable											
79	光辉同行	89001		RefreshBrilliantWalk											
80	意识公约	11775		RefreshFubenAwareness											
81	战双厨房	89008		RefreshRestaurant											
82	特训关	89007		RefreshActivitySpecialTrain					Default						
83	节日剧情	90024		RefreshActivityFestival			['CONDITION_ACTIVITY_FESTIVAL_DMC']	15010306							
84	情人节	89013		RefreshNormal					CONDITION_MAZE_FIRST_TIME						
85	星星环游记	89015		RefreshPlanetRunning					CONDITION_PLANET_RUNNING_NEW_CHAPTER						
86	BVB	89016		RefreshMonsterCombat					CONDITION_MONSTER_COMBAT_NEW_CHAPTER						
87	三头犬-余尘三重奏	89018		RefreshNormal											
88	超限连战	89023		RefreshTransfinite											
89	肉鸽3.0	89027		RefreshTheatre3											
90	黑岩国际战旗	89028		RefreshNormal			['CONDITION_BLACK_ROCK_CHESS_ENTRANCE']								
91	九龙一商	89044		RefreshNormal			['CONDITION_ROGUESIM_ACTIVITY']								
92	2.9主线活动特殊配置-隐藏关	511		RefreshActivityMainLine			['CONDITION_MAINLINE_CHAPTER_REWARD']								
94	涂装试玩关合体版	10035		RefreshFubenActivityTrial					CONDITION_NEWCHARACT_SKIP_TRIAL						
95	魔方弹跳乐	89045					['CONDITION_DLC_CASUAL_ACTIVITY']								
96	隐藏剧情	510		RefreshActivityMainLine											
97	土耳其方块	89049					['CONDITION_FANGKUAI_MAIN']		CONDITION_FANGKUAI_CHALLENGE						
98	言灵	89050					['CONDITION_KOTODAMA_MAIN']		CONDITION_KOTODAMA_NO_PASS_ALLSTAGE						
99	庙会	89052		RefreshNormal			['CONDITION_TEMPLE_MAIN']		CONDITION_TEMPLE_CHALLENGE						
100	战双工艺	89058					['CONDITION_LINKCRAFT_MAIN']								
101	卧猫藏鼠	89057					['CONDITION_DLC_MOUSE_HUNTER_ACTIVITY']								
102	拉弥亚涂装试玩关	10035		RefreshFubenActivityTrial					CONDITION_NEWCHARACT_SKIP_TRIAL		107				
103	万事大连线	89062					['CONDITION_LINE_ARITHMETIC']								
104	效应玩法	89063					['CONDITION_MECHANISM_MAIN']								
105	涂装剧情	89065					['CONDITION_FASHION_STORY_ENTRANCE']								
106	评分玩法	89061					['CONDITION_BOSS_INSHOT']								
107	新高难	89073					['CONDITION_SUCCEED_BOSS']								
108	数据演习活动	89071					['CONDITION_SIMULATE_TRAIN']								
109	逛街玩法	89074					['CONDITION_TEMPLE2']								
110	背包整理	90020					['CONDITION_BAGORGANIZE_ANY']								
111	2048	89075					['CONDITION_GAME2048_MAIN']								
112	FPS	89079					['CONDITION_FPSGAME_MAIN']								
113	精选关	90010					['CONDITION_STAGE_MEMORY']								
114	露娜卡池皮	80203													
115	异构阵线·绝境先锋	90011					['CONDITION_MAVERICK3_MAIN']								
116	幸运房东	90014					['CONDITION_LUCKY_TENANT2']								
117	可肝角色卡池	20239					['CONDITION_GACHACANLIVER_MAIN']								
118	拟像试炼	89061					['CONDITION_BOSS_INSHOT']								
119	打牌	90016					['CONDITION_PCG_ACTIVITY']								
120	情人节	90018					['CONDITION_POKER_GUESSING2']								
121	新矿区	89091					['CONDITION_SCORETOWER_MAIN']								
122	吃豆人	90025					['CONDITION_PACMAN2_NEW_STAGE']								
123	肉鸽5	89092					['CONDITION_THEATRE5_PVP_NEW_ACTIVITY']								
124	3.6下半主线活动	526		RefreshActivityMainLine2											
125	全系回溯加料	89093	47401		1	8	['CONDITION_BOUNTY_CHALLENGE']								
126	作战覆写	89094					['CONDITION_SOLO_REFORM_MAIN', 'CONDITION_SOLO_REFORM_CHALLENGE_TASK']								
133	赌马	89100					['CONDITION_RACE_MAIN']								
134	周年面板	89047					['CONDITION_ANNIVERSARY_REPEATCHALLENGE', 'CONDITION_ANNIVERSARY_DRAW', 'CONDITION_SUMMER_SIGNIN_ACTIVITY']								
135	空花2.0	89076	47002		1	10	['CONDITION_BIG_WORLD_SKY_GARDEN_ENTRANCE']								
136	空花预热签到	90058					['CONDITION_RADIO_SIGN']								
137	relink	90047					['CONDITION_DLC_RELINK_MAIN']								
138	卡池皮肤试玩	20363	47911		1	7									
139	情人节打牌	90018					['CONDITION_POKER_GUESSING2']								
140	勤务商店	90055													
141	勤务任务	90057					['CONDITION_TASK_CANLIVER']								
142	肉鸽4	89090													
143	大好感	20362	47801		1	4	['CONDITION_FAVORABILITY_STORY_GIFT_TASK']								
144	战双兄弟	1300635					['CONDITION_PBRGAME_MAIN']								
145	小游戏合集	1300640	47501		1	9									
146	肉鸽6	89102	47121		1	11									
