Id	TemplateId	Count	Params
900590	50005	50	
900591	90030	1	
900592	1	50000	
900600	50005	125	
900601	90030	2	
900602	1	100000	
900610	50005	250	
900620	50005	50	
900621	90030	2	
900630	50003	100	
900631	96004	1	
900640	90030	2	
900641	31204	5	
900642	1	100000	
900650	50005	250	
900660	3	75	
900661	90030	1	
900662	1	50000	
900670	50005	250	
900680	50005	50	
900681	50003	50	
900690	3	750	
900700	50005	250	
900710	50005	250	
900711	90030	2	
900712	1	100000	
900720	50005	50	
900721	50003	50	
900730	50005	250	
900740	3	750	
900750	50005	250	
900751	90030	2	
900752	1	100000	
900760	50005	250	
900761	90030	2	
900770	50005	250	
900771	90030	2	
900780	3	100	
900781	90030	2	
900790	50005	250	
900800	50005	250	
900810	50005	100	
900811	50003	100	
900820	50005	250	
900830	50005	100	
900831	90030	2	
900840	50005	250	
900850	50005	100	
900851	50003	100	
900860	50005	250	
900861	90030	2	
900862	1	100000	
900870	50005	120	
900880	50005	250	
900890	50005	250	
900891	90030	2	
900892	1	100000	
900900	50005	250	
900910	50005	250	
900911	90030	2	
900912	1	100000	
900920	3	750	
900930	50012	250	
900940	50005	250	
900941	90030	2	
900942	1	100000	
900950	50005	250	
900960	50005	250	
900961	90030	2	
900962	1	100000	
900970	50005	250	
900980	50005	250	
900981	90030	2	
900982	1	100000	
900990	50005	250	
900991	90030	2	
900992	1	100000	
901000	50005	120	
901010	50005	250	
901011	90030	2	
901012	1	100000	
901020	50005	250	
901021	90030	2	
901022	1	100000	
901030	50005	120	
901040	50005	250	
901050	50005	250	
901051	90030	2	
901052	1	100000	
901060	50005	250	
901070	50005	250	
901071	90030	2	
901072	1	100000	
901080	50005	250	
901090	50005	250	
901091	90030	2	
901092	1	100000	
901100	50005	250	
901101	90030	1	
901110	50005	120	
901120	50005	250	
901121	90030	1	
901130	50005	250	
901131	90030	1	
901140	50005	250	
901141	90030	1	
901150	50005	120	
901160	50005	250	
901161	90030	1	
901170	50005	250	
901171	90030	1	
901180	50005	250	
901181	90030	1	
901190	50005	120	
901200	50005	250	
901201	90030	1	
901210	50005	120	
901220	50005	250	
901221	90030	1	
901230	50005	250	
901231	90030	1	
901240	50014	250	
901241	90030	1	
901250	50005	250	
901251	90030	1	
901260	50005	250	
901261	90030	1	
901270	50005	120	
901280	50005	250	
901281	90030	1	
901290	50005	120	
901300	50005	250	
901301	90030	1	
901310	50005	250	
901311	90030	1	
901320	50005	250	
901321	90030	1	
901330	50005	120	
901340	50005	250	
901341	90030	1	
901350	50005	250	
901351	90030	1	
901360	50005	250	
901361	90030	1	
901370	50005	120	
3702000	1	100000	
3702010	1	80000	
3702020	1	60000	
3702030	1	40000	
3702040	1	20000	
3702001	70001	48	
3702011	70001	45	
3702021	70001	42	
3702031	70001	39	
3702041	70001	36	
3702002	70002	8	
3702012	70002	7	
3702022	70002	7	
3702032	70002	6	
3702042	70002	6	
3702003	13005202	1	
3702013	13005201	1	
3702023	13005200	1	
4010001	40693	1	
4010002	40693	1	
4010003	40693	1	
4010004	40693	1	
4010005	40693	1	
4010006	40693	1	
4010007	40693	2	
4010008	40693	2	
4010009	40693	2	
4010010	40693	2	
4010011	40693	2	
4010012	40693	2	
4010013	40693	3	
4010014	40693	3	
4010015	40693	3	
4010016	40693	3	
4010017	40693	3	
4010018	40693	3	
4010019	40693	4	
4010020	40693	4	
4010021	40693	4	
4010022	40693	4	
4010023	40693	4	
4010024	40693	4	
4010025	40693	5	
4010026	40693	5	
4010027	40693	5	
4010028	40693	5	
4010029	40693	5	
4010030	40693	5	
4010031	40693	6	
4010032	40693	6	
4010033	40693	6	
4010034	40693	6	
4010035	40693	6	
4010036	40693	6	
4010037	40693	7	
4010038	40693	7	
4010039	40693	7	
4010040	40693	7	
4010041	40693	7	
4010042	40693	7	
4010043	40693	8	
4010044	40693	8	
4010045	40693	8	
4010046	40693	8	
4010047	40693	8	
4010048	40693	8	
4010049	40693	9	
4010050	40693	9	
4010051	40693	9	
4010052	40693	9	
4010053	40693	9	
4010054	40693	9	
4010055	40693	10	
4010056	40693	10	
4010057	40693	10	
4010058	40693	10	
4010059	40693	10	
4010060	40693	10	
4010061	40693	11	
4010062	40693	11	
4010063	40693	11	
4010064	40693	11	
4010065	40693	11	
4010066	40693	11	
4010067	40693	12	
4010068	40693	12	
4010069	40693	12	
4010070	40693	12	
4010071	40693	12	
4010072	40693	12	
4010073	40693	13	
4010074	40693	13	
4010075	40693	13	
4010076	40693	13	
4010077	40693	13	
4010078	40693	13	
4010079	40693	14	
4010080	40693	14	
4010081	40693	14	
4010082	40693	14	
4010083	40693	14	
4010084	40693	14	
4010085	40693	15	
4010086	40693	15	
4010087	40693	15	
4010088	40693	15	
4010089	40693	15	
4010090	40693	15	
4010091	40693	16	
4010092	40693	16	
4010093	40693	16	
4010094	40693	16	
4010095	40693	16	
4010096	40693	16	
4010097	40693	17	
4010098	40693	17	
4010099	40693	17	
4010100	40693	17	
4010101	40693	17	
4010102	40693	17	
4010103	40693	18	
4010104	40693	18	
4010105	40693	18	
4010106	40693	18	
4010107	40693	18	
4010108	40693	18	
4011001	40691	1	
4011002	40691	1	
4011003	40691	1	
4011004	40691	2	
4011005	40691	2	
4011006	40691	3	
4011007	40691	4	
4011008	40691	4	
4011009	40691	4	
4011010	40691	5	
4011011	40691	5	
4011012	40691	6	
4011013	40691	7	
4011014	40691	7	
4011015	40691	7	
4011016	40691	8	
4011017	40691	8	
4011018	40691	9	
4011019	40691	10	
4011020	40691	10	
4011021	40691	10	
4011022	40691	11	
4011023	40691	11	
4011024	40691	12	
4011025	40691	13	
4011026	40691	13	
4011027	40691	13	
4011028	40691	14	
4011029	40691	14	
4011030	40691	15	
4011031	40691	16	
4011032	40691	16	
4011033	40691	16	
4011034	40691	17	
4011035	40691	17	
4011036	40691	18	
4011037	40691	19	
4011038	40691	19	
4011039	40691	19	
4011040	40692	10	
4011041	40692	10	
4011042	40692	11	
4011043	40692	11	
4011044	40692	11	
4011045	40692	11	
4011046	40692	12	
4011047	40692	12	
4011048	40692	13	
4011049	40692	13	
4011050	40692	13	
4011051	40692	13	
4011052	40692	14	
4011053	40692	14	
4011054	40692	15	
4011055	40692	15	
4011056	40692	15	
4011057	40692	15	
4011058	40692	16	
4011059	40692	16	
4011060	40692	17	
4011061	40692	17	
4011062	40692	17	
4011063	40692	17	
4011064	40692	18	
4011065	40692	18	
4011066	40692	19	
4011067	40692	19	
4011068	40692	19	
4011069	40692	19	
4011070	40692	20	
4011071	40692	20	
4011072	40692	21	
4011073	40692	21	
4011074	40692	21	
4011075	40692	21	
4011076	40692	22	
4011077	40692	22	
4011078	40692	23	
4011079	40692	23	
4011080	40692	23	
4011081	40692	23	
4011082	40692	24	
4011083	40692	24	
4011084	40692	25	
4011085	40692	25	
4011086	40692	25	
4011087	40692	25	
4011088	40692	26	
4011089	40692	26	
4011090	40692	27	
4011091	40692	27	
4011092	40692	27	
4011093	40692	27	
4011094	40692	28	
4011095	40692	28	
4011096	40692	29	
4011097	40692	29	
4011098	40692	29	
4011099	40692	29	
4011100	40692	30	
4011101	40692	30	
4011102	40692	31	
4011103	40692	31	
4011104	40692	31	
4011105	40692	31	
4011106	40692	32	
4011107	40692	32	
4011108	40692	33	
40	9090001	1	
41	50000	500	
42	12	20	
43	1	100000	
60	6510104	1	
100	50000	200	
101	50000	300	
200	40684	2	
201	30014	1	
202	90040	4	
210	40800	1	
211	90002	1	
212	10062	1	
213	40803	1	
214	90030	1	
215	1	100000	
216	40802	1	
217	90002	1	
218	10063	1	
219	40805	2	
220	90030	1	
221	1	100000	
222	40804	1	
223	90002	1	
234	10064	1	
235	40806	1	
236	40807	2	
237	90030	1	
238	1	100000	
239	90030	1	
240	10065	1	
241	40808	1	
242	40809	13	
243	90030	1	
244	1	100000	
245	90030	1	
246	10066	1	
5200000	9090008	1	
5200010	9090009	1	
5200020	9090010	1	
5200030	9090011	1	
5200040	9090012	1	
5200050	9090013	1	
5200100	50000	1000	
180010	201	5	
180020	201	4	
180030	201	3	
180040	201	2	
180050	201	1	
180060	201	1	
180011	3	150	
180021	3	125	
180031	3	100	
180041	3	75	
180051	3	50	
180061	3	25	
180012	70002	12	
180022	70002	12	
180032	70002	12	
180042	70002	12	
180052	70002	12	
180062	70002	12	
180013	70001	72	
180023	70001	72	
180033	70001	72	
180043	70001	72	
180053	70001	72	
180063	70001	72	
190001	62901	120	
5200101	4	30	
5200102	4	30	
5200103	29	50	
5200104	70002	5	
5200105	70001	30	
5200106	17050101	1	
190002	62901	240	
190003	3	50	
190004	3	50	
