Id	Icon	CircularIcon	LineTips	LineRoundWin	LineRoundLose	LineRoundDraw	LineGameWin	LineGameLose	LineChangeSelfCard	LineChangeEnemyCard	Order	EmojiRoundWin	EmojiRoundLose	EmojiRoundDraw	EmojiGameWin	EmojiGameLose	EmojiChangeSelfCard	EmojiChangeEnemyCard	ChangeCardIcon
1111002	Assets/Product/Texture/Image/RoleStory/R2SufeiyaNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3.png	根据计算，对方下一张牌是<color=#FFCB60>%s</color>。	['很快，就能赢下。', '耶（无表情）。']	['输了……']		['赢了，会有报酬吗？', '胜利。']	['我想……再来一次。']			11						['Assets/Product/Texture/Image/IconExpression/IconExpressA47.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA47.png']	Assets/Product/Texture/Image/IconTools/ItGift0310.png
1121003	Assets/Product/Texture/Image/RoleStory/R3kuluomuNormal02.png	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3.png	综合分析下来，对面出<color=#FFCB60>%s</color>的可能性最大。	['很出色的表现。']	['......有些遗憾。']		['很荣幸见证你的胜利时刻，指挥官。', '这是属于我们共同的荣光。']	['我们不会重蹈覆辙。']			12	['Assets/Product/Texture/Image/IconExpression/IconExpressA48.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA48.png']			['Assets/Product/Texture/Image/IconExpression/IconExpressA58.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA48.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA48.png']	Assets/Product/Texture/Image/IconTools/ItGift0311.png
1131002	Assets/Product/Texture/Image/RoleStory/V3400wlNormal12.png	Assets/Product/Texture/Image/Role/RoleHeadR4Weila2.png	对面是<color=#FFCB60>%s</color>，对，我说它是什么牌，它就一定是。	['看对手破防挺有意思的。', '更大的胜利还在后面。']	['爬起来继续打，必须赢下一局！']		['我早就说过你会赢。', '做得好，想要奖励么？']	['棘手的敌人……太好了。']			13	['Assets/Product/Texture/Image/IconExpression/IconExpressA60.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA271.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA253.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA60.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA231.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA256.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA50.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA271.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA277.png']	Assets/Product/Texture/Image/IconTools/ItGift0312.png
1171004	Assets/Product/Texture/Image/RoleStory/V2110lnNormal06.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luna2.png	下一张是<color=#FFCB60>%s</color>。不，没有使用代行者的能力，我猜的。所以，你要信么？	['嗯，不错。', '赢了啊，恭喜。']	['没关系，我相信你已经有了解法。']		['这是属于你的胜利。', '很有趣的对局。']	['可以多依赖我一点，不是吗？']			14	['Assets/Product/Texture/Image/IconExpression/IconExpressA180.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA181.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA55.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA122.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA182.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA172.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA183.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA183.png']	Assets/Product/Texture/Image/IconTools/ItGift0317.png
1511003	Assets/Product/Texture/Image/RoleStory/R2KamuNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadKamu3.png	怎么想对手下一步都应该会出<color=#FFCB60>%s</color>吧。	['你还挺有两下子的。']	['不是什么大不了的事，别哭丧着脸啊。']		['赢了的感觉果然会让人心情大好。', '来击掌庆祝一下？']	['......可恶，再来！']			15					['Assets/Product/Texture/Image/IconExpression/IconExpressA51.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA51.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA51.png']	Assets/Product/Texture/Image/IconTools/ItGift0313.png
1141003	Assets/Product/Texture/Image/RoleStory/V4200LuosaitaNormal05.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luosaita2.png	我来推测的话，对面的牌是<color=#FFCB60>%s</color>。	['真是高兴。', '看起来，你斗志满满。']	['还有下一次机会。']		['我也能感觉到指挥官的喜悦。', '指挥官果然运气很好呢。']	['请休息一下再继续。']			16		['Assets/Product/Texture/Image/IconExpression/IconExpressA52.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA52.png']			['Assets/Product/Texture/Image/IconExpression/IconExpressA52.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA52.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA52.png']	Assets/Product/Texture/Image/IconTools/ItGift0314.png
1521004	Assets/Product/Texture/Image/RoleStory/V290qNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR3Qu2.png	兵以计为本，故多算胜少算。下一张牌是<color=#FFCB60>%s</color>。	['呵，无趣。', '希望接下来，能更有难度。']	['一着不慎，满盘皆输……']		['胜无定在，致胜在人，你的策略很不错。', '意料之内。']	['胜可知，而不可为。']			17	['Assets/Product/Texture/Image/IconExpression/IconExpressA164.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA53.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA168.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA168.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA168.png']	Assets/Product/Texture/Image/IconTools/ItGift0315.png
1161002	Assets/Product/Texture/Image/RoleStory/ChangyuNormal03.png	Assets/Product/Texture/Image/Role/RoleHeadChangyu3.png	我知道了，对面的牌应该是<color=#FFCB60>%s</color>！	['拿下一城！', '运气很好！']	['没事儿，再来！']		['我就知道你能赢~', '哈哈，赢啦！']	['胜败乃兵家常事。']			18						['Assets/Product/Texture/Image/IconExpression/IconExpressA54.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA54.png']	Assets/Product/Texture/Image/IconTools/ItGift0316.png
1211003	Assets/Product/Texture/Image/RoleStory/V2140wssNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi2.png	对面的牌应该是<color=#FFCB60>%s</color>吧，我的直觉。	['看来好运落在了我们这一方。', '需要给你一颗糖作为胜利的奖励吗？']	['不顺心的事......睡一觉起来或许就能忘记了。']		['获胜之后就可以安心休息了，对吧？', '嗯，很棒的表现，值得夸奖。']	['那就比之前再认真一些吧，我们再来一次。']			19	['Assets/Product/Texture/Image/IconExpression/IconExpressA199.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA204.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA203.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA24.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA278.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA201.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA56.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA56.png']	Assets/Product/Texture/Image/IconTools/ItGift0319.png
1531005	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2Sai.png	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna2.png	虽然还不是很熟悉这个游戏……但我推测，应该是<color=#FFCB60>%s</color>。	['真是华丽的一手，指挥。', '在你的带领下，我也好像逐渐掌握了主律。']	['稳住步调。']		['胜利的褒奖……就由我来送上一曲，如何？', '很高兴能跟你分享胜利的余韵。']	['再复奏一次吧，指挥。']			20	['Assets/Product/Texture/Image/IconExpression/IconExpressA63.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA234.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA237.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA237.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA236.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA238.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA236.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA236.png']	Assets/Product/Texture/Image/IconTools/ItGift0320.png
1221003	Assets/Product/Texture/Image/RoleStory/V23021Normal01.png	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2.png	21号猜……对面要出<color=#FFCB60>%s</color>！	['击掌……庆祝！', '很好，这个好玩。']	['21号还不想认输。']		['胜利了！', '嘿咻，赢了……']	['……再来！']			21	['Assets/Product/Texture/Image/IconExpression/IconExpressA131.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA59.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA134.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA59.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA131.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA134.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA130.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA134.png']	Assets/Product/Texture/Image/IconTools/ItGift0321.png
1541003	Assets/Product/Texture/Image/RoleStory/LuolanNormal04.png	Assets/Product/Texture/Image/Role/RoleHeadLuolan3.png	告诉你一个小惊喜——对方的牌是<color=#FFCB60>%s</color>哦。	['完美的开幕演出。', '一出好戏。']	['令人唏嘘的结局。']		['接受属于胜者的喝彩吧。', '鲜花掌声都已经为你准备好了。']	['不必灰心，重新布局就好。']			22					['Assets/Product/Texture/Image/IconExpression/IconExpressA61.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA61.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA61.png']	Assets/Product/Texture/Image/IconTools/ItGift0322.png
1551003	Assets/Product/Texture/Image/RoleStory/PulaoNormal04.png	Assets/Product/Texture/Image/Role/RoleHeadPulao3.png	对面的牌肯定是<color=#FFCB60>%s</color>，一定不会错的啦！	['得分了！开心~！', '继续继续！']	['怎么会输呢……']		['哇，赢了赢了！', '我就知道指挥官是最棒的！']	['我可不会认输！']			23	['Assets/Product/Texture/Image/IconExpression/IconExpressA166.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA195.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA171.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA195.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA171.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA171.png']	Assets/Product/Texture/Image/IconTools/ItGift0323.png
1561003	Assets/Product/Texture/Image/RoleStory/HakamaNormal04.png	Assets/Product/Texture/Image/Role/RoleHeadHakama3.png	数据预测中，对方会出<color=#FFCB60>%s</color>。	['第一阶段进度已达成。', '正在高兴中。']	['需要重新解析对局。']		['本次胜利已全程记录，恭喜您。', '预测准确，完全符合胜率，指挥官。']	['请求再次运行对局。']			24				['Assets/Product/Texture/Image/IconExpression/IconExpressA84.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA84.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA84.png']	Assets/Product/Texture/Image/IconTools/ItGift0324.png
1571003	Assets/Product/Texture/Image/RoleStory/NuoanNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadNuoan3.png	我猜下一张应该是<color=#FFCB60>%s</color>。	['我们已经点亮了第一盏灯。', '做得很好，下一步应该怎么走？']	['别担心，我会和你并肩作战。']		['故事迎来圆满的结局。', '很了不起。']	['我们一起继续进步。']			25	['Assets/Product/Texture/Image/IconExpression/IconExpressA94.png']					['Assets/Product/Texture/Image/IconExpression/IconExpressA92.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA92.png']	Assets/Product/Texture/Image/IconTools/ItGift0325.png
1231002	Assets/Product/Texture/Image/UiPokerGuessing2/UiPokerGuessing2Bangbi.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bangbinata2.png	嗯，邦比娜塔觉得，对面应该会出<color=#FFCB60>%s</color>。	['很厉害，指挥官。', '邦比娜塔还可以继续。']	['邦比娜塔会好好反省……']		['胜利了，邦比娜塔很高兴。', '命令已经达成了。']	['还可以再来吗？']			26		['Assets/Product/Texture/Image/IconExpression/IconExpressA101.png']			['Assets/Product/Texture/Image/IconExpression/IconExpressA101.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA128.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA128.png']	Assets/Product/Texture/Image/IconTools/ItGift0326.png
1241003	Assets/Product/Texture/Image/RoleStory/V2130hyNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR3Hanying2.png	弈之为术，在人自悟。此时有些感悟，我猜下一张牌会是<color=#FFCB60>%s</color>。	['胜天半子。', '保持现在的状态吧。']	['再接再厉。']		['清风已捎来喜悦。', '旗开得胜。']	['不要灰心，我们再试一次。']			27	['Assets/Product/Texture/Image/IconExpression/IconExpressA197.png']			['Assets/Product/Texture/Image/IconExpression/IconExpressA197.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA127.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA127.png']	Assets/Product/Texture/Image/IconTools/ItGift0327.png
1251002	Assets/Product/Texture/Image/RoleStory/V240nktNormal06.png	Assets/Product/Texture/Image/Role/RoleHeadR2Nuoketi2.png	交给我，对面要出的肯定是<color=#FFCB60>%s</color>！	['好！乘胜追击！', '很好，趁着势头！']	['运气不好而已，别把本大爷看扁了！']		['哈哈， 我们赢啦！', '本大爷果然没看走眼~']	['小问题，本大爷要接着来。']			28	['Assets/Product/Texture/Image/IconExpression/IconExpressA140.png']			['Assets/Product/Texture/Image/IconExpression/IconExpressA140.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA141.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA141.png']	Assets/Product/Texture/Image/IconTools/ItGift0328.png
1261003	Assets/Product/Texture/Image/RoleStory/V250ylsNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR3Yalisha2.png	不会错，对方的牌是<color=#FFCB60>%s</color>，我确定。	['已经迈出了胜利的一步。', '向着终局的胜利继续吧。']	['没关系，我还能继续。']		['今天你果然也是赢家。', '这局赢得很轻松。']	['需要重塑秩序了。']			29	['Assets/Product/Texture/Image/IconExpression/IconExpressA146.png']			['Assets/Product/Texture/Image/IconExpression/IconExpressA147.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA142.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA142.png']	Assets/Product/Texture/Image/IconTools/ItGift0329.png
1271003	Assets/Product/Texture/Image/RoleStory/V260lmyNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2.png	对面的牌可能是<color=#FFCB60>%s</color>，只是随口一猜，错了也不要怪我……	['难道你是打牌高手？', '难道我是猜牌高手？']	['可不要怪我！我刚刚已经发表免责声明了！']		['嗯，除了强运，我也很相信你的实力！', '突然感觉我也行，我也想上场。']	['真的还、还要再玩吗？']			30	['Assets/Product/Texture/Image/IconExpression/IconExpressA152.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA148.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA154.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA148.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA153.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA153.png']	Assets/Product/Texture/Image/IconTools/ItGift0330.png
1291002	Assets/Product/Texture/Image/RoleStory/V4100boxNormal08.png	Assets/Product/Texture/Image/Role/RoleHeadR3Buouxiong2.png	你是故意来考验我的吗？下一张是<color=#FFCB60>%s</color>，对吧~	['简简单单。', '看来轮不到我出手了。']	['怎么回事，程序哪里出现漏洞了吗？']		['不出所料，一下子就通关了。', '辛苦了，奖励你一杯红茶。']	['别忘了使用场外援助，我一直都在。']			31						['Assets/Product/Texture/Image/IconExpression/IconExpressA170.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA170.png']	Assets/Product/Texture/Image/IconTools/ItGift0332.png
1301002	Assets/Product/Texture/Image/RoleStory/V2120bljtNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bulijite2.png	这种情况…对面会出<color=#FFCB60>%s</color>！指挥官的选择是？	['旗开得胜！', '不愧是指挥官，判断力真准！']	['可不能气馁啊！']		['任务圆满完成！', '指挥官果然是常胜将军！']	['我看好指挥官~再来一次！']			32	['Assets/Product/Texture/Image/IconExpression/IconExpressA189.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA190.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA189.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA188.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA188.png']	Assets/Product/Texture/Image/IconTools/ItGift0333.png
1311002	Assets/Product/Texture/Image/RoleStory/V2160bqNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi2.png	对面会是<color=#FFCB60>%s</color>，你问为什么？修炼的结果。	['拿下一局，哼哼。', '最佳状态，继续吧。']	['该认真一点了。']		['我也为你开心。', '修炼果然没浪费。']	['下次再努力。']			33	['Assets/Product/Texture/Image/IconExpression/IconExpressA214.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA211.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA214.png']		['Assets/Product/Texture/Image/IconExpression/IconExpressA212.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA212.png']	Assets/Product/Texture/Image/IconTools/ItGift0334.png
