Id	Name	Describe	Icon	ConditionId	Cost	IsSpecial	SearchGuildBgIcon	GuildMessageBgIcon	GuildRankBgIcon	NewGuildRoomBg	OldGuildRoomBg	GuildHeadPortraitBg	CreateGuildBg
15	九龙商会	使用【九龙商会】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace9.png	890020		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
16	空花军方	使用【空花军方】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace18.png	890004	6000	True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
17	虹莺小队	使用【虹莺小队】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace19.png	890020		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
18	遗忘者	使用【遗忘者】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace20.png	890020		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
19	机械教会	使用【机械教会】的代表徽记作为联合指挥局的头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace21.png	890005	6000	True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg01.png
20	鲨士碧儿·镀金版	艺术协会特别定制的镀金头像，“鲨士碧儿大人太酷啦~又是被鲨士碧儿大人力量臣服的一天~”来自某位构造体的肯定。	Assets/Product/Texture/Image/UiGuild/UiGuildFace22.png	890006	9000	True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png
21	鲨士碧儿·水彩版	艺术协会特别定制的日常头像，“鲨士碧儿太可爱啦~好想摸摸它的头~”来自某位艺术协会成员的肯定。	Assets/Product/Texture/Image/UiGuild/UiGuildFace23.png	890007	9000	True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png
22	康城风车	康斯塔雷耶最具代表性的建筑，登上顶可以一览全城风光景色。	Assets/Product/Texture/Image/UiGuild/UiGuildFace24.png	890008	9000	True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png
23	漫花清夏	购买【漫花清夏】指挥局场景后可获得指挥局专属头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace25.png	890022		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png
24	鲸律星屿	购买【鲸律星屿】指挥局场景后可获得指挥局专属头像	Assets/Product/Texture/Image/UiGuild/UiGuildFace26.png	890023		True	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png	Assets/Product/Texture/Image/UiGuild/UiGuildFaceBg00.png
