Id	Type	ShowType	Title	Img	OpenStoryLineContentId	ShowConditionId	ConnectClueIds	LockDesc	UnlockDesc	CompleteDesc	ThinkDesc	ScriptId	StoryId	Index
2303	2	2	通缉令	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212			尚未收集到该线索	画有渡边头像的通缉令，上面写有文字：绝命，100000玛门。	画有渡边头像的通缉令，上面写有文字：绝命，100000玛门。				303
2304	2	2	集结的义军武装	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212			尚未收集到该线索	被“灰鸦”的旗帜所吸引聚集的武装力量，虽然武器装备落后，但士气高昂。	被“灰鸦”的旗帜所吸引聚集的武装力量，虽然武器装备落后，但士气高昂。				304
2305	2	2	激增的难民	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212			尚未收集到该线索	从各处云集而来寻求庇护的难民队伍，给锈轭镇的后勤系统带来了巨大的压力。	从各处云集而来寻求庇护的难民队伍，给锈轭镇的后勤系统带来了巨大的压力。				305
2306	2	2	圣环要塞的近况	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	212			尚未收集到该线索	钢铁军团近期正在朝着圣环要塞收缩兵力，要塞内部也正在严防死守，壁垒森严。	钢铁军团近期正在朝着圣环要塞收缩兵力，要塞内部也正在严防死守，壁垒森严。				306
3100	1	1	死亡骑士	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102			尚未收集到该线索	与自己同行的伙伴之一，暂时想不起来是怎样与他结识的。	与自己签下血契的恶魔领主「死亡骑士」，拥有不死不灭的权能，因要夺回自己的地狱列车而与踏上征伐圣堂的道路。		3100	RG01007BA	100
3101	2	2	工兵铲	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	军用工兵铲，上面沾染着泥土与凝固的血液。	军用工兵铲，上面沾染着泥土与凝固的血液。				101
3102	2	2	恶魔领主	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	据说只有极少数的高阶恶魔能够接受死亡大君的赐福，获得超凡的魔力与恶魔领主的头衔。他们代替死亡大君统治着地狱，且永远无法杀死彼此。	据说只有极少数的高阶恶魔能够接受死亡大君的赐福，获得超凡的魔力与恶魔领主的头衔。他们代替死亡大君统治着地狱，且永远无法杀死彼此。				103
3103	2	2	地狱列车	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	属于死亡骑士的列车，一度落入圣堂之手，但被自己与四位骑士联手夺回。	属于死亡骑士的列车，一度落入圣堂之手，但被自己与四位骑士联手夺回。				104
3104	2	2	混沌之创	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	人世与地狱的通道，恶魔曾通过这条缝隙不断入侵人世，与人类展开了一场旷日持久的战争。	人世与地狱的通道，恶魔曾通过这条缝隙不断入侵人世，与人类展开了一场旷日持久的战争。				105
3105	2	2	死亡大君	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	「死亡大君」奈亚希茨，地狱的主人，掌握生死律法的深渊魔王。	「死亡大君」奈亚希茨，地狱的主人，掌握生死律法的深渊魔王。				102
3200	1	1	地狱	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	313			尚未收集到该线索	至高天流放堕落灵魂的监牢，恶魔的住所，与圣堂、人间并称为“三界”。	至高天流放堕落灵魂的监牢，恶魔的住所，与圣堂、人间并称为“三界”。在生死律法崩坏后，原属死亡大君麾下的恶魔领主们各自为政，展开了漫长而血腥的厮杀。据说，那些堕落却遵守秩序的死者将被送入地狱的边陲夹缝“炼狱”之中，继续新生。		3200	RG01009BA	200
3201	2	2	进入地狱的灵魂	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313			尚未收集到该线索	烬土边疆的人们相信，当生命陨落后，死者的灵魂将由其生前的言行决定去往何方：善义纯良之人升入天堂，而邪恶堕落者坠入地狱。	烬土边疆的人们相信，当生命陨落后，死者的灵魂将由其生前的言行决定去往何方：善义纯良之人升入天堂，而邪恶堕落者坠入地狱。				203
3202	2	2	崩坏的生死律法	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313			尚未收集到该线索	至高天将死亡大君关入万魔殿后，生死的流转便失去秩序。死者的灵魂无法进入地狱或是天堂，只得化作徘徊人世的活尸。	至高天将死亡大君关入万魔殿后，生死的流转便失去秩序。死者的灵魂无法进入地狱或是天堂，只得化作徘徊人世的活尸。				202
3203	2	2	恶魔领主	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313			尚未收集到该线索	据说只有极少数的高阶恶魔能够接受死亡大君的赐福，获得超凡的魔力与恶魔领主的头衔。他们代替死亡大君统治着地狱，且永远无法杀死彼此。	据说只有极少数的高阶恶魔能够接受死亡大君的赐福，获得超凡的魔力与恶魔领主的头衔。他们代替死亡大君统治着地狱，且永远无法杀死彼此。				201
3204	2	2	审判庭	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313			尚未收集到该线索	由狂热崇拜至高天的人类所组成的宗教团体，在前灾变时代盛极一时。由其制作的「冠位判仪」能够洞悉受审者是否犯下罪行。	由狂热崇拜至高天的人类所组成的宗教团体，在前灾变时代盛极一时。由其制作的「冠位判仪」能够洞悉受审者是否犯下罪行。				204
3205	2	2	炼狱熔炉	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313			尚未收集到该线索	「黄金之王」玛门的宝物，据说烬土边疆盛行的玛门币都是出自这座熔炉。	「黄金之王」玛门的宝物，据说烬土边疆盛行的玛门币都是出自这座熔炉。				205
3206	2	2	魔鬼	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	313			尚未收集到该线索	善良与邪恶不能完美裁断每个灵魂的去处，据说，那些徘徊于两种思想之间的死者，将被送往人间与地狱夹缝之间的炼狱，成为“遵守秩序的恶者”，即魔鬼。	善良与邪恶不能完美裁断每个灵魂的去处，据说，那些徘徊于两种思想之间的死者，将被送往人间与地狱夹缝之间的炼狱，成为“遵守秩序的恶者”，即魔鬼。				206
3300	1	1	海妲魔女	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	320			尚未收集到该线索	与圣堂合作袭击死亡骑士的魔女，与死亡骑士同为恶魔领主。	与圣堂合作袭击死亡骑士的魔女，与死亡骑士同为恶魔领主，二人是旧相识。她想要在魔堡中拖延时间，坚持到欧米伽卵孵化完成，达成某种未知目的。		3300		300
3301	2	2	千变万化的魔堡	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320			尚未收集到该线索	仿佛获得了自我意识的魔堡，内部结构不断变化，宛若错综复杂的迷宫。	仿佛获得了自我意识的魔堡，内部结构不断变化，宛若错综复杂的迷宫。				303
3302	2	2	膨胀的欧米伽卵	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320			尚未收集到该线索	扎在混沌门使胸口的欧米伽卵，正在随着时间不断起伏膨胀。	扎在混沌门使胸口的欧米伽卵，正在随着时间不断起伏膨胀。				301
3303	2	2	火焚谷古卷的传说	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320			尚未收集到该线索	“那卵绽放时，将洗涤地狱的污秽。未来与过去的死者，都将重获新生。”	“那卵绽放时，将洗涤地狱的污秽。未来与过去的死者，都将重获新生。”				302
3304	2	2	秘法门	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320			尚未收集到该线索	由混沌门使撕开的传送门，可以联通到任意地点。曾经连接人间与地狱，引发人类与恶魔混战的「混沌之创」也同为秘法门。	由混沌门使撕开的传送门，可以联通到任意地点。曾经连接人间与地狱，引发人类与恶魔混战的「混沌之创」也同为秘法门。				306
3305	2	2	摆渡人的钢笔	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320			尚未收集到该线索	磨损严重的钢笔，笔帽上镌刻着一排秀逸的文字：拉斯特丽丝。	磨损严重的钢笔，笔帽上镌刻着一排秀逸的文字：拉斯特丽丝。				304
3306	2	2	魔女的棋盘	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	320			尚未收集到该线索	手工痕迹明显的棋盘，侧框的角落还雕刻着制作者的署名：全地狱最最厉害的恶魔！	手工痕迹明显的棋盘，侧框的角落还雕刻着制作者的署名：全地狱最最厉害的恶魔！				305
4100	1	1	万事	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102			尚未收集到该线索	和自己同行的一位银发青年。暂时无法回想起和他结识的经历。	和自己签订契约的「瘟疫骑士」，拥有着可以吸收死者灵魂的权能。为了找出终结天灾的办法，和自己一起走上探索真相的道路。		4100	RG01101BA	100
4101	2	2	鸟嘴面罩	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	万事随身携带的防疫面罩，鸟嘴部分填充有药草。	万事随身携带的防疫面罩，鸟嘴部分填充有药草。				101
4102	2	2	诡异的仪式祭坛	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	位于古堡地下的秘密祭坛，由一群部落民教徒设立。	位于古堡地下的秘密祭坛，由一群部落民教徒设立。现已被万事和灰鸦联手摧毁。				104
4103	2	2	部落民绘制的符纹	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	部落民在活祭仪式现场残留的奇怪符纹，发音似乎是“卡尔克萨”。	部落民在活祭仪式现场残留的奇怪符纹，发音似乎是“卡尔克萨”。				102
4104	2	2	散落的子弹壳	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	残留在祭坛现场的子弹壳，从万事的配枪中掉落，此处似乎进行过一场战斗。	残留在祭坛现场的子弹壳，从万事的配枪中掉落，此处似乎进行过一场战斗。				105
4105	2	2	蝗虫的尸体	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	血蝗的尸体风干腐朽后剩下的残尸，在天灾爆发的中心场地随处可见。	血蝗的尸体风干腐朽后剩下的残尸，在天灾爆发的中心场地随处可见。				103
4200	1	1	部落民	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	404			尚未收集到该线索	烬土边疆的原住民，千年前和边疆人爆发冲突，现今匿藏在林中生活。	部落民并没有忘记千年前的那笔血债，事到如今仍通过在烬土边疆各地举行活祭仪式来报复边疆人。		4200	RG01102BA	200
4201	2	2	万事的调查手记	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404			尚未收集到该线索	万事书写的调查记录，上面详细记述了连环凶杀案的受害者死于失血。	万事书写的调查记录，上面详细记述了连环凶杀案的受害者状况。在林中发现的干尸和之前的受害者有着同样的死因，均死于喉部放血。				201
4202	2	2	山羊形木雕	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404			尚未收集到该线索	在地下仪式祭坛发现的粗糙木雕，出自部落民信徒之手。	在地下仪式祭坛发现的粗糙木雕，出自部落民信徒之手。				202
4203	2	2	诡异的标志	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404			尚未收集到该线索	大书库中记载的部落民信仰徽记之一，弯弯曲曲的线条组成一个五角星的形状。	大书库中记载的部落民信仰徽记之一，弯弯曲曲的线条组成一个五角星的形状。杀人案的凶手通过连续犯案，在地图上组成了这个徽记。				204
4204	2	2	口袋中的糖	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404			尚未收集到该线索	万事带给孩子们的礼物，有奶油，巧克力，肉桂苹果等多种味道。	万事带给孩子们的礼物，有奶油，巧克力，肉桂苹果等多种味道。				205
4205	2	2	新鲜的药草	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	404			尚未收集到该线索	在林中现采的新鲜药草，适当调配后方能发挥效用。	在林中现采的新鲜药草，适当调配后方能发挥效用。				206
4300	1	1	嘉奈利	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	407			尚未收集到该线索	万事在古堡中救下的唯一一个幸存者，自称来自哈卢伽部族。	真实身份为部落民们的圣女，肩负着要为部落完成复仇的使命。		4300		300
4301	2	2	部落民身上的徽记	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407			尚未收集到该线索	部落民身上画有的特殊徽记，和山羊形木雕上的徽记一致，都为五角星形状。	部落民身上画有的特殊徽记，和山羊形木雕上的徽记一致，都为五角星形状。				306
4302	2	2	树下的匕首	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407			尚未收集到该线索	掉落在干尸身下的骨刀匕首，由部落民们手工打造。	掉落在干尸身下的骨刀匕首，由部落民们手工打造。				303
4303	2	2	草药香气	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407			尚未收集到该线索	林中久久不散的特殊药草香，曾在古堡中也闻到过这股味道。	林中久久不散的特殊药草香，曾在古堡中也闻到过这股味道。				304
4304	2	2	部落民的过去	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407			尚未收集到该线索	部落民曾在千年前被边疆人大肆屠杀，两族之间的仇恨一直蔓延至如今。	部落民曾在千年前被边疆人大肆屠杀，两族之间的仇恨一直蔓延至如今。				301
4305	2	2	巨人的传说	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	407			尚未收集到该线索	部落民信仰“死亡圣神”，相信只要举行活祭就能召唤出这个苍白色巨人，巨人会为他们摧毁所有仇敌。	部落民信仰“死亡圣神”，相信只要举行活祭就能召唤出这个苍白色巨人，巨人会为他们摧毁所有仇敌。				302
5100	1	1	莉莉丝	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	102			尚未收集到该线索	与自己同行的神秘女子，暂时无法回忆起相识的经过。	和自己签订契约的「饥荒骑士」，拥有着伞尖触碰便能将事物引爆的权能。为了向拉斐尔夫人复仇而与自己一同讨伐圣堂。		5100	RG01201BA	100
5101	2	2	圣堂牌局	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	由圣堂开展的牌局，使用炼金矩阵来维护公平性。极少有人类敢于挑战天使，主动参与这种牌局。	由圣堂开展的牌局，使用炼金矩阵来维护公平性。极少有人类敢于挑战天使，主动参与这种牌局。				102
5102	2	2	莉莉丝的自白	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	据莉莉丝所言，她曾因拆穿了天使长的出千行为而被灭口，但故事中似乎还有隐瞒。	据莉莉丝所言，她曾因拆穿了天使长的出千行为而被灭口，但故事中似乎还有隐瞒。				101
5103	2	2	玛门的财宝	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	传说中玛门的财宝全部都藏在一座名为无归城的炼狱城堡里，仅有玛门之钥能打开宝窟大门。	传说中玛门的财宝全部都藏在一座名为无归城的炼狱城堡里，仅有玛门之钥能打开宝窟大门。				103
5104	2	2	赝品赌注	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	一些赌徒为了避免损失，会把真正的赌注偷偷替换成赝品。被识破后，参与赌局的赌徒们大打出手，只剩下这份赝品还留在赌桌边。	一些赌徒为了避免损失，会把真正的赌注偷偷替换成赝品。被识破后，参与赌局的赌徒们大打出手，只剩下这份赝品还留在赌桌边。				104
5105	2	2	炼狱的传说	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	102			尚未收集到该线索	传言中魔鬼的大本营在炼狱，那里挤满了追求黄金的灵魂。	传言中魔鬼的大本营在炼狱，那里挤满了追求黄金的灵魂。				105
5200	1	1	拉斐尔夫人	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	504			尚未收集到该线索	四大天使长之一，在人间开设有“圣堂牌局”，莉莉丝的复仇对象。	四大天使长之一，受至高天命令追寻有关玛门宝藏和无归城的线索。在与莉莉丝结仇后，她近期对我们展开了一系列袭击，似乎还想要得到什么。		5200		200
5201	2	2	被洗劫的城镇	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504			尚未收集到该线索	拉斐尔夫人手下的天使们近来频繁袭击城镇，与先前纯粹的杀戮相比，现在他们还会把地皮都翻开一遍，寻找列车上掉落的金币。	拉斐尔夫人手下的天使们近来频繁袭击城镇，与先前纯粹的杀戮相比，现在他们还会把地皮都翻开一遍，寻找列车上掉落的金币。				202
5202	2	2	无主的玛门宝窟	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504			尚未收集到该线索	自上任玛门行踪不明后，无归城的主座一直空缺着。若能成为新任玛门，便能获得宝窟中的巨大财富。	自上任玛门行踪不明后，无归城的主座一直空缺着。若能成为新任玛门，便能获得宝窟中的巨大财富。				206
5203	2	2	间歇性伏击	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504			尚未收集到该线索	在对城镇扫荡财富之余，天使们还盯上了我与莉莉丝，显然不止想要劫财。	在对城镇扫荡财富之余，天使们还盯上了我与莉莉丝，显然不止想要劫财。				201
5204	2	2	镇民自卫队	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504			尚未收集到该线索	为了保护自己，白马镇的镇民们组建了自卫队。他们相信这能从前来“回收”金币的天使手下保住自己的财富。	为了保护自己，白马镇的镇民们组建了自卫队。他们相信这能从前来“回收”金币的天使手下保住自己的财富。				204
5205	2	2	酒吧中的赌徒	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	504			尚未收集到该线索	天使卷走了城镇的生命与钱财后，赌徒只增不减。一部分缺乏本金的赌徒如今加入了搜寻列车遗落的金币的行列，试图大赚一笔。	天使卷走了城镇的生命与钱财后，赌徒只增不减。一部分缺乏本金的赌徒如今加入了搜寻列车遗落的金币的行列，试图大赚一笔。				205
5300	1	1	无限幻境	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	513			尚未收集到该线索	玛门宝窟内的幻境，当任玛门能将人困于此处。	无限幻境能无止尽地为每位访客满足欲望，哪怕是前任玛门都无法拒绝其中的诱惑。只有抛弃在其中所得的一切财富，才能从金山顶端的出口离开。		5300	RG01205EA	300
5301	2	2	受困者的意识	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513			尚未收集到该线索	幻境中具有灵魂的活物均为受困于此的人类或恶魔，他们在这里能够永无止境地满足所有欲望，却也随着时间流逝失去自我。	幻境中具有灵魂的活物均为受困于此的人类或恶魔，他们在这里能够永无止境地满足所有欲望，却也随着时间流逝失去自我。				305
5302	2	2	造型奇特的纸鹤	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513			尚未收集到该线索	白色的美丽纸鹤，幻境中的幽灵说，顺着纸鹤的指引一直往前走，就能找到答案。	白色的美丽纸鹤，幻境中的幽灵说，顺着纸鹤的指引一直往前走，就能找到答案。				301
5303	2	2	前任玛门	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513			尚未收集到该线索	被幻境所满足的前任黄金之王，即使知晓离开的方法，仍然选择留在此处。	被幻境所满足的前任黄金之王，即使知晓离开的方法，仍然选择留在此处。				302
5304	2	2	常人的造物	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513			尚未收集到该线索	除了活物，幻境中的人们可以近乎自由地创造任何事物来满足自己的欲求。	除了活物，幻境中的人们可以近乎自由地创造任何事物来满足自己的欲求。				306
5305	2	2	进入幻境的条件	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513			尚未收集到该线索	凭借自身意志离开幻境之人，无论凭借什么手段都不能再次进入，即使是当任玛门也无法强制将其再次送进幻境。	凭借自身意志离开幻境之人，无论凭借什么手段都不能再次进入，即使是当任玛门也无法强制将其再次送进幻境。				304
5306	2	2	环形坟场	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	513			尚未收集到该线索	幻境中的无名幽灵所创造的建筑群。创造者在很久以前便迷失在满足欲望的喜悦之中。	幻境中的无名幽灵所创造的建筑群。创造者在很久以前便迷失在满足欲望的喜悦之中。				303
6100	1	1	决战计划	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	601			尚未收集到该线索	对于圣堂的决战需要准备合理的作战计划。	灰鸦与四骑士组成精锐队伍快速行动，借助地狱列车登上圣堂，使用圣环银弹杀死加百列。		6100		200
6101	2	2	四骑士	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601			尚未收集到该线索	与灰鸦签订了血契的四人具有强大的权能，是己方最强的战力。	与灰鸦签订了血契的四人具有强大的权能，是己方最强的战力。				203
6102	2	2	地狱列车	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601			尚未收集到该线索	“死亡骑士”的列车具有很强的行军能力，行驶路线几乎不受限。	“死亡骑士”的列车具有很强的行军能力，行驶路线几乎不受限。				204
6103	2	2	圣环巨炮	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601			尚未收集到该线索	“战争骑士”麾下钢铁军团的杀手锏，使用圣环银弹后能够对天使造成致命伤害。	“战争骑士”麾下钢铁军团的杀手锏，使用圣环银弹后能够对天使造成致命伤害。				205
6104	2	2	人类反抗军	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601			尚未收集到该线索	边疆人们自发组成了反抗军，在各地发动对天使的反攻。	边疆人们自发组成了反抗军，在各地发动对天使的反攻。				202
6105	2	2	枢机主神的残躯	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601			尚未收集到该线索	"""瘟疫骑士""短暂与枢机主神连接时，曾感受到主神的残躯仍然遗留在圣堂，其中应当具备大量能量。"	"""瘟疫骑士""短暂与枢机主神连接时，曾感受到主神的残躯仍然遗留在圣堂，其中应当具备大量能量。"				206
6106	2	2	烬土边疆的现状	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	601			尚未收集到该线索	人们倾注残存气力，天使的阵线缓缓收缩——这片烬土已经做好迎接黑夜的准备。	人们倾注残存气力，天使的阵线缓缓收缩——这片烬土已经做好迎接黑夜的准备。				201
7100	1	1	涅缇娅的引导	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto02.png	700			尚未收集到该线索	涅缇娅令我的意识坠入到一个陌生的世界，意图不明。	涅缇娅在对我展示一个由她既往的记忆构筑而成的世界，应当是希望我借此了解她的过去。		7100	RG01401BA	100
7101	2	2	幻象交织的世界	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5CluePhoto.png	700			尚未收集到该线索	涅缇娅创造的幻象世界，其中出现了许多来自第一纪元的物件，应该是在向我展示烬土边疆过去的景象。	涅缇娅创造的幻象世界，其中出现了许多来自第一纪元的物件，应该是在向我展示烬土边疆过去的景象。				103
