Id	StoryLineId	ContentType	ContentId	AvgContent	NextScript	ChooseConditions	ChooseContents	ChooseLabels	CharacterStoryDesc	DisabledCharacters	DisabledCharactersTips	IsContinue	IsTickOutToTitle
504	5	2	502										
505	5	5	502		5200				在接近白马镇的过程中，发现附近的村庄大多都被前来回收金币的天使们洗劫一空，为了阻止天使们的行径，二人决定迎战。				
506	5	1	5200						从天使的口中获得了一些关于拉斐尔夫人的情报，结合已知的线索，应该能大致能推断出她的目的和动向。				
507	5	2	503										
508	5	4	503						白马镇上，镇民自发组成的自卫队和天使执行者们已经打成一片，莉莉丝和灰鸦也加入了战场。				
509	5	2	504										
510	5	4	504						无归城门口，一群受拉斐尔夫人之命行动的天使在此聚集，在魔鬼的领土上，恶魔和天使的交战一触即发。				
511	5	2	505										
512	5	4	505						莉莉丝吞下玛门之钥，升格为新任的黄金之王，在这座崭新的无归城里，哪怕天使长都不是她的对手。				
513	5	2	506										
514	5	5	506		5300				灰鸦和摩利甘受困于“无限幻境”之中，顺着一个无名幽灵的指引，开始寻找脱身的办法。				
515	5	1	5300						在摩利甘和无名幽灵的帮助下，灰鸦逐渐开始明白“无限幻境”的规则。				
516	5	2	507										
517	5	4	507						灰鸦脱离幻境之后，以“饥荒骑士”的冠冕和自己的灵魂作为赌注，和莉莉丝开展了最后一场赌局。				
518	5	6	5										
601	6	2	601										
602	6	3		RG01301BA									
603	6	2	602										
604	6	5	601		6100				决战前夕，每个人都有每个人该做的事情。				
605	6	1	6100						这是最后的推演了，好好想想，该如何与圣堂展开决战。				
606	6	2	603										
607	6	4	602						天光突然袭向了诡魇客栈，该迎击了。				
608	6	2	604										
609	6	4	603						地狱列车朝圣堂前进，而迎击的天使也越来越多，前路受阻，速度逐渐减慢。	[1]	['渡边在之前的战斗身负重伤，无法参加接下来的战斗。']		
610	6	2	605										
611	6	4	604						列车正在持续下坠，灰鸦与剩下的两位骑士需要在坠落前确保自己的安全。	[1, 2]	['渡边在之前的战斗身负重伤，无法参加接下来的战斗。', '薇拉袭向了“天使长”，一同从圣堂坠了下去，现况不明，无法参加接下来的战斗。']		True
700	6	2	701										
702	6	5	701		7100				自四骑士在圣堂残庭和涅缇娅一战之后，灰鸦的意识便陷入了昏迷。混沌之中，全新的“烬土边疆”正要从黑暗中被孕育而出。				
703	6	1	7100						灰鸦从一片混沌之中醒来，发现自身似乎来到了涅缇娅的回忆之中。				
704	6	2	702										
705	6	5	702		7200				灰鸦在涅缇娅的回忆中见到了曾经身为“钢铁军团总帅”的自己，那似乎就是铁殇口中提到过的“从前的灰鸦”。				
706	6	1	7200						在回忆中，涅缇娅在过去表现得并不如她当下般不近人情，甚至对人类展示了一些称得上是“善良”的举动。				
707	6	2	703										
708	6	3		RG01403BA									
709	6	2	704										
710	6	5	703		7300				在失去了灰鸦之后，涅缇娅逐渐蜕变为一个真正的“魔女”。				
711	6	1	7300						回忆至此，已经完全掌握了涅缇娅行事的动机和选择这一切的根由，接下来，就该继续应对当下的危机了。			True	
712	6	7				[1050340, 0]	[713, 719]	['接受', '拒绝']					
713	6	2	705										
714	6	3		RG01405BA									
715	6	2	706										
716	6	4	704						永夜纪元已经降临，再也没有任何事物能阻拦魔君征伐的脚步。				
717	6	6	6									True	
718	6	8							永恒的黑夜吞噬了整座边疆 但……一切尚有逆转的机会				
719	6	2	707										
720	6	4	705						转折之时已到，去贯彻自己的抉择吧。				
721	6	6	7										
