Id	Name	ModelName	CareerName	CareerIcon	CampName	Description	IntroAnim	IntroCv	IntroLength	ThankAnim	ThankCv	ThankLength	SquareHead	CircleHead	ActionBg	BigCharacterImage	ShareImg	WinAnimGroupId	LoseAnimGroupId
2011	罗塞塔	QR3LuosaitaMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	守林人	原守林人的首领，异人型的罗塞塔作为特别成员被空中花园收容，以人形的姿态投入到战斗之中。	['Show01', 'Show06']	100000326	[5.0, 5.0]	['Thanks01', 'Thanks07']	100000327	[9.0, 9.0]	Assets/Product/Texture/Image/Role/RoleHeadLuosaitaQ.png	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLuosaita.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuosaita.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuosaita.png	[1111, 2111, 3111, 4111, 4111]	[1112, 2112, 3112, 4113, 4113]
2012	露娜	QR3LunaMd010011MZ	进攻型	Assets/Product/Texture/Image/IconType/IconCharacter3.png	升格者	实力强悍的代行者，这是她完全的战斗形态，有着凌驾于升格者之上的力量。	['Show01', 'Show07']	100000322	[10.0, 10.0]	['Thanks01', 'Thanks07']	100000323	[10.0, 10.0]	Assets/Product/Texture/Image/Role/RoleHeadLunaQ.png	Assets/Product/Texture/Image/Role/RoleHeadLuna3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLuna.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuna.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuna.png	[1121, 2121, 3121, 4121, 4121]	[1122, 2122, 3122, 4123, 4123]
2013	比安卡	QR3BiankaMd010011MZ	进攻型	Assets/Product/Texture/Image/IconType/IconCharacter3.png	清理部队	清理部队长官，气质优雅，作风严谨的构造体。由于身份特殊，至今都鲜有人真正走进过她的内心世界。拥有着坚定的信仰。	['Show01', 'Show06']	100000302	[6.0, 6.0]	['Thanks01', 'Thanks07']	100000303	[6.0, 6.0]	Assets/Product/Texture/Image/Role/RoleHeadBiankaSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadBianka3SSQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadBianka.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleBianka.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleBianka.png	[1131, 2131, 3131, 4131, 4131]	[1132, 2132, 3132, 4133, 4133]
2014	赛琳娜	QR4SailinnaMd010011MZ	增幅型	Assets/Product/Texture/Image/IconType/IconCharacter5.png	艺术协会	前考古小队的一员，拥有美妙的歌喉和卓越的艺术天分，本性温和坚韧。深处暴风雨中飘摇的赛琳娜，后来被一名升格者救起。	['Show01', 'Show06']	100000338	[4.0, 4.0]	['Thanks01', 'Thanks07']	100000339	[9.0, 9.0]	Assets/Product/Texture/Image/Role/RoleHeadR3SailinnaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR3Sailinna3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadSaiLinNa.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleSailinna.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleSailinna.png	[1141, 2141, 3141, 4141, 4141]	[1142, 2142, 3142, 4143, 4143]
2015	曲	QR2QuMd010011MZ	先锋型	Assets/Product/Texture/Image/IconType/IconCharacter4.png	九龙商会	最后一代九龙之主，精通帝王权术，隐藏在各方势力的视野之外，暗中推行着万世铭计划。	['Show01', 'Show06']	100000334	[6.0, 6.0]	['Thanks01', 'Thanks07']	100000335	[4.0, 4.0]	Assets/Product/Texture/Image/Role/RoleHeadQuQ.png	Assets/Product/Texture/Image/Role/RoleHeadQu3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadQu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleQu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleQu.png	[1151, 2151, 3151, 4151, 4151]	[1152, 2152, 3152, 4153, 4153]
2016	苏菲亚	QR2SufeiyaMd010011MZ	辅助型	Assets/Product/Texture/Image/IconType/IconCharacter2.png	阿迪莱商会	灰鸦小队外援，来自阿迪莱商业联盟的“使节”，是出生在永久列车上的“鬣狗”，也是领袖贾米拉帐下最锋利的剑。被常羽取了一个“中华田园猫”的外号。	['Show02', 'Show06']	100000344	[6.0, 6.0]	['Thanks02', 'Thanks07']	100000345	[6.0, 6.0]	Assets/Product/Texture/Image/Role/RoleHeadSufeiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadSufeiya.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleSufeiya.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleSufeiya.png	[1161, 2161, 3161, 4161, 4161]	[1162, 2162, 3162, 4163, 4163]
2017	露西亚	QR4LuxiyaMd010011MZ	进攻型	Assets/Product/Texture/Image/IconType/IconCharacter3.png	灰鸦小队	灰鸦小队队长，个性认真执着，作为早期批次接受改造的军用型构造体，淬炼出了强大的实力与坚定的意志。是构成灰鸦的锋利刀刃。	['Show01', 'Show06']	100000320	[3.0, 3.0]	['Thanks01', 'Thanks07']	100000321	[6.0, 6.0]	Assets/Product/Texture/Image/Role/RoleHeadR4LuxiyaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR4Luxiya3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLuxiya.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuxiya.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuxiya.png	[1171, 2171, 3171, 4171, 4171]	[1172, 2172, 3172, 4173, 4173]
2018	艾拉	QR2AilaMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	考古小队	考古小队队员，归属于自空中花园艺术协会，是出生在空中花园的“年轻一派”，卓越的绘画天赋让艾拉在空中花园很快收获了大量的知名度与财富，自然散发的自信气场和对艺术的狂热追求是她的主要特征。	['Show02', 'Show06']	100000298	[10.0, 10.0]	['Thanks02', 'Thanks07']	100000299	[5.0, 5.0]	Assets/Product/Texture/Image/Role/RoleHeadAilaQ.png	Assets/Product/Texture/Image/Role/RoleHeadAila3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadAila.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleAila.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleAila.png	[1181, 2181, 3181, 4181, 4181]	[1182, 2182, 3182, 4183, 4183]
2019	丽芙	QR4LifuMd010011MZ	增幅型	Assets/Product/Texture/Image/IconType/IconCharacter5.png	灰鸦小队	灰鸦小队队员，出身自生命之星，举止礼貌，善解人意，与稍显柔弱的外表不同，意外地能够承受许多超乎常人的压力。在这个时代中，她的心底一直保持着一个非常纯真的梦想。	['Show01', 'Show06']	100000318	[9.0, 9.0]	['Thanks01', 'Thanks07']	100000319	[10.0, 10.0]	Assets/Product/Texture/Image/Role/RoleHeadR4LifuQ.png	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLifu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLifu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLifu.png	[1191, 2191, 3191, 4191, 4191]	[1192, 2192, 3192, 4193, 4193]
2020	七实	QR4YongyechaoMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	无从属	所属部队不明，行踪也捉摸不定的神秘构造体。活泼热闹，有着独特的对话思路和品味，选择使用链锯作为武器并且以近乎玩耍的风格进行着战斗。声称观察人类是自己的最大爱好。	['Show02', 'Show07']	100000332	[6.0, 6.0]	['Thanks02', 'Thanks07']	100000333	[4.0, 4.0]	Assets/Product/Texture/Image/Role/RoleHeadR5YongyechaoQ.png	Assets/Product/Texture/Image/Role/RoleHeadR5Yongyechao3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadQishi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleQishi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleQishi.png	[1201, 2201, 3201, 4201, 4201]	[1202, 2202, 3202, 4203, 4203]
2021	薇拉	QR3WeilaMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	三头犬小队	三头犬小队队长，是远程链接技术的试验小队的主心骨，因其“为自己与他人制造痛苦来证明存活”的极端做法和锋利尖刻、难以捉摸的个性备受争议，但她自己似乎并不在乎。	['Show01', 'Show07']	100000350	[5.0, 5.0]	['Thanks01', 'Thanks07']	100000351	[7.0, 7.0]	Assets/Product/Texture/Image/Role/RoleHeadR3WeilaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR3Weila3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadWeila.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleWeila.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleWeila.png	[1211, 2211, 3211, 4211, 4211]	[1212, 2212, 3212, 4213, 4213]
2022	阿尔法	QR3LuxiyaMd010011MZ	进攻型	Assets/Product/Texture/Image/IconType/IconCharacter3.png	升格者	使用太刀作为武器的强大升格者，给人留下了强大而随性的印象，除此之外还很擅长维护与改装机车。	['Show01', 'Show07']	100000300	[5.0, 5.0]	['Thanks01', 'Thanks07']	100000301	[9.0, 9.0]	Assets/Product/Texture/Image/Role/RoleHeadluxiyaSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadluxiya3SSQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadluxiyaSS.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleAerfa.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleAerfa.png	[1221, 2221, 3221, 4221, 4221]	[1222, 2222, 3222, 4223, 4223]
2023	21号	QR2TwentyoneMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	三头犬小队	原本是代达罗斯实验室的第21号实验体，后成为三头犬小队的一员。拥有一台名为“小家伙”的协作子机，对人类的情感认知模糊，正在努力学习中。	['Show02', 'Show06']	100000346	[7.0, 7.0]	['Thanks02', 'Thanks07']	100000347	[12.0, 12.0]	Assets/Product/Texture/Image/Role/RoleHead21HaoQ.png	Assets/Product/Texture/Image/Role/RoleHead21Hao3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHead21Hao.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRole21Hao.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRole21Hao.png	[1251, 2251, 3251, 4251, 4251]	[1252, 2252, 3252, 4253, 4253]
2024	哈卡玛	QR2HakamaMd010011MZ	先锋型	Assets/Product/Texture/Image/IconType/IconCharacter4.png	无从属	受七实影响的觉醒机械之一，机械教会的一员。原本是机械意识项目的管理AI，在觉醒了自我意识之后，踏上了寻找七实的旅途。	['Show01', 'Show06']	100000308	[11.0, 11.0]	['Thanks01', 'Thanks07']	100000309	[6.0, 6.0]	Assets/Product/Texture/Image/Role/RoleHeadHakamaQnew.png	Assets/Product/Texture/Image/Role/RoleHeadHakama3Qnew.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadHakama.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleHakama.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleHakama.png	[1261, 2261, 3261, 4261, 4261]	[1262, 2262, 3262, 4263, 4263]
2025	赛利卡	QR1SailikaMd010011MZ	未知	Assets/Product/Texture/Image/IconType/IconCharacter3.png	空中花园	空中花园的王牌秘书，秉持着绝不加班的理念，默默地为大家提供援助。	['Show01', 'Show07']	100000336	[4.0, 4.0]	['Thanks01', 'Thanks07']	100000337	[5.0, 5.0]	Assets/Product/Texture/Image/Role/RoleHeadSailikaQ.png	Assets/Product/Texture/Image/Role/RoleHeadSailika3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadSailika.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleSailika2.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleSailika2.png	[1271, 2271, 3271, 4271, 4271]	[1272, 2272, 3272, 4273, 4273]
2026	鲨士碧儿	QR1AolajiangMd010011MZ	未知	Assets/Product/Texture/Image/IconType/IconCharacter3.png	无从属	一只路过的可爱小鲨鱼，人畜无害。	['Show04', 'Show05']	100000340	[5.0, 5.0]	['Thanks04', 'Thanks06']	100000341	[7.0, 7.0]	Assets/Product/Texture/Image/Role/RoleHeadShashibierQ.png	Assets/Product/Texture/Image/Role/RoleHeadShashibier3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadShabi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleShabi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleShabi.png	[1291, 2291, 3291, 4291, 4291]	[1292, 2292, 3292, 4293, 4293]
2027	诺克提	QR1NuoketiMd010011MZ	未知	Assets/Product/Texture/Image/IconType/IconCharacter3.png	三头犬小队	三头犬小队的一员，担任小队的先锋。性格暴躁直接，经常被人评价像个小孩子。	['Show04', 'Show05']	100000328	[7.0, 7.0]	['Thanks04', 'Thanks06']	100000329	[5.0, 5.0]	Assets/Product/Texture/Image/Role/RoleHeadR1NuoketiQ.png	Assets/Product/Texture/Image/Role/RoleHeadR1Nuoketi3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadNuoketi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleNuoketi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleNuoketi.png	[1281, 2281, 3281, 4281, 4281]	[1282, 2282, 3282, 4283, 4283]
